Strike,Expiry,Type,Symbol,Last,Vol
1.0,2014-09-20 00:00:00,call,BAC140920C00001000,13.95,1350
1.0,2014-10-18 00:00:00,call,BAC141018C00001000,15.1,1300
1.0,2015-01-17 00:00:00,call,BAC150117C00001000,15.2,2
1.0,2015-01-17 00:00:00,put,BAC150117P00001000,0.01,3
1.0,2015-02-20 00:00:00,call,BAC150220C00001000,15.0,3
2.0,2015-01-17 00:00:00,call,BAC150117C00002000,14.05,4
2.0,2015-01-17 00:00:00,put,BAC150117P00002000,0.01,0
3.0,2014-09-20 00:00:00,call,BAC140920C00003000,12.41,6
3.0,2015-01-17 00:00:00,call,BAC150117C00003000,12.8,5
3.0,2015-01-17 00:00:00,put,BAC150117P00003000,0.01,50
3.0,2016-01-15 00:00:00,call,BAC160115C00003000,13.2,50
3.0,2016-01-15 00:00:00,put,BAC160115P00003000,0.03,20
4.0,2015-01-17 00:00:00,call,BAC150117C00004000,11.3,217
4.0,2015-01-17 00:00:00,put,BAC150117P00004000,0.01,12
4.0,2015-02-20 00:00:00,call,BAC150220C00004000,12.0,3
4.0,2016-01-15 00:00:00,call,BAC160115C00004000,12.05,9
4.0,2016-01-15 00:00:00,put,BAC160115P00004000,0.04,2
5.0,2015-01-17 00:00:00,call,BAC150117C00005000,11.1,10
5.0,2015-01-17 00:00:00,put,BAC150117P00005000,0.01,40
5.0,2016-01-15 00:00:00,call,BAC160115C00005000,11.15,20
5.0,2016-01-15 00:00:00,put,BAC160115P00005000,0.05,2
6.0,2014-09-20 00:00:00,call,BAC140920C00006000,10.39,1
6.0,2014-09-20 00:00:00,put,BAC140920P00006000,0.01,2
6.0,2015-01-17 00:00:00,call,BAC150117C00006000,10.05,48
7.0,2014-09-20 00:00:00,call,BAC140920C00007000,8.75,100
7.0,2014-09-20 00:00:00,put,BAC140920P00007000,0.02,1
7.0,2014-12-20 00:00:00,call,BAC141220C00007000,9.22,1
7.0,2015-01-17 00:00:00,call,BAC150117C00007000,9.0,10
7.0,2015-01-17 00:00:00,put,BAC150117P00007000,0.01,10
8.0,2014-09-20 00:00:00,call,BAC140920C00008000,6.95,54
8.0,2014-09-20 00:00:00,put,BAC140920P00008000,0.01,39
8.0,2014-09-26 00:00:00,call,BAC140926C00008000,7.25,200
8.0,2014-10-18 00:00:00,call,BAC141018C00008000,7.45,79
8.0,2015-01-17 00:00:00,call,BAC150117C00008000,7.25,2
8.0,2015-01-17 00:00:00,put,BAC150117P00008000,0.01,400
8.0,2015-02-20 00:00:00,call,BAC150220C00008000,8.33,7
8.0,2015-02-20 00:00:00,put,BAC150220P00008000,0.03,112
8.0,2015-05-15 00:00:00,call,BAC150515C00008000,7.26,3
8.0,2015-05-15 00:00:00,put,BAC150515P00008000,0.04,20
8.0,2016-01-15 00:00:00,call,BAC160115C00008000,8.1,4
8.0,2016-01-15 00:00:00,put,BAC160115P00008000,0.11,1360
9.0,2014-09-20 00:00:00,call,BAC140920C00009000,6.3,1
9.0,2014-10-18 00:00:00,call,BAC141018C00009000,7.38,5
9.0,2015-01-17 00:00:00,call,BAC150117C00009000,7.3,12
9.0,2015-01-17 00:00:00,put,BAC150117P00009000,0.01,200
9.0,2015-02-20 00:00:00,put,BAC150220P00009000,0.01,582
10.0,2014-09-20 00:00:00,call,BAC140920C00010000,6.35,10
10.0,2014-09-20 00:00:00,put,BAC140920P00010000,0.01,40
10.0,2014-10-18 00:00:00,call,BAC141018C00010000,6.1,6
10.0,2014-10-18 00:00:00,put,BAC141018P00010000,0.01,5
10.0,2014-11-22 00:00:00,call,BAC141122C00010000,6.05,11
10.0,2014-11-22 00:00:00,put,BAC141122P00010000,0.01,100
10.0,2014-12-20 00:00:00,call,BAC141220C00010000,6.05,260
10.0,2014-12-20 00:00:00,put,BAC141220P00010000,0.01,79
10.0,2015-01-17 00:00:00,call,BAC150117C00010000,6.1,24
10.0,2015-01-17 00:00:00,put,BAC150117P00010000,0.02,6
10.0,2015-02-20 00:00:00,call,BAC150220C00010000,6.21,33
10.0,2015-02-20 00:00:00,put,BAC150220P00010000,0.02,10
10.0,2015-05-15 00:00:00,call,BAC150515C00010000,6.07,5
10.0,2015-05-15 00:00:00,put,BAC150515P00010000,0.05,102
10.0,2016-01-15 00:00:00,call,BAC160115C00010000,6.2,1010
10.0,2016-01-15 00:00:00,put,BAC160115P00010000,0.3,94
11.0,2014-09-20 00:00:00,call,BAC140920C00011000,5.02,1
11.0,2014-09-20 00:00:00,put,BAC140920P00011000,0.02,10
11.0,2014-09-26 00:00:00,put,BAC140926P00011000,0.02,150
11.0,2014-10-18 00:00:00,call,BAC141018C00011000,4.26,74
11.0,2014-10-18 00:00:00,put,BAC141018P00011000,0.01,96
11.0,2014-11-22 00:00:00,call,BAC141122C00011000,5.25,1
11.0,2014-11-22 00:00:00,put,BAC141122P00011000,0.01,1569
11.0,2014-12-20 00:00:00,call,BAC141220C00011000,4.55,10
11.0,2014-12-20 00:00:00,put,BAC141220P00011000,0.03,65
11.0,2015-01-17 00:00:00,call,BAC150117C00011000,5.1,45
11.0,2015-01-17 00:00:00,put,BAC150117P00011000,0.03,8
11.0,2015-02-20 00:00:00,call,BAC150220C00011000,5.15,5
11.0,2015-02-20 00:00:00,put,BAC150220P00011000,0.06,25
11.0,2015-05-15 00:00:00,put,BAC150515P00011000,0.12,30
11.5,2014-09-05 00:00:00,call,BAC140905C00011500,3.65,28
11.5,2014-10-03 00:00:00,put,BAC141003P00011500,0.01,80
12.0,2014-09-12 00:00:00,call,BAC140912C00012000,3.2,20
12.0,2014-09-20 00:00:00,call,BAC140920C00012000,4.05,100
12.0,2014-09-20 00:00:00,put,BAC140920P00012000,0.01,20
12.0,2014-10-18 00:00:00,call,BAC141018C00012000,4.44,5
12.0,2014-10-18 00:00:00,put,BAC141018P00012000,0.01,32
12.0,2014-11-22 00:00:00,call,BAC141122C00012000,4.0,1000
12.0,2014-11-22 00:00:00,put,BAC141122P00012000,0.02,2
12.0,2014-12-20 00:00:00,call,BAC141220C00012000,4.25,10
12.0,2014-12-20 00:00:00,put,BAC141220P00012000,0.03,10
12.0,2015-01-17 00:00:00,call,BAC150117C00012000,4.1,106
12.0,2015-01-17 00:00:00,put,BAC150117P00012000,0.06,37
12.0,2015-02-20 00:00:00,call,BAC150220C00012000,4.22,20
12.0,2015-02-20 00:00:00,put,BAC150220P00012000,0.1,30
12.0,2015-05-15 00:00:00,call,BAC150515C00012000,4.57,4
12.0,2015-05-15 00:00:00,put,BAC150515P00012000,0.19,55
12.0,2016-01-15 00:00:00,call,BAC160115C00012000,4.48,791
12.0,2016-01-15 00:00:00,put,BAC160115P00012000,0.54,1212
12.5,2014-09-05 00:00:00,call,BAC140905C00012500,2.76,116
12.5,2014-09-20 00:00:00,call,BAC140920C00012500,2.97,209
13.0,2014-09-05 00:00:00,call,BAC140905C00013000,2.52,100
13.0,2014-09-20 00:00:00,call,BAC140920C00013000,3.33,1
13.0,2014-09-20 00:00:00,put,BAC140920P00013000,0.01,2
13.0,2014-09-26 00:00:00,call,BAC140926C00013000,2.23,3
13.0,2014-09-26 00:00:00,put,BAC140926P00013000,0.02,6
13.0,2014-10-03 00:00:00,put,BAC141003P00013000,0.02,30
13.0,2014-10-18 00:00:00,call,BAC141018C00013000,3.03,10
13.0,2014-10-18 00:00:00,put,BAC141018P00013000,0.01,10
13.0,2014-11-22 00:00:00,call,BAC141122C00013000,3.03,76
13.0,2014-11-22 00:00:00,put,BAC141122P00013000,0.04,2050
13.0,2014-12-20 00:00:00,call,BAC141220C00013000,3.05,2
13.0,2014-12-20 00:00:00,put,BAC141220P00013000,0.06,10
13.0,2015-01-17 00:00:00,call,BAC150117C00013000,3.16,107
13.0,2015-01-17 00:00:00,put,BAC150117P00013000,0.12,20
13.0,2015-02-20 00:00:00,call,BAC150220C00013000,3.2,55
13.0,2015-02-20 00:00:00,put,BAC150220P00013000,0.15,25
13.0,2015-05-15 00:00:00,call,BAC150515C00013000,3.3,9
13.0,2015-05-15 00:00:00,put,BAC150515P00013000,0.3,5
13.5,2014-09-05 00:00:00,call,BAC140905C00013500,2.56,31
13.5,2014-09-05 00:00:00,put,BAC140905P00013500,0.03,20
13.5,2014-09-12 00:00:00,call,BAC140912C00013500,2.53,96
13.5,2014-09-12 00:00:00,put,BAC140912P00013500,0.01,57
13.5,2014-09-20 00:00:00,call,BAC140920C00013500,2.53,160
13.5,2014-09-20 00:00:00,put,BAC140920P00013500,0.01,30
13.5,2014-09-26 00:00:00,call,BAC140926C00013500,1.72,29
13.5,2014-09-26 00:00:00,put,BAC140926P00013500,0.07,20
14.0,2014-09-05 00:00:00,call,BAC140905C00014000,2.06,62
14.0,2014-09-05 00:00:00,put,BAC140905P00014000,0.01,80
14.0,2014-09-12 00:00:00,call,BAC140912C00014000,2.04,64
14.0,2014-09-12 00:00:00,put,BAC140912P00014000,0.13,30
14.0,2014-09-20 00:00:00,call,BAC140920C00014000,2.13,80
14.0,2014-09-20 00:00:00,put,BAC140920P00014000,0.01,2
14.0,2014-09-26 00:00:00,call,BAC140926C00014000,2.16,1
14.0,2014-09-26 00:00:00,put,BAC140926P00014000,0.01,20
14.0,2014-10-18 00:00:00,call,BAC141018C00014000,2.04,1363
14.0,2014-10-18 00:00:00,put,BAC141018P00014000,0.03,1026
14.0,2014-11-22 00:00:00,call,BAC141122C00014000,2.16,25
14.0,2014-11-22 00:00:00,put,BAC141122P00014000,0.1,232
14.0,2014-12-20 00:00:00,call,BAC141220C00014000,2.14,12
14.0,2014-12-20 00:00:00,put,BAC141220P00014000,0.14,376
14.0,2015-01-17 00:00:00,call,BAC150117C00014000,2.21,292
14.0,2015-01-17 00:00:00,put,BAC150117P00014000,0.23,757
14.0,2015-02-20 00:00:00,call,BAC150220C00014000,2.34,11
14.0,2015-02-20 00:00:00,put,BAC150220P00014000,0.31,91
14.0,2015-05-15 00:00:00,call,BAC150515C00014000,2.56,51
14.0,2015-05-15 00:00:00,put,BAC150515P00014000,0.49,4554
14.5,2014-09-05 00:00:00,call,BAC140905C00014500,1.57,5
14.5,2014-09-05 00:00:00,put,BAC140905P00014500,0.01,20
14.5,2014-09-12 00:00:00,call,BAC140912C00014500,1.67,5
14.5,2014-09-12 00:00:00,put,BAC140912P00014500,0.01,26
14.5,2014-09-20 00:00:00,call,BAC140920C00014500,1.52,596
14.5,2014-09-20 00:00:00,put,BAC140920P00014500,0.02,50
14.5,2014-09-26 00:00:00,call,BAC140926C00014500,1.54,8
14.5,2014-09-26 00:00:00,put,BAC140926P00014500,0.03,2
14.5,2014-10-03 00:00:00,call,BAC141003C00014500,1.88,10
14.5,2014-10-03 00:00:00,put,BAC141003P00014500,0.04,100
15.0,2014-09-05 00:00:00,call,BAC140905C00015000,1.04,10
15.0,2014-09-05 00:00:00,put,BAC140905P00015000,0.01,679
15.0,2014-09-12 00:00:00,call,BAC140912C00015000,1.04,130
15.0,2014-09-12 00:00:00,put,BAC140912P00015000,0.02,230
15.0,2014-09-20 00:00:00,call,BAC140920C00015000,1.08,4266
15.0,2014-09-20 00:00:00,put,BAC140920P00015000,0.03,515
15.0,2014-09-26 00:00:00,call,BAC140926C00015000,1.14,50
15.0,2014-09-26 00:00:00,put,BAC140926P00015000,0.05,60
15.0,2014-10-03 00:00:00,call,BAC141003C00015000,1.09,1
15.0,2014-10-03 00:00:00,put,BAC141003P00015000,0.06,10
15.0,2014-10-18 00:00:00,call,BAC141018C00015000,1.19,629
15.0,2014-10-18 00:00:00,put,BAC141018P00015000,0.13,398
15.0,2014-11-22 00:00:00,call,BAC141122C00015000,1.3,153
15.0,2014-11-22 00:00:00,put,BAC141122P00015000,0.24,226
15.0,2014-12-20 00:00:00,call,BAC141220C00015000,1.35,10
15.0,2014-12-20 00:00:00,put,BAC141220P00015000,0.34,61
15.0,2015-01-17 00:00:00,call,BAC150117C00015000,1.48,1511
15.0,2015-01-17 00:00:00,put,BAC150117P00015000,0.46,1654
15.0,2015-02-20 00:00:00,call,BAC150220C00015000,1.54,365
15.0,2015-02-20 00:00:00,put,BAC150220P00015000,0.55,10
15.0,2015-05-15 00:00:00,call,BAC150515C00015000,1.81,165
15.0,2015-05-15 00:00:00,put,BAC150515P00015000,0.82,34
15.0,2016-01-15 00:00:00,call,BAC160115C00015000,2.43,865
15.0,2016-01-15 00:00:00,put,BAC160115P00015000,1.53,326
15.5,2014-09-05 00:00:00,call,BAC140905C00015500,0.53,809
15.5,2014-09-05 00:00:00,put,BAC140905P00015500,0.02,520
15.5,2014-09-12 00:00:00,call,BAC140912C00015500,0.55,369
15.5,2014-09-12 00:00:00,put,BAC140912P00015500,0.04,275
15.5,2014-09-20 00:00:00,call,BAC140920C00015500,0.63,2640
15.5,2014-09-20 00:00:00,put,BAC140920P00015500,0.08,376
15.5,2014-09-26 00:00:00,call,BAC140926C00015500,0.68,14
15.5,2014-09-26 00:00:00,put,BAC140926P00015500,0.11,97
15.5,2014-10-03 00:00:00,call,BAC141003C00015500,0.65,225
15.5,2014-10-03 00:00:00,put,BAC141003P00015500,0.15,17
16.0,2014-09-05 00:00:00,call,BAC140905C00016000,0.16,6726
16.0,2014-09-05 00:00:00,put,BAC140905P00016000,0.11,3135
16.0,2014-09-12 00:00:00,call,BAC140912C00016000,0.22,2181
16.0,2014-09-12 00:00:00,put,BAC140912P00016000,0.18,1616
16.0,2014-09-20 00:00:00,call,BAC140920C00016000,0.28,6081
16.0,2014-09-20 00:00:00,put,BAC140920P00016000,0.23,3618
16.0,2014-09-26 00:00:00,call,BAC140926C00016000,0.31,355
16.0,2014-09-26 00:00:00,put,BAC140926P00016000,0.26,555
16.0,2014-10-03 00:00:00,call,BAC141003C00016000,0.39,256
16.0,2014-10-03 00:00:00,put,BAC141003P00016000,0.34,38
16.0,2014-10-18 00:00:00,call,BAC141018C00016000,0.5,3998
16.0,2014-10-18 00:00:00,put,BAC141018P00016000,0.44,592
16.0,2014-11-22 00:00:00,call,BAC141122C00016000,0.65,966
16.0,2014-11-22 00:00:00,put,BAC141122P00016000,0.59,814
16.0,2014-12-20 00:00:00,call,BAC141220C00016000,0.75,507
16.0,2014-12-20 00:00:00,put,BAC141220P00016000,0.71,30
16.0,2015-01-17 00:00:00,call,BAC150117C00016000,0.89,2472
16.0,2015-01-17 00:00:00,put,BAC150117P00016000,0.86,1952
16.0,2015-02-20 00:00:00,call,BAC150220C00016000,0.98,876
16.0,2015-02-20 00:00:00,put,BAC150220P00016000,0.95,7
16.0,2015-05-15 00:00:00,call,BAC150515C00016000,1.29,51
16.0,2015-05-15 00:00:00,put,BAC150515P00016000,1.24,18
16.5,2014-09-05 00:00:00,call,BAC140905C00016500,0.03,5155
16.5,2014-09-05 00:00:00,put,BAC140905P00016500,0.51,1381
16.5,2014-09-12 00:00:00,call,BAC140912C00016500,0.07,1749
16.5,2014-09-12 00:00:00,put,BAC140912P00016500,0.52,504
16.5,2014-09-20 00:00:00,call,BAC140920C00016500,0.1,3258
16.5,2014-09-20 00:00:00,put,BAC140920P00016500,0.56,330
16.5,2014-09-26 00:00:00,call,BAC140926C00016500,0.13,255
16.5,2014-09-26 00:00:00,put,BAC140926P00016500,0.58,100
16.5,2014-10-03 00:00:00,call,BAC141003C00016500,0.17,1724
16.5,2014-10-03 00:00:00,put,BAC141003P00016500,0.65,2
17.0,2014-09-05 00:00:00,call,BAC140905C00017000,0.01,250
17.0,2014-09-05 00:00:00,put,BAC140905P00017000,0.98,262
17.0,2014-09-12 00:00:00,call,BAC140912C00017000,0.02,1
17.0,2014-09-12 00:00:00,put,BAC140912P00017000,0.96,40
17.0,2014-09-20 00:00:00,call,BAC140920C00017000,0.04,738
17.0,2014-09-20 00:00:00,put,BAC140920P00017000,0.98,67
17.0,2014-09-26 00:00:00,call,BAC140926C00017000,0.05,205
17.0,2014-09-26 00:00:00,put,BAC140926P00017000,1.02,1
17.0,2014-10-03 00:00:00,call,BAC141003C00017000,0.08,207
17.0,2014-10-03 00:00:00,put,BAC141003P00017000,0.87,26
17.0,2014-10-18 00:00:00,call,BAC141018C00017000,0.14,1965
17.0,2014-10-18 00:00:00,put,BAC141018P00017000,1.11,84
17.0,2014-11-22 00:00:00,call,BAC141122C00017000,0.26,1153
17.0,2014-11-22 00:00:00,put,BAC141122P00017000,1.24,444
17.0,2014-12-20 00:00:00,call,BAC141220C00017000,0.34,641
