Strike,Expiry,Type,Symbol,Last,Vol
20.0,2015-01-17 00:00:00,call,BP150117C00020000,27.58,1
20.0,2015-01-17 00:00:00,put,BP150117P00020000,0.03,8
23.0,2015-01-17 00:00:00,put,BP150117P00023000,0.06,5
23.0,2016-01-15 00:00:00,call,BP160115C00023000,24.6,9
23.0,2016-01-15 00:00:00,put,BP160115P00023000,0.19,14
25.0,2015-01-17 00:00:00,call,BP150117C00025000,23.54,8
25.0,2015-01-17 00:00:00,put,BP150117P00025000,0.05,1
25.0,2016-01-15 00:00:00,call,BP160115C00025000,22.1,2
25.0,2016-01-15 00:00:00,put,BP160115P00025000,0.28,12
26.0,2015-01-17 00:00:00,put,BP150117P00026000,0.03,65
27.0,2015-01-17 00:00:00,put,BP150117P00027000,0.06,33
28.0,2014-10-18 00:00:00,put,BP141018P00028000,0.03,16
28.0,2015-01-17 00:00:00,put,BP150117P00028000,0.06,6
28.0,2016-01-15 00:00:00,put,BP160115P00028000,0.38,10
29.0,2014-10-18 00:00:00,put,BP141018P00029000,0.07,30
30.0,2015-01-17 00:00:00,call,BP150117C00030000,17.49,1
30.0,2015-01-17 00:00:00,put,BP150117P00030000,0.07,3
30.0,2016-01-15 00:00:00,call,BP160115C00030000,17.6,3
30.0,2016-01-15 00:00:00,put,BP160115P00030000,0.51,2
31.0,2014-10-18 00:00:00,put,BP141018P00031000,0.04,27
32.0,2014-10-18 00:00:00,put,BP141018P00032000,0.03,20
32.0,2015-01-17 00:00:00,put,BP150117P00032000,0.04,4
33.0,2014-10-18 00:00:00,put,BP141018P00033000,0.05,22
33.0,2015-01-17 00:00:00,call,BP150117C00033000,15.36,32
33.0,2015-01-17 00:00:00,put,BP150117P00033000,0.1,10
33.0,2016-01-15 00:00:00,call,BP160115C00033000,14.46,3
33.0,2016-01-15 00:00:00,put,BP160115P00033000,0.62,285
34.0,2014-10-18 00:00:00,put,BP141018P00034000,0.04,20
34.0,2015-01-17 00:00:00,put,BP150117P00034000,0.12,10
35.0,2014-10-18 00:00:00,put,BP141018P00035000,0.03,3
35.0,2015-01-17 00:00:00,call,BP150117C00035000,13.4,35
35.0,2015-01-17 00:00:00,put,BP150117P00035000,0.11,11
35.0,2016-01-15 00:00:00,call,BP160115C00035000,13.53,3
35.0,2016-01-15 00:00:00,put,BP160115P00035000,0.82,2
36.0,2014-10-18 00:00:00,put,BP141018P00036000,0.05,30
37.0,2014-10-18 00:00:00,put,BP141018P00037000,0.03,100
37.0,2015-01-17 00:00:00,call,BP150117C00037000,10.65,5
37.0,2015-01-17 00:00:00,put,BP150117P00037000,0.22,34
38.0,2014-09-20 00:00:00,put,BP140920P00038000,0.03,10
38.0,2014-10-18 00:00:00,put,BP141018P00038000,0.1,105
38.0,2015-01-17 00:00:00,call,BP150117C00038000,9.85,3
38.0,2015-01-17 00:00:00,put,BP150117P00038000,0.2,420
38.0,2015-04-17 00:00:00,put,BP150417P00038000,0.35,2
38.0,2016-01-15 00:00:00,call,BP160115C00038000,10.25,1
38.0,2016-01-15 00:00:00,put,BP160115P00038000,1.29,1
39.0,2014-10-18 00:00:00,call,BP141018C00039000,8.8,102
39.0,2014-10-18 00:00:00,put,BP141018P00039000,0.1,15
39.0,2015-01-17 00:00:00,put,BP150117P00039000,0.2,1
39.0,2015-04-17 00:00:00,put,BP150417P00039000,0.5,15
40.0,2014-09-20 00:00:00,call,BP140920C00040000,7.5,25
40.0,2014-09-20 00:00:00,put,BP140920P00040000,0.02,5
40.0,2014-10-18 00:00:00,call,BP141018C00040000,8.15,50
40.0,2014-10-18 00:00:00,put,BP141018P00040000,0.07,13
40.0,2014-11-22 00:00:00,put,BP141122P00040000,0.12,3
40.0,2015-01-17 00:00:00,call,BP150117C00040000,8.55,10
40.0,2015-01-17 00:00:00,put,BP150117P00040000,0.29,10
40.0,2015-04-17 00:00:00,put,BP150417P00040000,0.52,1
40.0,2016-01-15 00:00:00,call,BP160115C00040000,8.6,20
40.0,2016-01-15 00:00:00,put,BP160115P00040000,1.74,7
41.0,2014-09-20 00:00:00,put,BP140920P00041000,0.03,100
41.0,2014-09-26 00:00:00,put,BP140926P00041000,0.05,8
41.0,2014-10-18 00:00:00,call,BP141018C00041000,6.16,40
41.0,2014-10-18 00:00:00,put,BP141018P00041000,0.14,238
41.0,2015-01-17 00:00:00,call,BP150117C00041000,6.8,5
41.0,2015-01-17 00:00:00,put,BP150117P00041000,0.32,2
41.0,2015-04-17 00:00:00,put,BP150417P00041000,0.6,32
42.0,2014-09-20 00:00:00,put,BP140920P00042000,0.06,51
42.0,2014-10-18 00:00:00,call,BP141018C00042000,6.35,85
42.0,2014-10-18 00:00:00,put,BP141018P00042000,0.1,2
42.0,2014-11-22 00:00:00,put,BP141122P00042000,0.16,1
42.0,2015-01-17 00:00:00,call,BP150117C00042000,6.1,4
42.0,2015-01-17 00:00:00,put,BP150117P00042000,0.38,13
42.0,2015-04-17 00:00:00,call,BP150417C00042000,6.75,5
42.0,2015-04-17 00:00:00,put,BP150417P00042000,0.85,3
42.0,2016-01-15 00:00:00,call,BP160115C00042000,6.6,9
42.0,2016-01-15 00:00:00,put,BP160115P00042000,2.33,6
43.0,2014-09-12 00:00:00,call,BP140912C00043000,5.0,1
43.0,2014-09-20 00:00:00,put,BP140920P00043000,0.08,28
43.0,2014-09-26 00:00:00,put,BP140926P00043000,0.14,60
43.0,2014-10-18 00:00:00,call,BP141018C00043000,5.5,68
43.0,2014-10-18 00:00:00,put,BP141018P00043000,0.1,20
43.0,2014-11-22 00:00:00,put,BP141122P00043000,0.28,10
43.0,2015-01-17 00:00:00,call,BP150117C00043000,5.15,1
43.0,2015-01-17 00:00:00,put,BP150117P00043000,0.51,2
43.0,2015-04-17 00:00:00,put,BP150417P00043000,1.03,20
43.5,2014-09-20 00:00:00,put,BP140920P00043500,0.06,40
44.0,2014-09-05 00:00:00,put,BP140905P00044000,0.14,48
44.0,2014-09-12 00:00:00,call,BP140912C00044000,3.15,24
44.0,2014-09-20 00:00:00,call,BP140920C00044000,4.3,3
44.0,2014-09-20 00:00:00,put,BP140920P00044000,0.06,10
44.0,2014-10-18 00:00:00,call,BP141018C00044000,4.05,19
44.0,2014-10-18 00:00:00,put,BP141018P00044000,0.14,30
