Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,BX150117P00003000,0.15,0
5.0,2015-01-17 00:00:00,put,BX150117P00005000,0.03,163
8.0,2015-01-17 00:00:00,call,BX150117C00008000,28.15,75
8.0,2015-01-17 00:00:00,put,BX150117P00008000,0.02,11
10.0,2015-01-17 00:00:00,call,BX150117C00010000,23.5,2
10.0,2015-01-17 00:00:00,put,BX150117P00010000,0.03,20
12.0,2015-01-17 00:00:00,call,BX150117C00012000,23.07,3
12.0,2015-01-17 00:00:00,put,BX150117P00012000,0.03,50
15.0,2015-01-17 00:00:00,call,BX150117C00015000,18.2,12
15.0,2015-01-17 00:00:00,put,BX150117P00015000,0.04,12
15.0,2016-01-15 00:00:00,call,BX160115C00015000,20.0,8
15.0,2016-01-15 00:00:00,put,BX160115P00015000,0.28,1
16.0,2014-09-20 00:00:00,put,BX140920P00016000,0.02,4
16.0,2015-01-17 00:00:00,put,BX150117P00016000,0.03,68
17.0,2015-01-17 00:00:00,call,BX150117C00017000,16.0,15
17.0,2015-01-17 00:00:00,put,BX150117P00017000,0.04,10
18.0,2014-09-20 00:00:00,call,BX140920C00018000,17.72,10
18.0,2014-09-20 00:00:00,put,BX140920P00018000,0.02,4
18.0,2014-12-20 00:00:00,put,BX141220P00018000,0.07,10
18.0,2015-03-20 00:00:00,put,BX150320P00018000,0.1,1
18.0,2016-01-15 00:00:00,call,BX160115C00018000,16.51,140
18.0,2016-01-15 00:00:00,put,BX160115P00018000,0.5,5
19.0,2014-09-20 00:00:00,put,BX140920P00019000,0.02,4
19.0,2014-12-20 00:00:00,put,BX141220P00019000,0.1,1
19.0,2015-01-17 00:00:00,put,BX150117P00019000,0.11,1
19.0,2015-03-20 00:00:00,put,BX150320P00019000,0.1,1
20.0,2014-09-20 00:00:00,put,BX140920P00020000,0.03,36
20.0,2014-12-20 00:00:00,put,BX141220P00020000,0.07,86
20.0,2015-01-17 00:00:00,call,BX150117C00020000,13.5,2
20.0,2015-01-17 00:00:00,put,BX150117P00020000,0.08,3
20.0,2015-03-20 00:00:00,put,BX150320P00020000,0.12,1
20.0,2016-01-15 00:00:00,call,BX160115C00020000,13.2,14
20.0,2016-01-15 00:00:00,put,BX160115P00020000,0.78,1
21.0,2014-09-20 00:00:00,put,BX140920P00021000,0.01,100
21.0,2014-12-20 00:00:00,put,BX141220P00021000,0.1,12
21.0,2015-01-17 00:00:00,call,BX150117C00021000,14.39,30
21.0,2015-01-17 00:00:00,put,BX150117P00021000,0.1,1
21.0,2015-03-20 00:00:00,put,BX150320P00021000,0.18,1
22.0,2015-01-17 00:00:00,call,BX150117C00022000,10.97,5
22.0,2015-01-17 00:00:00,put,BX150117P00022000,0.13,10
23.0,2014-09-20 00:00:00,put,BX140920P00023000,0.03,1
23.0,2014-12-20 00:00:00,call,BX141220C00023000,10.15,10
23.0,2014-12-20 00:00:00,put,BX141220P00023000,0.1,1
23.0,2015-03-20 00:00:00,call,BX150320C00023000,10.9,10
23.0,2015-03-20 00:00:00,put,BX150320P00023000,0.43,5
23.0,2016-01-15 00:00:00,call,BX160115C00023000,9.85,20
23.0,2016-01-15 00:00:00,put,BX160115P00023000,1.27,5
24.0,2014-09-20 00:00:00,put,BX140920P00024000,0.75,3
24.0,2014-12-20 00:00:00,call,BX141220C00024000,8.95,3
24.0,2014-12-20 00:00:00,put,BX141220P00024000,0.15,3
24.0,2015-01-17 00:00:00,call,BX150117C00024000,8.9,8
24.0,2015-01-17 00:00:00,put,BX150117P00024000,0.19,65
24.0,2015-03-20 00:00:00,call,BX150320C00024000,9.5,1
24.0,2015-03-20 00:00:00,put,BX150320P00024000,0.34,4
25.0,2014-09-20 00:00:00,call,BX140920C00025000,8.3,10
25.0,2014-09-20 00:00:00,put,BX140920P00025000,0.02,12
25.0,2014-09-26 00:00:00,call,BX140926C00025000,7.9,35
25.0,2014-10-18 00:00:00,put,BX141018P00025000,0.08,3
25.0,2014-12-20 00:00:00,call,BX141220C00025000,8.3,1
25.0,2014-12-20 00:00:00,put,BX141220P00025000,0.25,88
25.0,2015-01-17 00:00:00,call,BX150117C00025000,8.5,5
