Strike,Expiry,Type,Symbol,Last,Vol
10.0,2016-01-15 00:00:00,call,C160115C00010000,40.0,1
10.0,2016-01-15 00:00:00,put,C160115P00010000,0.05,200
13.0,2016-01-15 00:00:00,call,C160115C00013000,34.65,50
13.0,2016-01-15 00:00:00,put,C160115P00013000,0.07,63
15.0,2015-01-17 00:00:00,call,C150117C00015000,33.2,1
15.0,2015-01-17 00:00:00,put,C150117P00015000,0.01,1
15.0,2016-01-15 00:00:00,call,C160115C00015000,32.65,9
15.0,2016-01-15 00:00:00,put,C160115P00015000,0.07,100
18.0,2015-01-17 00:00:00,call,C150117C00018000,29.2,2
18.0,2015-01-17 00:00:00,put,C150117P00018000,0.06,5
18.0,2016-01-15 00:00:00,call,C160115C00018000,29.4,24
18.0,2016-01-15 00:00:00,put,C160115P00018000,0.16,36
20.0,2015-01-17 00:00:00,call,C150117C00020000,31.9,1
20.0,2015-01-17 00:00:00,put,C150117P00020000,0.03,75
20.0,2016-01-15 00:00:00,call,C160115C00020000,29.0,5
20.0,2016-01-15 00:00:00,put,C160115P00020000,0.05,8
23.0,2014-09-20 00:00:00,call,C140920C00023000,26.4,3
23.0,2014-12-20 00:00:00,call,C141220C00023000,25.1,2
23.0,2014-12-20 00:00:00,put,C141220P00023000,0.05,112
23.0,2015-01-17 00:00:00,call,C150117C00023000,28.7,2
23.0,2015-01-17 00:00:00,put,C150117P00023000,0.02,1
23.0,2016-01-15 00:00:00,call,C160115C00023000,25.26,30
23.0,2016-01-15 00:00:00,put,C160115P00023000,0.15,9
24.0,2014-09-20 00:00:00,call,C140920C00024000,22.65,3
24.0,2014-12-20 00:00:00,call,C141220C00024000,24.1,2
24.0,2015-01-17 00:00:00,call,C150117C00024000,24.35,78
25.0,2014-09-20 00:00:00,call,C140920C00025000,22.75,4
25.0,2014-09-20 00:00:00,put,C140920P00025000,0.01,4
25.0,2014-12-20 00:00:00,call,C141220C00025000,22.95,3
25.0,2015-01-17 00:00:00,call,C150117C00025000,25.3,2
25.0,2015-01-17 00:00:00,put,C150117P00025000,0.05,1000
25.0,2015-03-20 00:00:00,call,C150320C00025000,28.0,1
25.0,2015-03-20 00:00:00,put,C150320P00025000,0.07,20
25.0,2016-01-15 00:00:00,call,C160115C00025000,27.0,3
25.0,2016-01-15 00:00:00,put,C160115P00025000,0.35,10
26.0,2014-09-20 00:00:00,call,C140920C00026000,20.55,3
26.0,2014-12-20 00:00:00,call,C141220C00026000,22.25,26
26.0,2015-01-17 00:00:00,call,C150117C00026000,22.4,2
27.0,2014-09-20 00:00:00,call,C140920C00027000,23.5,16
27.0,2014-12-20 00:00:00,call,C141220C00027000,21.05,2
27.0,2015-03-20 00:00:00,put,C150320P00027000,0.1,1
28.0,2014-09-20 00:00:00,call,C140920C00028000,18.8,5
28.0,2014-09-20 00:00:00,put,C140920P00028000,0.02,109
28.0,2014-12-20 00:00:00,put,C141220P00028000,0.02,2
28.0,2015-01-17 00:00:00,call,C150117C00028000,24.0,3
28.0,2015-01-17 00:00:00,put,C150117P00028000,0.05,16
28.0,2015-03-20 00:00:00,put,C150320P00028000,0.11,1
28.0,2015-06-19 00:00:00,put,C150619P00028000,0.1,1
28.0,2016-01-15 00:00:00,call,C160115C00028000,24.15,10
28.0,2016-01-15 00:00:00,put,C160115P00028000,0.44,8
29.0,2014-09-20 00:00:00,call,C140920C00029000,18.8,40
29.0,2014-09-20 00:00:00,put,C140920P00029000,0.02,31
29.0,2014-12-20 00:00:00,call,C141220C00029000,22.8,6
29.0,2014-12-20 00:00:00,put,C141220P00029000,0.05,49
29.0,2015-01-17 00:00:00,call,C150117C00029000,19.5,2
