Strike,Expiry,Type,Symbol,Last,Vol
18.0,2015-01-17 00:00:00,put,CMCSA150117P00018000,0.03,132
20.0,2015-01-17 00:00:00,call,CMCSA150117C00020000,33.8,13
20.0,2015-01-17 00:00:00,put,CMCSA150117P00020000,0.04,10
23.0,2015-01-17 00:00:00,put,CMCSA150117P00023000,0.05,59
25.0,2015-01-17 00:00:00,put,CMCSA150117P00025000,0.05,19
25.0,2016-01-15 00:00:00,put,CMCSA160115P00025000,0.18,3
28.0,2015-01-17 00:00:00,put,CMCSA150117P00028000,0.08,36
28.0,2016-01-15 00:00:00,call,CMCSA160115C00028000,25.87,15
28.0,2016-01-15 00:00:00,put,CMCSA160115P00028000,0.26,20
30.0,2014-10-18 00:00:00,put,CMCSA141018P00030000,0.05,9
30.0,2015-01-17 00:00:00,call,CMCSA150117C00030000,23.05,5
30.0,2015-01-17 00:00:00,put,CMCSA150117P00030000,0.05,10
30.0,2015-04-17 00:00:00,put,CMCSA150417P00030000,0.18,117
30.0,2016-01-15 00:00:00,call,CMCSA160115C00030000,24.75,5
30.0,2016-01-15 00:00:00,put,CMCSA160115P00030000,0.48,19
32.0,2014-10-18 00:00:00,put,CMCSA141018P00032000,0.07,18
33.0,2014-10-18 00:00:00,put,CMCSA141018P00033000,0.11,52
33.0,2015-01-17 00:00:00,call,CMCSA150117C00033000,15.7,10
33.0,2015-01-17 00:00:00,put,CMCSA150117P00033000,0.11,19
33.0,2016-01-15 00:00:00,call,CMCSA160115C00033000,21.8,5
33.0,2016-01-15 00:00:00,put,CMCSA160115P00033000,0.46,100
34.0,2014-10-18 00:00:00,put,CMCSA141018P00034000,0.12,68
35.0,2014-10-18 00:00:00,put,CMCSA141018P00035000,0.07,152
35.0,2015-01-17 00:00:00,call,CMCSA150117C00035000,18.8,1
35.0,2015-01-17 00:00:00,put,CMCSA150117P00035000,0.08,2
35.0,2016-01-15 00:00:00,call,CMCSA160115C00035000,19.25,1
35.0,2016-01-15 00:00:00,put,CMCSA160115P00035000,0.65,20
36.0,2014-10-18 00:00:00,put,CMCSA141018P00036000,0.16,10
37.0,2014-10-18 00:00:00,put,CMCSA141018P00037000,0.05,18
37.0,2015-01-17 00:00:00,call,CMCSA150117C00037000,17.73,2
37.0,2015-01-17 00:00:00,put,CMCSA150117P00037000,0.12,2
38.0,2014-10-18 00:00:00,put,CMCSA141018P00038000,0.06,26
38.0,2016-01-15 00:00:00,call,CMCSA160115C00038000,17.0,1
38.0,2016-01-15 00:00:00,put,CMCSA160115P00038000,0.94,2
39.0,2014-10-18 00:00:00,put,CMCSA141018P00039000,0.07,60
40.0,2014-10-18 00:00:00,call,CMCSA141018C00040000,14.85,2
40.0,2014-10-18 00:00:00,put,CMCSA141018P00040000,0.08,38
40.0,2015-01-17 00:00:00,call,CMCSA150117C00040000,14.51,4
40.0,2015-01-17 00:00:00,put,CMCSA150117P00040000,0.15,5
40.0,2015-04-17 00:00:00,put,CMCSA150417P00040000,0.35,15
40.0,2016-01-15 00:00:00,call,CMCSA160115C00040000,14.7,1
40.0,2016-01-15 00:00:00,put,CMCSA160115P00040000,1.24,2
41.0,2014-10-18 00:00:00,put,CMCSA141018P00041000,0.1,1
42.0,2014-10-18 00:00:00,call,CMCSA141018C00042000,13.9,7
42.0,2014-10-18 00:00:00,put,CMCSA141018P00042000,0.14,1
42.0,2015-01-17 00:00:00,call,CMCSA150117C00042000,12.0,10
42.0,2015-01-17 00:00:00,put,CMCSA150117P00042000,0.25,10
42.0,2016-01-15 00:00:00,call,CMCSA160115C00042000,13.25,5
42.0,2016-01-15 00:00:00,put,CMCSA160115P00042000,1.61,13
43.0,2014-10-18 00:00:00,call,CMCSA141018C00043000,12.0,1
43.0,2014-10-18 00:00:00,put,CMCSA141018P00043000,0.06,1
44.0,2014-10-18 00:00:00,call,CMCSA141018C00044000,10.15,5
44.0,2014-10-18 00:00:00,put,CMCSA141018P00044000,0.08,2
45.0,2014-09-05 00:00:00,put,CMCSA140905P00045000,0.02,1
45.0,2014-09-20 00:00:00,call,CMCSA140920C00045000,9.85,38
45.0,2014-09-20 00:00:00,put,CMCSA140920P00045000,0.04,20
45.0,2014-10-18 00:00:00,call,CMCSA141018C00045000,9.2,25
45.0,2014-10-18 00:00:00,put,CMCSA141018P00045000,0.08,10
45.0,2015-01-17 00:00:00,call,CMCSA150117C00045000,9.66,1
45.0,2015-01-17 00:00:00,put,CMCSA150117P00045000,0.35,22
45.0,2015-04-17 00:00:00,call,CMCSA150417C00045000,9.97,2
45.0,2015-04-17 00:00:00,put,CMCSA150417P00045000,0.74,10
45.0,2016-01-15 00:00:00,call,CMCSA160115C00045000,10.9,44
45.0,2016-01-15 00:00:00,put,CMCSA160115P00045000,2.25,74
46.0,2014-10-18 00:00:00,call,CMCSA141018C00046000,6.45,7
46.0,2014-10-18 00:00:00,put,CMCSA141018P00046000,0.08,6
47.0,2014-10-18 00:00:00,call,CMCSA141018C00047000,7.6,1
47.0,2014-10-18 00:00:00,put,CMCSA141018P00047000,0.12,3
47.0,2015-01-17 00:00:00,call,CMCSA150117C00047000,7.9,32
47.0,2015-01-17 00:00:00,put,CMCSA150117P00047000,0.52,19
