Strike,Expiry,Type,Symbol,Last,Vol
5.0,2015-01-17 00:00:00,call,CSCO150117C00005000,20.39,5
5.0,2015-01-17 00:00:00,put,CSCO150117P00005000,0.01,30
8.0,2015-01-17 00:00:00,put,CSCO150117P00008000,0.01,100
10.0,2015-01-17 00:00:00,call,CSCO150117C00010000,15.85,5
10.0,2015-01-17 00:00:00,put,CSCO150117P00010000,0.01,40
13.0,2014-10-18 00:00:00,call,CSCO141018C00013000,11.35,2
13.0,2014-10-18 00:00:00,put,CSCO141018P00013000,0.02,79
13.0,2015-01-17 00:00:00,call,CSCO150117C00013000,11.65,5
13.0,2015-01-17 00:00:00,put,CSCO150117P00013000,0.02,20
13.0,2016-01-15 00:00:00,call,CSCO160115C00013000,12.5,4
13.0,2016-01-15 00:00:00,put,CSCO160115P00013000,0.12,12
14.0,2014-10-18 00:00:00,put,CSCO141018P00014000,0.01,24
14.0,2015-01-17 00:00:00,put,CSCO150117P00014000,0.04,41
14.0,2015-04-17 00:00:00,put,CSCO150417P00014000,0.05,20
15.0,2014-10-18 00:00:00,call,CSCO141018C00015000,10.51,5
15.0,2014-10-18 00:00:00,put,CSCO141018P00015000,0.01,3
15.0,2015-01-17 00:00:00,call,CSCO150117C00015000,9.58,5
15.0,2015-01-17 00:00:00,put,CSCO150117P00015000,0.03,33
15.0,2016-01-15 00:00:00,call,CSCO160115C00015000,9.87,1
15.0,2016-01-15 00:00:00,put,CSCO160115P00015000,0.2,2
16.0,2014-09-20 00:00:00,call,CSCO140920C00016000,9.55,12
16.0,2014-09-20 00:00:00,put,CSCO140920P00016000,0.03,70
16.0,2014-10-18 00:00:00,call,CSCO141018C00016000,8.75,14
16.0,2014-10-18 00:00:00,put,CSCO141018P00016000,0.03,45
16.0,2015-01-17 00:00:00,put,CSCO150117P00016000,0.04,10
16.0,2015-04-17 00:00:00,call,CSCO150417C00016000,8.84,7
16.0,2015-04-17 00:00:00,put,CSCO150417P00016000,0.07,35
17.0,2014-09-20 00:00:00,call,CSCO140920C00017000,8.55,15
17.0,2014-09-20 00:00:00,put,CSCO140920P00017000,0.02,83
17.0,2014-10-18 00:00:00,call,CSCO141018C00017000,7.4,40
17.0,2014-10-18 00:00:00,put,CSCO141018P00017000,0.01,200
17.0,2015-01-17 00:00:00,call,CSCO150117C00017000,7.85,11
17.0,2015-01-17 00:00:00,put,CSCO150117P00017000,0.05,22
18.0,2014-09-20 00:00:00,call,CSCO140920C00018000,7.5,52
18.0,2014-09-20 00:00:00,put,CSCO140920P00018000,0.02,11
18.0,2014-09-26 00:00:00,put,CSCO140926P00018000,0.02,50
18.0,2014-10-18 00:00:00,call,CSCO141018C00018000,6.86,2
18.0,2014-10-18 00:00:00,put,CSCO141018P00018000,0.02,15
18.0,2014-11-22 00:00:00,put,CSCO141122P00018000,0.04,1
18.0,2015-01-17 00:00:00,call,CSCO150117C00018000,6.92,5
18.0,2015-01-17 00:00:00,put,CSCO150117P00018000,0.07,953
18.0,2015-04-17 00:00:00,call,CSCO150417C00018000,7.73,10
18.0,2015-04-17 00:00:00,put,CSCO150417P00018000,0.14,10
18.0,2016-01-15 00:00:00,call,CSCO160115C00018000,7.0,53
18.0,2016-01-15 00:00:00,put,CSCO160115P00018000,0.54,7
18.5,2014-09-12 00:00:00,put,CSCO140912P00018500,0.01,8
18.5,2014-09-26 00:00:00,put,CSCO140926P00018500,0.02,67
19.0,2014-09-05 00:00:00,put,CSCO140905P00019000,0.01,217
19.0,2014-09-20 00:00:00,call,CSCO140920C00019000,6.18,3
19.0,2014-09-20 00:00:00,put,CSCO140920P00019000,0.03,20
19.0,2014-09-26 00:00:00,put,CSCO140926P00019000,0.01,80
19.0,2014-10-18 00:00:00,call,CSCO141018C00019000,5.5,2
19.0,2014-10-18 00:00:00,put,CSCO141018P00019000,0.01,30
19.0,2014-11-22 00:00:00,put,CSCO141122P00019000,0.05,10
19.0,2014-12-20 00:00:00,put,CSCO141220P00019000,0.04,2
19.0,2015-01-17 00:00:00,call,CSCO150117C00019000,5.68,2
19.0,2015-01-17 00:00:00,put,CSCO150117P00019000,0.11,21
19.0,2015-04-17 00:00:00,call,CSCO150417C00019000,5.7,1
19.0,2015-04-17 00:00:00,put,CSCO150417P00019000,0.19,6
19.5,2014-09-26 00:00:00,put,CSCO140926P00019500,0.02,37
20.0,2014-09-05 00:00:00,put,CSCO140905P00020000,0.01,20
20.0,2014-09-12 00:00:00,put,CSCO140912P00020000,0.04,20
20.0,2014-09-20 00:00:00,call,CSCO140920C00020000,4.49,10
20.0,2014-09-20 00:00:00,put,CSCO140920P00020000,0.02,4
20.0,2014-09-26 00:00:00,put,CSCO140926P00020000,0.02,37
20.0,2014-10-18 00:00:00,call,CSCO141018C00020000,4.89,1
20.0,2014-10-18 00:00:00,put,CSCO141018P00020000,0.03,10
20.0,2014-11-22 00:00:00,call,CSCO141122C00020000,5.26,15
20.0,2014-11-22 00:00:00,put,CSCO141122P00020000,0.06,10
20.0,2014-12-20 00:00:00,put,CSCO141220P00020000,0.08,4
20.0,2015-01-17 00:00:00,call,CSCO150117C00020000,4.95,25
20.0,2015-01-17 00:00:00,put,CSCO150117P00020000,0.12,52
20.0,2015-04-17 00:00:00,call,CSCO150417C00020000,4.85,40
20.0,2015-04-17 00:00:00,put,CSCO150417P00020000,0.27,50
20.0,2016-01-15 00:00:00,call,CSCO160115C00020000,5.1,10
