Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,DAL150117P00003000,0.02,0
5.0,2015-01-17 00:00:00,call,DAL150117C00005000,27.69,1
5.0,2015-01-17 00:00:00,put,DAL150117P00005000,0.02,7
8.0,2015-01-17 00:00:00,call,DAL150117C00008000,12.35,0
8.0,2015-01-17 00:00:00,put,DAL150117P00008000,0.05,9
10.0,2015-01-17 00:00:00,call,DAL150117C00010000,26.1,80
10.0,2015-01-17 00:00:00,put,DAL150117P00010000,0.04,11
12.0,2015-01-17 00:00:00,call,DAL150117C00012000,25.1,1
12.0,2015-01-17 00:00:00,put,DAL150117P00012000,0.03,10
15.0,2015-01-17 00:00:00,call,DAL150117C00015000,21.73,1
15.0,2015-01-17 00:00:00,put,DAL150117P00015000,0.03,5
15.0,2016-01-15 00:00:00,call,DAL160115C00015000,24.94,2
15.0,2016-01-15 00:00:00,put,DAL160115P00015000,0.2,10
16.0,2014-09-20 00:00:00,put,DAL140920P00016000,0.03,3
17.0,2015-01-17 00:00:00,call,DAL150117C00017000,23.1,9
17.0,2015-01-17 00:00:00,put,DAL150117P00017000,0.05,8
18.0,2014-09-20 00:00:00,put,DAL140920P00018000,0.02,31
18.0,2014-12-20 00:00:00,put,DAL141220P00018000,0.08,10
18.0,2015-01-17 00:00:00,call,DAL150117C00018000,22.2,13
18.0,2015-01-17 00:00:00,put,DAL150117P00018000,0.1,176
18.0,2016-01-15 00:00:00,call,DAL160115C00018000,20.5,10
18.0,2016-01-15 00:00:00,put,DAL160115P00018000,0.36,25
19.0,2014-09-20 00:00:00,call,DAL140920C00019000,16.1,3
19.0,2014-09-20 00:00:00,put,DAL140920P00019000,0.04,3
19.0,2014-12-20 00:00:00,put,DAL141220P00019000,0.06,200
19.0,2015-01-17 00:00:00,call,DAL150117C00019000,21.1,20
20.0,2014-09-20 00:00:00,call,DAL140920C00020000,18.53,1
20.0,2014-09-20 00:00:00,put,DAL140920P00020000,0.05,5
20.0,2014-12-20 00:00:00,call,DAL141220C00020000,18.4,2
20.0,2014-12-20 00:00:00,put,DAL141220P00020000,0.11,10
20.0,2015-01-17 00:00:00,call,DAL150117C00020000,20.3,1
20.0,2015-01-17 00:00:00,put,DAL150117P00020000,0.15,10
20.0,2015-03-20 00:00:00,put,DAL150320P00020000,0.14,10
20.0,2016-01-15 00:00:00,call,DAL160115C00020000,20.1,5
20.0,2016-01-15 00:00:00,put,DAL160115P00020000,0.5,5
21.0,2014-09-20 00:00:00,put,DAL140920P00021000,0.02,5
21.0,2014-12-20 00:00:00,put,DAL141220P00021000,0.13,103
21.0,2015-01-17 00:00:00,call,DAL150117C00021000,16.7,4
21.0,2015-01-17 00:00:00,put,DAL150117P00021000,0.1,15
21.0,2015-03-20 00:00:00,put,DAL150320P00021000,0.16,14
