Strike,Expiry,Type,Symbol,Last,Vol
13.33,2015-01-17 00:00:00,call,DDD1150117C00013330,39.5,3
13.33,2015-01-17 00:00:00,put,DDD1150117P00013330,0.05,20
15.0,2015-01-17 00:00:00,call,DDD1150117C00015000,38.1,160
15.0,2015-01-17 00:00:00,put,DDD1150117P00015000,0.11,19
16.67,2015-01-17 00:00:00,call,DDD1150117C00016670,34.2,4
16.67,2015-01-17 00:00:00,put,DDD1150117P00016670,0.06,2
20.0,2015-01-17 00:00:00,call,DDD1150117C00020000,31.8,34
20.0,2015-01-17 00:00:00,put,DDD1150117P00020000,0.08,2
23.0,2014-11-22 00:00:00,put,DDD141122P00023000,0.18,13
23.0,2016-01-15 00:00:00,call,DDD160115C00023000,25.7,2
23.0,2016-01-15 00:00:00,put,DDD160115P00023000,0.99,1
23.33,2015-01-17 00:00:00,call,DDD1150117C00023330,29.6,6
23.33,2015-01-17 00:00:00,put,DDD1150117P00023330,0.15,6
24.0,2014-11-22 00:00:00,put,DDD141122P00024000,0.09,10
24.0,2015-02-20 00:00:00,put,DDD150220P00024000,0.3,15
25.0,2014-11-22 00:00:00,put,DDD141122P00025000,0.12,2
25.0,2015-01-17 00:00:00,call,DDD150117C00025000,28.55,40
25.0,2015-01-17 00:00:00,put,DDD150117P00025000,0.15,8
25.0,2015-02-20 00:00:00,put,DDD150220P00025000,0.18,16
25.0,2016-01-15 00:00:00,call,DDD160115C00025000,28.9,12
25.0,2016-01-15 00:00:00,put,DDD160115P00025000,1.25,72
26.0,2014-11-22 00:00:00,put,DDD141122P00026000,0.15,20
26.0,2015-02-20 00:00:00,put,DDD150220P00026000,0.22,27
26.67,2015-01-17 00:00:00,call,DDD1150117C00026670,25.65,15
26.67,2015-01-17 00:00:00,put,DDD1150117P00026670,0.3,24
27.0,2014-11-22 00:00:00,put,DDD141122P00027000,0.2,4
27.0,2015-02-20 00:00:00,put,DDD150220P00027000,0.26,25
28.0,2014-11-22 00:00:00,put,DDD141122P00028000,0.1,2
28.0,2015-01-17 00:00:00,put,DDD150117P00028000,0.44,39
28.0,2015-02-20 00:00:00,put,DDD150220P00028000,0.32,36
29.0,2014-11-22 00:00:00,put,DDD141122P00029000,0.26,5
29.0,2015-01-17 00:00:00,put,DDD150117P00029000,0.37,166
29.0,2015-02-20 00:00:00,put,DDD150220P00029000,0.4,22
30.0,2014-11-22 00:00:00,put,DDD141122P00030000,0.18,10
30.0,2015-01-17 00:00:00,call,DDD1150117C00030000,22.22,25
30.0,2015-01-17 00:00:00,call,DDD150117C00030000,23.2,10
30.0,2015-01-17 00:00:00,put,DDD1150117P00030000,0.59,50
30.0,2015-01-17 00:00:00,put,DDD150117P00030000,0.32,3
30.0,2015-02-20 00:00:00,put,DDD150220P00030000,0.46,35
30.0,2016-01-15 00:00:00,call,DDD160115C00030000,22.4,14
30.0,2016-01-15 00:00:00,put,DDD160115P00030000,2.55,8
31.0,2014-11-22 00:00:00,put,DDD141122P00031000,0.29,10
31.0,2015-01-17 00:00:00,put,DDD150117P00031000,0.52,115
31.0,2015-02-20 00:00:00,put,DDD150220P00031000,0.58,4
32.0,2014-09-20 00:00:00,put,DDD140920P00032000,0.04,1
32.0,2014-11-22 00:00:00,put,DDD141122P00032000,0.25,1
32.0,2015-01-17 00:00:00,call,DDD150117C00032000,18.94,80
32.0,2015-01-17 00:00:00,put,DDD150117P00032000,0.46,4
32.0,2015-02-20 00:00:00,call,DDD150220C00032000,16.5,1
32.0,2015-02-20 00:00:00,put,DDD150220P00032000,0.69,25
33.0,2014-11-22 00:00:00,put,DDD141122P00033000,0.35,500
