Strike,Expiry,Type,Symbol,Last,Vol
65.0,2015-01-17 00:00:00,put,DIA150117P00065000,0.01,200
70.0,2015-01-17 00:00:00,call,DIA150117C00070000,101.05,1
70.0,2015-01-17 00:00:00,put,DIA150117P00070000,0.03,25
75.0,2015-01-17 00:00:00,put,DIA150117P00075000,0.03,15
80.0,2014-09-20 00:00:00,put,DIA140920P00080000,0.02,15
80.0,2014-12-20 00:00:00,put,DIA141220P00080000,0.02,2
80.0,2015-01-17 00:00:00,call,DIA150117C00080000,91.05,1
80.0,2015-01-17 00:00:00,put,DIA150117P00080000,0.01,10
85.0,2014-09-20 00:00:00,put,DIA140920P00085000,0.01,502
85.0,2014-09-30 00:00:00,put,DIA140930P00085000,0.1,2204
85.0,2014-12-20 00:00:00,put,DIA141220P00085000,0.05,100
85.0,2014-12-31 00:00:00,put,DIA141231P00085000,0.03,6
85.0,2015-01-17 00:00:00,put,DIA150117P00085000,0.01,1
90.0,2014-09-20 00:00:00,put,DIA140920P00090000,0.1,2
90.0,2014-12-20 00:00:00,put,DIA141220P00090000,0.02,2
90.0,2015-01-17 00:00:00,put,DIA150117P00090000,0.02,9
95.0,2014-09-20 00:00:00,put,DIA140920P00095000,0.26,0
95.0,2014-12-20 00:00:00,put,DIA141220P00095000,0.31,0
95.0,2015-01-17 00:00:00,put,DIA150117P00095000,0.08,11
100.0,2014-09-20 00:00:00,put,DIA140920P00100000,0.01,22
100.0,2014-09-30 00:00:00,put,DIA140930P00100000,0.01,33
100.0,2014-12-20 00:00:00,call,DIA141220C00100000,71.0,1
100.0,2014-12-20 00:00:00,put,DIA141220P00100000,0.05,25
100.0,2014-12-31 00:00:00,put,DIA141231P00100000,0.06,10
100.0,2015-01-17 00:00:00,put,DIA150117P00100000,0.06,200
100.0,2015-06-19 00:00:00,put,DIA150619P00100000,0.25,10
105.0,2014-09-20 00:00:00,put,DIA140920P00105000,0.01,1
105.0,2014-09-30 00:00:00,put,DIA140930P00105000,0.34,25
105.0,2014-12-20 00:00:00,put,DIA141220P00105000,0.09,3
105.0,2014-12-31 00:00:00,put,DIA141231P00105000,0.49,12
105.0,2015-01-17 00:00:00,call,DIA150117C00105000,66.05,1
105.0,2015-01-17 00:00:00,put,DIA150117P00105000,0.06,25
105.0,2015-06-19 00:00:00,put,DIA150619P00105000,0.05,10
110.0,2014-09-20 00:00:00,put,DIA140920P00110000,0.01,9
110.0,2014-09-30 00:00:00,put,DIA140930P00110000,0.02,7
110.0,2014-12-20 00:00:00,put,DIA141220P00110000,0.04,20
110.0,2014-12-31 00:00:00,put,DIA141231P00110000,0.67,43
110.0,2015-01-17 00:00:00,call,DIA150117C00110000,61.05,1
110.0,2015-01-17 00:00:00,put,DIA150117P00110000,0.13,38
110.0,2015-03-20 00:00:00,put,DIA150320P00110000,0.17,3
110.0,2015-06-19 00:00:00,put,DIA150619P00110000,0.21,10
115.0,2014-09-20 00:00:00,put,DIA140920P00115000,0.05,4
115.0,2014-09-30 00:00:00,put,DIA140930P00115000,0.65,0
115.0,2014-12-20 00:00:00,put,DIA141220P00115000,0.13,237
115.0,2014-12-31 00:00:00,put,DIA141231P00115000,0.08,1
115.0,2015-01-17 00:00:00,call,DIA150117C00115000,53.82,218
115.0,2015-01-17 00:00:00,put,DIA150117P00115000,0.1,20
115.0,2015-03-20 00:00:00,call,DIA150320C00115000,55.8,1
115.0,2015-03-20 00:00:00,put,DIA150320P00115000,0.23,1
115.0,2015-03-31 00:00:00,put,DIA150331P00115000,0.31,16
115.0,2015-06-19 00:00:00,put,DIA150619P00115000,0.56,10
115.0,2016-01-15 00:00:00,call,DIA160115C00115000,54.5,5
115.0,2016-01-15 00:00:00,put,DIA160115P00115000,1.44,21
120.0,2014-09-20 00:00:00,put,DIA140920P00120000,0.01,125
120.0,2014-09-30 00:00:00,put,DIA140930P00120000,0.16,10
120.0,2014-12-20 00:00:00,call,DIA141220C00120000,51.05,4
120.0,2014-12-20 00:00:00,put,DIA141220P00120000,0.19,50
120.0,2014-12-31 00:00:00,put,DIA141231P00120000,0.16,5
120.0,2015-01-17 00:00:00,call,DIA150117C00120000,50.18,2
120.0,2015-01-17 00:00:00,put,DIA150117P00120000,0.15,20
120.0,2015-03-20 00:00:00,put,DIA150320P00120000,0.31,1
120.0,2015-03-31 00:00:00,put,DIA150331P00120000,0.89,50
120.0,2015-06-19 00:00:00,put,DIA150619P00120000,0.76,3
120.0,2015-06-30 00:00:00,put,DIA150630P00120000,0.75,30
120.0,2016-01-15 00:00:00,call,DIA160115C00120000,50.3,100
120.0,2016-01-15 00:00:00,put,DIA160115P00120000,1.78,3
121.0,2015-01-17 00:00:00,call,DIA150117C00121000,46.42,14
121.0,2015-01-17 00:00:00,put,DIA150117P00121000,0.35,1
122.0,2015-01-17 00:00:00,call,DIA150117C00122000,45.25,24
122.0,2015-01-17 00:00:00,put,DIA150117P00122000,0.24,20
123.0,2015-01-17 00:00:00,put,DIA150117P00123000,0.24,2
124.0,2015-01-17 00:00:00,put,DIA150117P00124000,0.25,3
125.0,2014-09-20 00:00:00,put,DIA140920P00125000,0.02,2
125.0,2014-09-30 00:00:00,put,DIA140930P00125000,0.09,1
125.0,2014-12-20 00:00:00,put,DIA141220P00125000,0.13,2
125.0,2014-12-31 00:00:00,put,DIA141231P00125000,0.05,10
125.0,2015-01-17 00:00:00,call,DIA150117C00125000,42.0,2500
125.0,2015-01-17 00:00:00,put,DIA150117P00125000,0.34,6
125.0,2015-03-20 00:00:00,put,DIA150320P00125000,0.43,1
125.0,2015-03-31 00:00:00,put,DIA150331P00125000,0.47,22
125.0,2015-06-19 00:00:00,put,DIA150619P00125000,0.93,1
125.0,2015-06-30 00:00:00,put,DIA150630P00125000,1.65,1
125.0,2016-01-15 00:00:00,call,DIA160115C00125000,45.9,8
