Strike,Expiry,Type,Symbol,Last,Vol
20.0,2014-09-20 00:00:00,call,EEM140920C00020000,23.2,10
20.0,2014-09-20 00:00:00,put,EEM140920P00020000,0.01,1
20.0,2014-12-20 00:00:00,call,EEM141220C00020000,23.57,2
20.0,2014-12-20 00:00:00,put,EEM141220P00020000,0.01,27
20.0,2015-01-17 00:00:00,call,EEM150117C00020000,23.22,4
20.0,2015-01-17 00:00:00,put,EEM150117P00020000,0.01,10
20.0,2015-03-20 00:00:00,put,EEM150320P00020000,0.05,62
20.0,2016-01-15 00:00:00,call,EEM160115C00020000,24.8,3
20.0,2016-01-15 00:00:00,put,EEM160115P00020000,0.2,20
21.0,2014-09-20 00:00:00,put,EEM140920P00021000,0.05,5
21.0,2016-01-15 00:00:00,call,EEM160115C00021000,22.43,25
21.0,2016-01-15 00:00:00,put,EEM160115P00021000,0.2,10
22.0,2014-12-20 00:00:00,put,EEM141220P00022000,0.03,3
22.0,2016-01-15 00:00:00,put,EEM160115P00022000,0.45,1
23.0,2014-09-20 00:00:00,put,EEM140920P00023000,0.02,1
23.0,2014-12-20 00:00:00,put,EEM141220P00023000,0.02,50
23.0,2016-01-15 00:00:00,put,EEM160115P00023000,0.26,2
24.0,2014-12-20 00:00:00,put,EEM141220P00024000,0.02,7
24.0,2016-01-15 00:00:00,call,EEM160115C00024000,20.98,3
24.0,2016-01-15 00:00:00,put,EEM160115P00024000,0.36,30
25.0,2014-09-20 00:00:00,put,EEM140920P00025000,0.01,500
25.0,2014-10-18 00:00:00,put,EEM141018P00025000,0.03,2
25.0,2014-11-22 00:00:00,put,EEM141122P00025000,0.02,2
25.0,2014-12-20 00:00:00,call,EEM141220C00025000,18.59,2
25.0,2014-12-20 00:00:00,put,EEM141220P00025000,0.02,76
25.0,2015-01-17 00:00:00,call,EEM150117C00025000,20.0,1
25.0,2015-01-17 00:00:00,put,EEM150117P00025000,0.03,20
25.0,2015-03-20 00:00:00,put,EEM150320P00025000,0.05,4
25.0,2015-06-19 00:00:00,call,EEM150619C00025000,17.75,14
25.0,2015-06-19 00:00:00,put,EEM150619P00025000,0.25,5
25.0,2016-01-15 00:00:00,call,EEM160115C00025000,20.22,100
25.0,2016-01-15 00:00:00,put,EEM160115P00025000,0.43,5
26.0,2014-10-18 00:00:00,put,EEM141018P00026000,0.04,2
26.0,2014-12-20 00:00:00,put,EEM141220P00026000,0.03,1000
26.0,2016-01-15 00:00:00,put,EEM160115P00026000,0.45,3
27.0,2014-12-20 00:00:00,put,EEM141220P00027000,0.06,13
27.0,2016-01-15 00:00:00,call,EEM160115C00027000,12.7,18
27.0,2016-01-15 00:00:00,put,EEM160115P00027000,0.51,2
28.0,2014-09-20 00:00:00,put,EEM140920P00028000,0.04,1
