Strike,Expiry,Type,Symbol,Last,Vol
30.0,2015-01-17 00:00:00,call,EFA150117C00030000,38.1,6
30.0,2015-01-17 00:00:00,put,EFA150117P00030000,0.03,10
35.0,2014-09-20 00:00:00,put,EFA140920P00035000,0.05,5000
35.0,2014-12-20 00:00:00,put,EFA141220P00035000,0.03,20
35.0,2015-01-17 00:00:00,call,EFA150117C00035000,33.1,4
35.0,2015-01-17 00:00:00,put,EFA150117P00035000,0.03,20
35.0,2015-03-20 00:00:00,put,EFA150320P00035000,0.07,73
35.0,2016-01-15 00:00:00,call,EFA160115C00035000,33.35,75
35.0,2016-01-15 00:00:00,put,EFA160115P00035000,0.27,40
40.0,2014-09-20 00:00:00,put,EFA140920P00040000,0.02,2
40.0,2014-12-20 00:00:00,put,EFA141220P00040000,0.1,79
40.0,2015-01-17 00:00:00,call,EFA150117C00040000,29.9,27
40.0,2015-01-17 00:00:00,put,EFA150117P00040000,0.05,10
40.0,2015-03-20 00:00:00,put,EFA150320P00040000,0.13,48
40.0,2015-06-19 00:00:00,put,EFA150619P00040000,0.2,48
40.0,2016-01-15 00:00:00,call,EFA160115C00040000,28.97,1
40.0,2016-01-15 00:00:00,put,EFA160115P00040000,0.56,1
41.0,2014-12-20 00:00:00,put,EFA141220P00041000,0.31,0
41.0,2015-06-19 00:00:00,put,EFA150619P00041000,0.22,250
42.0,2014-09-20 00:00:00,put,EFA140920P00042000,0.02,2
42.0,2014-12-20 00:00:00,put,EFA141220P00042000,0.1,7
43.0,2014-12-20 00:00:00,put,EFA141220P00043000,0.09,36
43.0,2015-03-20 00:00:00,put,EFA150320P00043000,0.55,2
44.0,2014-09-20 00:00:00,put,EFA140920P00044000,0.03,10
44.0,2014-12-20 00:00:00,put,EFA141220P00044000,0.4,27
44.0,2015-01-17 00:00:00,put,EFA150117P00044000,0.13,4
44.0,2015-03-20 00:00:00,put,EFA150320P00044000,0.24,14
45.0,2014-09-20 00:00:00,put,EFA140920P00045000,0.02,9756
45.0,2014-10-18 00:00:00,put,EFA141018P00045000,0.02,1
45.0,2014-12-20 00:00:00,put,EFA141220P00045000,0.05,2
