Strike,Expiry,Type,Symbol,Last,Vol
12.0,2014-12-20 00:00:00,put,GDX141220P00012000,0.01,5
12.0,2015-01-17 00:00:00,call,GDX150117C00012000,14.16,4
12.0,2015-01-17 00:00:00,put,GDX150117P00012000,0.01,5
12.5,2014-09-20 00:00:00,put,GDX140920P00012500,0.02,10
13.0,2014-09-20 00:00:00,call,GDX140920C00013000,12.65,0
13.0,2014-12-20 00:00:00,put,GDX141220P00013000,0.03,1
13.0,2015-01-17 00:00:00,call,GDX150117C00013000,14.1,2
13.0,2015-01-17 00:00:00,put,GDX150117P00013000,0.03,5
14.0,2014-09-20 00:00:00,call,GDX140920C00014000,13.2,2
14.0,2014-09-20 00:00:00,put,GDX140920P00014000,0.1,0
14.0,2014-12-20 00:00:00,call,GDX141220C00014000,10.12,5
14.0,2014-12-20 00:00:00,put,GDX141220P00014000,0.02,150
14.0,2015-01-17 00:00:00,call,GDX150117C00014000,8.3,1
14.0,2015-01-17 00:00:00,put,GDX150117P00014000,0.02,200
14.0,2016-01-15 00:00:00,call,GDX160115C00014000,12.0,10
14.0,2016-01-15 00:00:00,put,GDX160115P00014000,0.2,10
14.5,2014-09-20 00:00:00,call,GDX140920C00014500,8.65,0
14.5,2014-09-20 00:00:00,put,GDX140920P00014500,0.04,1
14.5,2014-12-20 00:00:00,put,GDX141220P00014500,0.09,57
15.0,2014-09-20 00:00:00,call,GDX140920C00015000,11.9,4
15.0,2014-09-20 00:00:00,put,GDX140920P00015000,0.03,1
15.0,2014-12-20 00:00:00,call,GDX141220C00015000,11.88,3
15.0,2014-12-20 00:00:00,put,GDX141220P00015000,0.03,1
15.0,2015-01-17 00:00:00,call,GDX150117C00015000,11.1,5
15.0,2015-01-17 00:00:00,put,GDX150117P00015000,0.04,10
15.0,2016-01-15 00:00:00,call,GDX160115C00015000,11.63,5
15.0,2016-01-15 00:00:00,put,GDX160115P00015000,0.25,2
15.5,2014-09-20 00:00:00,call,GDX140920C00015500,8.25,0
15.5,2014-09-20 00:00:00,put,GDX140920P00015500,0.02,110
15.5,2014-12-20 00:00:00,call,GDX141220C00015500,8.8,24
15.5,2014-12-20 00:00:00,put,GDX141220P00015500,0.07,1
16.0,2014-09-20 00:00:00,call,GDX140920C00016000,9.92,1
16.0,2014-09-20 00:00:00,put,GDX140920P00016000,0.04,1
16.0,2014-12-20 00:00:00,put,GDX141220P00016000,0.04,1
16.0,2015-01-17 00:00:00,call,GDX150117C00016000,10.7,2
16.0,2015-01-17 00:00:00,put,GDX150117P00016000,0.03,20
16.0,2015-03-20 00:00:00,call,GDX150320C00016000,10.24,2
16.0,2015-03-20 00:00:00,put,GDX150320P00016000,0.02,150
16.0,2016-01-15 00:00:00,call,GDX160115C00016000,11.0,4
16.0,2016-01-15 00:00:00,put,GDX160115P00016000,0.36,10
16.5,2014-09-20 00:00:00,call,GDX140920C00016500,10.05,10
16.5,2014-09-20 00:00:00,put,GDX140920P00016500,0.07,92
16.5,2014-12-20 00:00:00,call,GDX141220C00016500,7.85,24
16.5,2014-12-20 00:00:00,put,GDX141220P00016500,0.19,10
17.0,2014-09-20 00:00:00,call,GDX140920C00017000,9.71,30
17.0,2014-09-20 00:00:00,put,GDX140920P00017000,0.02,110
17.0,2014-12-20 00:00:00,call,GDX141220C00017000,9.67,3
17.0,2014-12-20 00:00:00,put,GDX141220P00017000,0.05,10
17.0,2015-01-17 00:00:00,call,GDX150117C00017000,10.55,7
17.0,2015-01-17 00:00:00,put,GDX150117P00017000,0.04,40
17.0,2016-01-15 00:00:00,call,GDX160115C00017000,9.8,10
17.0,2016-01-15 00:00:00,put,GDX160115P00017000,0.48,14
17.5,2014-09-20 00:00:00,call,GDX140920C00017500,9.0,1
17.5,2014-09-20 00:00:00,put,GDX140920P00017500,0.02,20
17.5,2014-12-20 00:00:00,call,GDX141220C00017500,7.0,41
17.5,2014-12-20 00:00:00,put,GDX141220P00017500,0.26,30
18.0,2014-09-20 00:00:00,call,GDX140920C00018000,8.4,10
18.0,2014-09-20 00:00:00,put,GDX140920P00018000,0.01,10
18.0,2014-12-20 00:00:00,call,GDX141220C00018000,7.68,1
18.0,2014-12-20 00:00:00,put,GDX141220P00018000,0.04,3
18.0,2015-01-17 00:00:00,call,GDX150117C00018000,9.2,48
18.0,2015-01-17 00:00:00,put,GDX150117P00018000,0.06,20
18.0,2015-03-20 00:00:00,call,GDX150320C00018000,9.55,2
18.0,2015-03-20 00:00:00,put,GDX150320P00018000,0.18,50
18.0,2016-01-15 00:00:00,call,GDX160115C00018000,9.45,10
18.0,2016-01-15 00:00:00,put,GDX160115P00018000,0.55,2
18.5,2014-09-20 00:00:00,call,GDX140920C00018500,8.27,4
18.5,2014-09-20 00:00:00,put,GDX140920P00018500,0.01,1
18.5,2014-12-20 00:00:00,call,GDX141220C00018500,8.26,10
18.5,2014-12-20 00:00:00,put,GDX141220P00018500,0.06,15
19.0,2014-09-20 00:00:00,call,GDX140920C00019000,7.0,4
19.0,2014-09-20 00:00:00,put,GDX140920P00019000,0.05,10
19.0,2014-12-20 00:00:00,call,GDX141220C00019000,7.05,27
19.0,2014-12-20 00:00:00,put,GDX141220P00019000,0.05,20
19.0,2015-01-17 00:00:00,call,GDX150117C00019000,7.5,3
19.0,2015-01-17 00:00:00,put,GDX150117P00019000,0.11,20
19.0,2015-03-20 00:00:00,call,GDX150320C00019000,8.63,8
19.0,2015-03-20 00:00:00,put,GDX150320P00019000,0.18,70
19.0,2016-01-15 00:00:00,call,GDX160115C00019000,9.0,2
19.0,2016-01-15 00:00:00,put,GDX160115P00019000,0.85,70
19.5,2014-09-20 00:00:00,call,GDX140920C00019500,3.2,592
19.5,2014-09-20 00:00:00,put,GDX140920P00019500,0.01,20
19.5,2014-12-20 00:00:00,call,GDX141220C00019500,8.05,2
19.5,2014-12-20 00:00:00,put,GDX141220P00019500,0.13,12
20.0,2014-09-20 00:00:00,call,GDX140920C00020000,6.41,3
20.0,2014-09-20 00:00:00,put,GDX140920P00020000,0.02,10
20.0,2014-10-18 00:00:00,call,GDX141018C00020000,6.7,10
20.0,2014-12-20 00:00:00,call,GDX141220C00020000,6.15,21
20.0,2014-12-20 00:00:00,put,GDX141220P00020000,0.08,6
20.0,2015-01-17 00:00:00,call,GDX150117C00020000,6.5,47
20.0,2015-01-17 00:00:00,put,GDX150117P00020000,0.16,100
20.0,2015-03-20 00:00:00,call,GDX150320C00020000,6.56,30
20.0,2015-03-20 00:00:00,put,GDX150320P00020000,0.24,40
20.0,2016-01-15 00:00:00,call,GDX160115C00020000,7.1,18
20.0,2016-01-15 00:00:00,put,GDX160115P00020000,1.12,41
20.5,2014-09-20 00:00:00,call,GDX140920C00020500,5.8,3
20.5,2014-09-20 00:00:00,put,GDX140920P00020500,0.03,10
20.5,2014-09-26 00:00:00,put,GDX140926P00020500,0.02,100
20.5,2014-10-18 00:00:00,put,GDX141018P00020500,0.02,5
20.5,2014-12-20 00:00:00,call,GDX141220C00020500,6.9,5
20.5,2014-12-20 00:00:00,put,GDX141220P00020500,0.1,11
21.0,2014-09-20 00:00:00,call,GDX140920C00021000,5.47,10
21.0,2014-09-20 00:00:00,put,GDX140920P00021000,0.01,10
21.0,2014-10-18 00:00:00,put,GDX141018P00021000,0.03,1
21.0,2014-12-20 00:00:00,call,GDX141220C00021000,5.5,5
21.0,2014-12-20 00:00:00,put,GDX141220P00021000,0.17,5
21.0,2015-01-17 00:00:00,call,GDX150117C00021000,5.5,1
21.0,2015-01-17 00:00:00,put,GDX150117P00021000,0.25,1
21.0,2015-03-20 00:00:00,call,GDX150320C00021000,5.38,4
21.0,2015-03-20 00:00:00,put,GDX150320P00021000,0.42,4
21.0,2016-01-15 00:00:00,call,GDX160115C00021000,6.02,663
21.0,2016-01-15 00:00:00,put,GDX160115P00021000,1.31,10
21.5,2014-09-20 00:00:00,call,GDX140920C00021500,5.92,2
21.5,2014-09-20 00:00:00,put,GDX140920P00021500,0.04,6
21.5,2014-12-20 00:00:00,call,GDX141220C00021500,6.0,25
21.5,2014-12-20 00:00:00,put,GDX141220P00021500,0.21,2
22.0,2014-09-05 00:00:00,put,GDX140905P00022000,0.03,11
22.0,2014-09-12 00:00:00,call,GDX140912C00022000,5.4,11
22.0,2014-09-20 00:00:00,call,GDX140920C00022000,4.65,1
22.0,2014-09-20 00:00:00,put,GDX140920P00022000,0.01,20
22.0,2014-09-26 00:00:00,call,GDX140926C00022000,5.0,0
22.0,2014-09-26 00:00:00,put,GDX140926P00022000,0.05,10
22.0,2014-10-18 00:00:00,put,GDX141018P00022000,0.09,1
22.0,2014-12-20 00:00:00,call,GDX141220C00022000,4.75,3
22.0,2014-12-20 00:00:00,put,GDX141220P00022000,0.23,34
22.0,2015-01-17 00:00:00,call,GDX150117C00022000,4.64,25
22.0,2015-01-17 00:00:00,put,GDX150117P00022000,0.29,302
22.0,2015-03-20 00:00:00,call,GDX150320C00022000,4.9,1
22.0,2015-03-20 00:00:00,put,GDX150320P00022000,0.64,50
22.0,2016-01-15 00:00:00,call,GDX160115C00022000,6.05,4
22.0,2016-01-15 00:00:00,put,GDX160115P00022000,1.55,5
22.5,2014-09-12 00:00:00,put,GDX140912P00022500,0.04,12
22.5,2014-09-20 00:00:00,call,GDX140920C00022500,4.15,1
22.5,2014-09-20 00:00:00,put,GDX140920P00022500,0.02,55
22.5,2014-10-18 00:00:00,put,GDX141018P00022500,0.1,2
22.5,2014-12-20 00:00:00,call,GDX141220C00022500,3.75,2
22.5,2014-12-20 00:00:00,put,GDX141220P00022500,0.25,23
23.0,2014-09-05 00:00:00,call,GDX140905C00023000,3.25,8
23.0,2014-09-12 00:00:00,call,GDX140912C00023000,3.15,2
23.0,2014-09-12 00:00:00,put,GDX140912P00023000,0.02,5
23.0,2014-09-20 00:00:00,call,GDX140920C00023000,3.63,7
23.0,2014-09-20 00:00:00,put,GDX140920P00023000,0.02,22
23.0,2014-09-26 00:00:00,put,GDX140926P00023000,0.11,1
23.0,2014-10-03 00:00:00,put,GDX141003P00023000,0.08,10
23.0,2014-10-18 00:00:00,call,GDX141018C00023000,3.75,1
23.0,2014-10-18 00:00:00,put,GDX141018P00023000,0.09,2
23.0,2014-12-20 00:00:00,call,GDX141220C00023000,3.75,6
23.0,2014-12-20 00:00:00,put,GDX141220P00023000,0.38,39
23.0,2015-01-17 00:00:00,call,GDX150117C00023000,3.7,6
23.0,2015-01-17 00:00:00,put,GDX150117P00023000,0.47,131
23.0,2015-03-20 00:00:00,call,GDX150320C00023000,4.0,10
23.0,2015-03-20 00:00:00,put,GDX150320P00023000,0.74,1
23.0,2016-01-15 00:00:00,call,GDX160115C00023000,5.25,10
23.0,2016-01-15 00:00:00,put,GDX160115P00023000,1.91,10
23.5,2014-09-05 00:00:00,put,GDX140905P00023500,0.01,7
23.5,2014-09-12 00:00:00,put,GDX140912P00023500,0.03,2
23.5,2014-09-20 00:00:00,call,GDX140920C00023500,2.81,5
23.5,2014-09-20 00:00:00,put,GDX140920P00023500,0.01,6
23.5,2014-09-26 00:00:00,put,GDX140926P00023500,0.07,30
23.5,2014-10-03 00:00:00,put,GDX141003P00023500,0.13,2
23.5,2014-10-18 00:00:00,call,GDX141018C00023500,2.75,1
23.5,2014-10-18 00:00:00,put,GDX141018P00023500,0.22,21
23.5,2014-12-20 00:00:00,call,GDX141220C00023500,3.4,24
23.5,2014-12-20 00:00:00,put,GDX141220P00023500,0.41,78
24.0,2014-09-05 00:00:00,call,GDX140905C00024000,3.35,24
24.0,2014-09-05 00:00:00,put,GDX140905P00024000,0.05,25
24.0,2014-09-12 00:00:00,put,GDX140912P00024000,0.05,1
24.0,2014-09-20 00:00:00,call,GDX140920C00024000,2.45,126
24.0,2014-09-20 00:00:00,put,GDX140920P00024000,0.02,74
24.0,2014-09-26 00:00:00,call,GDX140926C00024000,3.55,4
24.0,2014-09-26 00:00:00,put,GDX140926P00024000,0.14,50
24.0,2014-10-03 00:00:00,call,GDX141003C00024000,2.33,1
24.0,2014-10-03 00:00:00,put,GDX141003P00024000,0.08,28
24.0,2014-10-18 00:00:00,call,GDX141018C00024000,2.66,84
24.0,2014-10-18 00:00:00,put,GDX141018P00024000,0.14,6
24.0,2014-12-20 00:00:00,call,GDX141220C00024000,3.09,20
24.0,2014-12-20 00:00:00,put,GDX141220P00024000,0.51,1087
24.0,2015-01-17 00:00:00,call,GDX150117C00024000,3.27,3
24.0,2015-01-17 00:00:00,put,GDX150117P00024000,0.72,58
24.0,2015-03-20 00:00:00,call,GDX150320C00024000,2.9,5
