Strike,Expiry,Type,Symbol,Last,Vol
0.5,2015-01-17 00:00:00,call,GRPN150117C00000500,5.45,2
1.0,2014-09-05 00:00:00,call,GRPN140905C00001000,5.95,6
1.0,2015-01-17 00:00:00,call,GRPN150117C00001000,7.3,168
1.0,2015-01-17 00:00:00,put,GRPN150117P00001000,0.03,10
1.5,2015-01-17 00:00:00,put,GRPN150117P00001500,0.02,13
2.0,2014-10-18 00:00:00,call,GRPN141018C00002000,6.55,10
2.0,2014-10-18 00:00:00,put,GRPN141018P00002000,0.02,1
2.0,2015-01-17 00:00:00,call,GRPN150117C00002000,3.95,1
2.0,2015-01-17 00:00:00,put,GRPN150117P00002000,0.04,10
2.5,2014-10-18 00:00:00,call,GRPN141018C00002500,4.25,2
2.5,2015-01-17 00:00:00,call,GRPN150117C00002500,3.4,10
2.5,2015-01-17 00:00:00,put,GRPN150117P00002500,0.05,46
2.5,2016-01-15 00:00:00,call,GRPN160115C00002500,3.7,4
2.5,2016-01-15 00:00:00,put,GRPN160115P00002500,0.15,33
3.0,2014-09-05 00:00:00,call,GRPN140905C00003000,2.8,10
3.0,2014-09-20 00:00:00,call,GRPN140920C00003000,3.25,3
3.0,2014-10-18 00:00:00,call,GRPN141018C00003000,3.75,3
3.0,2014-10-18 00:00:00,put,GRPN141018P00003000,0.05,100
3.0,2015-01-17 00:00:00,call,GRPN150117C00003000,3.85,11
3.0,2015-01-17 00:00:00,put,GRPN150117P00003000,0.01,4
3.0,2016-01-15 00:00:00,call,GRPN160115C00003000,3.96,1
3.0,2016-01-15 00:00:00,put,GRPN160115P00003000,0.19,50
3.5,2014-09-05 00:00:00,call,GRPN140905C00003500,2.39,36
3.5,2014-09-12 00:00:00,call,GRPN140912C00003500,2.66,15
3.5,2014-09-26 00:00:00,call,GRPN140926C00003500,2.78,69
3.5,2015-01-17 00:00:00,call,GRPN150117C00003500,3.5,32
3.5,2015-01-17 00:00:00,put,GRPN150117P00003500,0.17,251
4.0,2014-09-05 00:00:00,call,GRPN140905C00004000,2.08,105
4.0,2014-09-05 00:00:00,put,GRPN140905P00004000,0.03,3
4.0,2014-09-12 00:00:00,put,GRPN140912P00004000,0.04,3
4.0,2014-09-20 00:00:00,call,GRPN140920C00004000,2.76,24
4.0,2014-09-20 00:00:00,put,GRPN140920P00004000,0.01,10
4.0,2014-09-26 00:00:00,call,GRPN140926C00004000,1.91,115
4.0,2014-09-26 00:00:00,put,GRPN140926P00004000,0.06,6
4.0,2014-10-18 00:00:00,call,GRPN141018C00004000,2.8,196
4.0,2014-10-18 00:00:00,put,GRPN141018P00004000,0.07,4
4.0,2015-01-17 00:00:00,call,GRPN150117C00004000,2.83,161
4.0,2015-01-17 00:00:00,put,GRPN150117P00004000,0.12,65
4.5,2014-09-05 00:00:00,call,GRPN140905C00004500,1.42,150
4.5,2014-09-05 00:00:00,put,GRPN140905P00004500,0.06,11
4.5,2014-09-12 00:00:00,call,GRPN140912C00004500,1.42,222
4.5,2014-09-20 00:00:00,call,GRPN140920C00004500,2.24,73
4.5,2014-09-26 00:00:00,call,GRPN140926C00004500,1.8,104
4.5,2014-09-26 00:00:00,put,GRPN140926P00004500,0.03,11
4.5,2015-01-17 00:00:00,call,GRPN150117C00004500,2.16,188
4.5,2015-01-17 00:00:00,put,GRPN150117P00004500,0.3,90
5.0,2014-09-05 00:00:00,call,GRPN140905C00005000,1.79,10
5.0,2014-09-05 00:00:00,put,GRPN140905P00005000,0.02,40
5.0,2014-09-12 00:00:00,call,GRPN140912C00005000,1.43,50
5.0,2014-09-12 00:00:00,put,GRPN140912P00005000,0.05,15
5.0,2014-09-20 00:00:00,call,GRPN140920C00005000,1.8,239
5.0,2014-09-20 00:00:00,put,GRPN140920P00005000,0.03,50
5.0,2014-09-26 00:00:00,call,GRPN140926C00005000,1.32,6
5.0,2014-10-18 00:00:00,call,GRPN141018C00005000,1.95,69
5.0,2014-10-18 00:00:00,put,GRPN141018P00005000,0.05,32
5.0,2014-11-22 00:00:00,call,GRPN141122C00005000,1.87,33
5.0,2014-11-22 00:00:00,put,GRPN141122P00005000,0.15,6
5.0,2015-01-17 00:00:00,call,GRPN150117C00005000,2.0,290
5.0,2015-01-17 00:00:00,put,GRPN150117P00005000,0.22,101
5.0,2015-04-17 00:00:00,call,GRPN150417C00005000,2.2,2511
5.0,2015-04-17 00:00:00,put,GRPN150417P00005000,0.47,1
5.0,2016-01-15 00:00:00,call,GRPN160115C00005000,2.6,33
5.0,2016-01-15 00:00:00,put,GRPN160115P00005000,0.75,7
5.5,2014-09-05 00:00:00,call,GRPN140905C00005500,1.4,6
5.5,2014-09-05 00:00:00,put,GRPN140905P00005500,0.04,1
5.5,2014-09-12 00:00:00,call,GRPN140912C00005500,0.85,12
5.5,2014-09-12 00:00:00,put,GRPN140912P00005500,0.03,5
5.5,2014-09-20 00:00:00,call,GRPN140920C00005500,1.14,157
5.5,2014-09-20 00:00:00,put,GRPN140920P00005500,0.05,1
5.5,2014-09-26 00:00:00,call,GRPN140926C00005500,0.95,375
5.5,2014-09-26 00:00:00,put,GRPN140926P00005500,0.05,1
5.5,2015-01-17 00:00:00,call,GRPN150117C00005500,1.75,61
5.5,2015-01-17 00:00:00,put,GRPN150117P00005500,0.35,6
6.0,2014-09-05 00:00:00,call,GRPN140905C00006000,0.81,7
6.0,2014-09-05 00:00:00,put,GRPN140905P00006000,0.03,55
6.0,2014-09-12 00:00:00,call,GRPN140912C00006000,0.82,1157
6.0,2014-09-12 00:00:00,put,GRPN140912P00006000,0.04,50
6.0,2014-09-20 00:00:00,call,GRPN140920C00006000,0.82,772
6.0,2014-09-20 00:00:00,put,GRPN140920P00006000,0.07,121
6.0,2014-09-26 00:00:00,call,GRPN140926C00006000,0.86,10
6.0,2014-09-26 00:00:00,put,GRPN140926P00006000,0.09,1
6.0,2014-10-03 00:00:00,call,GRPN141003C00006000,0.91,115
6.0,2014-10-18 00:00:00,call,GRPN141018C00006000,0.85,568
6.0,2014-10-18 00:00:00,put,GRPN141018P00006000,0.15,415
6.0,2014-11-22 00:00:00,call,GRPN141122C00006000,1.2,15
6.0,2014-11-22 00:00:00,put,GRPN141122P00006000,0.37,30
6.0,2015-01-17 00:00:00,call,GRPN150117C00006000,1.3,762
6.0,2015-01-17 00:00:00,put,GRPN150117P00006000,0.5,379
6.0,2015-04-17 00:00:00,call,GRPN150417C00006000,1.3,18
