Strike,Expiry,Type,Symbol,Last,Vol
8.0,2015-01-17 00:00:00,call,INTC150117C00008000,26.9,10
8.0,2015-01-17 00:00:00,put,INTC150117P00008000,0.01,20
10.0,2015-01-17 00:00:00,call,INTC150117C00010000,24.4,1
10.0,2015-01-17 00:00:00,put,INTC150117P00010000,0.02,300
13.0,2015-01-17 00:00:00,call,INTC150117C00013000,20.0,7
13.0,2015-01-17 00:00:00,put,INTC150117P00013000,0.01,10
13.0,2016-01-15 00:00:00,call,INTC160115C00013000,21.0,10
13.0,2016-01-15 00:00:00,put,INTC160115P00013000,0.12,93
14.0,2015-01-17 00:00:00,put,INTC150117P00014000,0.01,15
15.0,2014-10-18 00:00:00,put,INTC141018P00015000,0.02,210
15.0,2015-01-17 00:00:00,call,INTC150117C00015000,19.5,4
15.0,2015-01-17 00:00:00,put,INTC150117P00015000,0.02,20
15.0,2016-01-15 00:00:00,call,INTC160115C00015000,20.1,6
15.0,2016-01-15 00:00:00,put,INTC160115P00015000,0.14,3
16.0,2014-10-18 00:00:00,put,INTC141018P00016000,0.01,15
16.0,2015-01-17 00:00:00,put,INTC150117P00016000,0.03,4
18.0,2014-09-20 00:00:00,put,INTC140920P00018000,0.01,1
18.0,2014-10-18 00:00:00,put,INTC141018P00018000,0.02,11
18.0,2015-01-17 00:00:00,call,INTC150117C00018000,17.0,2
18.0,2015-01-17 00:00:00,put,INTC150117P00018000,0.03,40
18.0,2015-04-17 00:00:00,call,INTC150417C00018000,15.9,1
18.0,2015-04-17 00:00:00,put,INTC150417P00018000,0.07,11
18.0,2015-07-17 00:00:00,put,INTC150717P00018000,0.09,10
18.0,2016-01-15 00:00:00,call,INTC160115C00018000,16.65,5
18.0,2016-01-15 00:00:00,put,INTC160115P00018000,0.24,2
19.0,2014-09-20 00:00:00,put,INTC140920P00019000,0.03,10
19.0,2014-10-18 00:00:00,put,INTC141018P00019000,0.01,2
19.0,2015-01-17 00:00:00,put,INTC150117P00019000,0.06,4
19.0,2015-04-17 00:00:00,put,INTC150417P00019000,0.09,62
20.0,2014-09-20 00:00:00,put,INTC140920P00020000,0.02,186
20.0,2014-10-18 00:00:00,call,INTC141018C00020000,12.35,1
20.0,2014-10-18 00:00:00,put,INTC141018P00020000,0.02,60
20.0,2014-11-22 00:00:00,put,INTC141122P00020000,0.02,80
20.0,2015-01-17 00:00:00,call,INTC150117C00020000,14.85,97
20.0,2015-01-17 00:00:00,put,INTC150117P00020000,0.05,39
20.0,2015-04-17 00:00:00,put,INTC150417P00020000,0.09,1
20.0,2015-07-17 00:00:00,put,INTC150717P00020000,0.13,10
20.0,2016-01-15 00:00:00,call,INTC160115C00020000,14.9,404
20.0,2016-01-15 00:00:00,put,INTC160115P00020000,0.35,12
21.0,2014-09-20 00:00:00,put,INTC140920P00021000,0.04,19
21.0,2014-10-18 00:00:00,call,INTC141018C00021000,11.8,20
21.0,2014-10-18 00:00:00,put,INTC141018P00021000,0.03,20
21.0,2014-11-22 00:00:00,put,INTC141122P00021000,0.02,3
21.0,2015-01-17 00:00:00,call,INTC150117C00021000,12.8,60
21.0,2015-01-17 00:00:00,put,INTC150117P00021000,0.07,72
21.0,2015-04-17 00:00:00,put,INTC150417P00021000,0.12,50
22.0,2014-09-20 00:00:00,put,INTC140920P00022000,0.02,1
22.0,2014-10-18 00:00:00,call,INTC141018C00022000,11.8,45
22.0,2014-10-18 00:00:00,put,INTC141018P00022000,0.02,17
22.0,2015-01-17 00:00:00,call,INTC150117C00022000,12.6,3
22.0,2015-01-17 00:00:00,put,INTC150117P00022000,0.07,17
22.0,2016-01-15 00:00:00,call,INTC160115C00022000,12.74,3
22.0,2016-01-15 00:00:00,put,INTC160115P00022000,0.52,50
23.0,2014-09-20 00:00:00,put,INTC140920P00023000,0.02,25
23.0,2014-10-18 00:00:00,call,INTC141018C00023000,10.47,17
23.0,2014-10-18 00:00:00,put,INTC141018P00023000,0.02,14
23.0,2014-12-20 00:00:00,call,INTC141220C00023000,12.0,31
23.0,2015-01-17 00:00:00,call,INTC150117C00023000,10.15,69
23.0,2015-01-17 00:00:00,put,INTC150117P00023000,0.09,1
23.0,2015-04-17 00:00:00,call,INTC150417C00023000,8.5,18
23.0,2015-04-17 00:00:00,put,INTC150417P00023000,0.16,4
23.0,2015-07-17 00:00:00,put,INTC150717P00023000,0.27,8
24.0,2014-09-20 00:00:00,put,INTC140920P00024000,0.02,25
24.0,2014-10-18 00:00:00,call,INTC141018C00024000,10.8,10
24.0,2014-10-18 00:00:00,put,INTC141018P00024000,0.03,12
24.0,2014-11-22 00:00:00,call,INTC141122C00024000,10.92,610
24.0,2015-01-17 00:00:00,call,INTC150117C00024000,10.17,2
24.0,2015-01-17 00:00:00,put,INTC150117P00024000,0.1,10
24.0,2015-04-17 00:00:00,put,INTC150417P00024000,0.2,100
25.0,2014-09-05 00:00:00,call,INTC140905C00025000,8.1,50
25.0,2014-09-05 00:00:00,put,INTC140905P00025000,0.02,44
25.0,2014-09-12 00:00:00,put,INTC140912P00025000,0.02,11
25.0,2014-09-20 00:00:00,call,INTC140920C00025000,8.1,5
25.0,2014-09-20 00:00:00,put,INTC140920P00025000,0.02,4
25.0,2014-09-26 00:00:00,put,INTC140926P00025000,0.02,5
25.0,2014-10-18 00:00:00,call,INTC141018C00025000,9.84,10
25.0,2014-10-18 00:00:00,put,INTC141018P00025000,0.03,50
25.0,2014-11-22 00:00:00,call,INTC141122C00025000,10.05,25
25.0,2014-11-22 00:00:00,put,INTC141122P00025000,0.14,3
25.0,2015-01-17 00:00:00,call,INTC150117C00025000,9.93,30
25.0,2015-01-17 00:00:00,put,INTC150117P00025000,0.11,51
25.0,2015-04-17 00:00:00,call,INTC150417C00025000,9.92,3
25.0,2015-04-17 00:00:00,put,INTC150417P00025000,0.26,25
25.0,2015-07-17 00:00:00,call,INTC150717C00025000,9.25,5
25.0,2015-07-17 00:00:00,put,INTC150717P00025000,0.44,15
25.0,2016-01-15 00:00:00,call,INTC160115C00025000,10.1,32
25.0,2016-01-15 00:00:00,put,INTC160115P00025000,0.87,1
25.5,2014-09-05 00:00:00,call,INTC140905C00025500,7.7,21
25.5,2014-09-05 00:00:00,put,INTC140905P00025500,0.03,51
26.0,2014-09-05 00:00:00,call,INTC140905C00026000,6.8,40
26.0,2014-09-05 00:00:00,put,INTC140905P00026000,0.02,11
26.0,2014-09-20 00:00:00,call,INTC140920C00026000,7.25,21
26.0,2014-09-20 00:00:00,put,INTC140920P00026000,0.01,3
26.0,2014-10-18 00:00:00,call,INTC141018C00026000,8.99,1
26.0,2014-10-18 00:00:00,put,INTC141018P00026000,0.03,10
