Strike,Expiry,Type,Symbol,Last,Vol
35.0,2015-01-17 00:00:00,put,JNJ150117P00035000,0.02,2
37.5,2015-01-17 00:00:00,put,JNJ150117P00037500,0.02,2
40.0,2015-01-17 00:00:00,put,JNJ150117P00040000,0.02,1
42.5,2015-01-17 00:00:00,put,JNJ150117P00042500,0.03,1
45.0,2015-01-17 00:00:00,put,JNJ150117P00045000,0.04,23
45.0,2016-01-15 00:00:00,call,JNJ160115C00045000,58.7,1
45.0,2016-01-15 00:00:00,put,JNJ160115P00045000,0.26,4
47.5,2015-01-17 00:00:00,put,JNJ150117P00047500,0.05,10
50.0,2015-01-17 00:00:00,call,JNJ150117C00050000,53.9,5
50.0,2015-01-17 00:00:00,put,JNJ150117P00050000,0.02,20
50.0,2016-01-15 00:00:00,call,JNJ160115C00050000,53.0,1
50.0,2016-01-15 00:00:00,put,JNJ160115P00050000,0.21,22
55.0,2015-01-17 00:00:00,call,JNJ150117C00055000,48.98,1
55.0,2015-01-17 00:00:00,put,JNJ150117P00055000,0.03,10
55.0,2016-01-15 00:00:00,call,JNJ160115C00055000,48.35,35
55.0,2016-01-15 00:00:00,put,JNJ160115P00055000,0.39,2
60.0,2014-10-18 00:00:00,put,JNJ141018P00060000,0.02,1
60.0,2015-01-17 00:00:00,call,JNJ150117C00060000,43.67,6
60.0,2015-01-17 00:00:00,put,JNJ150117P00060000,0.05,1
60.0,2016-01-15 00:00:00,call,JNJ160115C00060000,43.55,4
60.0,2016-01-15 00:00:00,put,JNJ160115P00060000,0.5,26
62.5,2015-01-17 00:00:00,call,JNJ150117C00062500,41.51,2
62.5,2015-01-17 00:00:00,put,JNJ150117P00062500,0.07,22
65.0,2014-10-18 00:00:00,put,JNJ141018P00065000,0.01,50
65.0,2015-01-17 00:00:00,call,JNJ150117C00065000,38.64,2
65.0,2015-01-17 00:00:00,put,JNJ150117P00065000,0.12,5
65.0,2016-01-15 00:00:00,call,JNJ160115C00065000,39.12,6
65.0,2016-01-15 00:00:00,put,JNJ160115P00065000,0.64,40
67.5,2015-01-17 00:00:00,call,JNJ150117C00067500,36.22,9
67.5,2015-01-17 00:00:00,put,JNJ150117P00067500,0.12,150
70.0,2014-10-18 00:00:00,put,JNJ141018P00070000,0.01,50
70.0,2015-01-17 00:00:00,call,JNJ150117C00070000,33.75,6
70.0,2015-01-17 00:00:00,put,JNJ150117P00070000,0.15,20
70.0,2016-01-15 00:00:00,call,JNJ160115C00070000,33.1,6
70.0,2016-01-15 00:00:00,put,JNJ160115P00070000,1.11,1
72.5,2015-01-17 00:00:00,call,JNJ150117C00072500,31.62,2
72.5,2015-01-17 00:00:00,put,JNJ150117P00072500,0.18,72
75.0,2014-10-18 00:00:00,put,JNJ141018P00075000,0.02,50
75.0,2014-11-22 00:00:00,put,JNJ141122P00075000,0.1,94
75.0,2015-01-17 00:00:00,call,JNJ150117C00075000,28.77,153
75.0,2015-01-17 00:00:00,put,JNJ150117P00075000,0.18,30
75.0,2015-04-17 00:00:00,put,JNJ150417P00075000,0.32,5
75.0,2016-01-15 00:00:00,call,JNJ160115C00075000,28.7,200
75.0,2016-01-15 00:00:00,put,JNJ160115P00075000,1.35,11
77.5,2015-01-17 00:00:00,call,JNJ150117C00077500,26.34,10
77.5,2015-01-17 00:00:00,put,JNJ150117P00077500,0.25,1
77.5,2016-01-15 00:00:00,call,JNJ160115C00077500,26.49,106
77.5,2016-01-15 00:00:00,put,JNJ160115P00077500,1.68,1
79.0,2014-09-20 00:00:00,put,JNJ140920P00079000,0.01,190
80.0,2014-09-20 00:00:00,put,JNJ140920P00080000,0.01,40
80.0,2014-10-18 00:00:00,call,JNJ141018C00080000,24.15,75
80.0,2014-10-18 00:00:00,put,JNJ141018P00080000,0.04,108
80.0,2014-11-22 00:00:00,put,JNJ141122P00080000,0.1,38
80.0,2015-01-17 00:00:00,call,JNJ150117C00080000,23.86,44
80.0,2015-01-17 00:00:00,put,JNJ150117P00080000,0.27,3
80.0,2015-04-17 00:00:00,call,JNJ150417C00080000,24.2,2
80.0,2015-04-17 00:00:00,put,JNJ150417P00080000,0.52,5
80.0,2016-01-15 00:00:00,call,JNJ160115C00080000,24.0,1
80.0,2016-01-15 00:00:00,put,JNJ160115P00080000,1.91,3
