Strike,Expiry,Type,Symbol,Last,Vol
20.0,2015-01-17 00:00:00,call,JPM150117C00020000,37.8,31
20.0,2015-01-17 00:00:00,put,JPM150117P00020000,0.01,10
23.0,2015-01-17 00:00:00,call,JPM150117C00023000,34.65,2
23.0,2015-01-17 00:00:00,put,JPM150117P00023000,0.04,11
25.0,2015-01-17 00:00:00,call,JPM150117C00025000,32.55,75
25.0,2015-01-17 00:00:00,put,JPM150117P00025000,0.03,1
28.0,2015-01-17 00:00:00,call,JPM150117C00028000,29.6,21
28.0,2015-01-17 00:00:00,put,JPM150117P00028000,0.02,396
30.0,2015-01-17 00:00:00,call,JPM150117C00030000,29.7,60
30.0,2015-01-17 00:00:00,put,JPM150117P00030000,0.06,4
30.0,2015-03-20 00:00:00,put,JPM150320P00030000,0.06,100
30.0,2015-06-19 00:00:00,put,JPM150619P00030000,0.1,208
30.0,2016-01-15 00:00:00,call,JPM160115C00030000,26.5,6
30.0,2016-01-15 00:00:00,put,JPM160115P00030000,0.26,15
33.0,2015-01-17 00:00:00,call,JPM150117C00033000,24.26,3
33.0,2015-01-17 00:00:00,put,JPM150117P00033000,0.04,200
35.0,2014-09-20 00:00:00,call,JPM140920C00035000,23.6,82
35.0,2014-09-20 00:00:00,put,JPM140920P00035000,0.03,64
35.0,2014-10-18 00:00:00,put,JPM141018P00035000,0.03,78
35.0,2015-01-17 00:00:00,call,JPM150117C00035000,23.7,110
35.0,2015-01-17 00:00:00,put,JPM150117P00035000,0.07,31
35.0,2015-03-20 00:00:00,put,JPM150320P00035000,0.14,9
35.0,2016-01-15 00:00:00,call,JPM160115C00035000,23.3,40
35.0,2016-01-15 00:00:00,put,JPM160115P00035000,0.65,34
38.0,2015-01-17 00:00:00,call,JPM150117C00038000,21.69,2
38.0,2015-01-17 00:00:00,put,JPM150117P00038000,0.07,180
40.0,2014-09-20 00:00:00,call,JPM140920C00040000,16.75,36
40.0,2014-09-20 00:00:00,put,JPM140920P00040000,0.02,100
