Strike,Expiry,Type,Symbol,Last,Vol
55.0,2015-01-17 00:00:00,call,LNKD150117C00055000,93.48,10
55.0,2015-01-17 00:00:00,put,LNKD150117P00055000,0.06,10
60.0,2015-01-17 00:00:00,call,LNKD150117C00060000,91.45,6
60.0,2015-01-17 00:00:00,put,LNKD150117P00060000,0.05,2
65.0,2015-01-17 00:00:00,call,LNKD150117C00065000,134.6,8
65.0,2015-01-17 00:00:00,put,LNKD150117P00065000,0.05,2
70.0,2014-11-22 00:00:00,put,LNKD141122P00070000,0.04,2
70.0,2015-01-17 00:00:00,call,LNKD150117C00070000,129.75,2
70.0,2015-01-17 00:00:00,put,LNKD150117P00070000,0.05,1
70.0,2016-01-15 00:00:00,call,LNKD160115C00070000,146.63,1
70.0,2016-01-15 00:00:00,put,LNKD160115P00070000,1.45,2
75.0,2014-11-22 00:00:00,put,LNKD141122P00075000,0.15,3
75.0,2015-01-17 00:00:00,call,LNKD150117C00075000,97.91,3
75.0,2015-01-17 00:00:00,put,LNKD150117P00075000,0.1,10
75.0,2016-01-15 00:00:00,call,LNKD160115C00075000,143.3,1
75.0,2016-01-15 00:00:00,put,LNKD160115P00075000,1.84,12
80.0,2014-09-20 00:00:00,put,LNKD140920P00080000,0.08,50
80.0,2014-11-22 00:00:00,put,LNKD141122P00080000,0.05,3
80.0,2015-01-17 00:00:00,call,LNKD150117C00080000,69.0,4
80.0,2015-01-17 00:00:00,put,LNKD150117P00080000,0.13,35
80.0,2015-02-20 00:00:00,call,LNKD150220C00080000,77.05,3
80.0,2015-02-20 00:00:00,put,LNKD150220P00080000,0.28,2
80.0,2016-01-15 00:00:00,call,LNKD160115C00080000,82.07,1
80.0,2016-01-15 00:00:00,put,LNKD160115P00080000,1.89,12
85.0,2014-09-20 00:00:00,call,LNKD140920C00085000,72.85,8
85.0,2014-09-20 00:00:00,put,LNKD140920P00085000,0.1,1
85.0,2014-10-18 00:00:00,call,LNKD141018C00085000,101.0,1
85.0,2014-10-18 00:00:00,put,LNKD141018P00085000,0.12,4
85.0,2014-11-22 00:00:00,call,LNKD141122C00085000,92.16,2
85.0,2014-11-22 00:00:00,put,LNKD141122P00085000,0.14,10
85.0,2015-01-17 00:00:00,call,LNKD150117C00085000,120.4,6
85.0,2015-01-17 00:00:00,put,LNKD150117P00085000,0.18,7
85.0,2015-02-20 00:00:00,put,LNKD150220P00085000,0.28,1
85.0,2016-01-15 00:00:00,call,LNKD160115C00085000,137.5,5
85.0,2016-01-15 00:00:00,put,LNKD160115P00085000,2.61,23
90.0,2014-09-20 00:00:00,put,LNKD140920P00090000,0.05,2
90.0,2014-11-22 00:00:00,call,LNKD141122C00090000,87.5,2
90.0,2014-11-22 00:00:00,put,LNKD141122P00090000,0.12,2
90.0,2015-01-17 00:00:00,call,LNKD150117C00090000,125.4,1
90.0,2015-01-17 00:00:00,put,LNKD150117P00090000,0.19,3
90.0,2015-02-20 00:00:00,call,LNKD150220C00090000,65.7,3
90.0,2015-02-20 00:00:00,put,LNKD150220P00090000,0.4,14
90.0,2016-01-15 00:00:00,call,LNKD160115C00090000,67.2,3
90.0,2016-01-15 00:00:00,put,LNKD160115P00090000,2.85,1
95.0,2014-09-20 00:00:00,call,LNKD140920C00095000,65.77,3
95.0,2014-09-20 00:00:00,put,LNKD140920P00095000,0.02,3
95.0,2014-11-22 00:00:00,call,LNKD141122C00095000,119.2,26
95.0,2014-11-22 00:00:00,put,LNKD141122P00095000,0.1,5
95.0,2015-01-17 00:00:00,call,LNKD150117C00095000,72.3,1
95.0,2015-01-17 00:00:00,put,LNKD150117P00095000,0.4,2
95.0,2015-02-20 00:00:00,call,LNKD150220C00095000,63.85,2
95.0,2015-02-20 00:00:00,put,LNKD150220P00095000,0.41,1
95.0,2016-01-15 00:00:00,call,LNKD160115C00095000,62.9,3
95.0,2016-01-15 00:00:00,put,LNKD160115P00095000,3.1,5
100.0,2014-09-20 00:00:00,call,LNKD140920C00100000,69.51,2
100.0,2014-09-20 00:00:00,put,LNKD140920P00100000,0.4,2
100.0,2014-10-18 00:00:00,put,LNKD141018P00100000,0.34,6
100.0,2014-11-22 00:00:00,call,LNKD141122C00100000,70.65,22
100.0,2014-11-22 00:00:00,put,LNKD141122P00100000,0.12,10
100.0,2015-01-17 00:00:00,call,LNKD150117C00100000,114.0,1
100.0,2015-01-17 00:00:00,put,LNKD150117P00100000,0.25,2
100.0,2015-02-20 00:00:00,call,LNKD150220C00100000,113.77,1
100.0,2015-02-20 00:00:00,put,LNKD150220P00100000,0.66,3
100.0,2016-01-15 00:00:00,call,LNKD160115C00100000,119.57,3
100.0,2016-01-15 00:00:00,put,LNKD160115P00100000,3.4,30
105.0,2014-09-20 00:00:00,put,LNKD140920P00105000,0.4,2
105.0,2014-11-22 00:00:00,call,LNKD141122C00105000,70.45,1
105.0,2014-11-22 00:00:00,put,LNKD141122P00105000,0.34,40
105.0,2015-01-17 00:00:00,call,LNKD150117C00105000,110.88,1
105.0,2015-01-17 00:00:00,put,LNKD150117P00105000,0.35,3
105.0,2015-02-20 00:00:00,put,LNKD150220P00105000,0.5,21
105.0,2016-01-15 00:00:00,call,LNKD160115C00105000,122.45,5
105.0,2016-01-15 00:00:00,put,LNKD160115P00105000,4.05,1
110.0,2014-09-20 00:00:00,put,LNKD140920P00110000,0.16,30
110.0,2014-11-22 00:00:00,call,LNKD141122C00110000,52.5,1
110.0,2014-11-22 00:00:00,put,LNKD141122P00110000,0.23,1
110.0,2015-01-17 00:00:00,call,LNKD150117C00110000,90.2,3
110.0,2015-01-17 00:00:00,put,LNKD150117P00110000,0.33,7
110.0,2015-02-20 00:00:00,call,LNKD150220C00110000,108.97,1
110.0,2015-02-20 00:00:00,put,LNKD150220P00110000,0.75,3
110.0,2016-01-15 00:00:00,call,LNKD160115C00110000,98.9,1
110.0,2016-01-15 00:00:00,put,LNKD160115P00110000,4.35,55
115.0,2014-09-20 00:00:00,call,LNKD140920C00115000,55.6,9
115.0,2014-09-20 00:00:00,put,LNKD140920P00115000,0.05,5
115.0,2014-10-18 00:00:00,put,LNKD141018P00115000,0.73,3
115.0,2014-11-22 00:00:00,call,LNKD141122C00115000,58.0,1
115.0,2014-11-22 00:00:00,put,LNKD141122P00115000,0.3,10
115.0,2015-01-17 00:00:00,call,LNKD150117C00115000,99.28,1
115.0,2015-01-17 00:00:00,put,LNKD150117P00115000,0.37,1
115.0,2015-02-20 00:00:00,call,LNKD150220C00115000,49.9,12
115.0,2015-02-20 00:00:00,put,LNKD150220P00115000,1.03,8
115.0,2016-01-15 00:00:00,call,LNKD160115C00115000,104.4,1
115.0,2016-01-15 00:00:00,put,LNKD160115P00115000,5.0,1
120.0,2014-09-20 00:00:00,call,LNKD140920C00120000,81.0,1
120.0,2014-09-20 00:00:00,put,LNKD140920P00120000,0.05,15
120.0,2014-10-18 00:00:00,put,LNKD141018P00120000,0.19,1
120.0,2014-11-22 00:00:00,call,LNKD141122C00120000,97.6,1
120.0,2014-11-22 00:00:00,put,LNKD141122P00120000,0.2,6
120.0,2015-01-17 00:00:00,call,LNKD150117C00120000,92.0,1
120.0,2015-01-17 00:00:00,put,LNKD150117P00120000,0.45,10
120.0,2015-02-20 00:00:00,call,LNKD150220C00120000,107.11,1
120.0,2015-02-20 00:00:00,put,LNKD150220P00120000,0.78,2
120.0,2016-01-15 00:00:00,call,LNKD160115C00120000,100.2,2
120.0,2016-01-15 00:00:00,put,LNKD160115P00120000,6.8,105
125.0,2014-09-20 00:00:00,call,LNKD140920C00125000,34.65,10
125.0,2014-09-20 00:00:00,put,LNKD140920P00125000,0.05,12
125.0,2014-10-18 00:00:00,put,LNKD141018P00125000,0.1,13
125.0,2014-11-22 00:00:00,call,LNKD141122C00125000,42.9,23
125.0,2014-11-22 00:00:00,put,LNKD141122P00125000,0.29,3
125.0,2015-01-17 00:00:00,call,LNKD150117C00125000,89.5,1
125.0,2015-01-17 00:00:00,put,LNKD150117P00125000,0.5,10
125.0,2015-02-20 00:00:00,call,LNKD150220C00125000,41.1,1
125.0,2015-02-20 00:00:00,put,LNKD150220P00125000,1.1,2
125.0,2016-01-15 00:00:00,call,LNKD160115C00125000,98.4,6
125.0,2016-01-15 00:00:00,put,LNKD160115P00125000,6.8,2
130.0,2014-09-20 00:00:00,call,LNKD140920C00130000,74.0,3
130.0,2014-09-20 00:00:00,put,LNKD140920P00130000,0.03,2
130.0,2014-10-18 00:00:00,put,LNKD141018P00130000,0.33,1
130.0,2014-11-22 00:00:00,call,LNKD141122C00130000,34.6,1
130.0,2014-11-22 00:00:00,put,LNKD141122P00130000,0.34,3
130.0,2015-01-17 00:00:00,call,LNKD150117C00130000,89.0,2
130.0,2015-01-17 00:00:00,put,LNKD150117P00130000,0.58,1
130.0,2015-02-20 00:00:00,call,LNKD150220C00130000,97.57,1
130.0,2015-02-20 00:00:00,put,LNKD150220P00130000,1.18,1
130.0,2016-01-15 00:00:00,call,LNKD160115C00130000,94.75,22
130.0,2016-01-15 00:00:00,put,LNKD160115P00130000,7.0,2
135.0,2014-09-20 00:00:00,call,LNKD140920C00135000,25.3,10
135.0,2014-09-20 00:00:00,put,LNKD140920P00135000,0.05,4
135.0,2014-10-18 00:00:00,call,LNKD141018C00135000,89.3,6
135.0,2014-10-18 00:00:00,put,LNKD141018P00135000,0.25,17
135.0,2014-11-22 00:00:00,call,LNKD141122C00135000,67.0,5
135.0,2014-11-22 00:00:00,put,LNKD141122P00135000,0.32,1
135.0,2015-01-17 00:00:00,call,LNKD150117C00135000,89.55,1
135.0,2015-01-17 00:00:00,put,LNKD150117P00135000,0.77,1
135.0,2015-02-20 00:00:00,call,LNKD150220C00135000,85.0,24
135.0,2015-02-20 00:00:00,put,LNKD150220P00135000,1.45,1
135.0,2016-01-15 00:00:00,call,LNKD160115C00135000,98.0,20
135.0,2016-01-15 00:00:00,put,LNKD160115P00135000,8.5,2
140.0,2014-09-20 00:00:00,call,LNKD140920C00140000,75.53,5
140.0,2014-09-20 00:00:00,put,LNKD140920P00140000,0.05,14
140.0,2014-10-18 00:00:00,put,LNKD141018P00140000,0.64,2
140.0,2014-11-22 00:00:00,call,LNKD141122C00140000,81.1,1
140.0,2014-11-22 00:00:00,put,LNKD141122P00140000,0.46,5
140.0,2015-01-17 00:00:00,call,LNKD150117C00140000,85.0,1
140.0,2015-01-17 00:00:00,put,LNKD150117P00140000,0.98,12
140.0,2015-02-20 00:00:00,call,LNKD150220C00140000,65.45,32
140.0,2015-02-20 00:00:00,put,LNKD150220P00140000,1.58,7
140.0,2016-01-15 00:00:00,call,LNKD160115C00140000,90.51,8
140.0,2016-01-15 00:00:00,put,LNKD160115P00140000,8.78,3
144.0,2014-09-05 00:00:00,put,LNKD140905P00144000,0.02,5
145.0,2014-09-20 00:00:00,call,LNKD140920C00145000,19.2,6
145.0,2014-09-20 00:00:00,put,LNKD140920P00145000,0.03,2
