Strike,Expiry,Type,Symbol,Last,Vol
45.0,2015-01-17 00:00:00,put,MCD150117P00045000,0.02,2
47.5,2015-01-17 00:00:00,put,MCD150117P00047500,0.02,6
50.0,2015-01-17 00:00:00,put,MCD150117P00050000,0.03,43
50.0,2016-01-15 00:00:00,call,MCD160115C00050000,45.1,5
50.0,2016-01-15 00:00:00,put,MCD160115P00050000,0.17,2
55.0,2015-01-17 00:00:00,put,MCD150117P00055000,0.04,40
55.0,2016-01-15 00:00:00,put,MCD160115P00055000,0.25,1
60.0,2014-09-20 00:00:00,put,MCD140920P00060000,0.01,4
60.0,2015-01-17 00:00:00,put,MCD150117P00060000,0.04,22
60.0,2016-01-15 00:00:00,call,MCD160115C00060000,34.5,41
60.0,2016-01-15 00:00:00,put,MCD160115P00060000,0.48,40
65.0,2014-09-20 00:00:00,put,MCD140920P00065000,0.01,34
65.0,2014-12-20 00:00:00,put,MCD141220P00065000,0.07,3
65.0,2015-01-17 00:00:00,call,MCD150117C00065000,29.1,3
65.0,2015-01-17 00:00:00,put,MCD150117P00065000,0.1,7
65.0,2015-03-20 00:00:00,put,MCD150320P00065000,0.18,1
65.0,2016-01-15 00:00:00,call,MCD160115C00065000,29.2,40
65.0,2016-01-15 00:00:00,put,MCD160115P00065000,0.66,15
70.0,2014-09-20 00:00:00,put,MCD140920P00070000,0.01,16
70.0,2014-12-20 00:00:00,put,MCD141220P00070000,0.08,1
70.0,2015-01-17 00:00:00,call,MCD150117C00070000,24.6,220
70.0,2015-01-17 00:00:00,put,MCD150117P00070000,0.1,1
70.0,2015-03-20 00:00:00,call,MCD150320C00070000,23.69,5
70.0,2015-03-20 00:00:00,put,MCD150320P00070000,0.27,5
70.0,2016-01-15 00:00:00,call,MCD160115C00070000,24.2,11
70.0,2016-01-15 00:00:00,put,MCD160115P00070000,1.06,10
74.0,2014-09-20 00:00:00,put,MCD140920P00074000,0.03,6
74.5,2014-09-20 00:00:00,put,MCD140920P00074500,0.03,39
75.0,2014-09-20 00:00:00,put,MCD140920P00075000,0.01,15
75.0,2014-10-18 00:00:00,put,MCD141018P00075000,0.02,4
75.0,2014-12-20 00:00:00,put,MCD141220P00075000,0.11,125
75.0,2015-01-17 00:00:00,call,MCD150117C00075000,19.35,8
75.0,2015-01-17 00:00:00,put,MCD150117P00075000,0.17,125
75.0,2015-03-20 00:00:00,call,MCD150320C00075000,18.9,1
75.0,2015-03-20 00:00:00,put,MCD150320P00075000,0.33,10
75.0,2016-01-15 00:00:00,call,MCD160115C00075000,19.2,1
75.0,2016-01-15 00:00:00,put,MCD160115P00075000,1.71,7
77.5,2015-01-17 00:00:00,call,MCD150117C00077500,16.94,1
77.5,2015-01-17 00:00:00,put,MCD150117P00077500,0.22,34
79.0,2014-09-20 00:00:00,put,MCD140920P00079000,0.03,16
79.0,2014-09-26 00:00:00,put,MCD140926P00079000,0.06,16
79.0,2014-10-03 00:00:00,put,MCD141003P00079000,0.03,50
80.0,2014-09-20 00:00:00,put,MCD140920P00080000,0.02,131
80.0,2014-09-26 00:00:00,put,MCD140926P00080000,0.04,35
80.0,2014-10-03 00:00:00,put,MCD141003P00080000,0.04,20
80.0,2014-10-18 00:00:00,put,MCD141018P00080000,0.06,15
80.0,2014-11-22 00:00:00,put,MCD141122P00080000,0.15,22
80.0,2014-12-20 00:00:00,call,MCD141220C00080000,14.35,30
80.0,2014-12-20 00:00:00,put,MCD141220P00080000,0.25,16
80.0,2015-01-17 00:00:00,call,MCD150117C00080000,14.0,6
80.0,2015-01-17 00:00:00,put,MCD150117P00080000,0.33,6
80.0,2015-03-20 00:00:00,put,MCD150320P00080000,0.63,3
80.0,2016-01-15 00:00:00,call,MCD160115C00080000,14.6,5
80.0,2016-01-15 00:00:00,put,MCD160115P00080000,2.72,26
81.0,2014-09-05 00:00:00,put,MCD140905P00081000,0.04,176
81.0,2014-09-12 00:00:00,put,MCD140912P00081000,0.01,36
81.0,2014-09-20 00:00:00,put,MCD140920P00081000,0.03,5
81.0,2014-09-26 00:00:00,put,MCD140926P00081000,0.06,69
82.0,2014-09-05 00:00:00,put,MCD140905P00082000,0.02,1
82.0,2014-09-12 00:00:00,put,MCD140912P00082000,0.01,34
82.5,2015-01-17 00:00:00,call,MCD150117C00082500,11.8,14
82.5,2015-01-17 00:00:00,put,MCD150117P00082500,0.49,10
83.0,2014-09-05 00:00:00,put,MCD140905P00083000,0.04,15
83.0,2014-09-12 00:00:00,put,MCD140912P00083000,0.04,10
83.0,2014-09-26 00:00:00,put,MCD140926P00083000,0.16,16
84.0,2014-09-05 00:00:00,put,MCD140905P00084000,0.01,19
84.0,2014-09-20 00:00:00,put,MCD140920P00084000,0.06,30
84.0,2014-09-26 00:00:00,put,MCD140926P00084000,0.06,6
85.0,2014-09-05 00:00:00,put,MCD140905P00085000,0.02,51
85.0,2014-09-20 00:00:00,call,MCD140920C00085000,9.39,32
85.0,2014-09-20 00:00:00,put,MCD140920P00085000,0.08,88
85.0,2014-09-26 00:00:00,put,MCD140926P00085000,0.09,3
85.0,2014-10-03 00:00:00,put,MCD141003P00085000,0.12,2
85.0,2014-10-18 00:00:00,call,MCD141018C00085000,9.81,42
85.0,2014-10-18 00:00:00,put,MCD141018P00085000,0.14,12
85.0,2014-11-22 00:00:00,put,MCD141122P00085000,0.34,80
85.0,2014-12-20 00:00:00,call,MCD141220C00085000,9.4,20
85.0,2014-12-20 00:00:00,put,MCD141220P00085000,0.49,5
85.0,2015-01-17 00:00:00,call,MCD150117C00085000,9.8,261
85.0,2015-01-17 00:00:00,put,MCD150117P00085000,0.76,106
85.0,2015-03-20 00:00:00,call,MCD150320C00085000,9.42,10
85.0,2015-03-20 00:00:00,put,MCD150320P00085000,1.32,75
85.0,2016-01-15 00:00:00,call,MCD160115C00085000,10.8,1
85.0,2016-01-15 00:00:00,put,MCD160115P00085000,4.25,15
86.0,2014-09-05 00:00:00,put,MCD140905P00086000,0.03,50
86.0,2014-09-12 00:00:00,put,MCD140912P00086000,0.05,12
86.0,2014-09-20 00:00:00,put,MCD140920P00086000,0.09,10
86.0,2014-09-26 00:00:00,put,MCD140926P00086000,0.09,20
87.0,2014-09-05 00:00:00,put,MCD140905P00087000,0.03,1
87.0,2014-09-12 00:00:00,put,MCD140912P00087000,0.08,10
87.0,2014-09-26 00:00:00,put,MCD140926P00087000,0.13,5
87.0,2014-10-03 00:00:00,put,MCD141003P00087000,0.14,10
87.5,2014-09-20 00:00:00,put,MCD140920P00087500,0.12,188
87.5,2014-10-18 00:00:00,call,MCD141018C00087500,6.67,10
87.5,2014-10-18 00:00:00,put,MCD141018P00087500,0.26,107
87.5,2014-11-22 00:00:00,put,MCD141122P00087500,0.59,14
87.5,2014-12-20 00:00:00,call,MCD141220C00087500,6.35,6
87.5,2014-12-20 00:00:00,put,MCD141220P00087500,0.95,2
87.5,2015-01-17 00:00:00,call,MCD150117C00087500,7.02,20
87.5,2015-01-17 00:00:00,put,MCD150117P00087500,1.12,4
87.5,2015-03-20 00:00:00,call,MCD150320C00087500,8.15,36
87.5,2015-03-20 00:00:00,put,MCD150320P00087500,1.89,38
87.5,2016-01-15 00:00:00,call,MCD160115C00087500,9.35,21
87.5,2016-01-15 00:00:00,put,MCD160115P00087500,5.22,5
