Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,MGM150117C00003000,22.25,0
3.0,2015-01-17 00:00:00,put,MGM150117P00003000,0.01,46
5.0,2015-01-17 00:00:00,call,MGM150117C00005000,19.4,5
5.0,2015-01-17 00:00:00,put,MGM150117P00005000,0.02,2
5.0,2016-01-15 00:00:00,call,MGM160115C00005000,21.65,5
5.0,2016-01-15 00:00:00,put,MGM160115P00005000,0.01,1
8.0,2015-01-17 00:00:00,call,MGM150117C00008000,18.64,90
8.0,2015-01-17 00:00:00,put,MGM150117P00008000,0.02,10
8.0,2016-01-15 00:00:00,call,MGM160115C00008000,19.05,86
8.0,2016-01-15 00:00:00,put,MGM160115P00008000,0.13,50
10.0,2015-01-17 00:00:00,call,MGM150117C00010000,17.26,8
10.0,2015-01-17 00:00:00,put,MGM150117P00010000,0.02,50
10.0,2016-01-15 00:00:00,call,MGM160115C00010000,17.8,3
10.0,2016-01-15 00:00:00,put,MGM160115P00010000,0.07,1
12.0,2015-01-17 00:00:00,call,MGM150117C00012000,12.88,10
12.0,2015-01-17 00:00:00,put,MGM150117P00012000,0.02,20
13.0,2014-12-20 00:00:00,put,MGM141220P00013000,0.06,36
13.0,2016-01-15 00:00:00,call,MGM160115C00013000,12.95,5
13.0,2016-01-15 00:00:00,put,MGM160115P00013000,0.33,1
14.0,2014-09-20 00:00:00,call,MGM140920C00014000,10.7,1
14.0,2014-09-20 00:00:00,put,MGM140920P00014000,0.05,37
14.0,2014-12-20 00:00:00,put,MGM141220P00014000,0.08,32
14.0,2015-01-17 00:00:00,put,MGM150117P00014000,0.03,84
15.0,2014-09-20 00:00:00,call,MGM140920C00015000,9.89,2
15.0,2014-09-20 00:00:00,put,MGM140920P00015000,0.03,36
15.0,2014-12-20 00:00:00,put,MGM141220P00015000,0.03,40
15.0,2015-01-17 00:00:00,call,MGM150117C00015000,9.6,3495
15.0,2015-01-17 00:00:00,put,MGM150117P00015000,0.03,5
15.0,2015-03-20 00:00:00,call,MGM150320C00015000,9.97,10
15.0,2015-03-20 00:00:00,put,MGM150320P00015000,0.08,2
15.0,2016-01-15 00:00:00,call,MGM160115C00015000,9.75,144
15.0,2016-01-15 00:00:00,put,MGM160115P00015000,0.41,5
16.0,2014-09-20 00:00:00,call,MGM140920C00016000,9.17,60
16.0,2014-09-20 00:00:00,put,MGM140920P00016000,0.11,3
16.0,2014-12-20 00:00:00,put,MGM141220P00016000,0.02,32
16.0,2015-01-17 00:00:00,call,MGM150117C00016000,10.35,25
16.0,2015-01-17 00:00:00,put,MGM150117P00016000,0.36,3
16.0,2015-03-20 00:00:00,put,MGM150320P00016000,0.11,6
17.0,2014-09-20 00:00:00,call,MGM140920C00017000,10.85,9
17.0,2014-09-20 00:00:00,put,MGM140920P00017000,0.14,45
17.0,2014-12-20 00:00:00,put,MGM141220P00017000,0.04,10
17.0,2015-01-17 00:00:00,call,MGM150117C00017000,7.75,104
17.0,2015-01-17 00:00:00,put,MGM150117P00017000,0.14,27
17.0,2016-01-15 00:00:00,call,MGM160115C00017000,8.75,3
17.0,2016-01-15 00:00:00,put,MGM160115P00017000,0.72,10
18.0,2014-09-20 00:00:00,call,MGM140920C00018000,10.05,4
18.0,2014-09-20 00:00:00,put,MGM140920P00018000,0.02,8
18.0,2014-12-20 00:00:00,call,MGM141220C00018000,9.5,10
18.0,2014-12-20 00:00:00,put,MGM141220P00018000,0.12,15
18.0,2015-03-20 00:00:00,put,MGM150320P00018000,0.19,3100
19.0,2014-09-05 00:00:00,call,MGM140905C00019000,5.85,32
19.0,2014-09-12 00:00:00,call,MGM140912C00019000,6.7,32
19.0,2014-09-20 00:00:00,call,MGM140920C00019000,6.95,60
19.0,2014-09-20 00:00:00,put,MGM140920P00019000,0.06,30
19.0,2014-10-18 00:00:00,call,MGM141018C00019000,6.01,2
19.0,2014-12-20 00:00:00,call,MGM141220C00019000,6.2,20
19.0,2014-12-20 00:00:00,put,MGM141220P00019000,0.09,79
19.0,2015-01-17 00:00:00,call,MGM150117C00019000,6.2,1
19.0,2015-01-17 00:00:00,put,MGM150117P00019000,0.16,28
19.0,2015-03-20 00:00:00,put,MGM150320P00019000,0.3,25
19.5,2014-09-05 00:00:00,call,MGM140905C00019500,5.4,32
19.5,2014-09-20 00:00:00,call,MGM140920C00019500,5.5,38
20.0,2014-09-05 00:00:00,call,MGM140905C00020000,4.8,11
20.0,2014-09-20 00:00:00,call,MGM140920C00020000,5.05,10
20.0,2014-09-20 00:00:00,put,MGM140920P00020000,0.04,2
20.0,2014-10-18 00:00:00,call,MGM141018C00020000,4.55,25
20.0,2014-11-22 00:00:00,put,MGM141122P00020000,0.11,25
20.0,2014-12-20 00:00:00,call,MGM141220C00020000,5.4,2
20.0,2014-12-20 00:00:00,put,MGM141220P00020000,0.14,60
20.0,2015-01-17 00:00:00,call,MGM150117C00020000,4.69,25
20.0,2015-01-17 00:00:00,put,MGM150117P00020000,0.2,98
20.0,2015-03-20 00:00:00,put,MGM150320P00020000,0.41,34
20.0,2016-01-15 00:00:00,call,MGM160115C00020000,6.05,330
20.0,2016-01-15 00:00:00,put,MGM160115P00020000,1.37,10
20.5,2014-09-12 00:00:00,call,MGM140912C00020500,5.25,32
20.5,2014-09-26 00:00:00,put,MGM140926P00020500,0.09,2
21.0,2014-09-20 00:00:00,call,MGM140920C00021000,3.3,8
21.0,2014-09-20 00:00:00,put,MGM140920P00021000,0.02,5
21.0,2014-10-18 00:00:00,call,MGM141018C00021000,3.75,23
21.0,2014-10-18 00:00:00,put,MGM141018P00021000,0.05,1000
21.0,2014-12-20 00:00:00,call,MGM141220C00021000,4.5,2
21.0,2014-12-20 00:00:00,put,MGM141220P00021000,0.24,33
21.0,2015-01-17 00:00:00,call,MGM150117C00021000,3.8,31
21.0,2015-01-17 00:00:00,put,MGM150117P00021000,0.37,468
21.5,2014-09-20 00:00:00,call,MGM140920C00021500,2.91,5
21.5,2014-10-03 00:00:00,put,MGM141003P00021500,0.05,5
22.0,2014-09-05 00:00:00,call,MGM140905C00022000,2.48,32
22.0,2014-09-05 00:00:00,put,MGM140905P00022000,0.04,3
22.0,2014-09-12 00:00:00,put,MGM140912P00022000,0.15,5
22.0,2014-09-20 00:00:00,call,MGM140920C00022000,2.4,3
22.0,2014-09-20 00:00:00,put,MGM140920P00022000,0.04,23
22.0,2014-09-26 00:00:00,put,MGM140926P00022000,0.07,5
22.0,2014-10-18 00:00:00,call,MGM141018C00022000,3.35,5
22.0,2014-10-18 00:00:00,put,MGM141018P00022000,0.16,131
