Strike,Expiry,Type,Symbol,Last,Vol
15.0,2015-01-17 00:00:00,call,MSFT150117C00015000,30.08,2
15.0,2015-01-17 00:00:00,put,MSFT150117P00015000,0.01,30
18.0,2015-01-17 00:00:00,call,MSFT150117C00018000,27.18,2
18.0,2015-01-17 00:00:00,put,MSFT150117P00018000,0.02,29
18.0,2016-01-15 00:00:00,call,MSFT160115C00018000,28.0,2
18.0,2016-01-15 00:00:00,put,MSFT160115P00018000,0.09,5
19.0,2014-10-18 00:00:00,put,MSFT141018P00019000,0.02,1
20.0,2014-10-18 00:00:00,put,MSFT141018P00020000,0.01,10
20.0,2015-01-17 00:00:00,call,MSFT150117C00020000,25.3,3
20.0,2015-01-17 00:00:00,put,MSFT150117P00020000,0.01,5
20.0,2016-01-15 00:00:00,call,MSFT160115C00020000,25.19,39
20.0,2016-01-15 00:00:00,put,MSFT160115P00020000,0.14,53
21.0,2014-10-18 00:00:00,put,MSFT141018P00021000,0.02,11
21.0,2015-01-17 00:00:00,put,MSFT150117P00021000,0.01,8
23.0,2014-10-18 00:00:00,put,MSFT141018P00023000,0.01,18
23.0,2015-01-17 00:00:00,call,MSFT150117C00023000,22.19,50
23.0,2015-01-17 00:00:00,put,MSFT150117P00023000,0.02,250
23.0,2015-04-17 00:00:00,put,MSFT150417P00023000,0.07,36
23.0,2016-01-15 00:00:00,call,MSFT160115C00023000,22.1,59
23.0,2016-01-15 00:00:00,put,MSFT160115P00023000,0.24,1
24.0,2014-10-18 00:00:00,put,MSFT141018P00024000,0.02,174
24.0,2015-01-17 00:00:00,put,MSFT150117P00024000,0.02,10
25.0,2014-10-18 00:00:00,put,MSFT141018P00025000,0.01,10
25.0,2015-01-17 00:00:00,call,MSFT150117C00025000,20.12,156
25.0,2015-01-17 00:00:00,put,MSFT150117P00025000,0.03,9
25.0,2015-04-17 00:00:00,put,MSFT150417P00025000,0.09,5
25.0,2016-01-15 00:00:00,call,MSFT160115C00025000,20.0,10
25.0,2016-01-15 00:00:00,put,MSFT160115P00025000,0.26,10
26.0,2014-10-18 00:00:00,put,MSFT141018P00026000,0.01,40
26.0,2015-01-17 00:00:00,put,MSFT150117P00026000,0.04,586
