Strike,Expiry,Type,Symbol,Last,Vol
45.0,2015-01-17 00:00:00,call,NFLX150117C00045000,396.46,10
45.0,2015-01-17 00:00:00,put,NFLX150117P00045000,0.02,189
47.5,2015-01-17 00:00:00,call,NFLX150117C00047500,305.8,1
47.5,2015-01-17 00:00:00,put,NFLX150117P00047500,0.02,7
50.0,2015-01-17 00:00:00,call,NFLX150117C00050000,291.5,3
50.0,2015-01-17 00:00:00,put,NFLX150117P00050000,0.02,2
50.0,2015-07-17 00:00:00,put,NFLX150717P00050000,0.05,2
50.0,2016-01-15 00:00:00,put,NFLX160115P00050000,0.15,16
55.0,2015-01-17 00:00:00,call,NFLX150117C00055000,262.25,3
55.0,2015-01-17 00:00:00,put,NFLX150117P00055000,0.15,2
55.0,2016-01-15 00:00:00,put,NFLX160115P00055000,0.2,75
60.0,2015-01-17 00:00:00,call,NFLX150117C00060000,266.65,4
60.0,2015-01-17 00:00:00,put,NFLX150117P00060000,0.21,10
60.0,2016-01-15 00:00:00,call,NFLX160115C00060000,284.0,10
60.0,2016-01-15 00:00:00,put,NFLX160115P00060000,0.65,1
65.0,2015-01-17 00:00:00,call,NFLX150117C00065000,246.8,2
65.0,2015-01-17 00:00:00,put,NFLX150117P00065000,0.1,11
65.0,2016-01-15 00:00:00,put,NFLX160115P00065000,0.94,10
70.0,2015-01-17 00:00:00,call,NFLX150117C00070000,356.53,0
70.0,2015-01-17 00:00:00,put,NFLX150117P00070000,0.28,10
70.0,2016-01-15 00:00:00,call,NFLX160115C00070000,400.35,1
70.0,2016-01-15 00:00:00,put,NFLX160115P00070000,1.01,3
72.5,2015-01-17 00:00:00,call,NFLX150117C00072500,251.75,6
72.5,2015-01-17 00:00:00,put,NFLX150117P00072500,0.36,10
75.0,2015-01-17 00:00:00,call,NFLX150117C00075000,372.3,1
75.0,2015-01-17 00:00:00,put,NFLX150117P00075000,0.04,11
75.0,2016-01-15 00:00:00,call,NFLX160115C00075000,333.89,0
75.0,2016-01-15 00:00:00,put,NFLX160115P00075000,0.25,1
