Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,P150117C00003000,22.97,1
3.0,2015-01-17 00:00:00,put,P150117P00003000,0.02,10
5.0,2015-01-17 00:00:00,call,P150117C00005000,19.5,10
5.0,2015-01-17 00:00:00,put,P150117P00005000,0.03,11
7.0,2015-01-17 00:00:00,call,P150117C00007000,30.25,9
7.0,2015-01-17 00:00:00,put,P150117P00007000,0.05,66
10.0,2015-01-17 00:00:00,call,P150117C00010000,18.5,9
10.0,2015-01-17 00:00:00,put,P150117P00010000,0.07,20
12.0,2015-01-17 00:00:00,call,P150117C00012000,15.3,1
12.0,2015-01-17 00:00:00,put,P150117P00012000,0.12,1
13.0,2014-09-20 00:00:00,put,P140920P00013000,0.05,5
13.0,2014-12-20 00:00:00,call,P141220C00013000,14.74,6
13.0,2014-12-20 00:00:00,put,P141220P00013000,0.21,1
13.0,2016-01-15 00:00:00,call,P160115C00013000,13.4,2
13.0,2016-01-15 00:00:00,put,P160115P00013000,0.85,20
14.0,2014-09-20 00:00:00,call,P140920C00014000,12.5,16
14.0,2014-09-20 00:00:00,put,P140920P00014000,0.03,19
14.0,2014-12-20 00:00:00,put,P141220P00014000,0.7,20
14.0,2015-01-17 00:00:00,call,P150117C00014000,10.9,20
14.0,2015-01-17 00:00:00,put,P150117P00014000,0.25,60
14.0,2015-03-20 00:00:00,call,P150320C00014000,13.56,5
14.0,2015-03-20 00:00:00,put,P150320P00014000,0.4,23
15.0,2014-09-20 00:00:00,call,P140920C00015000,13.25,2
15.0,2014-09-20 00:00:00,put,P140920P00015000,0.01,2
15.0,2014-12-20 00:00:00,call,P141220C00015000,13.1,2
15.0,2014-12-20 00:00:00,put,P141220P00015000,0.22,1
15.0,2015-01-17 00:00:00,call,P150117C00015000,9.75,22
15.0,2015-01-17 00:00:00,put,P150117P00015000,0.3,40
15.0,2015-03-20 00:00:00,put,P150320P00015000,0.51,3
15.0,2016-01-15 00:00:00,call,P160115C00015000,13.45,3
15.0,2016-01-15 00:00:00,put,P160115P00015000,1.2,30
16.0,2014-09-20 00:00:00,call,P140920C00016000,10.75,16
16.0,2014-09-20 00:00:00,put,P140920P00016000,0.05,3
16.0,2014-12-20 00:00:00,call,P141220C00016000,9.68,4
16.0,2014-12-20 00:00:00,put,P141220P00016000,0.29,2
16.0,2015-01-17 00:00:00,call,P150117C00016000,11.88,3
16.0,2015-01-17 00:00:00,put,P150117P00016000,0.39,2
16.0,2015-03-20 00:00:00,call,P150320C00016000,10.5,2
16.0,2015-03-20 00:00:00,put,P150320P00016000,0.66,2
17.0,2014-09-20 00:00:00,call,P140920C00017000,10.25,4
17.0,2014-09-20 00:00:00,put,P140920P00017000,0.05,2
17.0,2014-12-20 00:00:00,call,P141220C00017000,8.75,6
17.0,2014-12-20 00:00:00,put,P141220P00017000,0.44,4
17.0,2015-01-17 00:00:00,call,P150117C00017000,9.5,5
17.0,2015-01-17 00:00:00,put,P150117P00017000,0.45,30
18.0,2014-09-20 00:00:00,call,P140920C00018000,7.4,16
18.0,2014-09-20 00:00:00,put,P140920P00018000,0.04,20
18.0,2014-10-18 00:00:00,put,P141018P00018000,0.1,7
18.0,2014-12-20 00:00:00,call,P141220C00018000,9.6,22
18.0,2014-12-20 00:00:00,put,P141220P00018000,0.5,1
18.0,2015-03-20 00:00:00,call,P150320C00018000,10.0,15
18.0,2015-03-20 00:00:00,put,P150320P00018000,1.12,2
18.0,2016-01-15 00:00:00,call,P160115C00018000,12.4,20
18.0,2016-01-15 00:00:00,put,P160115P00018000,1.92,115
18.5,2014-09-05 00:00:00,call,P140905C00018500,9.29,1
18.5,2014-09-05 00:00:00,put,P140905P00018500,0.07,1
19.0,2014-09-20 00:00:00,call,P140920C00019000,8.7,17
19.0,2014-09-20 00:00:00,put,P140920P00019000,0.05,72
19.0,2014-09-26 00:00:00,call,P140926C00019000,7.78,10
19.0,2014-09-26 00:00:00,put,P140926P00019000,0.07,9
19.0,2014-12-20 00:00:00,call,P141220C00019000,5.95,1
19.0,2014-12-20 00:00:00,put,P141220P00019000,0.58,50
19.0,2015-01-17 00:00:00,call,P150117C00019000,7.4,2
19.0,2015-01-17 00:00:00,put,P150117P00019000,0.84,32
19.0,2015-03-20 00:00:00,call,P150320C00019000,11.15,11
19.0,2015-03-20 00:00:00,put,P150320P00019000,1.35,35
19.5,2014-09-05 00:00:00,call,P140905C00019500,7.6,44
20.0,2014-09-05 00:00:00,put,P140905P00020000,0.06,15
20.0,2014-09-12 00:00:00,put,P140912P00020000,0.06,2
20.0,2014-09-20 00:00:00,call,P140920C00020000,6.75,5
20.0,2014-09-20 00:00:00,put,P140920P00020000,0.05,51
20.0,2014-09-26 00:00:00,call,P140926C00020000,8.01,2
20.0,2014-09-26 00:00:00,put,P140926P00020000,0.12,2
20.0,2014-10-18 00:00:00,call,P141018C00020000,7.35,15
20.0,2014-10-18 00:00:00,put,P141018P00020000,0.18,1
20.0,2014-12-20 00:00:00,call,P141220C00020000,7.65,2
20.0,2014-12-20 00:00:00,put,P141220P00020000,0.9,21
20.0,2015-01-17 00:00:00,call,P150117C00020000,8.1,2
20.0,2015-01-17 00:00:00,put,P150117P00020000,1.1,10
20.0,2015-03-20 00:00:00,call,P150320C00020000,9.6,10
20.0,2015-03-20 00:00:00,put,P150320P00020000,1.51,25
20.0,2016-01-15 00:00:00,call,P160115C00020000,9.9,11
20.0,2016-01-15 00:00:00,put,P160115P00020000,2.7,115
20.5,2014-09-05 00:00:00,call,P140905C00020500,6.5,12
20.5,2014-09-05 00:00:00,put,P140905P00020500,0.11,10
20.5,2014-09-26 00:00:00,call,P140926C00020500,5.45,17
21.0,2014-09-05 00:00:00,call,P140905C00021000,6.05,59
21.0,2014-09-05 00:00:00,put,P140905P00021000,0.04,100
21.0,2014-09-12 00:00:00,put,P140912P00021000,0.09,50
21.0,2014-09-20 00:00:00,call,P140920C00021000,6.45,20
21.0,2014-09-20 00:00:00,put,P140920P00021000,0.09,2
21.0,2014-09-26 00:00:00,put,P140926P00021000,0.11,15
21.0,2014-10-18 00:00:00,put,P141018P00021000,0.33,1
21.0,2014-12-20 00:00:00,call,P141220C00021000,7.4,1
21.0,2014-12-20 00:00:00,put,P141220P00021000,0.96,10
21.0,2015-01-17 00:00:00,call,P150117C00021000,7.68,2
21.0,2015-01-17 00:00:00,put,P150117P00021000,1.25,8
21.0,2015-03-20 00:00:00,call,P150320C00021000,8.99,1
21.0,2015-03-20 00:00:00,put,P150320P00021000,2.55,3
21.5,2014-09-05 00:00:00,call,P140905C00021500,3.85,10
21.5,2014-09-05 00:00:00,put,P140905P00021500,0.1,1
21.5,2014-09-20 00:00:00,put,P140920P00021500,0.1,5
21.5,2014-09-26 00:00:00,put,P140926P00021500,0.33,19
22.0,2014-09-05 00:00:00,call,P140905C00022000,5.0,12
22.0,2014-09-05 00:00:00,put,P140905P00022000,0.05,10
22.0,2014-09-12 00:00:00,put,P140912P00022000,0.13,3
22.0,2014-09-20 00:00:00,call,P140920C00022000,6.35,1
22.0,2014-09-20 00:00:00,put,P140920P00022000,0.15,7
22.0,2014-09-26 00:00:00,call,P140926C00022000,4.35,31
22.0,2014-09-26 00:00:00,put,P140926P00022000,0.24,3
22.0,2014-10-03 00:00:00,put,P141003P00022000,0.32,10
22.0,2014-10-18 00:00:00,put,P141018P00022000,0.47,6
22.0,2014-12-20 00:00:00,call,P141220C00022000,6.26,1
22.0,2014-12-20 00:00:00,put,P141220P00022000,1.32,1
22.0,2015-01-17 00:00:00,call,P150117C00022000,6.6,101
22.0,2015-01-17 00:00:00,put,P150117P00022000,1.63,2
22.0,2015-03-20 00:00:00,call,P150320C00022000,7.45,2
22.0,2015-03-20 00:00:00,put,P150320P00022000,2.06,54
22.5,2014-09-05 00:00:00,call,P140905C00022500,3.5,25
22.5,2014-09-05 00:00:00,put,P140905P00022500,0.13,2
22.5,2014-09-12 00:00:00,call,P140912C00022500,3.2,2
22.5,2014-09-12 00:00:00,put,P140912P00022500,0.13,5
22.5,2014-09-20 00:00:00,put,P140920P00022500,0.18,10
22.5,2014-09-26 00:00:00,put,P140926P00022500,0.3,2
23.0,2014-09-05 00:00:00,call,P140905C00023000,3.58,4
23.0,2014-09-05 00:00:00,put,P140905P00023000,0.13,14
23.0,2014-09-12 00:00:00,call,P140912C00023000,2.82,25
23.0,2014-09-12 00:00:00,put,P140912P00023000,0.21,1
23.0,2014-09-20 00:00:00,call,P140920C00023000,4.4,10
23.0,2014-09-20 00:00:00,put,P140920P00023000,0.22,3
23.0,2014-09-26 00:00:00,call,P140926C00023000,5.72,8
23.0,2014-09-26 00:00:00,put,P140926P00023000,0.4,10
23.0,2014-10-03 00:00:00,put,P141003P00023000,0.51,4
23.0,2014-10-18 00:00:00,call,P141018C00023000,4.8,1
23.0,2014-10-18 00:00:00,put,P141018P00023000,0.72,4
23.0,2014-12-20 00:00:00,call,P141220C00023000,5.75,6
23.0,2014-12-20 00:00:00,put,P141220P00023000,1.63,72
23.0,2015-03-20 00:00:00,call,P150320C00023000,6.4,1
23.0,2015-03-20 00:00:00,put,P150320P00023000,2.6,5
23.0,2016-01-15 00:00:00,call,P160115C00023000,8.35,1
23.0,2016-01-15 00:00:00,put,P160115P00023000,3.9,10
23.5,2014-09-05 00:00:00,call,P140905C00023500,2.5,10
23.5,2014-09-05 00:00:00,put,P140905P00023500,0.1,17
23.5,2014-09-12 00:00:00,call,P140912C00023500,2.6,3
23.5,2014-09-12 00:00:00,put,P140912P00023500,0.29,10
23.5,2014-09-20 00:00:00,call,P140920C00023500,4.15,1
23.5,2014-09-20 00:00:00,put,P140920P00023500,0.29,47
23.5,2014-09-26 00:00:00,call,P140926C00023500,2.79,16
23.5,2014-09-26 00:00:00,put,P140926P00023500,0.41,11
24.0,2014-09-05 00:00:00,call,P140905C00024000,3.5,19
24.0,2014-09-05 00:00:00,put,P140905P00024000,0.15,10
24.0,2014-09-12 00:00:00,call,P140912C00024000,3.3,1
24.0,2014-09-12 00:00:00,put,P140912P00024000,0.23,20
24.0,2014-09-20 00:00:00,call,P140920C00024000,3.02,20
24.0,2014-09-20 00:00:00,put,P140920P00024000,0.39,8
24.0,2014-09-26 00:00:00,call,P140926C00024000,4.3,15
24.0,2014-09-26 00:00:00,put,P140926P00024000,0.56,128
24.0,2014-10-03 00:00:00,put,P141003P00024000,0.63,1
24.0,2014-10-18 00:00:00,call,P141018C00024000,3.9,1
24.0,2014-10-18 00:00:00,put,P141018P00024000,0.95,52
24.0,2014-12-20 00:00:00,call,P141220C00024000,4.85,1
24.0,2014-12-20 00:00:00,put,P141220P00024000,2.18,10
24.0,2015-01-17 00:00:00,call,P150117C00024000,5.5,4
24.0,2015-01-17 00:00:00,put,P150117P00024000,2.25,4
24.0,2015-03-20 00:00:00,call,P150320C00024000,5.8,2
24.0,2015-03-20 00:00:00,put,P150320P00024000,2.92,1761
24.5,2014-09-05 00:00:00,call,P140905C00024500,3.2,10
24.5,2014-09-05 00:00:00,put,P140905P00024500,0.15,10
24.5,2014-09-12 00:00:00,put,P140912P00024500,0.4,5
24.5,2014-09-20 00:00:00,call,P140920C00024500,2.74,5
24.5,2014-09-20 00:00:00,put,P140920P00024500,0.55,3
24.5,2014-09-26 00:00:00,call,P140926C00024500,4.1,10
24.5,2014-09-26 00:00:00,put,P140926P00024500,0.69,12
24.5,2014-10-03 00:00:00,call,P141003C00024500,3.2,30
24.5,2014-10-03 00:00:00,put,P141003P00024500,0.81,2
25.0,2014-09-05 00:00:00,call,P140905C00025000,2.15,8
25.0,2014-09-05 00:00:00,put,P140905P00025000,0.19,83
25.0,2014-09-12 00:00:00,call,P140912C00025000,3.0,9
25.0,2014-09-12 00:00:00,put,P140912P00025000,0.47,10
25.0,2014-09-20 00:00:00,call,P140920C00025000,2.36,10
25.0,2014-09-20 00:00:00,put,P140920P00025000,0.56,128
25.0,2014-09-26 00:00:00,call,P140926C00025000,2.77,6
25.0,2014-09-26 00:00:00,put,P140926P00025000,0.9,21
25.0,2014-10-03 00:00:00,put,P141003P00025000,0.96,3
25.0,2014-10-18 00:00:00,call,P141018C00025000,3.2,30
25.0,2014-10-18 00:00:00,put,P141018P00025000,1.26,2
25.0,2014-12-20 00:00:00,call,P141220C00025000,4.4,100
25.0,2014-12-20 00:00:00,put,P141220P00025000,2.45,74
25.0,2015-01-17 00:00:00,call,P150117C00025000,4.7,7
25.0,2015-01-17 00:00:00,put,P150117P00025000,2.74,21
25.0,2015-03-20 00:00:00,call,P150320C00025000,5.6,1
