Strike,Expiry,Type,Symbol,Last,Vol
13.0,2015-01-17 00:00:00,call,PFE150117C00013000,15.8,10
13.0,2015-01-17 00:00:00,put,PFE150117P00013000,0.02,2
15.0,2015-01-17 00:00:00,call,PFE150117C00015000,13.8,10
15.0,2015-01-17 00:00:00,put,PFE150117P00015000,0.01,1
15.0,2016-01-15 00:00:00,call,PFE160115C00015000,14.2,6
15.0,2016-01-15 00:00:00,put,PFE160115P00015000,0.09,5
16.0,2014-09-20 00:00:00,put,PFE140920P00016000,0.03,3
16.0,2015-01-17 00:00:00,put,PFE150117P00016000,0.02,2
16.0,2015-03-20 00:00:00,put,PFE150320P00016000,0.02,37
18.0,2014-09-20 00:00:00,put,PFE140920P00018000,0.01,5
18.0,2014-12-20 00:00:00,put,PFE141220P00018000,0.04,5
18.0,2015-01-17 00:00:00,call,PFE150117C00018000,10.5,5
18.0,2015-01-17 00:00:00,put,PFE150117P00018000,0.03,114
18.0,2015-03-20 00:00:00,put,PFE150320P00018000,0.04,20
18.0,2016-01-15 00:00:00,call,PFE160115C00018000,11.3,5
18.0,2016-01-15 00:00:00,put,PFE160115P00018000,0.17,3
19.0,2014-09-20 00:00:00,put,PFE140920P00019000,0.02,122
19.0,2014-12-20 00:00:00,put,PFE141220P00019000,0.02,5
19.0,2015-01-17 00:00:00,put,PFE150117P00019000,0.06,100
19.0,2015-03-20 00:00:00,put,PFE150320P00019000,0.05,20
20.0,2014-09-20 00:00:00,put,PFE140920P00020000,0.05,20
20.0,2014-12-20 00:00:00,put,PFE141220P00020000,0.03,5
20.0,2015-01-17 00:00:00,call,PFE150117C00020000,8.95,20
20.0,2015-01-17 00:00:00,put,PFE150117P00020000,0.05,20
20.0,2015-03-20 00:00:00,put,PFE150320P00020000,0.06,6
20.0,2016-01-15 00:00:00,call,PFE160115C00020000,9.55,1
20.0,2016-01-15 00:00:00,put,PFE160115P00020000,0.42,31
21.0,2014-09-20 00:00:00,call,PFE140920C00021000,8.46,18
21.0,2014-09-20 00:00:00,put,PFE140920P00021000,0.02,4
21.0,2014-12-20 00:00:00,put,PFE141220P00021000,0.08,10
21.0,2015-01-17 00:00:00,put,PFE150117P00021000,0.04,20
21.0,2015-03-20 00:00:00,put,PFE150320P00021000,0.05,10
22.0,2014-09-20 00:00:00,call,PFE140920C00022000,7.52,20
22.0,2014-10-18 00:00:00,call,PFE141018C00022000,7.37,12
22.0,2014-11-22 00:00:00,call,PFE141122C00022000,7.53,47
22.0,2015-01-17 00:00:00,call,PFE150117C00022000,6.6,24
22.0,2015-01-17 00:00:00,put,PFE150117P00022000,0.06,1
22.0,2015-03-20 00:00:00,put,PFE150320P00022000,0.14,2
23.0,2014-09-20 00:00:00,call,PFE140920C00023000,5.9,4
23.0,2014-09-20 00:00:00,put,PFE140920P00023000,0.01,11
23.0,2014-10-18 00:00:00,call,PFE141018C00023000,6.53,18
23.0,2014-10-18 00:00:00,put,PFE141018P00023000,0.01,1
23.0,2014-11-22 00:00:00,call,PFE141122C00023000,6.57,18
23.0,2014-11-22 00:00:00,put,PFE141122P00023000,0.05,5
23.0,2014-12-20 00:00:00,call,PFE141220C00023000,6.3,26
23.0,2014-12-20 00:00:00,put,PFE141220P00023000,0.06,4
23.0,2015-03-20 00:00:00,put,PFE150320P00023000,0.11,25
23.0,2015-06-19 00:00:00,put,PFE150619P00023000,0.26,45
23.0,2016-01-15 00:00:00,call,PFE160115C00023000,6.57,50
23.0,2016-01-15 00:00:00,put,PFE160115P00023000,0.71,778
23.5,2014-09-05 00:00:00,call,PFE140905C00023500,5.05,6
24.0,2014-09-12 00:00:00,put,PFE140912P00024000,0.02,1
24.0,2014-09-20 00:00:00,put,PFE140920P00024000,0.02,5
24.0,2014-10-18 00:00:00,call,PFE141018C00024000,5.49,25
