Strike,Expiry,Type,Symbol,Last,Vol
60.0,2014-09-20 00:00:00,put,SPW140920P00060000,0.4,10
60.0,2014-09-20 00:00:00,put,SPW140920P00060000,0.4,10
60.0,2014-09-20 00:00:00,put,SPW140920P00060000,0.4,10
60.0,2014-09-20 00:00:00,put,SPW140920P00060000,0.4,10
65.0,2014-09-20 00:00:00,put,SPW140920P00065000,0.5,1
65.0,2014-09-20 00:00:00,put,SPW140920P00065000,0.5,1
65.0,2014-09-20 00:00:00,put,SPW140920P00065000,0.5,1
65.0,2014-09-20 00:00:00,put,SPW140920P00065000,0.5,1
70.0,2014-09-20 00:00:00,put,SPW140920P00070000,1.5,0
70.0,2014-09-20 00:00:00,put,SPW140920P00070000,1.5,0
70.0,2014-09-20 00:00:00,put,SPW140920P00070000,1.5,0
70.0,2014-09-20 00:00:00,put,SPW140920P00070000,1.5,0
75.0,2014-09-20 00:00:00,put,SPW140920P00075000,0.6,2
75.0,2014-09-20 00:00:00,put,SPW140920P00075000,0.6,2
75.0,2014-09-20 00:00:00,put,SPW140920P00075000,0.6,2
75.0,2014-09-20 00:00:00,put,SPW140920P00075000,0.6,2
80.0,2014-09-20 00:00:00,put,SPW140920P00080000,0.25,10
80.0,2014-09-20 00:00:00,put,SPW140920P00080000,0.25,10
80.0,2014-09-20 00:00:00,put,SPW140920P00080000,0.25,10
80.0,2014-09-20 00:00:00,put,SPW140920P00080000,0.25,10
85.0,2014-09-20 00:00:00,put,SPW140920P00085000,0.95,2
85.0,2014-09-20 00:00:00,put,SPW140920P00085000,0.95,2
85.0,2014-09-20 00:00:00,put,SPW140920P00085000,0.95,2
85.0,2014-09-20 00:00:00,put,SPW140920P00085000,0.95,2
90.0,2014-09-20 00:00:00,call,SPW140920C00090000,15.78,10
90.0,2014-09-20 00:00:00,call,SPW140920C00090000,15.78,10
90.0,2014-09-20 00:00:00,call,SPW140920C00090000,15.78,10
90.0,2014-09-20 00:00:00,call,SPW140920C00090000,15.78,10
90.0,2014-09-20 00:00:00,put,SPW140920P00090000,2.6,10
90.0,2014-09-20 00:00:00,put,SPW140920P00090000,2.6,10
90.0,2014-09-20 00:00:00,put,SPW140920P00090000,2.6,10
90.0,2014-09-20 00:00:00,put,SPW140920P00090000,2.6,10
95.0,2014-09-20 00:00:00,put,SPW140920P00095000,1.9,19
95.0,2014-09-20 00:00:00,put,SPW140920P00095000,1.9,19
95.0,2014-09-20 00:00:00,put,SPW140920P00095000,1.9,19
95.0,2014-09-20 00:00:00,put,SPW140920P00095000,1.9,19
100.0,2014-09-20 00:00:00,call,SPW140920C00100000,6.0,4
100.0,2014-09-20 00:00:00,call,SPW140920C00100000,6.0,4
100.0,2014-09-20 00:00:00,call,SPW140920C00100000,6.0,4
100.0,2014-09-20 00:00:00,call,SPW140920C00100000,6.0,4
100.0,2014-09-20 00:00:00,put,SPW140920P00100000,0.65,36
100.0,2014-09-20 00:00:00,put,SPW140920P00100000,0.65,36
100.0,2014-09-20 00:00:00,put,SPW140920P00100000,0.65,36
100.0,2014-09-20 00:00:00,put,SPW140920P00100000,0.65,36
105.0,2014-09-20 00:00:00,call,SPW140920C00105000,1.35,52
105.0,2014-09-20 00:00:00,call,SPW140920C00105000,1.35,52
105.0,2014-09-20 00:00:00,call,SPW140920C00105000,1.35,52
105.0,2014-09-20 00:00:00,call,SPW140920C00105000,1.35,52
105.0,2014-09-20 00:00:00,put,SPW140920P00105000,6.53,9
105.0,2014-09-20 00:00:00,put,SPW140920P00105000,6.53,9
105.0,2014-09-20 00:00:00,put,SPW140920P00105000,6.53,9
