Strike,Expiry,Type,Symbol,Last,Vol
10.0,2014-12-20 00:00:00,put,SPY141220P00010000,0.01,20
10.0,2015-12-19 00:00:00,put,SPY151219P00010000,0.01,0
11.0,2014-10-18 00:00:00,put,SPY141018P00011000,0.01,5220
15.0,2015-12-19 00:00:00,put,SPY151219P00015000,0.02,14
15.0,2016-12-16 00:00:00,call,SPY161216C00015000,176.84,120
15.0,2016-12-16 00:00:00,put,SPY161216P00015000,0.01,10
20.0,2014-12-20 00:00:00,put,SPY141220P00020000,0.02,10
20.0,2015-12-19 00:00:00,put,SPY151219P00020000,0.02,0
20.0,2016-12-16 00:00:00,call,SPY161216C00020000,174.07,1
20.0,2016-12-16 00:00:00,put,SPY161216P00020000,0.03,101
25.0,2014-12-20 00:00:00,put,SPY141220P00025000,0.03,0
25.0,2015-12-19 00:00:00,put,SPY151219P00025000,0.02,7
25.0,2016-12-16 00:00:00,put,SPY161216P00025000,0.02,43
30.0,2014-10-18 00:00:00,put,SPY141018P00030000,0.03,0
30.0,2014-12-20 00:00:00,put,SPY141220P00030000,0.01,4
30.0,2015-12-19 00:00:00,put,SPY151219P00030000,0.01,9
30.0,2016-12-16 00:00:00,put,SPY161216P00030000,0.04,39
31.0,2014-10-18 00:00:00,put,SPY141018P00031000,0.02,0
32.0,2014-10-18 00:00:00,put,SPY141018P00032000,0.03,0
33.0,2014-10-18 00:00:00,put,SPY141018P00033000,0.52,0
34.0,2014-10-18 00:00:00,put,SPY141018P00034000,0.03,0
35.0,2014-10-18 00:00:00,put,SPY141018P00035000,0.02,0
35.0,2014-12-20 00:00:00,put,SPY141220P00035000,0.01,18
35.0,2015-12-19 00:00:00,put,SPY151219P00035000,0.03,0
35.0,2016-12-16 00:00:00,put,SPY161216P00035000,0.05,47
40.0,2014-12-20 00:00:00,put,SPY141220P00040000,0.01,8
40.0,2015-06-19 00:00:00,put,SPY150619P00040000,0.11,0
40.0,2015-12-19 00:00:00,put,SPY151219P00040000,0.02,22
40.0,2016-01-15 00:00:00,put,SPY160115P00040000,0.04,3
40.0,2016-12-16 00:00:00,put,SPY161216P00040000,0.08,10
45.0,2014-12-20 00:00:00,put,SPY141220P00045000,0.01,18
45.0,2015-01-17 00:00:00,put,SPY150117P00045000,0.03,0
45.0,2015-06-19 00:00:00,put,SPY150619P00045000,0.03,2
45.0,2015-12-19 00:00:00,put,SPY151219P00045000,0.07,6
45.0,2016-01-15 00:00:00,put,SPY160115P00045000,0.02,1
45.0,2016-12-16 00:00:00,put,SPY161216P00045000,0.09,26
50.0,2014-09-20 00:00:00,put,SPY140920P00050000,0.01,400
50.0,2014-12-20 00:00:00,call,SPY141220C00050000,146.09,10
50.0,2014-12-20 00:00:00,put,SPY141220P00050000,0.02,35
50.0,2015-01-17 00:00:00,put,SPY150117P00050000,0.01,5
50.0,2015-06-19 00:00:00,put,SPY150619P00050000,0.04,4
50.0,2015-12-19 00:00:00,put,SPY151219P00050000,0.07,1
50.0,2016-01-15 00:00:00,put,SPY160115P00050000,0.08,3
50.0,2016-06-17 00:00:00,put,SPY160617P00050000,0.12,10
50.0,2016-12-16 00:00:00,call,SPY161216C00050000,148.2,2
50.0,2016-12-16 00:00:00,put,SPY161216P00050000,0.15,1083
55.0,2014-09-20 00:00:00,put,SPY140920P00055000,0.01,10
55.0,2014-12-20 00:00:00,put,SPY141220P00055000,0.01,5
55.0,2015-01-17 00:00:00,put,SPY150117P00055000,0.01,15
55.0,2015-06-19 00:00:00,put,SPY150619P00055000,0.04,8
55.0,2015-12-19 00:00:00,put,SPY151219P00055000,0.04,10
55.0,2016-01-15 00:00:00,put,SPY160115P00055000,0.09,200
55.0,2016-06-17 00:00:00,put,SPY160617P00055000,0.15,11
55.0,2016-12-16 00:00:00,put,SPY161216P00055000,0.19,43
60.0,2014-09-20 00:00:00,put,SPY140920P00060000,0.01,189
60.0,2014-10-18 00:00:00,put,SPY141018P00060000,0.01,1
60.0,2014-12-20 00:00:00,call,SPY141220C00060000,119.35,0
60.0,2014-12-20 00:00:00,put,SPY141220P00060000,0.01,605
60.0,2015-01-17 00:00:00,put,SPY150117P00060000,0.01,5
60.0,2015-06-19 00:00:00,put,SPY150619P00060000,0.05,8
60.0,2015-12-19 00:00:00,put,SPY151219P00060000,0.07,1
60.0,2016-01-15 00:00:00,put,SPY160115P00060000,0.08,1
60.0,2016-06-17 00:00:00,put,SPY160617P00060000,0.12,15
60.0,2016-12-16 00:00:00,call,SPY161216C00060000,132.22,2
60.0,2016-12-16 00:00:00,put,SPY161216P00060000,0.28,2
65.0,2014-09-20 00:00:00,put,SPY140920P00065000,0.02,0
65.0,2014-12-20 00:00:00,call,SPY141220C00065000,131.25,2
65.0,2014-12-20 00:00:00,put,SPY141220P00065000,0.05,20
65.0,2015-01-17 00:00:00,put,SPY150117P00065000,0.01,50
65.0,2015-06-19 00:00:00,put,SPY150619P00065000,0.02,18
65.0,2015-12-19 00:00:00,put,SPY151219P00065000,0.1,10
65.0,2016-01-15 00:00:00,put,SPY160115P00065000,0.1,10
65.0,2016-06-17 00:00:00,put,SPY160617P00065000,0.18,376
65.0,2016-12-16 00:00:00,put,SPY161216P00065000,0.31,150
70.0,2014-09-20 00:00:00,put,SPY140920P00070000,0.04,0
70.0,2014-10-18 00:00:00,put,SPY141018P00070000,0.01,1
70.0,2014-12-20 00:00:00,call,SPY141220C00070000,126.4,19
70.0,2014-12-20 00:00:00,put,SPY141220P00070000,0.01,35
70.0,2015-01-17 00:00:00,call,SPY150117C00070000,117.7,2
70.0,2015-01-17 00:00:00,put,SPY150117P00070000,0.01,10
70.0,2015-06-19 00:00:00,put,SPY150619P00070000,0.1,6
70.0,2015-12-19 00:00:00,call,SPY151219C00070000,123.0,1
70.0,2015-12-19 00:00:00,put,SPY151219P00070000,0.16,5
70.0,2016-01-15 00:00:00,put,SPY160115P00070000,0.12,1
70.0,2016-06-17 00:00:00,put,SPY160617P00070000,0.21,927
70.0,2016-12-16 00:00:00,put,SPY161216P00070000,0.4,1
75.0,2014-09-20 00:00:00,put,SPY140920P00075000,0.04,0
75.0,2014-10-18 00:00:00,put,SPY141018P00075000,0.01,30
75.0,2014-12-20 00:00:00,put,SPY141220P00075000,0.01,6500
75.0,2015-01-17 00:00:00,put,SPY150117P00075000,0.01,50
75.0,2015-06-19 00:00:00,put,SPY150619P00075000,0.21,6
75.0,2015-12-19 00:00:00,call,SPY151219C00075000,112.7,2
75.0,2015-12-19 00:00:00,put,SPY151219P00075000,0.2,1
75.0,2016-01-15 00:00:00,put,SPY160115P00075000,0.19,100
75.0,2016-06-17 00:00:00,put,SPY160617P00075000,0.29,532
75.0,2016-12-16 00:00:00,put,SPY161216P00075000,0.46,324
80.0,2014-09-20 00:00:00,put,SPY140920P00080000,0.03,140
80.0,2014-10-18 00:00:00,put,SPY141018P00080000,0.01,1
80.0,2014-12-20 00:00:00,call,SPY141220C00080000,115.88,8
80.0,2014-12-20 00:00:00,put,SPY141220P00080000,0.01,5470
80.0,2015-01-17 00:00:00,put,SPY150117P00080000,0.01,35
80.0,2015-03-20 00:00:00,put,SPY150320P00080000,0.03,1
80.0,2015-06-19 00:00:00,put,SPY150619P00080000,0.08,50
80.0,2015-09-18 00:00:00,put,SPY150918P00080000,0.08,50
80.0,2015-12-19 00:00:00,call,SPY151219C00080000,116.0,10
80.0,2015-12-19 00:00:00,put,SPY151219P00080000,0.19,2
80.0,2016-01-15 00:00:00,put,SPY160115P00080000,0.19,6
80.0,2016-06-17 00:00:00,put,SPY160617P00080000,0.36,561
80.0,2016-12-16 00:00:00,put,SPY161216P00080000,0.56,512
85.0,2014-09-20 00:00:00,put,SPY140920P00085000,0.01,1000
85.0,2014-09-30 00:00:00,put,SPY140930P00085000,0.05,20
85.0,2014-10-18 00:00:00,put,SPY141018P00085000,0.02,50
85.0,2014-12-20 00:00:00,call,SPY141220C00085000,96.8,0
85.0,2014-12-20 00:00:00,put,SPY141220P00085000,0.01,1209
