Strike,Expiry,Type,Symbol,Last,Vol
18.0,2015-01-17 00:00:00,call,T150117C00018000,18.0,4
18.0,2015-01-17 00:00:00,put,T150117P00018000,0.02,3
18.0,2016-01-15 00:00:00,call,T160115C00018000,18.0,1
18.0,2016-01-15 00:00:00,put,T160115P00018000,0.16,20
19.0,2015-01-17 00:00:00,put,T150117P00019000,0.02,150
20.0,2014-10-18 00:00:00,put,T141018P00020000,0.02,1
20.0,2015-01-17 00:00:00,call,T150117C00020000,15.81,5
20.0,2015-01-17 00:00:00,put,T150117P00020000,0.02,5
20.0,2015-06-19 00:00:00,put,T150619P00020000,0.11,2
20.0,2016-01-15 00:00:00,call,T160115C00020000,14.5,10
20.0,2016-01-15 00:00:00,put,T160115P00020000,0.23,5
21.0,2014-10-18 00:00:00,put,T141018P00021000,0.01,9
21.0,2015-01-17 00:00:00,put,T150117P00021000,0.05,10
21.0,2015-04-17 00:00:00,put,T150417P00021000,0.1,12
23.0,2014-10-18 00:00:00,put,T141018P00023000,0.02,1
23.0,2015-01-17 00:00:00,put,T150117P00023000,0.05,3
23.0,2015-04-17 00:00:00,put,T150417P00023000,0.11,1
23.0,2015-06-19 00:00:00,put,T150619P00023000,0.17,10
23.0,2016-01-15 00:00:00,put,T160115P00023000,0.45,91
24.0,2014-10-18 00:00:00,call,T141018C00024000,12.06,6
24.0,2014-10-18 00:00:00,put,T141018P00024000,0.03,4
24.0,2015-01-17 00:00:00,put,T150117P00024000,0.12,32
24.0,2015-04-17 00:00:00,put,T150417P00024000,0.13,1
25.0,2014-10-18 00:00:00,put,T141018P00025000,0.02,1
25.0,2014-11-22 00:00:00,call,T141122C00025000,9.5,1
25.0,2014-11-22 00:00:00,put,T141122P00025000,0.07,10
25.0,2015-01-17 00:00:00,call,T150117C00025000,12.15,5
25.0,2015-01-17 00:00:00,put,T150117P00025000,0.08,10
25.0,2015-04-17 00:00:00,put,T150417P00025000,0.2,11
25.0,2015-06-19 00:00:00,call,T150619C00025000,12.25,5
25.0,2015-06-19 00:00:00,put,T150619P00025000,0.23,22
25.0,2016-01-15 00:00:00,call,T160115C00025000,9.78,10
25.0,2016-01-15 00:00:00,put,T160115P00025000,0.68,4
26.0,2014-09-20 00:00:00,call,T140920C00026000,9.9,2
26.0,2014-09-20 00:00:00,put,T140920P00026000,0.02,1
26.0,2014-10-18 00:00:00,put,T141018P00026000,0.03,65
26.0,2014-11-22 00:00:00,put,T141122P00026000,0.08,15
26.0,2015-01-17 00:00:00,put,T150117P00026000,0.1,10
26.0,2015-04-17 00:00:00,put,T150417P00026000,0.28,10
27.0,2014-09-20 00:00:00,call,T140920C00027000,9.15,74
27.0,2014-09-20 00:00:00,put,T140920P00027000,0.02,10
27.0,2014-10-18 00:00:00,put,T141018P00027000,0.02,2
27.0,2014-11-22 00:00:00,put,T141122P00027000,0.07,50
27.0,2014-12-20 00:00:00,put,T141220P00027000,0.08,5
27.0,2015-01-17 00:00:00,call,T150117C00027000,8.55,4
27.0,2015-01-17 00:00:00,put,T150117P00027000,0.1,20
27.0,2015-04-17 00:00:00,put,T150417P00027000,0.3,20
28.0,2014-09-12 00:00:00,put,T140912P00028000,0.01,400
28.0,2014-09-20 00:00:00,call,T140920C00028000,8.05,97
28.0,2014-09-20 00:00:00,put,T140920P00028000,0.01,200
28.0,2014-10-18 00:00:00,call,T141018C00028000,7.95,5
28.0,2014-10-18 00:00:00,put,T141018P00028000,0.04,1
28.0,2014-11-22 00:00:00,put,T141122P00028000,0.11,40
28.0,2015-01-17 00:00:00,call,T150117C00028000,6.3,4
28.0,2015-01-17 00:00:00,put,T150117P00028000,0.16,25
28.0,2015-04-17 00:00:00,put,T150417P00028000,0.38,15
28.0,2015-06-19 00:00:00,call,T150619C00028000,6.9,1
28.0,2015-06-19 00:00:00,put,T150619P00028000,0.59,3
28.0,2016-01-15 00:00:00,call,T160115C00028000,6.85,5
28.0,2016-01-15 00:00:00,put,T160115P00028000,1.23,6
29.0,2014-09-12 00:00:00,put,T140912P00029000,0.02,100
29.0,2014-09-20 00:00:00,put,T140920P00029000,0.01,1
29.0,2014-10-18 00:00:00,call,T141018C00029000,6.75,18
