Strike,Expiry,Type,Symbol,Last,Vol
30.0,2015-01-17 00:00:00,call,TBT150117C00030000,32.5,2
30.0,2015-01-17 00:00:00,put,TBT150117P00030000,0.05,3
30.0,2016-01-15 00:00:00,call,TBT160115C00030000,24.15,1
30.0,2016-01-15 00:00:00,put,TBT160115P00030000,0.18,16
35.0,2015-01-17 00:00:00,call,TBT150117C00035000,24.0,2
35.0,2015-01-17 00:00:00,put,TBT150117P00035000,0.04,10
35.0,2015-06-19 00:00:00,put,TBT150619P00035000,0.11,53
35.0,2016-01-15 00:00:00,call,TBT160115C00035000,19.7,1
35.0,2016-01-15 00:00:00,put,TBT160115P00035000,0.58,10
40.0,2015-01-17 00:00:00,call,TBT150117C00040000,17.85,1
40.0,2015-01-17 00:00:00,put,TBT150117P00040000,0.08,1
40.0,2015-03-20 00:00:00,call,TBT150320C00040000,17.15,1
40.0,2015-03-20 00:00:00,put,TBT150320P00040000,0.21,4
40.0,2015-06-19 00:00:00,call,TBT150619C00040000,16.0,20
40.0,2015-06-19 00:00:00,put,TBT150619P00040000,0.53,5
40.0,2016-01-15 00:00:00,call,TBT160115C00040000,15.07,20
40.0,2016-01-15 00:00:00,put,TBT160115P00040000,1.38,10
41.0,2015-03-20 00:00:00,put,TBT150320P00041000,0.29,8
42.0,2015-01-17 00:00:00,call,TBT150117C00042000,20.6,1
42.0,2015-01-17 00:00:00,put,TBT150117P00042000,0.15,12
43.0,2015-01-17 00:00:00,call,TBT150117C00043000,20.35,1
44.0,2014-10-18 00:00:00,put,TBT141018P00044000,0.06,1
44.0,2015-01-17 00:00:00,put,TBT150117P00044000,0.32,4
45.0,2014-09-20 00:00:00,put,TBT140920P00045000,0.04,100
45.0,2014-10-18 00:00:00,put,TBT141018P00045000,0.11,90
45.0,2014-12-20 00:00:00,put,TBT141220P00045000,0.3,10
45.0,2015-01-17 00:00:00,call,TBT150117C00045000,9.35,18
45.0,2015-01-17 00:00:00,put,TBT150117P00045000,0.43,12
45.0,2015-03-20 00:00:00,call,TBT150320C00045000,9.8,3
45.0,2015-03-20 00:00:00,put,TBT150320P00045000,0.79,3
45.0,2015-06-19 00:00:00,call,TBT150619C00045000,10.11,22
45.0,2015-06-19 00:00:00,put,TBT150619P00045000,1.3,11
45.0,2016-01-15 00:00:00,call,TBT160115C00045000,11.26,16
45.0,2016-01-15 00:00:00,put,TBT160115P00045000,2.58,160
46.0,2014-10-18 00:00:00,put,TBT141018P00046000,0.1,6
46.0,2014-12-20 00:00:00,call,TBT141220C00046000,8.55,56
46.0,2014-12-20 00:00:00,put,TBT141220P00046000,0.42,112
46.0,2015-03-20 00:00:00,call,TBT150320C00046000,10.35,29
46.0,2015-03-20 00:00:00,put,TBT150320P00046000,0.92,12
47.0,2014-09-20 00:00:00,put,TBT140920P00047000,0.06,2
47.0,2014-10-18 00:00:00,put,TBT141018P00047000,0.11,3
47.0,2014-12-20 00:00:00,call,TBT141220C00047000,7.94,10
47.0,2014-12-20 00:00:00,put,TBT141220P00047000,0.54,53
47.0,2015-03-20 00:00:00,call,TBT150320C00047000,10.75,1
47.0,2015-03-20 00:00:00,put,TBT150320P00047000,0.85,20
48.0,2014-09-20 00:00:00,put,TBT140920P00048000,0.08,1
48.0,2014-10-18 00:00:00,put,TBT141018P00048000,0.22,3
48.0,2014-12-20 00:00:00,call,TBT141220C00048000,8.65,10
48.0,2014-12-20 00:00:00,put,TBT141220P00048000,0.7,10
48.0,2015-03-20 00:00:00,put,TBT150320P00048000,1.13,3
49.0,2014-09-20 00:00:00,put,TBT140920P00049000,0.11,18
49.0,2014-10-18 00:00:00,call,TBT141018C00049000,5.65,11
49.0,2014-10-18 00:00:00,put,TBT141018P00049000,0.34,5
49.0,2014-12-20 00:00:00,put,TBT141220P00049000,0.88,4
49.0,2015-03-20 00:00:00,call,TBT150320C00049000,9.73,3
49.0,2015-03-20 00:00:00,put,TBT150320P00049000,1.44,20
49.5,2014-09-20 00:00:00,put,TBT140920P00049500,0.14,25
50.0,2014-09-20 00:00:00,call,TBT140920C00050000,4.11,1
50.0,2014-09-20 00:00:00,put,TBT140920P00050000,0.18,32
50.0,2014-10-03 00:00:00,put,TBT141003P00050000,0.21,10
50.0,2014-10-18 00:00:00,call,TBT141018C00050000,4.47,2
50.0,2014-10-18 00:00:00,put,TBT141018P00050000,0.48,134
50.0,2014-12-20 00:00:00,call,TBT141220C00050000,6.08,20
50.0,2014-12-20 00:00:00,put,TBT141220P00050000,1.14,30
50.0,2015-01-17 00:00:00,call,TBT150117C00050000,5.55,24
50.0,2015-01-17 00:00:00,put,TBT150117P00050000,1.47,32
50.0,2015-03-20 00:00:00,call,TBT150320C00050000,6.15,18
50.0,2015-03-20 00:00:00,put,TBT150320P00050000,2.0,10
50.0,2015-06-19 00:00:00,call,TBT150619C00050000,6.9,13
50.0,2015-06-19 00:00:00,put,TBT150619P00050000,2.95,11
50.0,2016-01-15 00:00:00,call,TBT160115C00050000,8.62,26
50.0,2016-01-15 00:00:00,put,TBT160115P00050000,4.71,18
51.0,2014-09-05 00:00:00,call,TBT140905C00051000,3.43,5
51.0,2014-09-05 00:00:00,put,TBT140905P00051000,0.05,56
51.0,2014-09-12 00:00:00,call,TBT140912C00051000,4.0,20
51.0,2014-09-12 00:00:00,put,TBT140912P00051000,0.13,22
51.0,2014-09-20 00:00:00,call,TBT140920C00051000,3.5,103
51.0,2014-09-20 00:00:00,put,TBT140920P00051000,0.29,70
51.0,2014-09-26 00:00:00,call,TBT140926C00051000,3.45,100
51.0,2014-09-26 00:00:00,put,TBT140926P00051000,0.28,3
51.0,2014-10-03 00:00:00,call,TBT141003C00051000,5.6,1
51.0,2014-10-03 00:00:00,put,TBT141003P00051000,0.48,10
51.0,2014-10-18 00:00:00,call,TBT141018C00051000,3.8,20
51.0,2014-10-18 00:00:00,put,TBT141018P00051000,0.61,676
51.0,2014-12-20 00:00:00,call,TBT141220C00051000,4.7,33
51.0,2014-12-20 00:00:00,put,TBT141220P00051000,1.45,6
51.0,2015-03-20 00:00:00,call,TBT150320C00051000,5.43,6
51.0,2015-03-20 00:00:00,put,TBT150320P00051000,2.5,13
51.5,2014-09-05 00:00:00,put,TBT140905P00051500,0.09,51
51.5,2014-09-20 00:00:00,call,TBT140920C00051500,2.94,8
51.5,2014-09-20 00:00:00,put,TBT140920P00051500,0.37,5
51.5,2014-09-26 00:00:00,call,TBT140926C00051500,4.5,2
51.5,2014-09-26 00:00:00,put,TBT140926P00051500,0.46,107
51.5,2014-10-03 00:00:00,call,TBT141003C00051500,5.65,2
51.5,2014-10-03 00:00:00,put,TBT141003P00051500,0.6,5
52.0,2014-09-05 00:00:00,call,TBT140905C00052000,2.3,1
52.0,2014-09-05 00:00:00,put,TBT140905P00052000,0.16,1315
52.0,2014-09-12 00:00:00,call,TBT140912C00052000,2.4,1
52.0,2014-09-12 00:00:00,put,TBT140912P00052000,0.25,72
52.0,2014-09-20 00:00:00,call,TBT140920C00052000,2.87,23
52.0,2014-09-20 00:00:00,put,TBT140920P00052000,0.43,125
52.0,2014-09-26 00:00:00,call,TBT140926C00052000,4.0,16
52.0,2014-09-26 00:00:00,put,TBT140926P00052000,0.51,6
52.0,2014-10-03 00:00:00,call,TBT141003C00052000,5.2,1
52.0,2014-10-03 00:00:00,put,TBT141003P00052000,0.76,1
52.0,2014-10-18 00:00:00,call,TBT141018C00052000,2.93,69
52.0,2014-10-18 00:00:00,put,TBT141018P00052000,0.9,40
52.0,2014-12-20 00:00:00,call,TBT141220C00052000,5.6,5
52.0,2014-12-20 00:00:00,put,TBT141220P00052000,1.89,14
52.0,2015-03-20 00:00:00,put,TBT150320P00052000,1.98,25
52.5,2014-09-05 00:00:00,call,TBT140905C00052500,1.91,10
52.5,2014-09-05 00:00:00,put,TBT140905P00052500,0.16,380
52.5,2014-09-12 00:00:00,call,TBT140912C00052500,2.0,5
52.5,2014-09-12 00:00:00,put,TBT140912P00052500,0.4,12
52.5,2014-09-20 00:00:00,call,TBT140920C00052500,2.34,3
52.5,2014-09-20 00:00:00,put,TBT140920P00052500,0.64,96
52.5,2014-09-26 00:00:00,call,TBT140926C00052500,2.3,13
52.5,2014-09-26 00:00:00,put,TBT140926P00052500,0.73,33
52.5,2014-10-03 00:00:00,put,TBT141003P00052500,0.91,3
53.0,2014-09-05 00:00:00,call,TBT140905C00053000,1.62,260
53.0,2014-09-05 00:00:00,put,TBT140905P00053000,0.25,945
53.0,2014-09-12 00:00:00,call,TBT140912C00053000,1.64,4
53.0,2014-09-12 00:00:00,put,TBT140912P00053000,0.46,21
53.0,2014-09-20 00:00:00,call,TBT140920C00053000,1.86,82
53.0,2014-09-20 00:00:00,put,TBT140920P00053000,0.77,13
53.0,2014-09-26 00:00:00,call,TBT140926C00053000,1.97,71
53.0,2014-09-26 00:00:00,put,TBT140926P00053000,0.89,4
53.0,2014-10-03 00:00:00,call,TBT141003C00053000,3.3,1
53.0,2014-10-03 00:00:00,put,TBT141003P00053000,1.12,34
53.0,2014-10-18 00:00:00,call,TBT141018C00053000,2.32,1
53.0,2014-10-18 00:00:00,put,TBT141018P00053000,1.35,167
53.0,2014-12-20 00:00:00,call,TBT141220C00053000,3.2,41
53.0,2014-12-20 00:00:00,put,TBT141220P00053000,2.2,26
53.0,2015-01-17 00:00:00,call,TBT150117C00053000,3.8,5
53.0,2015-01-17 00:00:00,put,TBT150117P00053000,2.58,80
53.0,2015-03-20 00:00:00,call,TBT150320C00053000,4.31,20
53.0,2015-03-20 00:00:00,put,TBT150320P00053000,2.48,3
53.5,2014-09-05 00:00:00,call,TBT140905C00053500,1.25,83
53.5,2014-09-05 00:00:00,put,TBT140905P00053500,0.4,928
53.5,2014-09-12 00:00:00,call,TBT140912C00053500,1.47,1
53.5,2014-09-12 00:00:00,put,TBT140912P00053500,0.68,5
53.5,2014-09-20 00:00:00,call,TBT140920C00053500,1.7,27
53.5,2014-09-20 00:00:00,put,TBT140920P00053500,0.85,81
53.5,2014-09-26 00:00:00,call,TBT140926C00053500,3.6,11
53.5,2014-09-26 00:00:00,put,TBT140926P00053500,1.15,1
53.5,2014-10-03 00:00:00,call,TBT141003C00053500,1.8,5
53.5,2014-10-03 00:00:00,put,TBT141003P00053500,1.28,2
54.0,2014-09-05 00:00:00,call,TBT140905C00054000,0.83,719
