Strike,Expiry,Type,Symbol,Last,Vol
55.0,2015-01-17 00:00:00,put,TLT150117P00055000,0.06,0
60.0,2015-01-17 00:00:00,put,TLT150117P00060000,0.02,3
60.0,2016-01-15 00:00:00,put,TLT160115P00060000,0.07,6
65.0,2015-01-17 00:00:00,put,TLT150117P00065000,0.01,3
70.0,2015-01-17 00:00:00,put,TLT150117P00070000,0.01,4
70.0,2016-01-15 00:00:00,put,TLT160115P00070000,0.11,214
75.0,2014-09-20 00:00:00,put,TLT140920P00075000,0.09,20
75.0,2014-12-20 00:00:00,put,TLT141220P00075000,0.22,2
75.0,2015-01-17 00:00:00,put,TLT150117P00075000,0.05,7
75.0,2016-01-15 00:00:00,put,TLT160115P00075000,0.2,15
78.0,2014-09-20 00:00:00,put,TLT140920P00078000,0.02,41
80.0,2014-09-20 00:00:00,put,TLT140920P00080000,0.23,0
80.0,2015-01-17 00:00:00,put,TLT150117P00080000,0.04,204
80.0,2016-01-15 00:00:00,put,TLT160115P00080000,0.3,10
85.0,2014-09-20 00:00:00,put,TLT140920P00085000,0.03,1
85.0,2014-12-20 00:00:00,put,TLT141220P00085000,0.12,10
85.0,2015-01-17 00:00:00,put,TLT150117P00085000,0.02,200
85.0,2016-01-15 00:00:00,put,TLT160115P00085000,0.54,15
86.0,2014-09-20 00:00:00,put,TLT140920P00086000,0.03,20
87.0,2014-09-20 00:00:00,put,TLT140920P00087000,0.03,68
88.0,2014-09-20 00:00:00,put,TLT140920P00088000,0.1,2
89.0,2014-09-20 00:00:00,put,TLT140920P00089000,0.1,20
89.0,2014-12-20 00:00:00,put,TLT141220P00089000,0.01,20
90.0,2014-09-20 00:00:00,put,TLT140920P00090000,0.03,1
90.0,2014-12-20 00:00:00,put,TLT141220P00090000,0.05,2
90.0,2015-01-17 00:00:00,put,TLT150117P00090000,0.03,40
90.0,2015-03-20 00:00:00,put,TLT150320P00090000,0.11,20
90.0,2016-01-15 00:00:00,call,TLT160115C00090000,29.5,2
90.0,2016-01-15 00:00:00,put,TLT160115P00090000,0.82,2
91.0,2014-09-20 00:00:00,put,TLT140920P00091000,0.02,5
91.0,2014-12-20 00:00:00,put,TLT141220P00091000,0.04,70
92.0,2014-09-20 00:00:00,put,TLT140920P00092000,0.05,125
92.0,2014-12-20 00:00:00,put,TLT141220P00092000,0.06,3
93.0,2014-09-20 00:00:00,put,TLT140920P00093000,0.05,2
93.0,2014-12-20 00:00:00,put,TLT141220P00093000,0.16,10
94.0,2014-09-20 00:00:00,put,TLT140920P00094000,0.01,2
94.0,2014-12-20 00:00:00,put,TLT141220P00094000,0.1,10
95.0,2014-09-20 00:00:00,call,TLT140920C00095000,23.95,2
95.0,2014-09-20 00:00:00,put,TLT140920P00095000,0.02,10
95.0,2014-10-18 00:00:00,put,TLT141018P00095000,0.1,20
95.0,2014-12-20 00:00:00,put,TLT141220P00095000,0.04,60
95.0,2015-01-17 00:00:00,call,TLT150117C00095000,19.26,5
95.0,2015-01-17 00:00:00,put,TLT150117P00095000,0.06,20
95.0,2015-03-20 00:00:00,put,TLT150320P00095000,0.17,4
95.0,2016-01-15 00:00:00,call,TLT160115C00095000,24.2,30
95.0,2016-01-15 00:00:00,put,TLT160115P00095000,1.31,12
96.0,2014-09-20 00:00:00,put,TLT140920P00096000,0.01,6
96.0,2014-12-20 00:00:00,put,TLT141220P00096000,0.09,5
96.0,2016-01-15 00:00:00,call,TLT160115C00096000,15.43,12
96.0,2016-01-15 00:00:00,put,TLT160115P00096000,2.0,5
97.0,2014-09-20 00:00:00,put,TLT140920P00097000,0.01,43
97.0,2014-12-20 00:00:00,put,TLT141220P00097000,0.11,10
97.0,2015-03-20 00:00:00,put,TLT150320P00097000,0.43,120
97.0,2016-01-15 00:00:00,put,TLT160115P00097000,1.8,3
98.0,2014-09-20 00:00:00,put,TLT140920P00098000,0.02,20
98.0,2014-10-18 00:00:00,put,TLT141018P00098000,0.06,27
98.0,2014-12-20 00:00:00,put,TLT141220P00098000,0.13,90
98.0,2015-03-20 00:00:00,put,TLT150320P00098000,0.16,12
98.0,2016-01-15 00:00:00,call,TLT160115C00098000,17.82,2
98.0,2016-01-15 00:00:00,put,TLT160115P00098000,2.67,3
99.0,2014-09-20 00:00:00,call,TLT140920C00099000,14.95,2
99.0,2014-09-20 00:00:00,put,TLT140920P00099000,0.03,1
99.0,2014-12-20 00:00:00,put,TLT141220P00099000,0.1,2
99.0,2015-03-20 00:00:00,put,TLT150320P00099000,0.66,20
99.0,2015-06-19 00:00:00,put,TLT150619P00099000,0.8,2
99.0,2016-01-15 00:00:00,call,TLT160115C00099000,13.18,124
99.0,2016-01-15 00:00:00,put,TLT160115P00099000,3.1,2
100.0,2014-09-20 00:00:00,call,TLT140920C00100000,17.35,2
100.0,2014-09-20 00:00:00,put,TLT140920P00100000,0.01,21
