Strike,Expiry,Type,Symbol,Last,Vol
8.0,2015-01-17 00:00:00,call,TMUS1150117C00008000,8.57,0
8.0,2015-01-17 00:00:00,put,TMUS1150117P00008000,0.2,0
10.0,2015-01-17 00:00:00,call,TMUS1150117C00010000,9.5,0
10.0,2015-01-17 00:00:00,call,TMUS150117C00010000,12.1,0
10.0,2015-01-17 00:00:00,put,TMUS1150117P00010000,,0
10.0,2015-01-17 00:00:00,put,TMUS150117P00010000,0.02,3
12.0,2015-01-17 00:00:00,call,TMUS1150117C00012000,7.0,0
12.0,2015-01-17 00:00:00,put,TMUS1150117P00012000,,0
13.0,2015-01-17 00:00:00,put,TMUS150117P00013000,0.02,5
15.0,2014-11-22 00:00:00,call,TMUS141122C00015000,16.25,2
15.0,2015-01-17 00:00:00,call,TMUS1150117C00015000,5.19,3
15.0,2015-01-17 00:00:00,call,TMUS150117C00015000,16.44,3
15.0,2015-01-17 00:00:00,put,TMUS1150117P00015000,1.36,0
15.0,2015-01-17 00:00:00,put,TMUS150117P00015000,0.05,5
15.0,2016-01-15 00:00:00,call,TMUS160115C00015000,18.6,3
15.0,2016-01-15 00:00:00,put,TMUS160115P00015000,0.62,10
16.0,2015-01-17 00:00:00,put,TMUS150117P00016000,0.06,5
17.0,2015-01-17 00:00:00,call,TMUS1150117C00017000,2.4,0
17.0,2015-01-17 00:00:00,call,TMUS150117C00017000,12.85,1
17.0,2015-01-17 00:00:00,put,TMUS1150117P00017000,1.65,0
17.0,2015-01-17 00:00:00,put,TMUS150117P00017000,0.1,5
18.0,2014-11-22 00:00:00,call,TMUS141122C00018000,14.45,1
18.0,2014-11-22 00:00:00,put,TMUS141122P00018000,0.02,5
18.0,2015-02-20 00:00:00,put,TMUS150220P00018000,0.3,10
18.0,2016-01-15 00:00:00,call,TMUS160115C00018000,16.0,10
18.0,2016-01-15 00:00:00,put,TMUS160115P00018000,0.37,21
19.0,2014-10-18 00:00:00,call,TMUS141018C00019000,11.05,45
19.0,2015-01-17 00:00:00,put,TMUS150117P00019000,0.12,2
19.0,2015-02-20 00:00:00,put,TMUS150220P00019000,0.48,2
20.0,2014-09-20 00:00:00,call,TMUS140920C00020000,10.3,60
20.0,2014-11-22 00:00:00,call,TMUS141122C00020000,10.15,11
20.0,2015-01-17 00:00:00,call,TMUS1150117C00020000,1.68,11
20.0,2015-01-17 00:00:00,call,TMUS150117C00020000,10.2,2
20.0,2015-01-17 00:00:00,put,TMUS1150117P00020000,1.6,10
20.0,2015-01-17 00:00:00,put,TMUS150117P00020000,0.15,19
20.0,2016-01-15 00:00:00,call,TMUS160115C00020000,10.26,1
20.0,2016-01-15 00:00:00,put,TMUS160115P00020000,0.62,5
21.0,2014-10-18 00:00:00,call,TMUS141018C00021000,9.2,15
21.0,2014-11-22 00:00:00,put,TMUS141122P00021000,0.36,3
21.0,2015-01-17 00:00:00,put,TMUS150117P00021000,0.2,1
21.0,2015-02-20 00:00:00,call,TMUS150220C00021000,8.5,1
21.0,2015-02-20 00:00:00,put,TMUS150220P00021000,0.72,5
22.0,2015-01-17 00:00:00,call,TMUS1150117C00022000,3.05,20
22.0,2015-01-17 00:00:00,call,TMUS150117C00022000,7.35,1
22.0,2015-01-17 00:00:00,put,TMUS150117P00022000,0.2,12
23.0,2014-11-22 00:00:00,call,TMUS141122C00023000,8.6,1
23.0,2015-02-20 00:00:00,put,TMUS150220P00023000,0.59,43
23.0,2016-01-15 00:00:00,call,TMUS160115C00023000,8.5,4
23.0,2016-01-15 00:00:00,put,TMUS160115P00023000,1.31,6
24.0,2014-09-12 00:00:00,put,TMUS140912P00024000,0.02,5
24.0,2014-09-20 00:00:00,call,TMUS140920C00024000,6.1,100
24.0,2014-09-20 00:00:00,put,TMUS140920P00024000,0.22,3
24.0,2014-10-18 00:00:00,put,TMUS141018P00024000,0.2,24
24.0,2014-11-22 00:00:00,call,TMUS141122C00024000,5.55,10
24.0,2014-11-22 00:00:00,put,TMUS141122P00024000,0.42,10
24.0,2015-01-17 00:00:00,call,TMUS150117C00024000,6.61,2
24.0,2015-01-17 00:00:00,put,TMUS150117P00024000,0.72,50
24.0,2015-02-20 00:00:00,call,TMUS150220C00024000,6.4,10
24.0,2015-02-20 00:00:00,put,TMUS150220P00024000,1.11,2
24.5,2014-09-20 00:00:00,put,TMUS140920P00024500,0.07,2
25.0,2014-10-18 00:00:00,call,TMUS141018C00025000,5.25,20
25.0,2014-10-18 00:00:00,put,TMUS141018P00025000,0.11,10
25.0,2014-11-22 00:00:00,call,TMUS141122C00025000,5.4,19
25.0,2014-11-22 00:00:00,put,TMUS141122P00025000,0.36,12
25.0,2015-01-17 00:00:00,call,TMUS1150117C00025000,0.05,10
25.0,2015-01-17 00:00:00,call,TMUS150117C00025000,5.6,32
25.0,2015-01-17 00:00:00,put,TMUS150117P00025000,0.59,40
25.0,2015-02-20 00:00:00,call,TMUS150220C00025000,5.5,10
25.0,2015-02-20 00:00:00,put,TMUS150220P00025000,0.83,1
25.0,2016-01-15 00:00:00,call,TMUS160115C00025000,6.6,30
25.0,2016-01-15 00:00:00,put,TMUS160115P00025000,1.9,32
26.0,2014-09-20 00:00:00,put,TMUS140920P00026000,0.05,184
26.0,2014-10-18 00:00:00,put,TMUS141018P00026000,0.25,8
26.0,2014-11-22 00:00:00,call,TMUS141122C00026000,4.6,17
26.0,2014-11-22 00:00:00,put,TMUS141122P00026000,0.6,8
26.0,2015-01-17 00:00:00,call,TMUS150117C00026000,5.6,1
26.0,2015-01-17 00:00:00,put,TMUS150117P00026000,1.06,20
26.0,2015-02-20 00:00:00,put,TMUS150220P00026000,1.22,15
26.5,2014-09-05 00:00:00,call,TMUS140905C00026500,5.15,10
26.5,2014-09-05 00:00:00,put,TMUS140905P00026500,0.3,10
27.0,2014-09-20 00:00:00,call,TMUS140920C00027000,3.25,13
27.0,2014-09-20 00:00:00,put,TMUS140920P00027000,0.19,10
27.0,2014-10-18 00:00:00,put,TMUS141018P00027000,0.3,13
27.0,2014-11-22 00:00:00,call,TMUS141122C00027000,3.85,15
27.0,2014-11-22 00:00:00,put,TMUS141122P00027000,0.55,6
27.0,2015-01-17 00:00:00,call,TMUS150117C00027000,4.3,4
27.0,2015-01-17 00:00:00,put,TMUS150117P00027000,0.9,3
27.0,2015-02-20 00:00:00,call,TMUS150220C00027000,4.3,10
27.0,2015-02-20 00:00:00,put,TMUS150220P00027000,1.22,11
27.0,2016-01-15 00:00:00,call,TMUS160115C00027000,9.5,15
27.0,2016-01-15 00:00:00,put,TMUS160115P00027000,2.99,1
27.5,2014-09-05 00:00:00,call,TMUS140905C00027500,2.5,4
27.5,2014-09-05 00:00:00,put,TMUS140905P00027500,0.19,3
27.5,2014-09-20 00:00:00,call,TMUS140920C00027500,2.73,10
27.5,2014-09-20 00:00:00,put,TMUS140920P00027500,0.26,100
28.0,2014-09-12 00:00:00,put,TMUS140912P00028000,0.2,10
28.0,2014-09-20 00:00:00,call,TMUS140920C00028000,2.3,2
28.0,2014-09-20 00:00:00,put,TMUS140920P00028000,0.33,100
28.0,2014-10-18 00:00:00,call,TMUS141018C00028000,2.7,34
28.0,2014-10-18 00:00:00,put,TMUS141018P00028000,0.62,8
28.0,2014-11-22 00:00:00,call,TMUS141122C00028000,3.5,10
28.0,2014-11-22 00:00:00,put,TMUS141122P00028000,1.15,26
28.0,2015-01-17 00:00:00,call,TMUS150117C00028000,3.1,12
28.0,2015-01-17 00:00:00,put,TMUS150117P00028000,1.55,40
28.0,2015-02-20 00:00:00,call,TMUS150220C00028000,4.0,1
28.0,2015-02-20 00:00:00,put,TMUS150220P00028000,2.0,3
28.5,2014-09-05 00:00:00,put,TMUS140905P00028500,0.1,38
28.5,2014-09-12 00:00:00,put,TMUS140912P00028500,0.6,1
28.5,2014-09-20 00:00:00,call,TMUS140920C00028500,1.49,1
28.5,2014-09-20 00:00:00,put,TMUS140920P00028500,0.7,3
29.0,2014-09-05 00:00:00,call,TMUS140905C00029000,1.45,3
29.0,2014-09-05 00:00:00,put,TMUS140905P00029000,0.5,3
29.0,2014-09-12 00:00:00,put,TMUS140912P00029000,0.65,8
29.0,2014-09-20 00:00:00,call,TMUS140920C00029000,2.2,15
29.0,2014-09-20 00:00:00,put,TMUS140920P00029000,0.61,100
29.0,2014-09-26 00:00:00,call,TMUS140926C00029000,1.96,2
29.0,2014-09-26 00:00:00,put,TMUS140926P00029000,1.5,7
29.0,2014-10-18 00:00:00,call,TMUS141018C00029000,2.4,4
29.0,2014-10-18 00:00:00,put,TMUS141018P00029000,1.14,40
29.0,2014-11-22 00:00:00,call,TMUS141122C00029000,2.8,38
29.0,2014-11-22 00:00:00,put,TMUS141122P00029000,1.5,14
29.0,2015-01-17 00:00:00,call,TMUS150117C00029000,3.25,15
29.0,2015-01-17 00:00:00,put,TMUS150117P00029000,2.17,30
29.0,2015-02-20 00:00:00,call,TMUS150220C00029000,2.76,10
29.0,2015-02-20 00:00:00,put,TMUS150220P00029000,1.9,11
29.5,2014-09-05 00:00:00,call,TMUS140905C00029500,0.85,2
29.5,2014-09-05 00:00:00,put,TMUS140905P00029500,0.3,34
29.5,2014-09-12 00:00:00,call,TMUS140912C00029500,0.5,3
29.5,2014-09-20 00:00:00,call,TMUS140920C00029500,1.33,6
