Strike,Expiry,Type,Symbol,Last,Vol
2.5,2014-09-20 00:00:00,call,TSLA140920C00002500,210.8,9
10.0,2014-09-20 00:00:00,call,TSLA140920C00010000,235.25,1
10.0,2015-01-17 00:00:00,call,TSLA150117C00010000,221.8,11
10.0,2015-01-17 00:00:00,put,TSLA150117P00010000,0.01,2
10.0,2015-03-20 00:00:00,put,TSLA150320P00010000,0.06,4
12.5,2015-01-17 00:00:00,put,TSLA150117P00012500,0.04,2
12.5,2016-01-15 00:00:00,call,TSLA160115C00012500,248.0,2
12.5,2016-01-15 00:00:00,put,TSLA160115P00012500,0.11,139
15.0,2014-09-20 00:00:00,put,TSLA140920P00015000,0.02,0
15.0,2015-01-17 00:00:00,put,TSLA150117P00015000,0.01,7
15.0,2016-01-15 00:00:00,call,TSLA160115C00015000,211.4,8
15.0,2016-01-15 00:00:00,put,TSLA160115P00015000,0.05,2
17.5,2014-09-20 00:00:00,call,TSLA140920C00017500,201.94,5
17.5,2014-09-20 00:00:00,put,TSLA140920P00017500,0.02,1
17.5,2016-01-15 00:00:00,put,TSLA160115P00017500,0.28,0
18.0,2015-01-17 00:00:00,call,TSLA150117C00018000,103.9,0
18.0,2015-01-17 00:00:00,put,TSLA150117P00018000,0.01,2
20.0,2014-09-20 00:00:00,put,TSLA140920P00020000,0.02,1
20.0,2015-01-17 00:00:00,call,TSLA150117C00020000,232.5,1
20.0,2015-01-17 00:00:00,put,TSLA150117P00020000,0.03,1
20.0,2016-01-15 00:00:00,call,TSLA160115C00020000,214.85,18
20.0,2016-01-15 00:00:00,put,TSLA160115P00020000,0.05,32
22.5,2014-09-20 00:00:00,put,TSLA140920P00022500,0.25,5
22.5,2016-01-15 00:00:00,put,TSLA160115P00022500,0.22,3
23.0,2015-01-17 00:00:00,call,TSLA150117C00023000,205.35,2
23.0,2015-01-17 00:00:00,put,TSLA150117P00023000,0.13,12
25.0,2014-09-20 00:00:00,put,TSLA140920P00025000,0.02,5
25.0,2015-01-17 00:00:00,call,TSLA150117C00025000,200.5,4
25.0,2015-01-17 00:00:00,put,TSLA150117P00025000,0.01,1
25.0,2016-01-15 00:00:00,put,TSLA160115P00025000,0.1,10
28.0,2015-01-17 00:00:00,call,TSLA150117C00028000,115.9,0
28.0,2015-01-17 00:00:00,put,TSLA150117P00028000,0.02,82
30.0,2014-09-20 00:00:00,call,TSLA140920C00030000,157.2,9
30.0,2014-09-20 00:00:00,put,TSLA140920P00030000,0.02,5
30.0,2015-01-17 00:00:00,call,TSLA150117C00030000,203.66,1
30.0,2015-01-17 00:00:00,put,TSLA150117P00030000,0.02,31
30.0,2016-01-15 00:00:00,put,TSLA160115P00030000,0.25,3
32.0,2015-01-17 00:00:00,call,TSLA150117C00032000,151.12,0
32.0,2015-01-17 00:00:00,put,TSLA150117P00032000,0.02,2
35.0,2014-09-20 00:00:00,put,TSLA140920P00035000,0.03,10
35.0,2015-01-17 00:00:00,call,TSLA150117C00035000,193.81,3
35.0,2015-01-17 00:00:00,put,TSLA150117P00035000,0.01,1
35.0,2016-01-15 00:00:00,put,TSLA160115P00035000,0.32,11
37.0,2015-01-17 00:00:00,call,TSLA150117C00037000,169.1,1
37.0,2015-01-17 00:00:00,put,TSLA150117P00037000,0.15,2
40.0,2014-09-20 00:00:00,put,TSLA140920P00040000,0.25,20
40.0,2015-01-17 00:00:00,call,TSLA150117C00040000,176.75,2
40.0,2015-01-17 00:00:00,put,TSLA150117P00040000,0.01,41
40.0,2016-01-15 00:00:00,call,TSLA160115C00040000,174.0,2
40.0,2016-01-15 00:00:00,put,TSLA160115P00040000,0.45,1
42.0,2015-01-17 00:00:00,call,TSLA150117C00042000,222.0,1
42.0,2015-01-17 00:00:00,put,TSLA150117P00042000,0.13,2
45.0,2014-09-20 00:00:00,put,TSLA140920P00045000,0.02,10
45.0,2014-12-20 00:00:00,put,TSLA141220P00045000,0.15,134
45.0,2015-01-17 00:00:00,call,TSLA150117C00045000,129.9,0
45.0,2015-01-17 00:00:00,put,TSLA150117P00045000,0.05,90
45.0,2016-01-15 00:00:00,put,TSLA160115P00045000,0.4,3
47.0,2015-01-17 00:00:00,call,TSLA150117C00047000,159.9,2
47.0,2015-01-17 00:00:00,put,TSLA150117P00047000,0.1,2
50.0,2014-09-20 00:00:00,put,TSLA140920P00050000,0.08,1
50.0,2015-01-17 00:00:00,call,TSLA150117C00050000,213.0,10
50.0,2015-01-17 00:00:00,put,TSLA150117P00050000,0.08,4
50.0,2015-03-20 00:00:00,put,TSLA150320P00050000,0.11,10
50.0,2016-01-15 00:00:00,call,TSLA160115C00050000,209.5,2
50.0,2016-01-15 00:00:00,put,TSLA160115P00050000,0.6,3
52.5,2015-01-17 00:00:00,call,TSLA150117C00052500,133.8,5
52.5,2015-01-17 00:00:00,put,TSLA150117P00052500,0.07,1
55.0,2014-09-20 00:00:00,put,TSLA140920P00055000,0.14,1
55.0,2014-12-20 00:00:00,put,TSLA141220P00055000,0.02,5
55.0,2015-01-17 00:00:00,call,TSLA150117C00055000,207.0,12
55.0,2015-01-17 00:00:00,put,TSLA150117P00055000,0.07,30
55.0,2015-03-20 00:00:00,put,TSLA150320P00055000,0.05,0
55.0,2016-01-15 00:00:00,call,TSLA160115C00055000,183.15,1
55.0,2016-01-15 00:00:00,put,TSLA160115P00055000,0.5,3
57.5,2015-01-17 00:00:00,call,TSLA150117C00057500,65.3,0
57.5,2015-01-17 00:00:00,put,TSLA150117P00057500,0.14,12
60.0,2014-09-20 00:00:00,put,TSLA140920P00060000,0.1,22
60.0,2014-12-20 00:00:00,call,TSLA141220C00060000,147.3,10
60.0,2014-12-20 00:00:00,put,TSLA141220P00060000,0.13,18
60.0,2015-01-17 00:00:00,call,TSLA150117C00060000,193.0,5
60.0,2015-01-17 00:00:00,put,TSLA150117P00060000,0.1,10
60.0,2016-01-15 00:00:00,call,TSLA160115C00060000,162.1,1
60.0,2016-01-15 00:00:00,put,TSLA160115P00060000,1.0,10
62.5,2015-01-17 00:00:00,call,TSLA150117C00062500,202.0,18
62.5,2015-01-17 00:00:00,put,TSLA150117P00062500,0.15,64
65.0,2014-09-20 00:00:00,put,TSLA140920P00065000,0.37,30
65.0,2015-01-17 00:00:00,call,TSLA150117C00065000,200.46,1
65.0,2015-01-17 00:00:00,put,TSLA150117P00065000,0.08,7
65.0,2016-01-15 00:00:00,call,TSLA160115C00065000,172.0,1
65.0,2016-01-15 00:00:00,put,TSLA160115P00065000,0.65,10
67.5,2015-01-17 00:00:00,call,TSLA150117C00067500,138.55,1
67.5,2015-01-17 00:00:00,put,TSLA150117P00067500,0.15,2
70.0,2014-09-20 00:00:00,put,TSLA140920P00070000,0.02,5
70.0,2014-12-20 00:00:00,put,TSLA141220P00070000,0.73,1
70.0,2015-01-17 00:00:00,call,TSLA150117C00070000,187.9,2
70.0,2015-01-17 00:00:00,put,TSLA150117P00070000,0.07,62
70.0,2015-03-20 00:00:00,put,TSLA150320P00070000,0.25,1
70.0,2016-01-15 00:00:00,call,TSLA160115C00070000,188.0,5
70.0,2016-01-15 00:00:00,put,TSLA160115P00070000,0.87,10
72.5,2015-01-17 00:00:00,call,TSLA150117C00072500,167.5,100
72.5,2015-01-17 00:00:00,put,TSLA150117P00072500,0.13,3
75.0,2014-09-20 00:00:00,put,TSLA140920P00075000,0.02,4
75.0,2014-12-20 00:00:00,call,TSLA141220C00075000,127.49,1
75.0,2014-12-20 00:00:00,put,TSLA141220P00075000,0.4,10
75.0,2015-01-17 00:00:00,call,TSLA150117C00075000,165.0,100
75.0,2015-01-17 00:00:00,put,TSLA150117P00075000,0.05,50
75.0,2015-03-20 00:00:00,put,TSLA150320P00075000,0.25,12
75.0,2016-01-15 00:00:00,call,TSLA160115C00075000,123.0,1
75.0,2016-01-15 00:00:00,put,TSLA160115P00075000,0.91,30
77.5,2015-01-17 00:00:00,call,TSLA150117C00077500,88.95,0
77.5,2015-01-17 00:00:00,put,TSLA150117P00077500,0.15,1
80.0,2014-09-20 00:00:00,call,TSLA140920C00080000,170.85,1
80.0,2014-09-20 00:00:00,put,TSLA140920P00080000,0.02,15
80.0,2014-12-20 00:00:00,call,TSLA141220C00080000,101.1,1
80.0,2014-12-20 00:00:00,put,TSLA141220P00080000,0.12,30
80.0,2015-01-17 00:00:00,call,TSLA150117C00080000,190.0,2
80.0,2015-01-17 00:00:00,put,TSLA150117P00080000,0.09,13
80.0,2015-03-20 00:00:00,put,TSLA150320P00080000,0.26,12
80.0,2016-01-15 00:00:00,call,TSLA160115C00080000,167.71,2
80.0,2016-01-15 00:00:00,put,TSLA160115P00080000,1.1,1
82.5,2015-01-17 00:00:00,call,TSLA150117C00082500,173.85,1
82.5,2015-01-17 00:00:00,put,TSLA150117P00082500,0.3,10
85.0,2014-09-20 00:00:00,put,TSLA140920P00085000,0.02,11
85.0,2014-12-20 00:00:00,call,TSLA141220C00085000,122.3,10
85.0,2014-12-20 00:00:00,put,TSLA141220P00085000,0.25,8
85.0,2015-01-17 00:00:00,call,TSLA150117C00085000,160.0,1
85.0,2015-01-17 00:00:00,put,TSLA150117P00085000,0.15,20
85.0,2015-03-20 00:00:00,put,TSLA150320P00085000,0.25,2
85.0,2016-01-15 00:00:00,call,TSLA160115C00085000,156.35,1
85.0,2016-01-15 00:00:00,put,TSLA160115P00085000,1.18,10
87.5,2015-01-17 00:00:00,call,TSLA150117C00087500,89.6,0
87.5,2015-01-17 00:00:00,put,TSLA150117P00087500,0.22,40
90.0,2014-09-20 00:00:00,put,TSLA140920P00090000,0.01,16
90.0,2014-12-20 00:00:00,put,TSLA141220P00090000,0.16,1
90.0,2015-01-17 00:00:00,call,TSLA150117C00090000,145.0,5
