Strike,Expiry,Type,Symbol,Last,Vol
16.0,2014-09-20 00:00:00,call,TWTR140920C00016000,30.0,3
16.0,2014-09-20 00:00:00,put,TWTR140920P00016000,0.02,29
16.0,2014-11-22 00:00:00,call,TWTR141122C00016000,31.93,3
16.0,2014-11-22 00:00:00,put,TWTR141122P00016000,0.02,2
16.0,2014-12-20 00:00:00,call,TWTR141220C00016000,21.9,10
16.0,2014-12-20 00:00:00,put,TWTR141220P00016000,0.02,50
16.0,2015-01-17 00:00:00,call,TWTR150117C00016000,29.15,1
16.0,2015-01-17 00:00:00,put,TWTR150117P00016000,0.03,170
17.0,2014-09-20 00:00:00,call,TWTR140920C00017000,14.9,2
17.0,2014-09-20 00:00:00,put,TWTR140920P00017000,0.01,48
17.0,2014-11-22 00:00:00,call,TWTR141122C00017000,23.85,2
17.0,2014-11-22 00:00:00,put,TWTR141122P00017000,0.02,15
17.0,2014-12-20 00:00:00,call,TWTR141220C00017000,15.9,1
17.0,2014-12-20 00:00:00,put,TWTR141220P00017000,0.02,15
17.0,2015-01-17 00:00:00,call,TWTR150117C00017000,32.7,5
17.0,2015-01-17 00:00:00,put,TWTR150117P00017000,0.04,20
18.0,2014-09-20 00:00:00,call,TWTR140920C00018000,14.6,2
18.0,2014-09-20 00:00:00,put,TWTR140920P00018000,0.02,12
18.0,2014-11-22 00:00:00,call,TWTR141122C00018000,21.28,1
18.0,2014-11-22 00:00:00,put,TWTR141122P00018000,0.03,10
18.0,2014-12-20 00:00:00,call,TWTR141220C00018000,19.8,10
18.0,2014-12-20 00:00:00,put,TWTR141220P00018000,0.02,30
18.0,2015-01-17 00:00:00,call,TWTR150117C00018000,18.75,1
18.0,2015-01-17 00:00:00,put,TWTR150117P00018000,0.08,21
18.0,2016-01-15 00:00:00,call,TWTR160115C00018000,33.0,2
18.0,2016-01-15 00:00:00,put,TWTR160115P00018000,0.35,3
19.0,2014-09-20 00:00:00,call,TWTR140920C00019000,24.9,2
19.0,2014-09-20 00:00:00,put,TWTR140920P00019000,0.02,14
19.0,2014-11-22 00:00:00,call,TWTR141122C00019000,18.65,48
19.0,2014-11-22 00:00:00,put,TWTR141122P00019000,0.04,15
19.0,2014-12-20 00:00:00,call,TWTR141220C00019000,19.2,10
19.0,2014-12-20 00:00:00,put,TWTR141220P00019000,0.12,10
19.0,2015-01-17 00:00:00,call,TWTR150117C00019000,27.0,3
19.0,2015-01-17 00:00:00,put,TWTR150117P00019000,0.05,3
19.0,2015-03-20 00:00:00,put,TWTR150320P00019000,0.31,4
20.0,2014-09-20 00:00:00,call,TWTR140920C00020000,24.7,20
20.0,2014-09-20 00:00:00,put,TWTR140920P00020000,0.01,56
20.0,2014-11-22 00:00:00,call,TWTR141122C00020000,24.65,2
20.0,2014-11-22 00:00:00,put,TWTR141122P00020000,0.02,1
20.0,2014-12-20 00:00:00,call,TWTR141220C00020000,25.3,10
20.0,2014-12-20 00:00:00,put,TWTR141220P00020000,0.05,25
20.0,2015-01-17 00:00:00,call,TWTR150117C00020000,29.6,7
20.0,2015-01-17 00:00:00,put,TWTR150117P00020000,0.04,15
20.0,2015-03-20 00:00:00,call,TWTR150320C00020000,24.75,4
20.0,2016-01-15 00:00:00,call,TWTR160115C00020000,30.2,10
20.0,2016-01-15 00:00:00,put,TWTR160115P00020000,0.69,116
21.0,2014-09-20 00:00:00,call,TWTR140920C00021000,23.05,27
21.0,2014-09-20 00:00:00,put,TWTR140920P00021000,0.02,1
21.0,2014-11-22 00:00:00,call,TWTR141122C00021000,18.3,2
21.0,2014-11-22 00:00:00,put,TWTR141122P00021000,0.01,25
21.0,2014-12-20 00:00:00,call,TWTR141220C00021000,16.1,2
21.0,2014-12-20 00:00:00,put,TWTR141220P00021000,0.04,1
21.0,2015-01-17 00:00:00,call,TWTR150117C00021000,26.95,2
21.0,2015-01-17 00:00:00,put,TWTR150117P00021000,0.14,1
21.0,2015-03-20 00:00:00,call,TWTR150320C00021000,18.65,20
23.0,2014-09-20 00:00:00,call,TWTR140920C00023000,21.05,23
23.0,2014-09-20 00:00:00,put,TWTR140920P00023000,0.01,1
23.0,2014-11-22 00:00:00,call,TWTR141122C00023000,16.15,10
23.0,2014-11-22 00:00:00,put,TWTR141122P00023000,0.05,10
23.0,2014-12-20 00:00:00,call,TWTR141220C00023000,11.83,2
23.0,2014-12-20 00:00:00,put,TWTR141220P00023000,0.1,3
23.0,2015-01-17 00:00:00,call,TWTR150117C00023000,23.69,14
23.0,2015-01-17 00:00:00,put,TWTR150117P00023000,0.12,3
23.0,2015-03-20 00:00:00,put,TWTR150320P00023000,0.25,40
23.0,2016-01-15 00:00:00,call,TWTR160115C00023000,27.45,2
23.0,2016-01-15 00:00:00,put,TWTR160115P00023000,0.85,1
24.0,2014-09-20 00:00:00,call,TWTR140920C00024000,25.65,4
24.0,2014-09-20 00:00:00,put,TWTR140920P00024000,0.02,140
24.0,2014-11-22 00:00:00,call,TWTR141122C00024000,21.4,2
24.0,2014-11-22 00:00:00,put,TWTR141122P00024000,0.04,5
24.0,2014-12-20 00:00:00,call,TWTR141220C00024000,15.25,10
24.0,2014-12-20 00:00:00,put,TWTR141220P00024000,0.05,2
24.0,2015-01-17 00:00:00,call,TWTR150117C00024000,21.14,20
24.0,2015-01-17 00:00:00,put,TWTR150117P00024000,0.11,9
24.0,2015-03-20 00:00:00,put,TWTR150320P00024000,0.86,5
25.0,2014-09-20 00:00:00,call,TWTR140920C00025000,23.15,10
25.0,2014-09-20 00:00:00,put,TWTR140920P00025000,0.03,40
25.0,2014-11-22 00:00:00,call,TWTR141122C00025000,22.67,3
25.0,2014-11-22 00:00:00,put,TWTR141122P00025000,0.02,11
25.0,2014-12-20 00:00:00,call,TWTR141220C00025000,18.5,10
25.0,2014-12-20 00:00:00,put,TWTR141220P00025000,0.1,7
25.0,2015-01-17 00:00:00,call,TWTR150117C00025000,22.15,305
25.0,2015-01-17 00:00:00,put,TWTR150117P00025000,0.13,163
25.0,2015-03-20 00:00:00,call,TWTR150320C00025000,13.95,0
25.0,2015-03-20 00:00:00,put,TWTR150320P00025000,0.5,1
25.0,2016-01-15 00:00:00,call,TWTR160115C00025000,25.66,12
25.0,2016-01-15 00:00:00,put,TWTR160115P00025000,1.1,15
26.0,2014-09-20 00:00:00,call,TWTR140920C00026000,23.72,5
26.0,2014-09-20 00:00:00,put,TWTR140920P00026000,0.01,1
26.0,2014-11-22 00:00:00,call,TWTR141122C00026000,12.59,8
26.0,2014-11-22 00:00:00,put,TWTR141122P00026000,0.05,10
26.0,2014-12-20 00:00:00,call,TWTR141220C00026000,22.98,5
26.0,2014-12-20 00:00:00,put,TWTR141220P00026000,0.1,2
26.0,2015-01-17 00:00:00,call,TWTR150117C00026000,23.59,1
26.0,2015-01-17 00:00:00,put,TWTR150117P00026000,0.17,1595
26.0,2015-03-20 00:00:00,call,TWTR150320C00026000,13.41,5
26.0,2015-03-20 00:00:00,put,TWTR150320P00026000,0.75,4
27.0,2014-09-20 00:00:00,call,TWTR140920C00027000,23.04,2
27.0,2014-09-20 00:00:00,put,TWTR140920P00027000,0.02,5
27.0,2014-11-22 00:00:00,call,TWTR141122C00027000,10.87,1
27.0,2014-11-22 00:00:00,put,TWTR141122P00027000,0.08,100
27.0,2014-12-20 00:00:00,call,TWTR141220C00027000,12.7,10
27.0,2014-12-20 00:00:00,put,TWTR141220P00027000,0.15,10
27.0,2015-01-17 00:00:00,call,TWTR150117C00027000,18.5,5
27.0,2015-01-17 00:00:00,put,TWTR150117P00027000,0.18,55
28.0,2014-09-20 00:00:00,call,TWTR140920C00028000,19.35,31
28.0,2014-09-20 00:00:00,put,TWTR140920P00028000,0.01,2
28.0,2014-11-22 00:00:00,call,TWTR141122C00028000,17.3,10
28.0,2014-11-22 00:00:00,put,TWTR141122P00028000,0.1,2
28.0,2014-12-20 00:00:00,call,TWTR141220C00028000,17.3,2
28.0,2014-12-20 00:00:00,put,TWTR141220P00028000,0.14,1
28.0,2015-01-17 00:00:00,call,TWTR150117C00028000,17.46,20
28.0,2015-01-17 00:00:00,put,TWTR150117P00028000,0.21,78
28.0,2015-03-20 00:00:00,call,TWTR150320C00028000,16.23,5
28.0,2015-03-20 00:00:00,put,TWTR150320P00028000,0.7,10
28.0,2016-01-15 00:00:00,call,TWTR160115C00028000,20.4,1
28.0,2016-01-15 00:00:00,put,TWTR160115P00028000,1.8,52
29.0,2014-09-20 00:00:00,call,TWTR140920C00029000,15.2,20
29.0,2014-09-20 00:00:00,put,TWTR140920P00029000,0.01,12
29.0,2014-11-22 00:00:00,call,TWTR141122C00029000,16.26,8
29.0,2014-11-22 00:00:00,put,TWTR141122P00029000,0.1,1036
29.0,2014-12-20 00:00:00,call,TWTR141220C00029000,20.56,6
29.0,2014-12-20 00:00:00,put,TWTR141220P00029000,0.19,3
29.0,2015-01-17 00:00:00,call,TWTR150117C00029000,21.1,2
29.0,2015-01-17 00:00:00,put,TWTR150117P00029000,0.24,41
29.0,2015-03-20 00:00:00,call,TWTR150320C00029000,17.35,20
29.0,2015-03-20 00:00:00,put,TWTR150320P00029000,0.6,4
30.0,2014-09-20 00:00:00,call,TWTR140920C00030000,20.0,1
30.0,2014-09-20 00:00:00,put,TWTR140920P00030000,0.01,15
30.0,2014-11-22 00:00:00,call,TWTR141122C00030000,19.66,15
30.0,2014-11-22 00:00:00,put,TWTR141122P00030000,0.14,1004
30.0,2014-12-20 00:00:00,call,TWTR141220C00030000,19.89,46
30.0,2014-12-20 00:00:00,put,TWTR141220P00030000,0.23,344
30.0,2015-01-17 00:00:00,call,TWTR150117C00030000,20.0,31
30.0,2015-01-17 00:00:00,put,TWTR150117P00030000,0.3,21
30.0,2015-03-20 00:00:00,call,TWTR150320C00030000,20.0,1
30.0,2015-03-20 00:00:00,put,TWTR150320P00030000,0.56,5
30.0,2016-01-15 00:00:00,call,TWTR160115C00030000,21.8,5
30.0,2016-01-15 00:00:00,put,TWTR160115P00030000,2.05,12
30.5,2014-09-05 00:00:00,put,TWTR140905P00030500,0.04,10
31.0,2014-09-05 00:00:00,put,TWTR140905P00031000,0.01,2
31.0,2014-09-20 00:00:00,call,TWTR140920C00031000,17.3,12
31.0,2014-09-20 00:00:00,put,TWTR140920P00031000,0.01,5
31.0,2014-11-22 00:00:00,call,TWTR141122C00031000,17.77,8
31.0,2014-11-22 00:00:00,put,TWTR141122P00031000,0.15,1046
31.0,2014-12-20 00:00:00,call,TWTR141220C00031000,18.75,10
31.0,2014-12-20 00:00:00,put,TWTR141220P00031000,0.33,1
31.0,2015-01-17 00:00:00,call,TWTR150117C00031000,18.9,10
31.0,2015-01-17 00:00:00,put,TWTR150117P00031000,0.38,3
31.0,2015-03-20 00:00:00,call,TWTR150320C00031000,9.81,5
31.0,2015-03-20 00:00:00,put,TWTR150320P00031000,0.73,2
31.5,2014-09-05 00:00:00,call,TWTR140905C00031500,11.55,10
31.5,2014-09-05 00:00:00,put,TWTR140905P00031500,0.04,12
32.0,2014-09-05 00:00:00,put,TWTR140905P00032000,0.71,1
32.0,2014-09-20 00:00:00,call,TWTR140920C00032000,17.57,15
32.0,2014-09-20 00:00:00,put,TWTR140920P00032000,0.01,10
32.0,2014-11-22 00:00:00,call,TWTR141122C00032000,16.1,9
32.0,2014-11-22 00:00:00,put,TWTR141122P00032000,0.19,64
32.0,2014-12-20 00:00:00,call,TWTR141220C00032000,18.03,7
32.0,2014-12-20 00:00:00,put,TWTR141220P00032000,0.34,4
32.0,2015-01-17 00:00:00,call,TWTR150117C00032000,17.85,46
32.0,2015-01-17 00:00:00,put,TWTR150117P00032000,0.46,9
32.0,2015-03-20 00:00:00,call,TWTR150320C00032000,16.05,14
32.0,2015-03-20 00:00:00,put,TWTR150320P00032000,0.86,1
32.5,2014-09-05 00:00:00,call,TWTR140905C00032500,12.05,20
32.5,2014-09-05 00:00:00,put,TWTR140905P00032500,0.78,50
33.0,2014-09-05 00:00:00,put,TWTR140905P00033000,0.06,50
33.0,2014-09-20 00:00:00,call,TWTR140920C00033000,16.7,3
33.0,2014-09-20 00:00:00,put,TWTR140920P00033000,0.02,15
33.0,2014-11-22 00:00:00,call,TWTR141122C00033000,16.84,3
33.0,2014-11-22 00:00:00,put,TWTR141122P00033000,0.26,30
33.0,2014-12-20 00:00:00,call,TWTR141220C00033000,16.6,11
33.0,2014-12-20 00:00:00,put,TWTR141220P00033000,0.42,1
33.0,2015-01-17 00:00:00,call,TWTR150117C00033000,17.15,2
33.0,2015-01-17 00:00:00,put,TWTR150117P00033000,0.55,12
33.0,2015-03-20 00:00:00,call,TWTR150320C00033000,17.53,26
33.0,2015-03-20 00:00:00,put,TWTR150320P00033000,1.0,1
33.0,2016-01-15 00:00:00,call,TWTR160115C00033000,19.5,20
33.0,2016-01-15 00:00:00,put,TWTR160115P00033000,2.8,10
33.5,2014-09-05 00:00:00,put,TWTR140905P00033500,0.01,13
34.0,2014-09-05 00:00:00,call,TWTR140905C00034000,9.85,55
34.0,2014-09-05 00:00:00,put,TWTR140905P00034000,0.13,9
34.0,2014-09-20 00:00:00,call,TWTR140920C00034000,15.52,1
34.0,2014-09-20 00:00:00,put,TWTR140920P00034000,0.02,10
34.0,2014-10-18 00:00:00,put,TWTR141018P00034000,0.05,13
34.0,2014-11-22 00:00:00,call,TWTR141122C00034000,15.65,1
34.0,2014-11-22 00:00:00,put,TWTR141122P00034000,0.33,20
34.0,2014-12-20 00:00:00,call,TWTR141220C00034000,15.95,3
34.0,2014-12-20 00:00:00,put,TWTR141220P00034000,0.53,100
34.0,2015-01-17 00:00:00,call,TWTR150117C00034000,15.95,12
34.0,2015-01-17 00:00:00,put,TWTR150117P00034000,0.6,41
34.0,2015-03-20 00:00:00,call,TWTR150320C00034000,13.24,1
34.0,2015-03-20 00:00:00,put,TWTR150320P00034000,2.49,1
34.5,2014-09-05 00:00:00,call,TWTR140905C00034500,10.15,40
34.5,2014-09-05 00:00:00,put,TWTR140905P00034500,0.01,10
35.0,2014-09-05 00:00:00,call,TWTR140905C00035000,9.7,40
35.0,2014-09-05 00:00:00,put,TWTR140905P00035000,0.11,13
35.0,2014-09-20 00:00:00,call,TWTR140920C00035000,14.61,690
35.0,2014-09-20 00:00:00,put,TWTR140920P00035000,0.02,64
35.0,2014-10-18 00:00:00,call,TWTR141018C00035000,14.8,14
35.0,2014-10-18 00:00:00,put,TWTR141018P00035000,0.1,2
35.0,2014-11-22 00:00:00,call,TWTR141122C00035000,15.1,37
35.0,2014-11-22 00:00:00,put,TWTR141122P00035000,0.41,96
35.0,2014-12-20 00:00:00,call,TWTR141220C00035000,15.22,4
35.0,2014-12-20 00:00:00,put,TWTR141220P00035000,0.58,19
35.0,2015-01-17 00:00:00,call,TWTR150117C00035000,15.3,119
35.0,2015-01-17 00:00:00,put,TWTR150117P00035000,0.72,40
35.0,2015-03-20 00:00:00,call,TWTR150320C00035000,16.0,3
35.0,2015-03-20 00:00:00,put,TWTR150320P00035000,1.32,10
35.0,2016-01-15 00:00:00,call,TWTR160115C00035000,18.41,4
35.0,2016-01-15 00:00:00,put,TWTR160115P00035000,3.5,576
35.5,2014-09-05 00:00:00,call,TWTR140905C00035500,13.75,10
35.5,2014-09-05 00:00:00,put,TWTR140905P00035500,0.01,2
36.0,2014-09-05 00:00:00,call,TWTR140905C00036000,11.53,2
36.0,2014-09-05 00:00:00,put,TWTR140905P00036000,0.07,5
36.0,2014-09-20 00:00:00,call,TWTR140920C00036000,13.5,16
36.0,2014-09-20 00:00:00,put,TWTR140920P00036000,0.02,31
36.0,2014-10-18 00:00:00,call,TWTR141018C00036000,13.95,70
36.0,2014-10-18 00:00:00,put,TWTR141018P00036000,0.11,3
36.0,2014-11-22 00:00:00,call,TWTR141122C00036000,14.0,200
36.0,2014-11-22 00:00:00,put,TWTR141122P00036000,0.5,48
36.0,2014-12-20 00:00:00,call,TWTR141220C00036000,10.5,1
36.0,2014-12-20 00:00:00,put,TWTR141220P00036000,0.69,8
36.0,2015-01-17 00:00:00,call,TWTR150117C00036000,14.4,8
36.0,2015-01-17 00:00:00,put,TWTR150117P00036000,0.86,31
36.0,2015-03-20 00:00:00,call,TWTR150320C00036000,13.93,4
36.0,2015-03-20 00:00:00,put,TWTR150320P00036000,2.35,10
36.5,2014-09-05 00:00:00,call,TWTR140905C00036500,8.45,36
36.5,2014-09-05 00:00:00,put,TWTR140905P00036500,0.08,20
36.5,2014-09-26 00:00:00,put,TWTR140926P00036500,0.17,27
37.0,2014-09-05 00:00:00,call,TWTR140905C00037000,10.78,10
37.0,2014-09-05 00:00:00,put,TWTR140905P00037000,0.01,61
37.0,2014-09-12 00:00:00,put,TWTR140912P00037000,0.12,1
37.0,2014-09-20 00:00:00,call,TWTR140920C00037000,12.73,16
37.0,2014-09-20 00:00:00,put,TWTR140920P00037000,0.03,11
37.0,2014-09-26 00:00:00,call,TWTR140926C00037000,7.0,20
37.0,2014-09-26 00:00:00,put,TWTR140926P00037000,0.23,1
37.0,2014-10-18 00:00:00,call,TWTR141018C00037000,12.77,129
37.0,2014-10-18 00:00:00,put,TWTR141018P00037000,0.13,39
37.0,2014-11-22 00:00:00,call,TWTR141122C00037000,13.28,4
37.0,2014-11-22 00:00:00,put,TWTR141122P00037000,0.61,64
37.0,2014-12-20 00:00:00,call,TWTR141220C00037000,13.15,10
37.0,2014-12-20 00:00:00,put,TWTR141220P00037000,0.84,8
37.0,2015-01-17 00:00:00,call,TWTR150117C00037000,13.43,2
37.0,2015-01-17 00:00:00,put,TWTR150117P00037000,1.01,7
37.0,2015-03-20 00:00:00,call,TWTR150320C00037000,12.3,5
37.0,2015-03-20 00:00:00,put,TWTR150320P00037000,1.8,83
37.5,2014-09-05 00:00:00,call,TWTR140905C00037500,12.35,18
37.5,2014-09-05 00:00:00,put,TWTR140905P00037500,0.08,10
37.5,2014-09-20 00:00:00,put,TWTR140920P00037500,0.04,20
37.5,2014-09-26 00:00:00,call,TWTR140926C00037500,6.12,5
37.5,2014-09-26 00:00:00,put,TWTR140926P00037500,0.11,1
