Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,VALE150117C00003000,11.8,4
3.0,2015-01-17 00:00:00,put,VALE150117P00003000,0.03,11
5.0,2015-01-17 00:00:00,call,VALE150117C00005000,8.25,10
5.0,2015-01-17 00:00:00,put,VALE150117P00005000,0.01,50
5.0,2016-01-15 00:00:00,call,VALE160115C00005000,8.1,1
5.0,2016-01-15 00:00:00,put,VALE160115P00005000,0.07,10
6.0,2014-09-20 00:00:00,call,VALE140920C00006000,6.86,2
6.0,2014-09-20 00:00:00,put,VALE140920P00006000,0.02,1
6.0,2014-12-20 00:00:00,call,VALE141220C00006000,7.05,1
6.0,2015-03-20 00:00:00,call,VALE150320C00006000,8.1,25
7.0,2014-09-20 00:00:00,call,VALE140920C00007000,6.35,2
7.0,2014-09-20 00:00:00,put,VALE140920P00007000,0.01,10
7.0,2014-12-20 00:00:00,put,VALE141220P00007000,0.04,5
7.0,2015-01-17 00:00:00,call,VALE150117C00007000,6.05,241
7.0,2015-01-17 00:00:00,put,VALE150117P00007000,0.01,21
7.0,2015-03-20 00:00:00,put,VALE150320P00007000,0.04,5
8.0,2014-09-20 00:00:00,call,VALE140920C00008000,5.32,1
8.0,2014-09-20 00:00:00,put,VALE140920P00008000,0.01,13
8.0,2014-10-18 00:00:00,put,VALE141018P00008000,0.01,5
8.0,2014-12-20 00:00:00,call,VALE141220C00008000,5.7,1
8.0,2014-12-20 00:00:00,put,VALE141220P00008000,0.1,1
8.0,2015-01-17 00:00:00,call,VALE150117C00008000,5.67,5
8.0,2015-01-17 00:00:00,put,VALE150117P00008000,0.02,2
8.0,2015-03-20 00:00:00,call,VALE150320C00008000,6.0,28
8.0,2015-03-20 00:00:00,put,VALE150320P00008000,0.05,40
8.0,2016-01-15 00:00:00,call,VALE160115C00008000,4.95,20
8.0,2016-01-15 00:00:00,put,VALE160115P00008000,0.27,101
9.0,2014-09-20 00:00:00,call,VALE140920C00009000,4.55,1
9.0,2014-09-20 00:00:00,put,VALE140920P00009000,0.01,79
9.0,2014-10-18 00:00:00,call,VALE141018C00009000,4.95,5
9.0,2014-10-18 00:00:00,put,VALE141018P00009000,0.02,5
9.0,2014-11-22 00:00:00,call,VALE141122C00009000,5.25,12
9.0,2014-12-20 00:00:00,call,VALE141220C00009000,4.75,23
9.0,2014-12-20 00:00:00,put,VALE141220P00009000,0.05,106
9.0,2015-01-17 00:00:00,call,VALE150117C00009000,4.15,11
9.0,2015-01-17 00:00:00,put,VALE150117P00009000,0.05,1464
9.0,2015-03-20 00:00:00,call,VALE150320C00009000,5.0,149
9.0,2015-03-20 00:00:00,put,VALE150320P00009000,0.11,1
10.0,2014-09-20 00:00:00,call,VALE140920C00010000,3.7,42
10.0,2014-09-20 00:00:00,put,VALE140920P00010000,0.02,2
10.0,2014-09-26 00:00:00,call,VALE140926C00010000,3.45,2
10.0,2014-10-18 00:00:00,put,VALE141018P00010000,0.03,3
10.0,2014-11-22 00:00:00,call,VALE141122C00010000,3.1,3
10.0,2014-11-22 00:00:00,put,VALE141122P00010000,0.03,200
10.0,2014-12-20 00:00:00,call,VALE141220C00010000,2.96,10
10.0,2014-12-20 00:00:00,put,VALE141220P00010000,0.1,1
10.0,2015-01-17 00:00:00,call,VALE150117C00010000,3.1,52
10.0,2015-01-17 00:00:00,put,VALE150117P00010000,0.12,462
10.0,2015-03-20 00:00:00,call,VALE150320C00010000,3.05,30
10.0,2015-03-20 00:00:00,put,VALE150320P00010000,0.21,25
10.0,2016-01-15 00:00:00,call,VALE160115C00010000,3.3,204
10.0,2016-01-15 00:00:00,put,VALE160115P00010000,0.7,393
10.5,2014-09-20 00:00:00,put,VALE140920P00010500,0.01,10
11.0,2014-09-20 00:00:00,call,VALE140920C00011000,1.9,29
11.0,2014-09-20 00:00:00,put,VALE140920P00011000,0.02,456
11.0,2014-10-18 00:00:00,call,VALE141018C00011000,2.14,60
11.0,2014-10-18 00:00:00,put,VALE141018P00011000,0.09,53
11.0,2014-11-22 00:00:00,call,VALE141122C00011000,2.19,257
11.0,2014-11-22 00:00:00,put,VALE141122P00011000,0.2,50
11.0,2014-12-20 00:00:00,call,VALE141220C00011000,2.05,29
11.0,2014-12-20 00:00:00,put,VALE141220P00011000,0.23,331
11.0,2015-01-17 00:00:00,call,VALE150117C00011000,2.21,20
11.0,2015-01-17 00:00:00,put,VALE150117P00011000,0.3,10
11.0,2015-03-20 00:00:00,call,VALE150320C00011000,2.15,15
11.0,2015-03-20 00:00:00,put,VALE150320P00011000,0.45,35
11.5,2014-09-20 00:00:00,put,VALE140920P00011500,0.03,10
12.0,2014-09-05 00:00:00,call,VALE140905C00012000,1.63,1
12.0,2014-09-05 00:00:00,put,VALE140905P00012000,0.04,15
