Strike,Expiry,Type,Symbol,Last,Vol
23.0,2015-01-17 00:00:00,call,VZ150117C00023000,25.89,2
23.0,2015-01-17 00:00:00,put,VZ150117P00023000,0.02,5
24.0,2015-01-17 00:00:00,call,VZ150117C00024000,25.79,6
24.0,2015-01-17 00:00:00,put,VZ150117P00024000,0.03,10
25.0,2015-01-17 00:00:00,call,VZ150117C00025000,25.51,5
25.0,2015-01-17 00:00:00,put,VZ150117P00025000,0.02,72
25.0,2015-04-17 00:00:00,put,VZ150417P00025000,0.04,25
25.0,2016-01-15 00:00:00,call,VZ160115C00025000,23.95,1
25.0,2016-01-15 00:00:00,put,VZ160115P00025000,0.2,19
26.0,2014-10-18 00:00:00,put,VZ141018P00026000,0.03,100
26.0,2015-01-17 00:00:00,put,VZ150117P00026000,0.04,20
27.0,2015-01-17 00:00:00,put,VZ150117P00027000,0.03,20
28.0,2014-10-18 00:00:00,put,VZ141018P00028000,0.01,2
28.0,2015-01-17 00:00:00,put,VZ150117P00028000,0.03,36
28.0,2016-01-15 00:00:00,put,VZ160115P00028000,0.41,347
29.0,2014-10-18 00:00:00,put,VZ141018P00029000,0.02,10
29.0,2015-01-17 00:00:00,put,VZ150117P00029000,0.03,10
30.0,2014-10-18 00:00:00,call,VZ141018C00030000,19.8,4
30.0,2014-10-18 00:00:00,put,VZ141018P00030000,0.01,30
30.0,2015-01-17 00:00:00,call,VZ150117C00030000,21.0,20
30.0,2015-01-17 00:00:00,put,VZ150117P00030000,0.04,28
30.0,2015-04-17 00:00:00,call,VZ150417C00030000,19.07,1
30.0,2015-04-17 00:00:00,put,VZ150417P00030000,0.1,1
30.0,2016-01-15 00:00:00,call,VZ160115C00030000,18.95,9
30.0,2016-01-15 00:00:00,put,VZ160115P00030000,0.36,46
31.0,2014-10-18 00:00:00,put,VZ141018P00031000,0.03,25
31.0,2015-01-17 00:00:00,put,VZ150117P00031000,0.11,1
31.0,2015-04-17 00:00:00,put,VZ150417P00031000,0.1,1
32.0,2014-10-18 00:00:00,call,VZ141018C00032000,16.9,2
32.0,2014-10-18 00:00:00,put,VZ141018P00032000,0.01,10
