Strike,Expiry,Type,Symbol,Last,Vol
18.0,2015-01-17 00:00:00,put,WAG150117P00018000,0.02,20
20.0,2015-01-17 00:00:00,put,WAG150117P00020000,0.05,10
23.0,2015-01-17 00:00:00,put,WAG150117P00023000,0.01,4
25.0,2015-01-17 00:00:00,put,WAG150117P00025000,0.02,3
28.0,2015-01-17 00:00:00,call,WAG150117C00028000,34.2,50
28.0,2015-01-17 00:00:00,put,WAG150117P00028000,0.03,10
30.0,2015-01-17 00:00:00,call,WAG150117C00030000,37.7,4
30.0,2015-01-17 00:00:00,put,WAG150117P00030000,0.03,10
30.0,2016-01-15 00:00:00,call,WAG160115C00030000,32.45,6
30.0,2016-01-15 00:00:00,put,WAG160115P00030000,0.18,16
33.0,2015-01-17 00:00:00,call,WAG150117C00033000,29.05,4
33.0,2015-01-17 00:00:00,put,WAG150117P00033000,0.04,10
35.0,2015-01-17 00:00:00,call,WAG150117C00035000,25.52,1
35.0,2015-01-17 00:00:00,put,WAG150117P00035000,0.03,13
35.0,2015-04-17 00:00:00,put,WAG150417P00035000,0.06,6
35.0,2016-01-15 00:00:00,call,WAG160115C00035000,38.5,1
35.0,2016-01-15 00:00:00,put,WAG160115P00035000,0.34,1
37.0,2015-01-17 00:00:00,call,WAG150117C00037000,25.07,13
37.0,2015-01-17 00:00:00,put,WAG150117P00037000,0.05,8
37.5,2016-01-15 00:00:00,put,WAG160115P00037500,0.51,15
40.0,2014-10-18 00:00:00,put,WAG141018P00040000,0.03,3
40.0,2015-01-17 00:00:00,call,WAG150117C00040000,21.25,3
40.0,2015-01-17 00:00:00,put,WAG150117P00040000,0.1,5
40.0,2016-01-15 00:00:00,call,WAG160115C00040000,20.95,1
40.0,2016-01-15 00:00:00,put,WAG160115P00040000,0.75,10
42.0,2015-01-17 00:00:00,call,WAG150117C00042000,20.37,4
42.0,2015-01-17 00:00:00,put,WAG150117P00042000,0.12,7
42.5,2014-10-18 00:00:00,put,WAG141018P00042500,0.03,20
42.5,2014-11-22 00:00:00,put,WAG141122P00042500,0.05,12
42.5,2015-04-17 00:00:00,put,WAG150417P00042500,0.28,1
42.5,2016-01-15 00:00:00,call,WAG160115C00042500,19.17,13
42.5,2016-01-15 00:00:00,put,WAG160115P00042500,0.94,10
45.0,2014-09-12 00:00:00,call,WAG140912C00045000,16.02,4
45.0,2014-09-20 00:00:00,put,WAG140920P00045000,0.03,15
45.0,2014-10-18 00:00:00,call,WAG141018C00045000,13.85,1
45.0,2014-10-18 00:00:00,put,WAG141018P00045000,0.03,213
45.0,2014-11-22 00:00:00,call,WAG141122C00045000,16.3,13
45.0,2014-11-22 00:00:00,put,WAG141122P00045000,0.1,9
45.0,2015-01-17 00:00:00,call,WAG150117C00045000,16.0,10
45.0,2015-01-17 00:00:00,put,WAG150117P00045000,0.17,5
45.0,2016-01-15 00:00:00,call,WAG160115C00045000,16.03,5
45.0,2016-01-15 00:00:00,put,WAG160115P00045000,1.45,4
47.0,2015-01-17 00:00:00,call,WAG150117C00047000,14.5,2
47.0,2015-01-17 00:00:00,put,WAG150117P00047000,0.25,22
47.5,2014-09-20 00:00:00,put,WAG140920P00047500,0.02,23
47.5,2014-10-18 00:00:00,call,WAG141018C00047500,14.65,1
47.5,2014-10-18 00:00:00,put,WAG141018P00047500,0.08,5
47.5,2014-11-22 00:00:00,call,WAG141122C00047500,13.83,13
47.5,2014-11-22 00:00:00,put,WAG141122P00047500,0.16,46
47.5,2015-04-17 00:00:00,put,WAG150417P00047500,0.63,2
47.5,2016-01-15 00:00:00,call,WAG160115C00047500,14.9,1
47.5,2016-01-15 00:00:00,put,WAG160115P00047500,1.97,16
50.0,2014-09-05 00:00:00,put,WAG140905P00050000,0.03,5
50.0,2014-09-20 00:00:00,put,WAG140920P00050000,0.01,2
50.0,2014-10-18 00:00:00,call,WAG141018C00050000,11.7,1
50.0,2014-10-18 00:00:00,put,WAG141018P00050000,0.1,10
50.0,2014-11-22 00:00:00,call,WAG141122C00050000,11.0,1
50.0,2014-11-22 00:00:00,put,WAG141122P00050000,0.18,54
50.0,2015-01-17 00:00:00,call,WAG150117C00050000,10.8,25
50.0,2015-01-17 00:00:00,put,WAG150117P00050000,0.46,12
50.0,2015-04-17 00:00:00,call,WAG150417C00050000,11.9,2
50.0,2015-04-17 00:00:00,put,WAG150417P00050000,1.01,6
50.0,2016-01-15 00:00:00,call,WAG160115C00050000,12.4,6
50.0,2016-01-15 00:00:00,put,WAG160115P00050000,2.66,3
51.5,2014-09-26 00:00:00,put,WAG140926P00051500,0.1,4
52.5,2014-09-05 00:00:00,call,WAG140905C00052500,8.0,80
52.5,2014-09-05 00:00:00,put,WAG140905P00052500,0.03,8
52.5,2014-09-12 00:00:00,put,WAG140912P00052500,0.04,2
52.5,2014-09-20 00:00:00,put,WAG140920P00052500,0.05,101
52.5,2014-09-26 00:00:00,put,WAG140926P00052500,0.37,1
52.5,2014-10-18 00:00:00,call,WAG141018C00052500,9.4,30
52.5,2014-10-18 00:00:00,put,WAG141018P00052500,0.16,20
52.5,2014-11-22 00:00:00,call,WAG141122C00052500,10.0,5
52.5,2014-11-22 00:00:00,put,WAG141122P00052500,0.35,5
52.5,2015-01-17 00:00:00,call,WAG150117C00052500,8.9,5
52.5,2015-01-17 00:00:00,put,WAG150117P00052500,0.76,1
52.5,2015-04-17 00:00:00,call,WAG150417C00052500,9.2,4
52.5,2015-04-17 00:00:00,put,WAG150417P00052500,1.43,3
52.5,2016-01-15 00:00:00,call,WAG160115C00052500,10.35,200
52.5,2016-01-15 00:00:00,put,WAG160115P00052500,3.4,3
53.0,2014-09-26 00:00:00,put,WAG140926P00053000,0.06,10
54.0,2014-09-26 00:00:00,put,WAG140926P00054000,0.32,50
54.5,2014-09-26 00:00:00,put,WAG140926P00054500,0.26,7
55.0,2014-09-05 00:00:00,put,WAG140905P00055000,0.02,4
55.0,2014-09-12 00:00:00,put,WAG140912P00055000,0.19,1
55.0,2014-09-20 00:00:00,call,WAG140920C00055000,5.95,4
55.0,2014-09-20 00:00:00,put,WAG140920P00055000,0.07,19
55.0,2014-09-26 00:00:00,put,WAG140926P00055000,0.12,3
55.0,2014-10-03 00:00:00,put,WAG141003P00055000,0.27,1
55.0,2014-10-18 00:00:00,call,WAG141018C00055000,6.0,2
55.0,2014-10-18 00:00:00,put,WAG141018P00055000,0.35,54
55.0,2014-11-22 00:00:00,call,WAG141122C00055000,6.25,3
55.0,2014-11-22 00:00:00,put,WAG141122P00055000,0.7,30
55.0,2015-01-17 00:00:00,call,WAG150117C00055000,6.56,8
55.0,2015-01-17 00:00:00,put,WAG150117P00055000,1.3,10
55.0,2015-04-17 00:00:00,call,WAG150417C00055000,7.8,2
55.0,2015-04-17 00:00:00,put,WAG150417P00055000,2.16,14
55.0,2016-01-15 00:00:00,call,WAG160115C00055000,8.9,1
55.0,2016-01-15 00:00:00,put,WAG160115P00055000,4.35,16
55.5,2014-09-20 00:00:00,put,WAG140920P00055500,0.11,10
55.5,2014-09-26 00:00:00,put,WAG140926P00055500,0.39,31
55.5,2014-10-03 00:00:00,put,WAG141003P00055500,0.3,1
56.0,2014-09-20 00:00:00,put,WAG140920P00056000,0.16,5
56.0,2014-09-26 00:00:00,put,WAG140926P00056000,0.2,1
56.0,2014-10-03 00:00:00,put,WAG141003P00056000,0.38,5
56.5,2014-09-20 00:00:00,put,WAG140920P00056500,0.18,5
56.5,2014-09-26 00:00:00,call,WAG140926C00056500,4.1,1
57.0,2014-09-20 00:00:00,call,WAG140920C00057000,3.65,10
57.0,2014-09-20 00:00:00,put,WAG140920P00057000,0.15,33
57.0,2014-09-26 00:00:00,put,WAG140926P00057000,0.31,4
57.0,2014-10-03 00:00:00,call,WAG141003C00057000,4.7,17
57.0,2014-10-03 00:00:00,put,WAG141003P00057000,0.58,11
57.5,2014-09-05 00:00:00,call,WAG140905C00057500,4.04,1
57.5,2014-09-05 00:00:00,put,WAG140905P00057500,0.04,302
57.5,2014-09-12 00:00:00,call,WAG140912C00057500,3.7,2
57.5,2014-09-12 00:00:00,put,WAG140912P00057500,0.14,40
57.5,2014-09-20 00:00:00,call,WAG140920C00057500,3.45,3
57.5,2014-09-20 00:00:00,put,WAG140920P00057500,0.2,6
57.5,2014-09-26 00:00:00,call,WAG140926C00057500,3.5,50
57.5,2014-09-26 00:00:00,put,WAG140926P00057500,0.31,4
57.5,2014-10-03 00:00:00,call,WAG141003C00057500,4.95,10
57.5,2014-10-03 00:00:00,put,WAG141003P00057500,0.59,2
57.5,2014-10-18 00:00:00,call,WAG141018C00057500,3.85,2
57.5,2014-10-18 00:00:00,put,WAG141018P00057500,0.77,79
57.5,2014-11-22 00:00:00,call,WAG141122C00057500,4.15,4
57.5,2014-11-22 00:00:00,put,WAG141122P00057500,1.37,52
57.5,2015-01-17 00:00:00,call,WAG150117C00057500,5.0,3
57.5,2015-01-17 00:00:00,put,WAG150117P00057500,1.99,21
57.5,2015-04-17 00:00:00,call,WAG150417C00057500,5.8,4
57.5,2015-04-17 00:00:00,put,WAG150417P00057500,2.99,8
57.5,2016-01-15 00:00:00,call,WAG160115C00057500,7.6,2
57.5,2016-01-15 00:00:00,put,WAG160115P00057500,5.6,3
58.0,2014-09-20 00:00:00,call,WAG140920C00058000,2.88,31
58.0,2014-09-20 00:00:00,put,WAG140920P00058000,0.24,5
58.0,2014-09-26 00:00:00,call,WAG140926C00058000,3.43,8
58.0,2014-09-26 00:00:00,put,WAG140926P00058000,0.42,2
58.0,2014-10-03 00:00:00,call,WAG141003C00058000,3.35,8
58.0,2014-10-03 00:00:00,put,WAG141003P00058000,0.7,15
58.5,2014-09-20 00:00:00,call,WAG140920C00058500,2.83,1
58.5,2014-09-20 00:00:00,put,WAG140920P00058500,0.3,31
58.5,2014-09-26 00:00:00,call,WAG140926C00058500,3.7,1
58.5,2014-09-26 00:00:00,put,WAG140926P00058500,0.54,16
58.5,2014-10-03 00:00:00,call,WAG141003C00058500,3.95,12
58.5,2014-10-03 00:00:00,put,WAG141003P00058500,0.92,26
59.0,2014-09-20 00:00:00,call,WAG140920C00059000,2.08,7
59.0,2014-09-20 00:00:00,put,WAG140920P00059000,0.41,22
59.0,2014-09-26 00:00:00,call,WAG140926C00059000,3.25,3
59.0,2014-09-26 00:00:00,put,WAG140926P00059000,0.66,6
59.0,2014-10-03 00:00:00,call,WAG141003C00059000,3.0,13
59.0,2014-10-03 00:00:00,put,WAG141003P00059000,1.14,3
59.5,2014-09-20 00:00:00,call,WAG140920C00059500,1.57,10
59.5,2014-09-20 00:00:00,put,WAG140920P00059500,0.65,20
59.5,2014-09-26 00:00:00,call,WAG140926C00059500,2.2,30
59.5,2014-09-26 00:00:00,put,WAG140926P00059500,0.75,5
59.5,2014-10-03 00:00:00,call,WAG141003C00059500,2.61,1
59.5,2014-10-03 00:00:00,put,WAG141003P00059500,1.17,14
60.0,2014-09-05 00:00:00,call,WAG140905C00060000,0.84,118
60.0,2014-09-05 00:00:00,put,WAG140905P00060000,0.33,955
60.0,2014-09-12 00:00:00,call,WAG140912C00060000,1.26,59
60.0,2014-09-12 00:00:00,put,WAG140912P00060000,0.62,33
60.0,2014-09-20 00:00:00,call,WAG140920C00060000,1.26,79
60.0,2014-09-20 00:00:00,put,WAG140920P00060000,0.8,171
60.0,2014-09-26 00:00:00,call,WAG140926C00060000,1.53,8
60.0,2014-09-26 00:00:00,put,WAG140926P00060000,0.95,13
60.0,2014-10-03 00:00:00,call,WAG141003C00060000,2.07,3
60.0,2014-10-03 00:00:00,put,WAG141003P00060000,1.5,14
60.0,2014-10-18 00:00:00,call,WAG141018C00060000,2.22,18
60.0,2014-10-18 00:00:00,put,WAG141018P00060000,1.65,369
60.0,2014-11-22 00:00:00,call,WAG141122C00060000,2.64,109
60.0,2014-11-22 00:00:00,put,WAG141122P00060000,2.3,20
60.0,2015-01-17 00:00:00,call,WAG150117C00060000,3.4,433
60.0,2015-01-17 00:00:00,put,WAG150117P00060000,3.09,37
60.0,2015-04-17 00:00:00,call,WAG150417C00060000,4.4,90
60.0,2015-04-17 00:00:00,put,WAG150417P00060000,4.28,3
60.0,2016-01-15 00:00:00,call,WAG160115C00060000,6.3,51
60.0,2016-01-15 00:00:00,put,WAG160115P00060000,6.75,9
60.5,2014-09-20 00:00:00,call,WAG140920C00060500,1.01,114
60.5,2014-09-20 00:00:00,put,WAG140920P00060500,0.9,13
60.5,2014-09-26 00:00:00,call,WAG140926C00060500,1.17,1
60.5,2014-09-26 00:00:00,put,WAG140926P00060500,1.16,1
60.5,2014-10-03 00:00:00,call,WAG141003C00060500,1.64,7
60.5,2014-10-03 00:00:00,put,WAG141003P00060500,1.72,2
61.0,2014-09-20 00:00:00,call,WAG140920C00061000,0.77,52
61.0,2014-09-20 00:00:00,put,WAG140920P00061000,1.28,34
61.0,2014-09-26 00:00:00,call,WAG140926C00061000,0.94,8
61.0,2014-09-26 00:00:00,put,WAG140926P00061000,1.56,1
61.0,2014-10-03 00:00:00,call,WAG141003C00061000,1.49,11
61.0,2014-10-03 00:00:00,put,WAG141003P00061000,1.8,10
61.5,2014-09-20 00:00:00,call,WAG140920C00061500,0.56,44
61.5,2014-09-20 00:00:00,put,WAG140920P00061500,1.62,53
61.5,2014-09-26 00:00:00,call,WAG140926C00061500,0.76,5
61.5,2014-09-26 00:00:00,put,WAG140926P00061500,1.39,11
61.5,2014-10-03 00:00:00,call,WAG141003C00061500,1.51,1
61.5,2014-10-03 00:00:00,put,WAG141003P00061500,2.12,5
62.0,2014-09-20 00:00:00,call,WAG140920C00062000,0.41,107
62.0,2014-09-20 00:00:00,put,WAG140920P00062000,2.04,25
62.0,2014-09-26 00:00:00,call,WAG140926C00062000,0.61,43
62.0,2014-09-26 00:00:00,put,WAG140926P00062000,1.7,11
62.0,2014-10-03 00:00:00,call,WAG141003C00062000,0.99,10
62.5,2014-09-12 00:00:00,call,WAG140912C00062500,0.16,94
62.5,2014-09-12 00:00:00,put,WAG140912P00062500,2.22,45
62.5,2014-09-20 00:00:00,call,WAG140920C00062500,0.3,514
62.5,2014-09-20 00:00:00,put,WAG140920P00062500,2.33,29
62.5,2014-09-26 00:00:00,call,WAG140926C00062500,0.73,1
62.5,2014-09-26 00:00:00,put,WAG140926P00062500,1.95,10
62.5,2014-10-03 00:00:00,call,WAG141003C00062500,1.26,1
62.5,2014-10-18 00:00:00,call,WAG141018C00062500,1.07,935
62.5,2014-10-18 00:00:00,put,WAG141018P00062500,3.05,20
62.5,2014-11-22 00:00:00,call,WAG141122C00062500,1.54,19
62.5,2014-11-22 00:00:00,put,WAG141122P00062500,3.7,49
62.5,2015-01-17 00:00:00,call,WAG150117C00062500,2.36,53
62.5,2015-01-17 00:00:00,put,WAG150117P00062500,4.45,4
62.5,2015-04-17 00:00:00,call,WAG150417C00062500,3.23,4
62.5,2015-04-17 00:00:00,put,WAG150417P00062500,5.55,5
62.5,2016-01-15 00:00:00,call,WAG160115C00062500,5.2,2
62.5,2016-01-15 00:00:00,put,WAG160115P00062500,8.04,5
63.0,2014-09-05 00:00:00,call,WAG140905C00063000,0.05,2
63.0,2014-09-05 00:00:00,put,WAG140905P00063000,2.58,10
63.0,2014-09-12 00:00:00,call,WAG140912C00063000,0.12,37
63.0,2014-09-12 00:00:00,put,WAG140912P00063000,2.32,1
63.0,2014-09-20 00:00:00,call,WAG140920C00063000,0.25,199
63.0,2014-09-20 00:00:00,put,WAG140920P00063000,2.59,43
63.0,2014-09-26 00:00:00,call,WAG140926C00063000,0.39,25
63.0,2014-09-26 00:00:00,put,WAG140926P00063000,2.61,1
63.0,2014-10-03 00:00:00,call,WAG141003C00063000,0.7,3
63.0,2014-10-03 00:00:00,put,WAG141003P00063000,3.05,20
63.5,2014-09-12 00:00:00,call,WAG140912C00063500,0.21,5
63.5,2014-09-12 00:00:00,put,WAG140912P00063500,1.9,20
63.5,2014-09-20 00:00:00,call,WAG140920C00063500,0.21,10
63.5,2014-09-20 00:00:00,put,WAG140920P00063500,2.55,2
63.5,2014-09-26 00:00:00,call,WAG140926C00063500,0.57,5
63.5,2014-09-26 00:00:00,put,WAG140926P00063500,2.6,25
63.5,2014-10-03 00:00:00,call,WAG141003C00063500,0.82,1
63.5,2014-10-03 00:00:00,put,WAG141003P00063500,3.4,20
64.0,2014-09-05 00:00:00,call,WAG140905C00064000,0.04,3
64.0,2014-09-05 00:00:00,put,WAG140905P00064000,3.16,2
64.0,2014-09-12 00:00:00,call,WAG140912C00064000,0.21,20
64.0,2014-09-12 00:00:00,put,WAG140912P00064000,3.66,8
64.0,2014-09-20 00:00:00,call,WAG140920C00064000,0.13,10
64.0,2014-09-20 00:00:00,put,WAG140920P00064000,2.8,50
64.0,2014-09-26 00:00:00,call,WAG140926C00064000,0.22,203
64.0,2014-09-26 00:00:00,put,WAG140926P00064000,2.58,4
64.0,2014-10-03 00:00:00,call,WAG141003C00064000,0.7,15
64.0,2014-10-03 00:00:00,put,WAG141003P00064000,3.58,1
64.5,2014-09-12 00:00:00,call,WAG140912C00064500,0.17,5
64.5,2014-09-12 00:00:00,put,WAG140912P00064500,2.68,2
64.5,2014-09-20 00:00:00,call,WAG140920C00064500,0.11,2
64.5,2014-09-20 00:00:00,put,WAG140920P00064500,2.74,10
64.5,2014-09-26 00:00:00,call,WAG140926C00064500,0.71,3
64.5,2014-10-03 00:00:00,call,WAG141003C00064500,0.39,4
64.5,2014-10-03 00:00:00,put,WAG141003P00064500,3.65,4
65.0,2014-09-05 00:00:00,call,WAG140905C00065000,0.03,5
65.0,2014-09-05 00:00:00,put,WAG140905P00065000,4.37,5
65.0,2014-09-12 00:00:00,call,WAG140912C00065000,0.05,7
65.0,2014-09-12 00:00:00,put,WAG140912P00065000,4.57,1
65.0,2014-09-20 00:00:00,call,WAG140920C00065000,0.09,35
65.0,2014-09-20 00:00:00,put,WAG140920P00065000,4.7,120
65.0,2014-09-26 00:00:00,call,WAG140926C00065000,0.14,55
65.0,2014-09-26 00:00:00,put,WAG140926P00065000,4.07,2
65.0,2014-10-03 00:00:00,call,WAG141003C00065000,0.32,11
65.0,2014-10-03 00:00:00,put,WAG141003P00065000,4.44,2
