Strike,Expiry,Type,Symbol,Last,Vol
18.0,2015-01-17 00:00:00,put,WMB150117P00018000,0.06,58
20.0,2015-01-17 00:00:00,call,WMB150117C00020000,37.86,12
20.0,2015-01-17 00:00:00,put,WMB150117P00020000,0.02,3
20.0,2016-01-15 00:00:00,put,WMB160115P00020000,0.12,20
21.0,2015-01-17 00:00:00,put,WMB150117P00021000,0.04,10
23.0,2015-01-17 00:00:00,put,WMB150117P00023000,0.16,350
23.0,2016-01-15 00:00:00,put,WMB160115P00023000,0.15,13
24.0,2014-11-22 00:00:00,put,WMB141122P00024000,0.06,30
24.0,2015-01-17 00:00:00,put,WMB150117P00024000,0.1,49
25.0,2014-11-22 00:00:00,put,WMB141122P00025000,0.03,10
25.0,2015-01-17 00:00:00,call,WMB150117C00025000,21.85,33
25.0,2015-01-17 00:00:00,put,WMB150117P00025000,0.02,3
25.0,2016-01-15 00:00:00,call,WMB160115C00025000,31.85,1
25.0,2016-01-15 00:00:00,put,WMB160115P00025000,0.19,15
26.0,2014-11-22 00:00:00,put,WMB141122P00026000,0.05,10
27.0,2014-11-22 00:00:00,put,WMB141122P00027000,0.06,3
28.0,2015-01-17 00:00:00,call,WMB150117C00028000,19.67,26
28.0,2015-01-17 00:00:00,put,WMB150117P00028000,0.07,6
28.0,2016-01-15 00:00:00,call,WMB160115C00028000,29.17,3
28.0,2016-01-15 00:00:00,put,WMB160115P00028000,0.3,8
29.0,2014-11-22 00:00:00,put,WMB141122P00029000,0.09,10
29.0,2015-01-17 00:00:00,put,WMB150117P00029000,0.04,2
30.0,2014-11-22 00:00:00,put,WMB141122P00030000,0.54,10
30.0,2015-01-17 00:00:00,call,WMB150117C00030000,28.0,50
30.0,2015-01-17 00:00:00,put,WMB150117P00030000,0.05,10
30.0,2015-02-20 00:00:00,put,WMB150220P00030000,0.09,20
30.0,2016-01-15 00:00:00,call,WMB160115C00030000,27.95,40
30.0,2016-01-15 00:00:00,put,WMB160115P00030000,0.37,100
31.0,2014-11-22 00:00:00,put,WMB141122P00031000,0.32,35
32.0,2014-11-22 00:00:00,put,WMB141122P00032000,0.02,21
32.0,2015-01-17 00:00:00,put,WMB150117P00032000,0.67,27
33.0,2014-11-22 00:00:00,put,WMB141122P00033000,0.05,2
33.0,2015-01-17 00:00:00,call,WMB150117C00033000,24.91,47
33.0,2015-01-17 00:00:00,put,WMB150117P00033000,0.09,68
33.0,2016-01-15 00:00:00,call,WMB160115C00033000,22.25,101
33.0,2016-01-15 00:00:00,put,WMB160115P00033000,0.51,50
34.0,2014-11-22 00:00:00,put,WMB141122P00034000,0.04,7
34.0,2015-01-17 00:00:00,put,WMB150117P00034000,0.08,10
35.0,2014-11-22 00:00:00,put,WMB141122P00035000,0.12,20
35.0,2015-01-17 00:00:00,call,WMB150117C00035000,23.0,1
35.0,2015-01-17 00:00:00,put,WMB150117P00035000,0.17,2
35.0,2015-02-20 00:00:00,put,WMB150220P00035000,0.1,12
35.0,2016-01-15 00:00:00,call,WMB160115C00035000,23.5,2
35.0,2016-01-15 00:00:00,put,WMB160115P00035000,0.84,5
36.0,2014-11-22 00:00:00,put,WMB141122P00036000,0.07,1
36.0,2015-01-17 00:00:00,put,WMB150117P00036000,0.08,28
37.0,2014-11-22 00:00:00,put,WMB141122P00037000,0.82,3
37.0,2015-01-17 00:00:00,call,WMB150117C00037000,20.6,3
37.0,2015-01-17 00:00:00,put,WMB150117P00037000,0.12,13
37.0,2016-01-15 00:00:00,call,WMB160115C00037000,18.17,1
37.0,2016-01-15 00:00:00,put,WMB160115P00037000,1.32,2
38.0,2014-11-22 00:00:00,call,WMB141122C00038000,5.14,2
38.0,2014-11-22 00:00:00,put,WMB141122P00038000,0.09,3
38.0,2015-01-17 00:00:00,call,WMB150117C00038000,9.32,50
38.0,2015-01-17 00:00:00,put,WMB150117P00038000,0.13,10
39.0,2014-11-22 00:00:00,call,WMB141122C00039000,8.07,5
39.0,2014-11-22 00:00:00,put,WMB141122P00039000,0.08,8
39.0,2015-01-17 00:00:00,call,WMB150117C00039000,8.75,10
39.0,2015-01-17 00:00:00,put,WMB150117P00039000,0.23,2
40.0,2014-09-20 00:00:00,call,WMB140920C00040000,18.25,1
40.0,2014-09-20 00:00:00,put,WMB140920P00040000,0.03,10
40.0,2014-11-22 00:00:00,call,WMB141122C00040000,4.6,1
40.0,2014-11-22 00:00:00,put,WMB141122P00040000,0.06,2
40.0,2015-01-17 00:00:00,call,WMB150117C00040000,19.07,1
40.0,2015-01-17 00:00:00,put,WMB150117P00040000,0.18,30
40.0,2016-01-15 00:00:00,call,WMB160115C00040000,17.3,1
40.0,2016-01-15 00:00:00,put,WMB160115P00040000,1.09,67
41.0,2014-11-22 00:00:00,call,WMB141122C00041000,17.2,13
41.0,2014-11-22 00:00:00,put,WMB141122P00041000,0.73,101
41.0,2015-01-17 00:00:00,call,WMB150117C00041000,6.92,64
41.0,2015-01-17 00:00:00,put,WMB150117P00041000,0.15,1
42.0,2014-11-22 00:00:00,call,WMB141122C00042000,16.23,10
42.0,2014-11-22 00:00:00,put,WMB141122P00042000,0.12,151
42.0,2015-01-17 00:00:00,call,WMB150117C00042000,17.02,7
42.0,2015-01-17 00:00:00,put,WMB150117P00042000,0.28,3
42.0,2016-01-15 00:00:00,call,WMB160115C00042000,17.25,3
42.0,2016-01-15 00:00:00,put,WMB160115P00042000,1.48,5
43.0,2014-11-22 00:00:00,call,WMB141122C00043000,15.05,1
43.0,2014-11-22 00:00:00,put,WMB141122P00043000,0.35,3
43.0,2015-01-17 00:00:00,call,WMB150117C00043000,12.67,99
43.0,2015-01-17 00:00:00,put,WMB150117P00043000,0.31,3
44.0,2014-11-22 00:00:00,call,WMB141122C00044000,11.25,16
44.0,2014-11-22 00:00:00,put,WMB141122P00044000,0.21,20
44.0,2015-01-17 00:00:00,call,WMB150117C00044000,14.64,13
44.0,2015-01-17 00:00:00,put,WMB150117P00044000,0.36,2
45.0,2014-09-20 00:00:00,call,WMB140920C00045000,12.25,10
45.0,2014-09-20 00:00:00,put,WMB140920P00045000,0.08,2
45.0,2014-10-18 00:00:00,call,WMB141018C00045000,13.57,10
45.0,2014-10-18 00:00:00,put,WMB141018P00045000,0.1,250
45.0,2014-11-22 00:00:00,call,WMB141122C00045000,13.73,1
45.0,2014-11-22 00:00:00,put,WMB141122P00045000,0.15,6
45.0,2015-01-17 00:00:00,call,WMB150117C00045000,14.13,6
45.0,2015-01-17 00:00:00,put,WMB150117P00045000,0.46,2
45.0,2015-02-20 00:00:00,put,WMB150220P00045000,0.7,2
45.0,2016-01-15 00:00:00,call,WMB160115C00045000,13.52,3400
45.0,2016-01-15 00:00:00,put,WMB160115P00045000,2.07,68
46.0,2014-11-22 00:00:00,call,WMB141122C00046000,12.88,110
46.0,2014-11-22 00:00:00,put,WMB141122P00046000,0.37,20
46.0,2015-01-17 00:00:00,call,WMB150117C00046000,11.83,1
46.0,2015-01-17 00:00:00,put,WMB150117P00046000,0.64,2
47.0,2014-11-22 00:00:00,call,WMB141122C00047000,11.75,3
47.0,2014-11-22 00:00:00,put,WMB141122P00047000,0.55,44
47.0,2015-01-17 00:00:00,call,WMB150117C00047000,11.5,3
47.0,2015-01-17 00:00:00,put,WMB150117P00047000,0.61,22
47.0,2016-01-15 00:00:00,call,WMB160115C00047000,10.85,10
47.0,2016-01-15 00:00:00,put,WMB160115P00047000,2.56,169
48.0,2014-11-22 00:00:00,call,WMB141122C00048000,11.25,2
48.0,2014-11-22 00:00:00,put,WMB141122P00048000,0.23,2
48.0,2015-01-17 00:00:00,call,WMB150117C00048000,10.59,1
