Strike,Expiry,Type,Symbol,Last,Vol
35.0,2015-01-17 00:00:00,put,XLE150117P00035000,0.02,2
40.0,2015-01-17 00:00:00,call,XLE150117C00040000,58.99,1
40.0,2015-01-17 00:00:00,put,XLE150117P00040000,0.02,16
45.0,2015-01-17 00:00:00,put,XLE150117P00045000,0.02,32
45.0,2016-01-15 00:00:00,put,XLE160115P00045000,0.2,2
50.0,2014-12-31 00:00:00,put,XLE141231P00050000,0.03,2
50.0,2015-01-17 00:00:00,call,XLE150117C00050000,50.1,2
50.0,2015-01-17 00:00:00,put,XLE150117P00050000,0.03,16
50.0,2016-01-15 00:00:00,call,XLE160115C00050000,47.32,2
50.0,2016-01-15 00:00:00,put,XLE160115P00050000,0.28,2
55.0,2014-09-20 00:00:00,put,XLE140920P00055000,0.03,24
55.0,2014-09-30 00:00:00,put,XLE140930P00055000,0.06,10
55.0,2014-12-31 00:00:00,put,XLE141231P00055000,0.04,2
55.0,2015-01-17 00:00:00,put,XLE150117P00055000,0.03,1
55.0,2016-01-15 00:00:00,call,XLE160115C00055000,41.25,10
55.0,2016-01-15 00:00:00,put,XLE160115P00055000,0.44,3
60.0,2014-09-20 00:00:00,put,XLE140920P00060000,0.05,20
60.0,2014-09-30 00:00:00,put,XLE140930P00060000,0.06,20
60.0,2014-10-18 00:00:00,put,XLE141018P00060000,0.04,20
60.0,2014-12-20 00:00:00,put,XLE141220P00060000,0.13,2
60.0,2014-12-31 00:00:00,put,XLE141231P00060000,0.25,2
60.0,2015-01-17 00:00:00,call,XLE150117C00060000,40.0,100
60.0,2015-01-17 00:00:00,put,XLE150117P00060000,0.11,3
60.0,2015-03-20 00:00:00,put,XLE150320P00060000,0.18,2
60.0,2016-01-15 00:00:00,call,XLE160115C00060000,37.6,20
60.0,2016-01-15 00:00:00,put,XLE160115P00060000,0.88,10
62.0,2015-01-17 00:00:00,put,XLE150117P00062000,0.4,10
63.0,2015-01-17 00:00:00,call,XLE150117C00063000,35.55,2
63.0,2015-01-17 00:00:00,put,XLE150117P00063000,0.56,10
64.0,2015-01-17 00:00:00,put,XLE150117P00064000,0.08,16
65.0,2014-09-20 00:00:00,put,XLE140920P00065000,0.03,5
65.0,2014-09-30 00:00:00,put,XLE140930P00065000,0.12,1
65.0,2014-10-18 00:00:00,put,XLE141018P00065000,0.18,20
65.0,2014-12-20 00:00:00,put,XLE141220P00065000,0.4,25
65.0,2014-12-31 00:00:00,put,XLE141231P00065000,0.15,20
65.0,2015-01-17 00:00:00,call,XLE150117C00065000,35.37,7
65.0,2015-01-17 00:00:00,put,XLE150117P00065000,0.14,24
65.0,2015-03-31 00:00:00,put,XLE150331P00065000,0.55,5
65.0,2016-01-15 00:00:00,call,XLE160115C00065000,33.65,1
65.0,2016-01-15 00:00:00,put,XLE160115P00065000,1.25,10
66.0,2015-01-17 00:00:00,put,XLE150117P00066000,0.17,22
67.0,2014-09-20 00:00:00,put,XLE140920P00067000,0.02,5
67.0,2015-01-17 00:00:00,put,XLE150117P00067000,0.13,16
68.0,2014-09-20 00:00:00,put,XLE140920P00068000,0.61,12
68.0,2015-01-17 00:00:00,put,XLE150117P00068000,0.19,9
69.0,2014-09-20 00:00:00,put,XLE140920P00069000,0.84,24
69.0,2015-01-17 00:00:00,put,XLE150117P00069000,1.48,1
70.0,2014-09-20 00:00:00,call,XLE140920C00070000,23.23,10
70.0,2014-09-20 00:00:00,put,XLE140920P00070000,0.03,32
70.0,2014-09-30 00:00:00,put,XLE140930P00070000,0.15,2
70.0,2014-10-18 00:00:00,call,XLE141018C00070000,25.4,30
70.0,2014-10-18 00:00:00,put,XLE141018P00070000,0.25,2
70.0,2014-12-20 00:00:00,call,XLE141220C00070000,29.88,5
70.0,2014-12-31 00:00:00,put,XLE141231P00070000,0.63,6
70.0,2015-01-17 00:00:00,call,XLE150117C00070000,28.99,1
70.0,2015-01-17 00:00:00,put,XLE150117P00070000,0.18,20
70.0,2015-03-20 00:00:00,put,XLE150320P00070000,0.5,4
70.0,2015-03-31 00:00:00,put,XLE150331P00070000,0.33,2
70.0,2015-06-30 00:00:00,put,XLE150630P00070000,0.58,20
70.0,2016-01-15 00:00:00,call,XLE160115C00070000,27.8,2
70.0,2016-01-15 00:00:00,put,XLE160115P00070000,1.97,5
70.5,2014-09-20 00:00:00,put,XLE140920P00070500,0.89,0
71.0,2014-09-20 00:00:00,put,XLE140920P00071000,0.8,84
71.0,2014-09-30 00:00:00,put,XLE140930P00071000,0.03,16
71.0,2014-10-18 00:00:00,put,XLE141018P00071000,0.02,1
71.0,2014-12-31 00:00:00,put,XLE141231P00071000,2.05,0
71.0,2015-01-17 00:00:00,put,XLE150117P00071000,0.76,65
71.5,2014-09-20 00:00:00,put,XLE140920P00071500,0.83,21
72.0,2014-09-20 00:00:00,call,XLE140920C00072000,23.65,1
72.0,2014-09-20 00:00:00,put,XLE140920P00072000,0.02,118
72.0,2014-09-30 00:00:00,put,XLE140930P00072000,0.03,16
72.0,2014-10-18 00:00:00,put,XLE141018P00072000,0.1,4
72.0,2014-12-20 00:00:00,put,XLE141220P00072000,0.58,20
72.0,2014-12-31 00:00:00,put,XLE141231P00072000,0.8,20
72.0,2015-01-17 00:00:00,call,XLE150117C00072000,27.14,4
72.0,2015-01-17 00:00:00,put,XLE150117P00072000,0.28,3
72.5,2014-09-20 00:00:00,put,XLE140920P00072500,0.35,1
73.0,2014-09-20 00:00:00,put,XLE140920P00073000,0.02,27
73.0,2014-09-30 00:00:00,put,XLE140930P00073000,0.36,30
73.0,2014-10-18 00:00:00,put,XLE141018P00073000,0.04,16
73.0,2014-12-31 00:00:00,put,XLE141231P00073000,3.35,0
73.0,2015-01-17 00:00:00,put,XLE150117P00073000,0.5,1
73.5,2014-09-20 00:00:00,put,XLE140920P00073500,0.03,16
74.0,2014-09-20 00:00:00,put,XLE140920P00074000,0.06,1
74.0,2014-09-30 00:00:00,put,XLE140930P00074000,0.21,3
74.0,2014-10-18 00:00:00,put,XLE141018P00074000,0.03,4
74.0,2014-12-31 00:00:00,put,XLE141231P00074000,1.99,26
74.0,2015-01-17 00:00:00,call,XLE150117C00074000,22.66,1
74.0,2015-01-17 00:00:00,put,XLE150117P00074000,0.29,5
74.5,2014-09-20 00:00:00,call,XLE140920C00074500,21.65,10
74.5,2014-09-20 00:00:00,put,XLE140920P00074500,0.03,19
74.5,2014-12-20 00:00:00,put,XLE141220P00074500,0.71,24
75.0,2014-09-20 00:00:00,call,XLE140920C00075000,21.82,45
75.0,2014-09-20 00:00:00,put,XLE140920P00075000,0.38,495
75.0,2014-09-30 00:00:00,put,XLE140930P00075000,0.02,2
75.0,2014-10-18 00:00:00,call,XLE141018C00075000,22.44,2
75.0,2014-10-18 00:00:00,put,XLE141018P00075000,0.03,2
75.0,2014-12-20 00:00:00,put,XLE141220P00075000,0.38,12
75.0,2014-12-31 00:00:00,put,XLE141231P00075000,0.9,1
75.0,2015-01-17 00:00:00,call,XLE150117C00075000,25.0,1
75.0,2015-01-17 00:00:00,put,XLE150117P00075000,0.21,20
75.0,2015-03-20 00:00:00,call,XLE150320C00075000,23.0,2
75.0,2015-03-20 00:00:00,put,XLE150320P00075000,0.55,5
75.0,2015-03-31 00:00:00,put,XLE150331P00075000,0.69,42
75.0,2015-06-30 00:00:00,put,XLE150630P00075000,0.83,22
75.0,2016-01-15 00:00:00,call,XLE160115C00075000,24.0,2
75.0,2016-01-15 00:00:00,put,XLE160115P00075000,2.5,3
76.0,2014-09-20 00:00:00,put,XLE140920P00076000,0.04,4
76.0,2014-09-30 00:00:00,call,XLE140930C00076000,25.35,1
76.0,2014-09-30 00:00:00,put,XLE140930P00076000,0.67,43
76.0,2014-10-18 00:00:00,call,XLE141018C00076000,19.5,16
76.0,2014-10-18 00:00:00,put,XLE141018P00076000,0.15,18
76.0,2014-12-20 00:00:00,put,XLE141220P00076000,0.75,1
76.0,2014-12-31 00:00:00,put,XLE141231P00076000,0.38,30
76.0,2015-01-17 00:00:00,call,XLE150117C00076000,25.1,20
76.0,2015-01-17 00:00:00,put,XLE150117P00076000,0.4,8
77.0,2014-09-20 00:00:00,put,XLE140920P00077000,0.02,16
77.0,2014-09-30 00:00:00,put,XLE140930P00077000,2.93,0
77.0,2014-10-18 00:00:00,call,XLE141018C00077000,19.85,14
77.0,2014-10-18 00:00:00,put,XLE141018P00077000,0.54,2
77.0,2014-12-31 00:00:00,put,XLE141231P00077000,0.93,1
77.0,2015-01-17 00:00:00,call,XLE150117C00077000,18.9,1
77.0,2015-01-17 00:00:00,put,XLE150117P00077000,0.29,1
77.0,2016-01-15 00:00:00,call,XLE160115C00077000,18.5,1
77.0,2016-01-15 00:00:00,put,XLE160115P00077000,2.31,68
78.0,2014-09-20 00:00:00,call,XLE140920C00078000,19.5,1
78.0,2014-09-20 00:00:00,put,XLE140920P00078000,0.14,2
78.0,2014-09-30 00:00:00,put,XLE140930P00078000,0.17,9
78.0,2014-10-18 00:00:00,put,XLE141018P00078000,0.04,10
