Strike,Expiry,Type,Symbol,Last,Vol
4.0,2015-01-17 00:00:00,put,XLF150117P00004000,0.06,0
5.0,2015-01-17 00:00:00,call,XLF150117C00005000,12.1,0
5.0,2015-01-17 00:00:00,put,XLF150117P00005000,0.02,0
6.0,2015-01-17 00:00:00,call,XLF150117C00006000,16.5,100
6.0,2015-01-17 00:00:00,put,XLF150117P00006000,0.01,0
7.0,2015-01-17 00:00:00,call,XLF150117C00007000,12.95,0
7.0,2015-01-17 00:00:00,put,XLF150117P00007000,0.02,0
8.0,2015-01-17 00:00:00,put,XLF150117P00008000,0.08,0
9.0,2015-01-17 00:00:00,put,XLF150117P00009000,0.04,0
10.0,2015-01-17 00:00:00,call,XLF150117C00010000,13.4,1
10.0,2015-01-17 00:00:00,put,XLF150117P00010000,0.01,85
11.0,2015-01-17 00:00:00,call,XLF150117C00011000,11.4,7
11.0,2015-01-17 00:00:00,put,XLF150117P00011000,0.02,62
12.0,2014-09-20 00:00:00,put,XLF140920P00012000,0.05,0
12.0,2015-01-17 00:00:00,call,XLF150117C00012000,11.08,5
12.0,2015-01-17 00:00:00,put,XLF150117P00012000,0.01,3
12.0,2016-01-15 00:00:00,call,XLF160115C00012000,11.28,10
12.0,2016-01-15 00:00:00,put,XLF160115P00012000,0.11,10
13.0,2014-09-20 00:00:00,put,XLF140920P00013000,0.05,0
13.0,2014-12-20 00:00:00,put,XLF141220P00013000,0.02,148
13.0,2015-01-17 00:00:00,call,XLF150117C00013000,9.85,2
13.0,2015-01-17 00:00:00,put,XLF150117P00013000,0.02,20
13.0,2016-01-15 00:00:00,put,XLF160115P00013000,0.16,15
14.0,2014-09-20 00:00:00,put,XLF140920P00014000,0.06,10
14.0,2014-12-20 00:00:00,put,XLF141220P00014000,0.02,75
14.0,2015-01-17 00:00:00,call,XLF150117C00014000,8.85,3
14.0,2015-01-17 00:00:00,put,XLF150117P00014000,0.03,1
14.0,2016-01-15 00:00:00,call,XLF160115C00014000,9.2,5
14.0,2016-01-15 00:00:00,put,XLF160115P00014000,0.18,1
15.0,2014-09-20 00:00:00,call,XLF140920C00015000,8.2,80
15.0,2014-09-20 00:00:00,put,XLF140920P00015000,0.02,87
15.0,2014-12-20 00:00:00,put,XLF141220P00015000,0.01,100
15.0,2015-01-17 00:00:00,call,XLF150117C00015000,8.45,11
15.0,2015-01-17 00:00:00,put,XLF150117P00015000,0.03,80
15.0,2015-03-20 00:00:00,put,XLF150320P00015000,0.1,50
15.0,2016-01-15 00:00:00,call,XLF160115C00015000,8.35,10
15.0,2016-01-15 00:00:00,put,XLF160115P00015000,0.24,20
16.0,2014-09-20 00:00:00,call,XLF140920C00016000,6.39,1
16.0,2014-09-20 00:00:00,put,XLF140920P00016000,0.02,14
16.0,2014-10-18 00:00:00,put,XLF141018P00016000,0.02,129
16.0,2014-11-22 00:00:00,call,XLF141122C00016000,6.55,42
16.0,2014-11-22 00:00:00,put,XLF141122P00016000,0.03,77
16.0,2014-12-20 00:00:00,put,XLF141220P00016000,0.04,100
16.0,2015-01-17 00:00:00,call,XLF150117C00016000,7.1,5
16.0,2015-01-17 00:00:00,put,XLF150117P00016000,0.04,21
16.0,2015-03-20 00:00:00,put,XLF150320P00016000,0.13,5
16.0,2015-06-19 00:00:00,call,XLF150619C00016000,7.35,3
16.0,2015-06-19 00:00:00,put,XLF150619P00016000,0.16,24
16.0,2016-01-15 00:00:00,call,XLF160115C00016000,6.45,10
16.0,2016-01-15 00:00:00,put,XLF160115P00016000,0.33,1
16.5,2014-09-05 00:00:00,call,XLF140905C00016500,5.85,40
17.0,2014-09-20 00:00:00,call,XLF140920C00017000,6.4,9
17.0,2014-09-20 00:00:00,put,XLF140920P00017000,0.01,2
17.0,2014-10-18 00:00:00,call,XLF141018C00017000,6.1,2
17.0,2014-10-18 00:00:00,put,XLF141018P00017000,0.03,28
17.0,2014-11-22 00:00:00,put,XLF141122P00017000,0.04,125
17.0,2014-12-20 00:00:00,call,XLF141220C00017000,5.2,3
17.0,2014-12-20 00:00:00,put,XLF141220P00017000,0.05,6
17.0,2015-01-17 00:00:00,call,XLF150117C00017000,6.29,20
17.0,2015-01-17 00:00:00,put,XLF150117P00017000,0.05,16
17.0,2015-06-19 00:00:00,put,XLF150619P00017000,0.21,14
17.0,2016-01-15 00:00:00,call,XLF160115C00017000,6.15,6
17.0,2016-01-15 00:00:00,put,XLF160115P00017000,0.35,30
18.0,2014-09-20 00:00:00,call,XLF140920C00018000,5.24,29
18.0,2014-09-20 00:00:00,put,XLF140920P00018000,0.01,13
18.0,2014-10-18 00:00:00,call,XLF141018C00018000,5.3,44
18.0,2014-10-18 00:00:00,put,XLF141018P00018000,0.2,10
18.0,2014-12-20 00:00:00,call,XLF141220C00018000,4.25,1
18.0,2014-12-20 00:00:00,put,XLF141220P00018000,0.06,20
18.0,2015-01-17 00:00:00,call,XLF150117C00018000,5.35,10
18.0,2015-01-17 00:00:00,put,XLF150117P00018000,0.07,1298
18.0,2015-03-20 00:00:00,call,XLF150320C00018000,4.45,30
18.0,2015-03-20 00:00:00,put,XLF150320P00018000,0.15,1
18.0,2015-06-19 00:00:00,put,XLF150619P00018000,0.28,4
18.0,2016-01-15 00:00:00,call,XLF160115C00018000,5.45,27
18.0,2016-01-15 00:00:00,put,XLF160115P00018000,0.46,10
18.5,2014-09-05 00:00:00,call,XLF140905C00018500,4.45,224
18.5,2014-09-12 00:00:00,call,XLF140912C00018500,4.35,225
19.0,2014-09-20 00:00:00,call,XLF140920C00019000,3.91,8
19.0,2014-09-20 00:00:00,put,XLF140920P00019000,0.02,30
19.0,2014-09-26 00:00:00,put,XLF140926P00019000,0.08,7
19.0,2014-10-18 00:00:00,call,XLF141018C00019000,3.48,14
19.0,2014-10-18 00:00:00,put,XLF141018P00019000,0.05,181
19.0,2014-12-20 00:00:00,call,XLF141220C00019000,3.9,2
19.0,2014-12-20 00:00:00,put,XLF141220P00019000,0.09,10
19.0,2015-01-17 00:00:00,call,XLF150117C00019000,4.3,75
19.0,2015-01-17 00:00:00,put,XLF150117P00019000,0.11,30
19.0,2015-03-20 00:00:00,call,XLF150320C00019000,4.32,1
19.0,2015-03-20 00:00:00,put,XLF150320P00019000,0.28,40
19.0,2016-01-15 00:00:00,call,XLF160115C00019000,4.55,35
19.0,2016-01-15 00:00:00,put,XLF160115P00019000,0.63,7
20.0,2014-09-05 00:00:00,call,XLF140905C00020000,3.1,44
20.0,2014-09-12 00:00:00,call,XLF140912C00020000,2.86,1393
20.0,2014-09-20 00:00:00,call,XLF140920C00020000,3.4,2
20.0,2014-09-20 00:00:00,put,XLF140920P00020000,0.01,30
20.0,2014-10-18 00:00:00,call,XLF141018C00020000,3.4,2
20.0,2014-10-18 00:00:00,put,XLF141018P00020000,0.05,40
20.0,2014-11-22 00:00:00,call,XLF141122C00020000,3.4,4
20.0,2014-11-22 00:00:00,put,XLF141122P00020000,0.09,30
20.0,2014-12-20 00:00:00,call,XLF141220C00020000,3.1,20
20.0,2014-12-20 00:00:00,put,XLF141220P00020000,0.14,10
20.0,2015-01-17 00:00:00,call,XLF150117C00020000,3.45,67
20.0,2015-01-17 00:00:00,put,XLF150117P00020000,0.17,5438
20.0,2015-03-20 00:00:00,call,XLF150320C00020000,3.5,20
20.0,2015-03-20 00:00:00,put,XLF150320P00020000,0.28,940
20.0,2015-06-19 00:00:00,call,XLF150619C00020000,3.55,10
20.0,2015-06-19 00:00:00,put,XLF150619P00020000,0.45,5
20.0,2016-01-15 00:00:00,call,XLF160115C00020000,3.69,50
20.0,2016-01-15 00:00:00,put,XLF160115P00020000,0.84,10
20.5,2014-09-05 00:00:00,call,XLF140905C00020500,2.62,44
20.5,2014-09-12 00:00:00,call,XLF140912C00020500,2.73,214
20.5,2014-09-20 00:00:00,call,XLF140920C00020500,2.78,163
20.5,2014-09-26 00:00:00,put,XLF140926P00020500,0.14,2
21.0,2014-09-05 00:00:00,call,XLF140905C00021000,2.27,10
21.0,2014-09-05 00:00:00,put,XLF140905P00021000,0.06,15
21.0,2014-09-12 00:00:00,call,XLF140912C00021000,1.87,201
21.0,2014-09-20 00:00:00,call,XLF140920C00021000,2.35,1
21.0,2014-09-20 00:00:00,put,XLF140920P00021000,0.02,20
21.0,2014-09-26 00:00:00,put,XLF140926P00021000,0.08,6
21.0,2014-10-18 00:00:00,call,XLF141018C00021000,2.28,29
21.0,2014-10-18 00:00:00,put,XLF141018P00021000,0.06,85
21.0,2014-11-22 00:00:00,call,XLF141122C00021000,2.41,6
21.0,2014-11-22 00:00:00,put,XLF141122P00021000,0.13,20
21.0,2014-12-20 00:00:00,call,XLF141220C00021000,2.37,1
