Strike,Expiry,Type,Symbol,Last,Vol
20.0,2015-01-17 00:00:00,put,XLU150117P00020000,0.01,2
25.0,2015-01-17 00:00:00,put,XLU150117P00025000,0.01,1
25.0,2016-01-15 00:00:00,put,XLU160115P00025000,0.18,5
26.0,2015-01-17 00:00:00,put,XLU150117P00026000,0.03,1
27.0,2015-01-17 00:00:00,call,XLU150117C00027000,16.95,4
27.0,2015-01-17 00:00:00,put,XLU150117P00027000,0.04,4
28.0,2014-09-20 00:00:00,put,XLU140920P00028000,0.01,5
28.0,2015-01-17 00:00:00,put,XLU150117P00028000,0.04,4
29.0,2014-09-20 00:00:00,put,XLU140920P00029000,0.15,0
29.0,2015-01-17 00:00:00,put,XLU150117P00029000,0.04,1
30.0,2014-09-20 00:00:00,put,XLU140920P00030000,0.03,2
30.0,2014-12-20 00:00:00,put,XLU141220P00030000,0.05,5
30.0,2015-01-17 00:00:00,call,XLU150117C00030000,13.95,6
30.0,2015-01-17 00:00:00,put,XLU150117P00030000,0.05,49
30.0,2016-01-15 00:00:00,call,XLU160115C00030000,11.3,2
30.0,2016-01-15 00:00:00,put,XLU160115P00030000,0.65,10
31.0,2014-09-20 00:00:00,put,XLU140920P00031000,0.03,400
31.0,2014-12-20 00:00:00,put,XLU141220P00031000,0.06,27
31.0,2015-01-17 00:00:00,put,XLU150117P00031000,0.04,50
31.0,2015-03-20 00:00:00,call,XLU150320C00031000,11.5,2
31.0,2015-03-20 00:00:00,put,XLU150320P00031000,0.14,20
31.0,2016-01-15 00:00:00,put,XLU160115P00031000,0.84,20
32.0,2014-09-20 00:00:00,put,XLU140920P00032000,0.03,2
32.0,2014-12-20 00:00:00,put,XLU141220P00032000,0.06,1
32.0,2015-01-17 00:00:00,call,XLU150117C00032000,10.6,2
32.0,2015-01-17 00:00:00,put,XLU150117P00032000,0.08,9
32.0,2016-01-15 00:00:00,put,XLU160115P00032000,0.55,7
33.0,2014-09-20 00:00:00,put,XLU140920P00033000,0.03,1
33.0,2014-12-20 00:00:00,put,XLU141220P00033000,0.1,1
33.0,2015-01-17 00:00:00,call,XLU150117C00033000,9.8,3
33.0,2015-01-17 00:00:00,put,XLU150117P00033000,0.15,2
33.0,2015-03-20 00:00:00,put,XLU150320P00033000,0.16,2
33.0,2016-01-15 00:00:00,call,XLU160115C00033000,9.02,10
33.0,2016-01-15 00:00:00,put,XLU160115P00033000,1.05,5
34.0,2014-09-20 00:00:00,put,XLU140920P00034000,0.02,20
34.0,2014-12-20 00:00:00,put,XLU141220P00034000,0.06,3
34.0,2015-01-17 00:00:00,call,XLU150117C00034000,6.6,2
34.0,2015-01-17 00:00:00,put,XLU150117P00034000,0.12,5
34.0,2015-03-20 00:00:00,put,XLU150320P00034000,0.38,95
34.0,2016-01-15 00:00:00,call,XLU160115C00034000,8.53,10
34.0,2016-01-15 00:00:00,put,XLU160115P00034000,0.93,10
35.0,2014-09-20 00:00:00,call,XLU140920C00035000,6.25,10
35.0,2014-09-20 00:00:00,put,XLU140920P00035000,0.03,1
35.0,2014-12-20 00:00:00,call,XLU141220C00035000,5.3,1
35.0,2014-12-20 00:00:00,put,XLU141220P00035000,0.17,2
35.0,2015-01-17 00:00:00,call,XLU150117C00035000,6.55,20
35.0,2015-01-17 00:00:00,put,XLU150117P00035000,0.16,41
35.0,2015-03-20 00:00:00,put,XLU150320P00035000,0.43,60
35.0,2016-01-15 00:00:00,call,XLU160115C00035000,8.25,5
35.0,2016-01-15 00:00:00,put,XLU160115P00035000,1.0,5
35.5,2014-09-05 00:00:00,call,XLU140905C00035500,5.1,24
36.0,2014-09-20 00:00:00,call,XLU140920C00036000,5.33,4
36.0,2014-09-20 00:00:00,put,XLU140920P00036000,0.08,25
36.0,2014-10-18 00:00:00,put,XLU141018P00036000,0.07,5
36.0,2014-12-20 00:00:00,call,XLU141220C00036000,5.35,3
36.0,2014-12-20 00:00:00,put,XLU141220P00036000,0.3,77
36.0,2015-01-17 00:00:00,call,XLU150117C00036000,6.65,1
36.0,2015-01-17 00:00:00,put,XLU150117P00036000,0.18,5
36.0,2015-03-20 00:00:00,call,XLU150320C00036000,4.95,1
36.0,2015-03-20 00:00:00,put,XLU150320P00036000,0.34,10
36.0,2016-01-15 00:00:00,call,XLU160115C00036000,5.5,1
36.0,2016-01-15 00:00:00,put,XLU160115P00036000,1.55,4
36.5,2014-09-05 00:00:00,call,XLU140905C00036500,5.85,20
36.5,2014-09-26 00:00:00,call,XLU140926C00036500,4.85,5
36.5,2014-09-26 00:00:00,put,XLU140926P00036500,0.04,20
37.0,2014-09-05 00:00:00,call,XLU140905C00037000,3.65,20
37.0,2014-09-05 00:00:00,put,XLU140905P00037000,0.02,2
37.0,2014-09-20 00:00:00,call,XLU140920C00037000,6.0,10
37.0,2014-09-20 00:00:00,put,XLU140920P00037000,0.01,2
37.0,2014-09-26 00:00:00,put,XLU140926P00037000,0.04,50
37.0,2014-10-18 00:00:00,put,XLU141018P00037000,0.06,35
37.0,2014-12-20 00:00:00,call,XLU141220C00037000,4.44,35
37.0,2014-12-20 00:00:00,put,XLU141220P00037000,0.17,3
37.0,2015-01-17 00:00:00,call,XLU150117C00037000,6.2,1
37.0,2015-01-17 00:00:00,put,XLU150117P00037000,0.22,5
37.0,2015-03-20 00:00:00,call,XLU150320C00037000,5.7,1
37.0,2015-03-20 00:00:00,put,XLU150320P00037000,0.42,9
37.0,2016-01-15 00:00:00,call,XLU160115C00037000,6.2,1
37.0,2016-01-15 00:00:00,put,XLU160115P00037000,1.55,7
37.5,2014-09-05 00:00:00,call,XLU140905C00037500,3.15,20
37.5,2014-09-12 00:00:00,put,XLU140912P00037500,0.06,50
37.5,2014-09-26 00:00:00,put,XLU140926P00037500,0.04,5
37.5,2014-10-03 00:00:00,put,XLU141003P00037500,0.05,27
38.0,2014-09-05 00:00:00,call,XLU140905C00038000,2.72,201
38.0,2014-09-05 00:00:00,put,XLU140905P00038000,0.05,18
38.0,2014-09-12 00:00:00,call,XLU140912C00038000,2.82,84
38.0,2014-09-12 00:00:00,put,XLU140912P00038000,0.02,5
38.0,2014-09-20 00:00:00,call,XLU140920C00038000,4.82,2
38.0,2014-09-20 00:00:00,put,XLU140920P00038000,0.03,3
38.0,2014-09-26 00:00:00,call,XLU140926C00038000,3.35,51
38.0,2014-09-26 00:00:00,put,XLU140926P00038000,0.05,29
38.0,2014-12-20 00:00:00,call,XLU141220C00038000,3.6,2
38.0,2014-12-20 00:00:00,put,XLU141220P00038000,0.27,2
38.0,2015-01-17 00:00:00,call,XLU150117C00038000,4.96,10
38.0,2015-01-17 00:00:00,put,XLU150117P00038000,0.27,12
38.0,2015-03-20 00:00:00,call,XLU150320C00038000,4.07,36
38.0,2015-03-20 00:00:00,put,XLU150320P00038000,0.51,2
38.0,2016-01-15 00:00:00,call,XLU160115C00038000,4.59,10
38.0,2016-01-15 00:00:00,put,XLU160115P00038000,2.4,5
38.5,2014-09-05 00:00:00,call,XLU140905C00038500,2.25,53
38.5,2014-09-26 00:00:00,put,XLU140926P00038500,0.03,30
38.5,2014-10-03 00:00:00,put,XLU141003P00038500,0.07,10
39.0,2014-09-05 00:00:00,call,XLU140905C00039000,2.63,10
39.0,2014-09-05 00:00:00,put,XLU140905P00039000,0.05,1
39.0,2014-09-12 00:00:00,put,XLU140912P00039000,0.04,50
39.0,2014-09-20 00:00:00,call,XLU140920C00039000,2.27,5
39.0,2014-09-20 00:00:00,put,XLU140920P00039000,0.03,11
39.0,2014-09-26 00:00:00,call,XLU140926C00039000,2.45,10
39.0,2014-09-26 00:00:00,put,XLU140926P00039000,0.16,22
39.0,2014-10-18 00:00:00,put,XLU141018P00039000,0.14,10
39.0,2014-12-20 00:00:00,call,XLU141220C00039000,3.87,1
39.0,2014-12-20 00:00:00,put,XLU141220P00039000,0.31,1
39.0,2015-01-17 00:00:00,call,XLU150117C00039000,3.56,1
39.0,2015-01-17 00:00:00,put,XLU150117P00039000,0.42,24
39.0,2015-03-20 00:00:00,call,XLU150320C00039000,4.0,27
39.0,2015-03-20 00:00:00,put,XLU150320P00039000,0.85,10
39.0,2016-01-15 00:00:00,call,XLU160115C00039000,4.46,10
39.0,2016-01-15 00:00:00,put,XLU160115P00039000,2.2,10
39.5,2014-09-05 00:00:00,call,XLU140905C00039500,1.85,3
39.5,2014-09-05 00:00:00,put,XLU140905P00039500,0.06,1
39.5,2014-09-12 00:00:00,put,XLU140912P00039500,0.1,6
39.5,2014-09-26 00:00:00,put,XLU140926P00039500,0.05,4
40.0,2014-09-05 00:00:00,call,XLU140905C00040000,2.7,20
40.0,2014-09-05 00:00:00,put,XLU140905P00040000,0.18,1
40.0,2014-09-12 00:00:00,put,XLU140912P00040000,0.05,25
40.0,2014-09-20 00:00:00,call,XLU140920C00040000,2.9,10
40.0,2014-09-20 00:00:00,put,XLU140920P00040000,0.05,20
40.0,2014-09-26 00:00:00,call,XLU140926C00040000,2.87,24
40.0,2014-09-26 00:00:00,put,XLU140926P00040000,0.07,11
40.0,2014-10-18 00:00:00,call,XLU141018C00040000,3.15,4
40.0,2014-10-18 00:00:00,put,XLU141018P00040000,0.26,8
40.0,2014-12-20 00:00:00,call,XLU141220C00040000,3.06,3
40.0,2014-12-20 00:00:00,put,XLU141220P00040000,0.48,1
40.0,2015-01-17 00:00:00,call,XLU150117C00040000,3.2,2
40.0,2015-01-17 00:00:00,put,XLU150117P00040000,0.61,10
40.0,2015-03-20 00:00:00,call,XLU150320C00040000,3.5,2
40.0,2015-03-20 00:00:00,put,XLU150320P00040000,0.96,1
40.0,2016-01-15 00:00:00,call,XLU160115C00040000,3.5,10
40.0,2016-01-15 00:00:00,put,XLU160115P00040000,2.4,10
40.5,2014-09-05 00:00:00,call,XLU140905C00040500,1.97,1
40.5,2014-09-05 00:00:00,put,XLU140905P00040500,0.03,25
40.5,2014-09-12 00:00:00,call,XLU140912C00040500,1.93,1
40.5,2014-09-12 00:00:00,put,XLU140912P00040500,0.85,25
40.5,2014-09-20 00:00:00,put,XLU140920P00040500,0.12,1
40.5,2014-09-26 00:00:00,put,XLU140926P00040500,0.08,20
40.5,2014-10-03 00:00:00,put,XLU141003P00040500,0.25,27
41.0,2014-09-05 00:00:00,call,XLU140905C00041000,2.1,5
41.0,2014-09-05 00:00:00,put,XLU140905P00041000,0.03,25
41.0,2014-09-12 00:00:00,call,XLU140912C00041000,1.98,156
41.0,2014-09-12 00:00:00,put,XLU140912P00041000,0.07,10
41.0,2014-09-20 00:00:00,call,XLU140920C00041000,2.2,15
41.0,2014-09-20 00:00:00,put,XLU140920P00041000,0.1,9
41.0,2014-09-26 00:00:00,call,XLU140926C00041000,1.83,1
41.0,2014-09-26 00:00:00,put,XLU140926P00041000,0.12,11
41.0,2014-10-18 00:00:00,call,XLU141018C00041000,2.19,3
41.0,2014-10-18 00:00:00,put,XLU141018P00041000,0.25,9
41.0,2014-12-20 00:00:00,call,XLU141220C00041000,2.45,52
41.0,2014-12-20 00:00:00,put,XLU141220P00041000,0.95,9
41.0,2015-01-17 00:00:00,call,XLU150117C00041000,2.56,21
41.0,2015-01-17 00:00:00,put,XLU150117P00041000,0.84,15
41.0,2015-03-20 00:00:00,call,XLU150320C00041000,2.24,6
41.0,2015-03-20 00:00:00,put,XLU150320P00041000,1.5,1
41.0,2016-01-15 00:00:00,call,XLU160115C00041000,3.16,3
41.0,2016-01-15 00:00:00,put,XLU160115P00041000,3.1,40
41.5,2014-09-05 00:00:00,call,XLU140905C00041500,1.5,3
41.5,2014-09-05 00:00:00,put,XLU140905P00041500,0.05,27
41.5,2014-09-12 00:00:00,call,XLU140912C00041500,1.45,1
41.5,2014-09-12 00:00:00,put,XLU140912P00041500,0.07,5
41.5,2014-09-20 00:00:00,call,XLU140920C00041500,1.2,67
41.5,2014-09-20 00:00:00,put,XLU140920P00041500,0.13,65
41.5,2014-09-26 00:00:00,call,XLU140926C00041500,1.56,15
41.5,2014-09-26 00:00:00,put,XLU140926P00041500,0.45,2
42.0,2014-09-05 00:00:00,call,XLU140905C00042000,1.21,15
42.0,2014-09-05 00:00:00,put,XLU140905P00042000,0.04,82
42.0,2014-09-12 00:00:00,call,XLU140912C00042000,1.05,10
42.0,2014-09-12 00:00:00,put,XLU140912P00042000,0.07,40
42.0,2014-09-20 00:00:00,call,XLU140920C00042000,1.35,1014
42.0,2014-09-20 00:00:00,put,XLU140920P00042000,0.2,77
42.0,2014-09-26 00:00:00,call,XLU140926C00042000,1.23,8
42.0,2014-09-26 00:00:00,put,XLU140926P00042000,0.27,1
42.0,2014-10-03 00:00:00,call,XLU141003C00042000,0.73,6
42.0,2014-10-03 00:00:00,put,XLU141003P00042000,0.35,2
42.0,2014-10-18 00:00:00,call,XLU141018C00042000,1.46,33
42.0,2014-10-18 00:00:00,put,XLU141018P00042000,0.45,25
42.0,2014-12-20 00:00:00,call,XLU141220C00042000,1.74,148
42.0,2014-12-20 00:00:00,put,XLU141220P00042000,1.04,9
42.0,2015-01-17 00:00:00,call,XLU150117C00042000,1.81,55
42.0,2015-01-17 00:00:00,put,XLU150117P00042000,1.15,81
42.0,2015-03-20 00:00:00,call,XLU150320C00042000,1.64,7
42.0,2015-03-20 00:00:00,put,XLU150320P00042000,3.7,12
42.0,2016-01-15 00:00:00,call,XLU160115C00042000,2.7,1
42.0,2016-01-15 00:00:00,put,XLU160115P00042000,3.4,13
