Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,YELP150117P00003000,0.35,0
5.0,2015-01-17 00:00:00,put,YELP150117P00005000,0.02,0
8.0,2015-01-17 00:00:00,put,YELP150117P00008000,0.25,0
10.0,2015-01-17 00:00:00,put,YELP150117P00010000,0.1,0
13.0,2015-01-17 00:00:00,put,YELP150117P00013000,0.1,25
15.0,2015-01-17 00:00:00,call,YELP150117C00015000,48.6,0
15.0,2015-01-17 00:00:00,put,YELP150117P00015000,0.15,40
18.0,2015-01-17 00:00:00,call,YELP150117C00018000,73.4,1
18.0,2015-01-17 00:00:00,put,YELP150117P00018000,0.05,1
20.0,2015-01-17 00:00:00,call,YELP150117C00020000,78.0,1
20.0,2015-01-17 00:00:00,put,YELP150117P00020000,0.03,10
20.0,2016-01-15 00:00:00,call,YELP160115C00020000,54.0,15
20.0,2016-01-15 00:00:00,put,YELP160115P00020000,0.5,50
23.0,2015-01-17 00:00:00,call,YELP150117C00023000,58.2,0
23.0,2015-01-17 00:00:00,put,YELP150117P00023000,0.07,5
25.0,2015-01-17 00:00:00,call,YELP150117C00025000,42.36,1
25.0,2015-01-17 00:00:00,put,YELP150117P00025000,0.11,10
25.0,2016-01-15 00:00:00,call,YELP160115C00025000,50.6,1
25.0,2016-01-15 00:00:00,put,YELP160115P00025000,0.5,1
27.0,2015-01-17 00:00:00,call,YELP150117C00027000,50.53,2
27.0,2015-01-17 00:00:00,put,YELP150117P00027000,0.05,10
30.0,2014-11-22 00:00:00,call,YELP141122C00030000,28.68,1
30.0,2014-11-22 00:00:00,put,YELP141122P00030000,0.12,8
30.0,2015-01-17 00:00:00,call,YELP150117C00030000,49.0,1
30.0,2015-01-17 00:00:00,put,YELP150117P00030000,0.1,50
30.0,2016-01-15 00:00:00,call,YELP160115C00030000,50.0,1
30.0,2016-01-15 00:00:00,put,YELP160115P00030000,1.13,5
32.0,2015-01-17 00:00:00,call,YELP150117C00032000,37.4,10
32.0,2015-01-17 00:00:00,put,YELP150117P00032000,0.15,5
35.0,2014-11-22 00:00:00,put,YELP141122P00035000,0.05,9
35.0,2015-01-17 00:00:00,call,YELP150117C00035000,47.81,8
35.0,2015-01-17 00:00:00,put,YELP150117P00035000,0.08,2
35.0,2015-02-20 00:00:00,put,YELP150220P00035000,0.14,4
35.0,2016-01-15 00:00:00,call,YELP160115C00035000,33.2,1
35.0,2016-01-15 00:00:00,put,YELP160115P00035000,1.1,16
37.0,2015-01-17 00:00:00,call,YELP150117C00037000,37.5,3
37.0,2015-01-17 00:00:00,put,YELP150117P00037000,0.2,2
40.0,2014-11-22 00:00:00,call,YELP141122C00040000,42.6,20
40.0,2014-11-22 00:00:00,put,YELP141122P00040000,0.05,8
40.0,2015-01-17 00:00:00,call,YELP150117C00040000,40.0,5
40.0,2015-01-17 00:00:00,put,YELP150117P00040000,0.15,11
40.0,2015-02-20 00:00:00,put,YELP150220P00040000,0.25,2
40.0,2016-01-15 00:00:00,call,YELP160115C00040000,44.5,2
40.0,2016-01-15 00:00:00,put,YELP160115P00040000,1.8,10
42.0,2015-01-17 00:00:00,call,YELP150117C00042000,28.6,3
42.0,2015-01-17 00:00:00,put,YELP150117P00042000,0.16,10
45.0,2014-09-20 00:00:00,call,YELP140920C00045000,37.6,10
45.0,2014-09-20 00:00:00,put,YELP140920P00045000,0.02,5
45.0,2014-11-22 00:00:00,call,YELP141122C00045000,22.13,5
45.0,2014-11-22 00:00:00,put,YELP141122P00045000,0.1,6
45.0,2015-01-17 00:00:00,call,YELP150117C00045000,38.2,1
45.0,2015-01-17 00:00:00,put,YELP150117P00045000,0.35,20
45.0,2015-02-20 00:00:00,put,YELP150220P00045000,0.55,22
45.0,2016-01-15 00:00:00,call,YELP160115C00045000,21.8,1
45.0,2016-01-15 00:00:00,put,YELP160115P00045000,3.0,1
47.0,2015-01-17 00:00:00,call,YELP150117C00047000,30.4,5
47.0,2015-01-17 00:00:00,put,YELP150117P00047000,0.35,1
50.0,2014-09-20 00:00:00,call,YELP140920C00050000,32.0,20
50.0,2014-09-20 00:00:00,put,YELP140920P00050000,0.03,10
50.0,2014-11-22 00:00:00,call,YELP141122C00050000,27.0,1
50.0,2014-11-22 00:00:00,put,YELP141122P00050000,0.25,43
50.0,2015-01-17 00:00:00,call,YELP150117C00050000,33.19,2
50.0,2015-01-17 00:00:00,put,YELP150117P00050000,0.45,5
50.0,2015-02-20 00:00:00,call,YELP150220C00050000,32.95,5
50.0,2015-02-20 00:00:00,put,YELP150220P00050000,1.0,20
50.0,2016-01-15 00:00:00,call,YELP160115C00050000,37.0,1
50.0,2016-01-15 00:00:00,put,YELP160115P00050000,3.8,10
52.5,2014-11-22 00:00:00,call,YELP141122C00052500,16.4,1
52.5,2014-11-22 00:00:00,put,YELP141122P00052500,0.3,40
52.5,2015-01-17 00:00:00,call,YELP150117C00052500,31.0,1
52.5,2015-01-17 00:00:00,put,YELP150117P00052500,0.72,2
52.5,2016-01-15 00:00:00,call,YELP160115C00052500,34.4,5
52.5,2016-01-15 00:00:00,put,YELP160115P00052500,4.5,5
55.0,2014-09-20 00:00:00,call,YELP140920C00055000,16.7,3
55.0,2014-09-20 00:00:00,put,YELP140920P00055000,0.05,4
55.0,2014-10-18 00:00:00,call,YELP141018C00055000,27.7,10
55.0,2014-10-18 00:00:00,put,YELP141018P00055000,0.19,1
55.0,2014-11-22 00:00:00,call,YELP141122C00055000,22.33,4
55.0,2014-11-22 00:00:00,put,YELP141122P00055000,0.4,2
55.0,2015-01-17 00:00:00,call,YELP150117C00055000,26.0,10
