Strike,Expiry,Type,Symbol,Last,Vol
0.5,2014-09-20 00:00:00,call,ZNGA140920C00000500,4.05,0
0.5,2015-01-17 00:00:00,call,ZNGA150117C00000500,2.26,1
0.5,2015-01-17 00:00:00,put,ZNGA150117P00000500,0.03,0
0.5,2016-01-15 00:00:00,put,ZNGA160115P00000500,0.04,175
1.0,2015-01-17 00:00:00,call,ZNGA150117C00001000,2.24,10
1.0,2015-01-17 00:00:00,put,ZNGA150117P00001000,0.01,50
1.0,2015-03-20 00:00:00,call,ZNGA150320C00001000,2.0,40
1.0,2016-01-15 00:00:00,call,ZNGA160115C00001000,1.94,1
1.0,2016-01-15 00:00:00,put,ZNGA160115P00001000,0.05,10
1.5,2014-09-05 00:00:00,call,ZNGA140905C00001500,1.29,100
1.5,2014-09-12 00:00:00,call,ZNGA140912C00001500,1.27,101
1.5,2014-09-20 00:00:00,call,ZNGA140920C00001500,1.38,3
1.5,2014-09-20 00:00:00,put,ZNGA140920P00001500,0.03,10
1.5,2014-12-20 00:00:00,call,ZNGA141220C00001500,1.58,12
1.5,2014-12-20 00:00:00,put,ZNGA141220P00001500,0.04,10
1.5,2015-01-17 00:00:00,call,ZNGA150117C00001500,1.32,319
1.5,2015-01-17 00:00:00,put,ZNGA150117P00001500,0.02,32
1.5,2015-03-20 00:00:00,call,ZNGA150320C00001500,1.54,20
1.5,2015-03-20 00:00:00,put,ZNGA150320P00001500,0.05,50
1.5,2016-01-15 00:00:00,call,ZNGA160115C00001500,1.65,50
1.5,2016-01-15 00:00:00,put,ZNGA160115P00001500,0.15,25
2.0,2014-09-05 00:00:00,call,ZNGA140905C00002000,0.9,3
2.0,2014-09-05 00:00:00,put,ZNGA140905P00002000,0.01,1
2.0,2014-09-12 00:00:00,call,ZNGA140912C00002000,0.79,106
2.0,2014-09-20 00:00:00,call,ZNGA140920C00002000,1.05,32
2.0,2014-09-20 00:00:00,put,ZNGA140920P00002000,0.01,1
2.0,2014-09-26 00:00:00,call,ZNGA140926C00002000,0.86,27
2.0,2014-10-18 00:00:00,call,ZNGA141018C00002000,1.1,10
2.0,2014-10-18 00:00:00,put,ZNGA141018P00002000,0.05,4
2.0,2014-11-22 00:00:00,call,ZNGA141122C00002000,0.95,4
2.0,2014-11-22 00:00:00,put,ZNGA141122P00002000,0.04,30
2.0,2014-12-20 00:00:00,call,ZNGA141220C00002000,1.0,20
