Strike,Expiry,Type,Symbol,Last,Vol
5.0,2015-01-17 00:00:00,call,AAL150117C00005000,38.3,3
5.0,2015-01-17 00:00:00,put,AAL150117P00005000,0.02,9
8.0,2015-01-17 00:00:00,call,AAL150117C00008000,36.0,1
8.0,2015-01-17 00:00:00,put,AAL150117P00008000,0.02,1
10.0,2015-01-17 00:00:00,call,AAL150117C00010000,29.6,2
10.0,2015-01-17 00:00:00,put,AAL150117P00010000,0.03,1
12.0,2015-01-17 00:00:00,call,AAL150117C00012000,26.25,5
12.0,2015-01-17 00:00:00,put,AAL150117P00012000,0.03,7
13.0,2016-01-15 00:00:00,call,AAL160115C00013000,31.1,2
13.0,2016-01-15 00:00:00,put,AAL160115P00013000,0.2,9
15.0,2015-01-17 00:00:00,call,AAL150117C00015000,25.12,116
15.0,2015-01-17 00:00:00,put,AAL150117P00015000,0.08,117
15.0,2016-01-15 00:00:00,call,AAL160115C00015000,25.1,3
15.0,2016-01-15 00:00:00,put,AAL160115P00015000,0.31,9
17.0,2015-01-17 00:00:00,call,AAL150117C00017000,23.6,10
17.0,2015-01-17 00:00:00,put,AAL150117P00017000,0.1,40
18.0,2014-11-22 00:00:00,call,AAL141122C00018000,19.4,4
18.0,2014-11-22 00:00:00,put,AAL141122P00018000,0.06,20
18.0,2016-01-15 00:00:00,call,AAL160115C00018000,21.75,3
18.0,2016-01-15 00:00:00,put,AAL160115P00018000,0.67,16
19.0,2014-11-22 00:00:00,call,AAL141122C00019000,19.45,4
19.0,2014-11-22 00:00:00,put,AAL141122P00019000,0.08,34
19.0,2015-01-17 00:00:00,put,AAL150117P00019000,0.13,180
20.0,2014-11-22 00:00:00,call,AAL141122C00020000,19.85,35
20.0,2014-11-22 00:00:00,put,AAL141122P00020000,0.07,25
20.0,2015-01-17 00:00:00,call,AAL150117C00020000,18.64,2
20.0,2015-01-17 00:00:00,put,AAL150117P00020000,0.15,418
20.0,2015-02-20 00:00:00,call,AAL150220C00020000,18.15,2
20.0,2015-02-20 00:00:00,put,AAL150220P00020000,0.17,2
