Strike,Expiry,Type,Symbol,Last,Vol
27.86,2015-01-17 00:00:00,call,AAPL150117C00027860,74.7,45
27.86,2015-01-17 00:00:00,put,AAPL150117P00027860,0.01,63
28.57,2015-01-17 00:00:00,call,AAPL150117C00028570,74.05,1
28.57,2015-01-17 00:00:00,put,AAPL150117P00028570,0.01,560
29.29,2015-01-17 00:00:00,call,AAPL150117C00029290,73.2,40
29.29,2015-01-17 00:00:00,put,AAPL150117P00029290,0.01,110
30.0,2015-01-17 00:00:00,call,AAPL150117C00030000,70.4,60
30.0,2015-01-17 00:00:00,put,AAPL150117P00030000,0.03,14
30.71,2015-01-17 00:00:00,call,AAPL150117C00030710,71.6,20
30.71,2015-01-17 00:00:00,put,AAPL150117P00030710,0.01,7
31.43,2015-01-17 00:00:00,call,AAPL150117C00031430,71.05,10
31.43,2015-01-17 00:00:00,put,AAPL150117P00031430,0.01,0
32.14,2015-01-17 00:00:00,call,AAPL150117C00032140,70.35,10
32.14,2015-01-17 00:00:00,put,AAPL150117P00032140,0.01,7
32.86,2015-01-17 00:00:00,call,AAPL150117C00032860,69.55,17
32.86,2015-01-17 00:00:00,put,AAPL150117P00032860,0.01,4
33.57,2015-01-17 00:00:00,call,AAPL150117C00033570,68.65,10
33.57,2015-01-17 00:00:00,put,AAPL150117P00033570,0.01,0
34.29,2015-01-17 00:00:00,call,AAPL150117C00034290,68.25,10
34.29,2015-01-17 00:00:00,put,AAPL150117P00034290,0.01,7
34.29,2016-01-15 00:00:00,call,AAPL160115C00034290,67.0,2
34.29,2016-01-15 00:00:00,put,AAPL160115P00034290,0.06,9
35.71,2015-01-17 00:00:00,call,AAPL150117C00035710,66.7,35
35.71,2015-01-17 00:00:00,put,AAPL150117P00035710,0.02,320
35.71,2016-01-15 00:00:00,call,AAPL160115C00035710,63.0,1
35.71,2016-01-15 00:00:00,put,AAPL160115P00035710,0.09,11
37.14,2014-10-18 00:00:00,put,AAPL141018P00037140,0.01,10
37.14,2015-01-17 00:00:00,call,AAPL150117C00037140,65.35,10
37.14,2015-01-17 00:00:00,put,AAPL150117P00037140,0.02,14
37.14,2016-01-15 00:00:00,call,AAPL160115C00037140,65.9,1
37.14,2016-01-15 00:00:00,put,AAPL160115P00037140,0.1,70
37.86,2014-10-18 00:00:00,call,AAPL141018C00037860,64.55,10
37.86,2014-10-18 00:00:00,put,AAPL141018P00037860,0.01,10
37.86,2015-01-17 00:00:00,put,AAPL150117P00037860,0.02,5
38.57,2014-10-18 00:00:00,put,AAPL141018P00038570,0.01,10
38.57,2015-01-17 00:00:00,call,AAPL150117C00038570,64.05,2
38.57,2015-01-17 00:00:00,put,AAPL150117P00038570,0.01,14
38.57,2016-01-15 00:00:00,call,AAPL160115C00038570,58.35,2
38.57,2016-01-15 00:00:00,put,AAPL160115P00038570,0.09,446
39.29,2014-10-18 00:00:00,put,AAPL141018P00039290,0.01,30
39.29,2015-01-17 00:00:00,put,AAPL150117P00039290,0.01,146
40.0,2014-10-18 00:00:00,put,AAPL141018P00040000,0.04,0
40.0,2015-01-17 00:00:00,call,AAPL150117C00040000,57.63,36
40.0,2015-01-17 00:00:00,put,AAPL150117P00040000,0.01,36
40.0,2016-01-15 00:00:00,call,AAPL160115C00040000,61.0,30
40.0,2016-01-15 00:00:00,put,AAPL160115P00040000,0.1,5
40.71,2014-10-18 00:00:00,put,AAPL141018P00040710,0.03,0
40.71,2015-01-17 00:00:00,put,AAPL150117P00040710,0.02,5
41.43,2014-10-18 00:00:00,put,AAPL141018P00041430,0.02,0
41.43,2015-01-17 00:00:00,call,AAPL150117C00041430,58.5,3
41.43,2015-01-17 00:00:00,put,AAPL150117P00041430,0.02,12
41.43,2016-01-15 00:00:00,put,AAPL160115P00041430,0.14,935
42.14,2014-10-18 00:00:00,call,AAPL141018C00042140,59.6,10
42.14,2014-10-18 00:00:00,put,AAPL141018P00042140,0.04,0
42.14,2015-01-17 00:00:00,put,AAPL150117P00042140,0.02,1271
42.86,2014-10-18 00:00:00,call,AAPL141018C00042860,52.4,250
42.86,2014-10-18 00:00:00,put,AAPL141018P00042860,0.01,13
42.86,2015-01-17 00:00:00,call,AAPL150117C00042860,59.65,1
42.86,2015-01-17 00:00:00,put,AAPL150117P00042860,0.03,31
42.86,2016-01-15 00:00:00,call,AAPL160115C00042860,59.3,8
42.86,2016-01-15 00:00:00,put,AAPL160115P00042860,0.15,12
43.57,2014-10-18 00:00:00,put,AAPL141018P00043570,0.04,239
43.57,2015-01-17 00:00:00,put,AAPL150117P00043570,0.05,73
44.29,2014-10-18 00:00:00,call,AAPL141018C00044290,57.45,10
44.29,2014-10-18 00:00:00,put,AAPL141018P00044290,0.01,0
44.29,2015-01-17 00:00:00,call,AAPL150117C00044290,56.1,5
44.29,2015-01-17 00:00:00,put,AAPL150117P00044290,0.05,3042
44.29,2016-01-15 00:00:00,call,AAPL160115C00044290,56.15,5
44.29,2016-01-15 00:00:00,put,AAPL160115P00044290,0.18,5
45.0,2014-10-18 00:00:00,call,AAPL141018C00045000,49.98,14
45.0,2014-10-18 00:00:00,put,AAPL141018P00045000,0.02,25
45.0,2015-01-17 00:00:00,call,AAPL150117C00045000,50.1,45
45.0,2015-01-17 00:00:00,put,AAPL150117P00045000,0.05,50
45.71,2014-10-18 00:00:00,put,AAPL141018P00045710,0.12,2
45.71,2015-01-17 00:00:00,call,AAPL150117C00045710,55.6,7
