Strike,Expiry,Type,Symbol,Last,Vol
10.0,2016-01-15 00:00:00,call,AIG160115C00010000,37.99,0
10.0,2016-01-15 00:00:00,put,AIG160115P00010000,0.06,12
13.0,2015-01-17 00:00:00,put,AIG150117P00013000,0.03,1
15.0,2015-01-17 00:00:00,call,AIG150117C00015000,40.0,60
15.0,2015-01-17 00:00:00,put,AIG150117P00015000,0.02,10
15.0,2016-01-15 00:00:00,call,AIG160115C00015000,39.71,2
15.0,2016-01-15 00:00:00,put,AIG160115P00015000,0.17,10
18.0,2015-01-17 00:00:00,call,AIG150117C00018000,37.25,3
18.0,2015-01-17 00:00:00,put,AIG150117P00018000,0.05,15
18.0,2016-01-15 00:00:00,call,AIG160115C00018000,37.47,3
18.0,2016-01-15 00:00:00,put,AIG160115P00018000,0.08,8
20.0,2015-01-17 00:00:00,call,AIG150117C00020000,36.0,2
20.0,2015-01-17 00:00:00,put,AIG150117P00020000,0.02,20
20.0,2016-01-15 00:00:00,call,AIG160115C00020000,36.15,1
20.0,2016-01-15 00:00:00,put,AIG160115P00020000,0.08,50
23.0,2015-01-17 00:00:00,call,AIG150117C00023000,32.0,5
23.0,2015-01-17 00:00:00,put,AIG150117P00023000,0.02,6
23.0,2016-01-15 00:00:00,call,AIG160115C00023000,27.85,1
23.0,2016-01-15 00:00:00,put,AIG160115P00023000,0.48,4
25.0,2015-01-17 00:00:00,call,AIG150117C00025000,30.2,13
25.0,2015-01-17 00:00:00,put,AIG150117P00025000,0.04,5
25.0,2016-01-15 00:00:00,call,AIG160115C00025000,28.65,6
25.0,2016-01-15 00:00:00,put,AIG160115P00025000,0.19,20
28.0,2015-01-17 00:00:00,call,AIG150117C00028000,27.7,10
28.0,2015-01-17 00:00:00,put,AIG150117P00028000,0.05,15
28.0,2016-01-15 00:00:00,call,AIG160115C00028000,25.7,3
28.0,2016-01-15 00:00:00,put,AIG160115P00028000,0.21,1
30.0,2014-11-22 00:00:00,call,AIG141122C00030000,22.8,5
30.0,2014-11-22 00:00:00,put,AIG141122P00030000,0.07,44
30.0,2015-01-17 00:00:00,call,AIG150117C00030000,25.95,3
30.0,2015-01-17 00:00:00,put,AIG150117P00030000,0.04,1
30.0,2016-01-15 00:00:00,call,AIG160115C00030000,25.81,6
30.0,2016-01-15 00:00:00,put,AIG160115P00030000,0.27,4
33.0,2015-01-17 00:00:00,call,AIG150117C00033000,23.07,100
33.0,2015-01-17 00:00:00,put,AIG150117P00033000,0.05,8
33.0,2016-01-15 00:00:00,call,AIG160115C00033000,22.25,5
33.0,2016-01-15 00:00:00,put,AIG160115P00033000,0.4,4
35.0,2014-11-22 00:00:00,call,AIG141122C00035000,19.25,10
35.0,2014-11-22 00:00:00,put,AIG141122P00035000,0.04,5
35.0,2015-01-17 00:00:00,call,AIG150117C00035000,21.0,3
35.0,2015-01-17 00:00:00,put,AIG150117P00035000,0.08,1
35.0,2015-02-20 00:00:00,call,AIG150220C00035000,17.25,10
35.0,2015-02-20 00:00:00,put,AIG150220P00035000,0.15,25
35.0,2016-01-15 00:00:00,call,AIG160115C00035000,22.0,20
35.0,2016-01-15 00:00:00,put,AIG160115P00035000,0.53,15
37.0,2015-01-17 00:00:00,call,AIG150117C00037000,16.35,5
37.0,2015-01-17 00:00:00,put,AIG150117P00037000,0.1,1
38.0,2016-01-15 00:00:00,call,AIG160115C00038000,18.56,5
38.0,2016-01-15 00:00:00,put,AIG160115P00038000,0.68,8
40.0,2014-09-20 00:00:00,call,AIG140920C00040000,15.7,20
40.0,2014-09-20 00:00:00,put,AIG140920P00040000,0.01,3
40.0,2014-11-22 00:00:00,call,AIG141122C00040000,15.87,4
40.0,2014-11-22 00:00:00,put,AIG141122P00040000,0.08,5
40.0,2015-01-17 00:00:00,call,AIG150117C00040000,16.05,2
40.0,2015-01-17 00:00:00,put,AIG150117P00040000,0.13,5
40.0,2015-02-20 00:00:00,call,AIG150220C00040000,16.0,1
40.0,2015-02-20 00:00:00,put,AIG150220P00040000,0.15,7
40.0,2016-01-15 00:00:00,call,AIG160115C00040000,16.5,1
40.0,2016-01-15 00:00:00,put,AIG160115P00040000,1.04,12
42.0,2015-01-17 00:00:00,call,AIG150117C00042000,14.16,1
42.0,2015-01-17 00:00:00,put,AIG150117P00042000,0.17,78
43.0,2016-01-15 00:00:00,call,AIG160115C00043000,14.0,4
43.0,2016-01-15 00:00:00,put,AIG160115P00043000,1.49,25
45.0,2014-09-20 00:00:00,call,AIG140920C00045000,10.26,24
45.0,2014-09-20 00:00:00,put,AIG140920P00045000,0.03,36
45.0,2014-10-18 00:00:00,call,AIG141018C00045000,10.85,2
45.0,2014-10-18 00:00:00,put,AIG141018P00045000,0.05,10
45.0,2014-11-22 00:00:00,call,AIG141122C00045000,11.2,10
45.0,2014-11-22 00:00:00,put,AIG141122P00045000,0.14,4
45.0,2015-01-17 00:00:00,call,AIG150117C00045000,11.2,2
45.0,2015-01-17 00:00:00,put,AIG150117P00045000,0.27,21
45.0,2015-02-20 00:00:00,call,AIG150220C00045000,11.3,2
45.0,2015-02-20 00:00:00,put,AIG150220P00045000,0.4,3
45.0,2016-01-15 00:00:00,call,AIG160115C00045000,12.64,3
45.0,2016-01-15 00:00:00,put,AIG160115P00045000,1.88,15
46.0,2014-10-03 00:00:00,put,AIG141003P00046000,0.04,5
46.5,2014-09-12 00:00:00,call,AIG140912C00046500,6.3,2
47.0,2014-09-05 00:00:00,put,AIG140905P00047000,0.03,1703
47.0,2014-09-26 00:00:00,put,AIG140926P00047000,0.08,86
47.0,2015-01-17 00:00:00,call,AIG150117C00047000,9.25,11
47.0,2015-01-17 00:00:00,put,AIG150117P00047000,0.41,38
47.5,2014-09-12 00:00:00,put,AIG140912P00047500,0.17,14
47.5,2014-09-26 00:00:00,put,AIG140926P00047500,0.08,57
48.0,2014-09-05 00:00:00,call,AIG140905C00048000,6.5,1
48.0,2014-09-05 00:00:00,put,AIG140905P00048000,0.01,250
48.0,2014-09-20 00:00:00,put,AIG140920P00048000,0.05,10
48.0,2014-09-26 00:00:00,call,AIG140926C00048000,7.91,17
48.0,2014-09-26 00:00:00,put,AIG140926P00048000,0.07,5
48.0,2016-01-15 00:00:00,put,AIG160115P00048000,4.25,20
48.5,2014-09-05 00:00:00,call,AIG140905C00048500,6.05,1
48.5,2014-09-05 00:00:00,put,AIG140905P00048500,0.01,268
48.5,2014-09-12 00:00:00,put,AIG140912P00048500,0.03,45
48.5,2014-09-20 00:00:00,put,AIG140920P00048500,0.06,40
48.5,2014-09-26 00:00:00,call,AIG140926C00048500,3.9,103
48.5,2014-09-26 00:00:00,put,AIG140926P00048500,0.05,2
49.0,2014-09-05 00:00:00,call,AIG140905C00049000,3.5,10
49.0,2014-09-05 00:00:00,put,AIG140905P00049000,0.01,237
49.0,2014-09-12 00:00:00,put,AIG140912P00049000,0.37,49
49.0,2014-09-26 00:00:00,call,AIG140926C00049000,6.93,11
49.0,2014-09-26 00:00:00,put,AIG140926P00049000,0.13,59
49.5,2014-09-05 00:00:00,put,AIG140905P00049500,0.28,2
49.5,2014-09-12 00:00:00,call,AIG140912C00049500,4.73,3
49.5,2014-09-12 00:00:00,put,AIG140912P00049500,0.08,18
49.5,2014-09-20 00:00:00,put,AIG140920P00049500,0.05,20
49.5,2014-09-26 00:00:00,call,AIG140926C00049500,4.55,50
49.5,2014-09-26 00:00:00,put,AIG140926P00049500,0.25,60
50.0,2014-09-05 00:00:00,call,AIG140905C00050000,6.05,8
50.0,2014-09-05 00:00:00,put,AIG140905P00050000,0.18,9
50.0,2014-09-12 00:00:00,call,AIG140912C00050000,6.02,8
50.0,2014-09-12 00:00:00,put,AIG140912P00050000,0.05,15
50.0,2014-09-20 00:00:00,call,AIG140920C00050000,6.06,40
50.0,2014-09-20 00:00:00,put,AIG140920P00050000,0.05,28
50.0,2014-09-26 00:00:00,call,AIG140926C00050000,3.9,8
50.0,2014-09-26 00:00:00,put,AIG140926P00050000,0.24,3
50.0,2014-10-18 00:00:00,call,AIG141018C00050000,5.75,1
50.0,2014-10-18 00:00:00,put,AIG141018P00050000,0.12,26
50.0,2014-11-22 00:00:00,call,AIG141122C00050000,6.23,10
50.0,2014-11-22 00:00:00,put,AIG141122P00050000,0.4,44
50.0,2015-01-17 00:00:00,call,AIG150117C00050000,6.69,125
50.0,2015-01-17 00:00:00,put,AIG150117P00050000,0.72,20
50.0,2015-02-20 00:00:00,call,AIG150220C00050000,7.05,13
50.0,2015-02-20 00:00:00,put,AIG150220P00050000,1.0,2
50.0,2016-01-15 00:00:00,call,AIG160115C00050000,9.1,52
50.0,2016-01-15 00:00:00,put,AIG160115P00050000,3.25,25
50.5,2014-09-05 00:00:00,call,AIG140905C00050500,3.6,5
50.5,2014-09-05 00:00:00,put,AIG140905P00050500,0.09,3
50.5,2014-09-12 00:00:00,call,AIG140912C00050500,2.64,1
50.5,2014-09-12 00:00:00,put,AIG140912P00050500,0.68,101
50.5,2014-09-20 00:00:00,put,AIG140920P00050500,0.09,20
50.5,2014-09-26 00:00:00,call,AIG140926C00050500,3.45,2
50.5,2014-09-26 00:00:00,put,AIG140926P00050500,0.09,2
51.0,2014-09-05 00:00:00,call,AIG140905C00051000,2.87,10
51.0,2014-09-05 00:00:00,put,AIG140905P00051000,0.12,10
51.0,2014-09-12 00:00:00,call,AIG140912C00051000,3.1,1
51.0,2014-09-12 00:00:00,put,AIG140912P00051000,0.06,3
51.0,2014-09-20 00:00:00,put,AIG140920P00051000,0.09,3
51.0,2014-09-26 00:00:00,call,AIG140926C00051000,5.2,5
51.0,2014-09-26 00:00:00,put,AIG140926P00051000,0.95,12
51.5,2014-09-05 00:00:00,call,AIG140905C00051500,4.01,400
51.5,2014-09-05 00:00:00,put,AIG140905P00051500,0.16,4
51.5,2014-09-12 00:00:00,call,AIG140912C00051500,2.3,1
51.5,2014-09-12 00:00:00,put,AIG140912P00051500,0.07,5
51.5,2014-09-20 00:00:00,call,AIG140920C00051500,2.87,75
51.5,2014-09-20 00:00:00,put,AIG140920P00051500,0.11,35
51.5,2014-09-26 00:00:00,call,AIG140926C00051500,2.62,48
51.5,2014-09-26 00:00:00,put,AIG140926P00051500,0.16,3
52.0,2014-09-05 00:00:00,call,AIG140905C00052000,3.65,10
52.0,2014-09-05 00:00:00,put,AIG140905P00052000,0.07,10
52.0,2014-09-12 00:00:00,call,AIG140912C00052000,3.54,2
52.0,2014-09-12 00:00:00,put,AIG140912P00052000,0.05,20
52.0,2014-09-20 00:00:00,put,AIG140920P00052000,0.1,10
52.0,2014-09-26 00:00:00,call,AIG140926C00052000,4.0,2
52.0,2014-09-26 00:00:00,put,AIG140926P00052000,0.11,2
52.5,2014-09-05 00:00:00,call,AIG140905C00052500,2.95,17
52.5,2014-09-05 00:00:00,put,AIG140905P00052500,0.31,63
52.5,2014-09-12 00:00:00,call,AIG140912C00052500,2.95,27
52.5,2014-09-12 00:00:00,put,AIG140912P00052500,0.11,3
52.5,2014-09-20 00:00:00,call,AIG140920C00052500,3.55,56
52.5,2014-09-20 00:00:00,put,AIG140920P00052500,0.09,42
52.5,2014-09-26 00:00:00,call,AIG140926C00052500,1.7,72
52.5,2014-09-26 00:00:00,put,AIG140926P00052500,0.64,9
52.5,2014-10-03 00:00:00,put,AIG141003P00052500,0.17,3
52.5,2014-10-18 00:00:00,call,AIG141018C00052500,3.45,10
52.5,2014-10-18 00:00:00,put,AIG141018P00052500,0.3,1
52.5,2014-11-22 00:00:00,call,AIG141122C00052500,4.16,60
52.5,2014-11-22 00:00:00,put,AIG141122P00052500,0.72,1
52.5,2015-01-17 00:00:00,call,AIG150117C00052500,4.7,48
52.5,2015-01-17 00:00:00,put,AIG150117P00052500,1.26,19
52.5,2015-02-20 00:00:00,call,AIG150220C00052500,4.65,51
52.5,2015-02-20 00:00:00,put,AIG150220P00052500,1.69,13
52.5,2016-01-15 00:00:00,call,AIG160115C00052500,7.5,1
52.5,2016-01-15 00:00:00,put,AIG160115P00052500,4.25,24
53.0,2014-09-05 00:00:00,call,AIG140905C00053000,3.1,5
53.0,2014-09-05 00:00:00,put,AIG140905P00053000,0.17,10
53.0,2014-09-12 00:00:00,call,AIG140912C00053000,2.85,1
53.0,2014-09-12 00:00:00,put,AIG140912P00053000,0.07,2
53.0,2014-09-20 00:00:00,call,AIG140920C00053000,3.11,30
53.0,2014-09-20 00:00:00,put,AIG140920P00053000,0.09,3
53.0,2014-09-26 00:00:00,call,AIG140926C00053000,3.0,6
53.0,2014-09-26 00:00:00,put,AIG140926P00053000,0.29,4
53.0,2014-10-03 00:00:00,put,AIG141003P00053000,0.35,2
53.5,2014-09-05 00:00:00,call,AIG140905C00053500,2.58,142
53.5,2014-09-05 00:00:00,put,AIG140905P00053500,0.06,10
53.5,2014-09-12 00:00:00,call,AIG140912C00053500,2.31,10
53.5,2014-09-12 00:00:00,put,AIG140912P00053500,0.2,30
53.5,2014-09-20 00:00:00,call,AIG140920C00053500,2.14,25
53.5,2014-09-20 00:00:00,put,AIG140920P00053500,0.21,329
53.5,2014-09-26 00:00:00,call,AIG140926C00053500,2.75,10
53.5,2014-09-26 00:00:00,put,AIG140926P00053500,0.25,1
54.0,2014-09-05 00:00:00,call,AIG140905C00054000,1.96,25
54.0,2014-09-05 00:00:00,put,AIG140905P00054000,0.05,25
54.0,2014-09-12 00:00:00,call,AIG140912C00054000,1.62,10
