Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,AMAT150117C00003000,18.25,7
5.0,2015-01-17 00:00:00,put,AMAT150117P00005000,0.04,0
8.0,2015-01-17 00:00:00,call,AMAT150117C00008000,14.1,45
8.0,2015-01-17 00:00:00,put,AMAT150117P00008000,0.03,10
8.0,2016-01-15 00:00:00,put,AMAT160115P00008000,0.12,6
10.0,2015-01-17 00:00:00,call,AMAT150117C00010000,12.42,48
10.0,2015-01-17 00:00:00,put,AMAT150117P00010000,0.03,2
10.0,2016-01-15 00:00:00,call,AMAT160115C00010000,12.9,30
10.0,2016-01-15 00:00:00,put,AMAT160115P00010000,0.18,5
11.0,2014-10-18 00:00:00,put,AMAT141018P00011000,0.03,16
11.0,2015-01-17 00:00:00,put,AMAT150117P00011000,0.06,11
12.0,2014-10-18 00:00:00,call,AMAT141018C00012000,9.95,2
12.0,2014-10-18 00:00:00,put,AMAT141018P00012000,0.06,11
12.0,2015-01-17 00:00:00,call,AMAT150117C00012000,10.05,2
12.0,2015-01-17 00:00:00,put,AMAT150117P00012000,0.06,33
13.0,2014-10-18 00:00:00,put,AMAT141018P00013000,0.02,10
13.0,2015-01-17 00:00:00,call,AMAT150117C00013000,9.16,1
13.0,2015-04-17 00:00:00,put,AMAT150417P00013000,0.1,3
13.0,2016-01-15 00:00:00,call,AMAT160115C00013000,9.8,5
13.0,2016-01-15 00:00:00,put,AMAT160115P00013000,0.53,10
14.0,2014-09-12 00:00:00,call,AMAT140912C00014000,8.8,21
14.0,2014-10-18 00:00:00,call,AMAT141018C00014000,8.45,10
14.0,2014-10-18 00:00:00,put,AMAT141018P00014000,0.03,10
14.0,2015-01-17 00:00:00,call,AMAT150117C00014000,8.15,31
14.0,2015-01-17 00:00:00,put,AMAT150117P00014000,0.07,2
14.5,2014-09-12 00:00:00,call,AMAT140912C00014500,8.25,34
15.0,2014-09-05 00:00:00,call,AMAT140905C00015000,8.1,5
15.0,2014-09-12 00:00:00,call,AMAT140912C00015000,7.8,83
15.0,2014-09-20 00:00:00,put,AMAT140920P00015000,0.03,3
15.0,2014-10-18 00:00:00,call,AMAT141018C00015000,7.09,15
15.0,2014-10-18 00:00:00,put,AMAT141018P00015000,0.03,10
15.0,2015-01-17 00:00:00,call,AMAT150117C00015000,8.1,10
15.0,2015-01-17 00:00:00,put,AMAT150117P00015000,0.11,5
15.0,2016-01-15 00:00:00,call,AMAT160115C00015000,7.48,7
15.0,2016-01-15 00:00:00,put,AMAT160115P00015000,0.71,7
16.0,2014-09-05 00:00:00,put,AMAT140905P00016000,0.05,2
16.0,2014-09-12 00:00:00,put,AMAT140912P00016000,0.04,3
16.0,2014-09-20 00:00:00,put,AMAT140920P00016000,0.01,6
16.0,2014-10-18 00:00:00,call,AMAT141018C00016000,6.45,24
16.0,2014-10-18 00:00:00,put,AMAT141018P00016000,0.04,10
16.0,2015-01-17 00:00:00,call,AMAT150117C00016000,6.26,1
16.0,2015-01-17 00:00:00,put,AMAT150117P00016000,0.15,13
16.0,2015-04-17 00:00:00,call,AMAT150417C00016000,6.4,2
16.0,2015-04-17 00:00:00,put,AMAT150417P00016000,0.39,18
16.5,2014-09-12 00:00:00,put,AMAT140912P00016500,0.03,20
16.5,2014-09-20 00:00:00,put,AMAT140920P00016500,0.04,11
16.5,2014-09-26 00:00:00,put,AMAT140926P00016500,0.03,30
17.0,2014-09-05 00:00:00,call,AMAT140905C00017000,5.35,5
17.0,2014-09-05 00:00:00,put,AMAT140905P00017000,0.04,105
17.0,2014-09-12 00:00:00,put,AMAT140912P00017000,0.04,59
17.0,2014-09-20 00:00:00,call,AMAT140920C00017000,4.2,20
17.0,2014-09-20 00:00:00,put,AMAT140920P00017000,0.04,12
17.0,2014-09-26 00:00:00,put,AMAT140926P00017000,0.03,10
17.0,2014-10-18 00:00:00,call,AMAT141018C00017000,4.45,1
17.0,2014-10-18 00:00:00,put,AMAT141018P00017000,0.1,66
17.0,2015-01-17 00:00:00,call,AMAT150117C00017000,6.2,15
17.0,2015-01-17 00:00:00,put,AMAT150117P00017000,0.25,8
17.0,2015-04-17 00:00:00,put,AMAT150417P00017000,0.55,30
17.0,2016-01-15 00:00:00,call,AMAT160115C00017000,6.75,1
17.0,2016-01-15 00:00:00,put,AMAT160115P00017000,0.95,49
17.5,2014-09-12 00:00:00,call,AMAT140912C00017500,4.55,26
17.5,2014-09-26 00:00:00,put,AMAT140926P00017500,0.02,30
18.0,2014-09-05 00:00:00,put,AMAT140905P00018000,0.06,125
18.0,2014-09-12 00:00:00,call,AMAT140912C00018000,5.1,30
18.0,2014-09-12 00:00:00,put,AMAT140912P00018000,0.06,12
18.0,2014-09-20 00:00:00,call,AMAT140920C00018000,4.7,3
18.0,2014-09-20 00:00:00,put,AMAT140920P00018000,0.04,10
18.0,2014-09-26 00:00:00,put,AMAT140926P00018000,0.04,200
18.0,2014-10-18 00:00:00,call,AMAT141018C00018000,5.1,20
18.0,2014-10-18 00:00:00,put,AMAT141018P00018000,0.06,3
18.0,2015-01-17 00:00:00,call,AMAT150117C00018000,5.34,110
18.0,2015-01-17 00:00:00,put,AMAT150117P00018000,0.27,3
18.0,2015-04-17 00:00:00,put,AMAT150417P00018000,0.6,10
18.5,2014-09-05 00:00:00,put,AMAT140905P00018500,0.06,20
18.5,2014-09-12 00:00:00,call,AMAT140912C00018500,3.55,55
18.5,2014-09-12 00:00:00,put,AMAT140912P00018500,0.03,30
18.5,2014-09-20 00:00:00,put,AMAT140920P00018500,0.06,5
18.5,2014-09-26 00:00:00,put,AMAT140926P00018500,0.11,7
19.0,2014-09-05 00:00:00,put,AMAT140905P00019000,0.04,10
19.0,2014-09-12 00:00:00,put,AMAT140912P00019000,0.07,11
19.0,2014-09-20 00:00:00,call,AMAT140920C00019000,3.47,1
19.0,2014-09-20 00:00:00,put,AMAT140920P00019000,0.05,26
19.0,2014-09-26 00:00:00,call,AMAT140926C00019000,3.15,9
19.0,2014-09-26 00:00:00,put,AMAT140926P00019000,0.34,3
19.0,2014-10-18 00:00:00,call,AMAT141018C00019000,3.45,3
19.0,2014-10-18 00:00:00,put,AMAT141018P00019000,0.1,10
19.0,2015-01-17 00:00:00,call,AMAT150117C00019000,4.41,10
19.0,2015-01-17 00:00:00,put,AMAT150117P00019000,0.43,18
19.0,2015-04-17 00:00:00,call,AMAT150417C00019000,4.0,3
19.0,2015-04-17 00:00:00,put,AMAT150417P00019000,0.93,23
19.5,2014-09-05 00:00:00,call,AMAT140905C00019500,3.3,22
19.5,2014-09-05 00:00:00,put,AMAT140905P00019500,0.05,1
19.5,2014-09-12 00:00:00,put,AMAT140912P00019500,0.09,25
19.5,2014-09-20 00:00:00,put,AMAT140920P00019500,0.07,44
19.5,2014-09-26 00:00:00,call,AMAT140926C00019500,2.63,10
19.5,2014-09-26 00:00:00,put,AMAT140926P00019500,0.06,1
20.0,2014-09-05 00:00:00,call,AMAT140905C00020000,2.46,10
20.0,2014-09-05 00:00:00,put,AMAT140905P00020000,0.05,32
20.0,2014-09-12 00:00:00,call,AMAT140912C00020000,2.58,14
20.0,2014-09-12 00:00:00,put,AMAT140912P00020000,0.12,5
20.0,2014-09-20 00:00:00,call,AMAT140920C00020000,2.85,30
20.0,2014-09-20 00:00:00,put,AMAT140920P00020000,0.05,1
20.0,2014-09-26 00:00:00,call,AMAT140926C00020000,2.49,210
20.0,2014-09-26 00:00:00,put,AMAT140926P00020000,0.11,5
20.0,2014-10-03 00:00:00,put,AMAT141003P00020000,0.18,10
20.0,2014-10-18 00:00:00,call,AMAT141018C00020000,3.18,10
20.0,2014-10-18 00:00:00,put,AMAT141018P00020000,0.16,4
20.0,2015-01-17 00:00:00,call,AMAT150117C00020000,3.65,28
20.0,2015-01-17 00:00:00,put,AMAT150117P00020000,0.61,17
20.0,2015-04-17 00:00:00,call,AMAT150417C00020000,3.65,6
20.0,2015-04-17 00:00:00,put,AMAT150417P00020000,1.11,400
20.0,2016-01-15 00:00:00,call,AMAT160115C00020000,4.68,21
20.0,2016-01-15 00:00:00,put,AMAT160115P00020000,1.92,42
20.5,2014-09-05 00:00:00,call,AMAT140905C00020500,2.15,14
20.5,2014-09-05 00:00:00,put,AMAT140905P00020500,0.1,15
20.5,2014-09-12 00:00:00,call,AMAT140912C00020500,2.04,6
20.5,2014-09-12 00:00:00,put,AMAT140912P00020500,0.25,20
20.5,2014-09-20 00:00:00,call,AMAT140920C00020500,1.81,78
20.5,2014-09-20 00:00:00,put,AMAT140920P00020500,0.06,212
20.5,2014-09-26 00:00:00,call,AMAT140926C00020500,1.86,11
20.5,2014-09-26 00:00:00,put,AMAT140926P00020500,0.08,25
20.5,2014-10-03 00:00:00,call,AMAT141003C00020500,1.73,33
21.0,2014-09-05 00:00:00,call,AMAT140905C00021000,1.93,9
21.0,2014-09-05 00:00:00,put,AMAT140905P00021000,0.05,267
21.0,2014-09-12 00:00:00,call,AMAT140912C00021000,1.66,28
21.0,2014-09-12 00:00:00,put,AMAT140912P00021000,0.27,2
21.0,2014-09-20 00:00:00,call,AMAT140920C00021000,1.95,24
21.0,2014-09-20 00:00:00,put,AMAT140920P00021000,0.08,135
21.0,2014-09-26 00:00:00,call,AMAT140926C00021000,1.45,72
21.0,2014-09-26 00:00:00,put,AMAT140926P00021000,0.41,631
21.0,2014-10-03 00:00:00,call,AMAT141003C00021000,2.22,1
21.0,2014-10-18 00:00:00,call,AMAT141018C00021000,2.33,2
21.0,2014-10-18 00:00:00,put,AMAT141018P00021000,0.28,44
21.0,2015-01-17 00:00:00,call,AMAT150117C00021000,2.85,2755
21.0,2015-01-17 00:00:00,put,AMAT150117P00021000,0.85,51
21.0,2015-04-17 00:00:00,call,AMAT150417C00021000,2.7,3
21.0,2015-04-17 00:00:00,put,AMAT150417P00021000,1.71,11
21.5,2014-09-05 00:00:00,call,AMAT140905C00021500,1.24,11
21.5,2014-09-05 00:00:00,put,AMAT140905P00021500,0.13,12
21.5,2014-09-12 00:00:00,call,AMAT140912C00021500,1.38,38
21.5,2014-09-12 00:00:00,put,AMAT140912P00021500,0.25,21
21.5,2014-09-20 00:00:00,call,AMAT140920C00021500,1.02,5
21.5,2014-09-20 00:00:00,put,AMAT140920P00021500,0.11,100
21.5,2014-09-26 00:00:00,call,AMAT140926C00021500,1.38,1
21.5,2014-09-26 00:00:00,put,AMAT140926P00021500,0.21,1
21.5,2014-10-03 00:00:00,put,AMAT141003P00021500,0.55,15
22.0,2014-09-05 00:00:00,call,AMAT140905C00022000,1.1,21
22.0,2014-09-05 00:00:00,put,AMAT140905P00022000,0.04,20
22.0,2014-09-12 00:00:00,call,AMAT140912C00022000,0.97,1
22.0,2014-09-12 00:00:00,put,AMAT140912P00022000,0.23,47
