Strike,Expiry,Type,Symbol,Last,Vol
0.5,2015-01-17 00:00:00,call,AMD150117C00000500,3.6,1
0.5,2015-01-17 00:00:00,put,AMD150117P00000500,0.04,0
1.0,2014-10-18 00:00:00,call,AMD141018C00001000,3.6,100
1.0,2014-10-18 00:00:00,put,AMD141018P00001000,0.01,25
1.0,2015-01-17 00:00:00,call,AMD150117C00001000,3.17,30
1.0,2015-01-17 00:00:00,put,AMD150117P00001000,0.02,30
1.5,2014-10-18 00:00:00,call,AMD141018C00001500,3.0,15
1.5,2015-01-17 00:00:00,call,AMD150117C00001500,2.68,1
1.5,2015-01-17 00:00:00,put,AMD150117P00001500,0.01,2676
1.5,2015-04-17 00:00:00,put,AMD150417P00001500,0.03,10
2.0,2014-09-20 00:00:00,call,AMD140920C00002000,2.2,15
2.0,2014-10-18 00:00:00,call,AMD141018C00002000,2.07,3
2.0,2014-10-18 00:00:00,put,AMD141018P00002000,0.01,1173
2.0,2015-01-17 00:00:00,call,AMD150117C00002000,2.15,4
2.0,2015-01-17 00:00:00,put,AMD150117P00002000,0.03,10
2.0,2016-01-15 00:00:00,call,AMD160115C00002000,2.2,4
2.0,2016-01-15 00:00:00,put,AMD160115P00002000,0.12,255
2.5,2014-09-20 00:00:00,call,AMD140920C00002500,1.46,4
2.5,2014-09-20 00:00:00,put,AMD140920P00002500,0.01,100
2.5,2014-09-26 00:00:00,put,AMD140926P00002500,0.02,20
2.5,2014-10-18 00:00:00,call,AMD141018C00002500,1.64,840
2.5,2014-10-18 00:00:00,put,AMD141018P00002500,0.02,1
2.5,2015-01-17 00:00:00,call,AMD150117C00002500,1.7,5
2.5,2015-01-17 00:00:00,put,AMD150117P00002500,0.05,10
2.5,2015-04-17 00:00:00,put,AMD150417P00002500,0.08,98
2.5,2016-01-15 00:00:00,call,AMD160115C00002500,1.75,1
2.5,2016-01-15 00:00:00,put,AMD160115P00002500,0.21,18
3.0,2014-09-05 00:00:00,call,AMD140905C00003000,1.14,10
3.0,2014-09-05 00:00:00,put,AMD140905P00003000,0.04,15
3.0,2014-09-12 00:00:00,call,AMD140912C00003000,1.19,2
3.0,2014-09-20 00:00:00,call,AMD140920C00003000,1.1,10
