Strike,Expiry,Type,Symbol,Last,Vol
115.0,2015-01-17 00:00:00,call,AMZN150117C00115000,206.0,1
115.0,2015-01-17 00:00:00,put,AMZN150117P00115000,0.05,29
120.0,2015-01-17 00:00:00,call,AMZN150117C00120000,206.4,1
120.0,2015-01-17 00:00:00,put,AMZN150117P00120000,0.08,6
125.0,2015-01-17 00:00:00,call,AMZN150117C00125000,194.32,3
125.0,2015-01-17 00:00:00,put,AMZN150117P00125000,0.1,14
130.0,2015-01-17 00:00:00,call,AMZN150117C00130000,172.75,1
130.0,2015-01-17 00:00:00,put,AMZN150117P00130000,0.06,50
135.0,2015-01-17 00:00:00,call,AMZN150117C00135000,205.9,11
135.0,2015-01-17 00:00:00,put,AMZN150117P00135000,0.1,3
140.0,2015-01-17 00:00:00,call,AMZN150117C00140000,184.55,2
140.0,2015-01-17 00:00:00,put,AMZN150117P00140000,0.13,11
145.0,2015-01-17 00:00:00,call,AMZN150117C00145000,253.85,0
145.0,2015-01-17 00:00:00,put,AMZN150117P00145000,0.14,4
145.0,2016-01-15 00:00:00,call,AMZN160115C00145000,192.33,1
145.0,2016-01-15 00:00:00,put,AMZN160115P00145000,1.2,3
150.0,2015-01-17 00:00:00,call,AMZN150117C00150000,208.95,1
150.0,2015-01-17 00:00:00,put,AMZN150117P00150000,0.35,25
150.0,2016-01-15 00:00:00,call,AMZN160115C00150000,172.58,1
150.0,2016-01-15 00:00:00,put,AMZN160115P00150000,1.5,2
155.0,2015-01-17 00:00:00,call,AMZN150117C00155000,139.2,1
155.0,2015-01-17 00:00:00,put,AMZN150117P00155000,0.24,1
155.0,2016-01-15 00:00:00,call,AMZN160115C00155000,147.4,5
155.0,2016-01-15 00:00:00,put,AMZN160115P00155000,1.75,20
160.0,2015-01-17 00:00:00,call,AMZN150117C00160000,164.2,4
160.0,2015-01-17 00:00:00,put,AMZN150117P00160000,0.15,27
160.0,2016-01-15 00:00:00,call,AMZN160115C00160000,177.0,1
160.0,2016-01-15 00:00:00,put,AMZN160115P00160000,1.87,1
165.0,2014-10-18 00:00:00,call,AMZN141018C00165000,151.6,15
165.0,2014-10-18 00:00:00,put,AMZN141018P00165000,0.05,8
165.0,2015-01-17 00:00:00,call,AMZN150117C00165000,164.95,4
165.0,2015-01-17 00:00:00,put,AMZN150117P00165000,0.35,12
165.0,2015-04-17 00:00:00,put,AMZN150417P00165000,0.5,3
165.0,2016-01-15 00:00:00,call,AMZN160115C00165000,151.5,2
165.0,2016-01-15 00:00:00,put,AMZN160115P00165000,2.12,1
170.0,2014-10-18 00:00:00,call,AMZN141018C00170000,141.45,2
170.0,2014-10-18 00:00:00,put,AMZN141018P00170000,1.08,200
170.0,2015-01-17 00:00:00,call,AMZN150117C00170000,158.75,1
170.0,2015-01-17 00:00:00,put,AMZN150117P00170000,0.29,10
170.0,2015-04-17 00:00:00,put,AMZN150417P00170000,0.64,30
170.0,2016-01-15 00:00:00,call,AMZN160115C00170000,150.0,1
170.0,2016-01-15 00:00:00,put,AMZN160115P00170000,2.25,20
175.0,2014-09-20 00:00:00,put,AMZN140920P00175000,0.09,5
175.0,2014-10-18 00:00:00,call,AMZN141018C00175000,122.85,1
175.0,2014-10-18 00:00:00,put,AMZN141018P00175000,0.13,50
175.0,2015-01-17 00:00:00,call,AMZN150117C00175000,149.0,4
175.0,2015-01-17 00:00:00,put,AMZN150117P00175000,0.2,24
175.0,2016-01-15 00:00:00,call,AMZN160115C00175000,161.6,1
175.0,2016-01-15 00:00:00,call,AMZN7160115C00175000,145.0,2
175.0,2016-01-15 00:00:00,put,AMZN160115P00175000,2.8,11
175.0,2016-01-15 00:00:00,put,AMZN7160115P00175000,2.42,1
180.0,2014-09-20 00:00:00,put,AMZN140920P00180000,0.01,10
180.0,2014-10-18 00:00:00,call,AMZN141018C00180000,197.12,10
180.0,2014-10-18 00:00:00,put,AMZN141018P00180000,0.16,15
180.0,2015-01-17 00:00:00,call,AMZN150117C00180000,131.2,1
180.0,2015-01-17 00:00:00,put,AMZN150117P00180000,0.23,1
180.0,2016-01-15 00:00:00,call,AMZN160115C00180000,119.0,1
180.0,2016-01-15 00:00:00,call,AMZN7160115C00180000,155.54,2
180.0,2016-01-15 00:00:00,put,AMZN160115P00180000,3.05,153
180.0,2016-01-15 00:00:00,put,AMZN7160115P00180000,2.85,1
185.0,2014-09-20 00:00:00,call,AMZN140920C00185000,158.3,2
185.0,2014-10-18 00:00:00,call,AMZN141018C00185000,128.7,1
185.0,2014-10-18 00:00:00,put,AMZN141018P00185000,0.08,143
185.0,2015-01-17 00:00:00,call,AMZN150117C00185000,114.54,1
185.0,2015-01-17 00:00:00,put,AMZN150117P00185000,0.22,181
185.0,2016-01-15 00:00:00,call,AMZN160115C00185000,156.0,3
185.0,2016-01-15 00:00:00,call,AMZN7160115C00185000,137.7,2
185.0,2016-01-15 00:00:00,put,AMZN160115P00185000,3.44,150
185.0,2016-01-15 00:00:00,put,AMZN7160115P00185000,3.15,1
190.0,2014-10-18 00:00:00,call,AMZN141018C00190000,112.1,1
190.0,2014-10-18 00:00:00,put,AMZN141018P00190000,0.1,2
190.0,2014-11-22 00:00:00,put,AMZN141122P00190000,0.21,4
190.0,2015-01-17 00:00:00,call,AMZN150117C00190000,104.95,3
190.0,2015-01-17 00:00:00,put,AMZN150117P00190000,0.45,3
190.0,2015-01-17 00:00:00,put,AMZN7150117P00190000,0.47,1
190.0,2016-01-15 00:00:00,call,AMZN160115C00190000,128.46,6
190.0,2016-01-15 00:00:00,call,AMZN7160115C00190000,169.7,1
190.0,2016-01-15 00:00:00,put,AMZN160115P00190000,3.5,1
190.0,2016-01-15 00:00:00,put,AMZN7160115P00190000,3.45,1
195.0,2014-09-20 00:00:00,put,AMZN140920P00195000,0.03,38
195.0,2014-10-18 00:00:00,put,AMZN141018P00195000,0.12,5
195.0,2015-01-17 00:00:00,call,AMZN150117C00195000,167.6,0
195.0,2015-01-17 00:00:00,put,AMZN150117P00195000,0.3,1
195.0,2015-01-17 00:00:00,put,AMZN7150117P00195000,0.55,0
195.0,2015-04-17 00:00:00,put,AMZN150417P00195000,1.09,5
195.0,2016-01-15 00:00:00,call,AMZN160115C00195000,105.0,2
195.0,2016-01-15 00:00:00,call,AMZN7160115C00195000,168.8,1
195.0,2016-01-15 00:00:00,put,AMZN160115P00195000,4.35,137
195.0,2016-01-15 00:00:00,put,AMZN7160115P00195000,3.9,1
200.0,2014-09-20 00:00:00,call,AMZN140920C00200000,155.0,2
200.0,2014-09-20 00:00:00,put,AMZN140920P00200000,0.03,55
200.0,2014-10-18 00:00:00,call,AMZN141018C00200000,138.14,1
200.0,2014-10-18 00:00:00,put,AMZN141018P00200000,0.07,12
200.0,2015-01-17 00:00:00,call,AMZN150117C00200000,135.25,239
200.0,2015-01-17 00:00:00,call,AMZN7150117C00200000,137.0,1
200.0,2015-01-17 00:00:00,put,AMZN150117P00200000,0.4,5
200.0,2015-01-17 00:00:00,put,AMZN7150117P00200000,1.35,1
200.0,2015-04-17 00:00:00,put,AMZN150417P00200000,1.0,2
200.0,2016-01-15 00:00:00,call,AMZN160115C00200000,151.0,5
200.0,2016-01-15 00:00:00,call,AMZN7160115C00200000,148.9,7
200.0,2016-01-15 00:00:00,put,AMZN160115P00200000,4.57,4
200.0,2016-01-15 00:00:00,put,AMZN7160115P00200000,4.3,1
205.0,2014-09-20 00:00:00,put,AMZN140920P00205000,0.03,69
205.0,2014-10-18 00:00:00,call,AMZN141018C00205000,139.7,1
205.0,2014-10-18 00:00:00,put,AMZN141018P00205000,0.17,1
205.0,2014-11-22 00:00:00,put,AMZN141122P00205000,0.31,1
205.0,2015-01-17 00:00:00,call,AMZN150117C00205000,133.85,2
205.0,2015-01-17 00:00:00,call,AMZN7150117C00205000,114.5,1
205.0,2015-01-17 00:00:00,put,AMZN150117P00205000,0.78,5
205.0,2015-01-17 00:00:00,put,AMZN7150117P00205000,0.77,1
210.0,2014-09-20 00:00:00,put,AMZN140920P00210000,0.04,7
210.0,2014-10-18 00:00:00,call,AMZN141018C00210000,111.2,6
210.0,2014-10-18 00:00:00,put,AMZN141018P00210000,0.1,21
210.0,2014-11-22 00:00:00,put,AMZN141122P00210000,0.26,14
210.0,2015-01-17 00:00:00,call,AMZN150117C00210000,104.15,10
210.0,2015-01-17 00:00:00,call,AMZN7150117C00210000,188.75,0
210.0,2015-01-17 00:00:00,put,AMZN150117P00210000,0.6,15
210.0,2015-01-17 00:00:00,put,AMZN7150117P00210000,1.41,1
210.0,2016-01-15 00:00:00,call,AMZN160115C00210000,138.95,1
210.0,2016-01-15 00:00:00,call,AMZN7160115C00210000,133.25,3
210.0,2016-01-15 00:00:00,put,AMZN160115P00210000,5.9,214
210.0,2016-01-15 00:00:00,put,AMZN7160115P00210000,5.3,1
215.0,2014-09-20 00:00:00,put,AMZN140920P00215000,0.05,30
215.0,2014-10-18 00:00:00,call,AMZN141018C00215000,100.95,15
215.0,2014-10-18 00:00:00,put,AMZN141018P00215000,0.1,9
