Strike,Expiry,Type,Symbol,Last,Vol
37.5,2015-01-17 00:00:00,put,BA150117P00037500,0.01,10
40.0,2015-01-17 00:00:00,call,BA150117C00040000,88.3,4
40.0,2015-01-17 00:00:00,put,BA150117P00040000,0.01,20
42.5,2015-01-17 00:00:00,put,BA150117P00042500,0.02,57
45.0,2015-01-17 00:00:00,put,BA150117P00045000,0.02,71
47.5,2015-01-17 00:00:00,put,BA150117P00047500,0.02,10
50.0,2015-01-17 00:00:00,call,BA150117C00050000,69.22,1
50.0,2015-01-17 00:00:00,put,BA150117P00050000,0.03,8
55.0,2015-01-17 00:00:00,put,BA150117P00055000,0.03,10
60.0,2015-01-17 00:00:00,call,BA150117C00060000,61.15,55
60.0,2015-01-17 00:00:00,put,BA150117P00060000,0.08,4
60.0,2016-01-15 00:00:00,call,BA160115C00060000,61.5,1
60.0,2016-01-15 00:00:00,put,BA160115P00060000,0.4,5
62.5,2015-01-17 00:00:00,put,BA150117P00062500,0.05,35
65.0,2014-09-20 00:00:00,call,BA140920C00065000,54.1,3
65.0,2014-11-22 00:00:00,put,BA141122P00065000,0.04,22
65.0,2015-01-17 00:00:00,call,BA150117C00065000,56.05,23
65.0,2015-01-17 00:00:00,put,BA150117P00065000,0.09,2
65.0,2015-02-20 00:00:00,put,BA150220P00065000,0.17,11
65.0,2016-01-15 00:00:00,call,BA160115C00065000,63.2,20
65.0,2016-01-15 00:00:00,put,BA160115P00065000,0.6,10
67.5,2015-01-17 00:00:00,call,BA150117C00067500,60.7,1
67.5,2015-01-17 00:00:00,put,BA150117P00067500,0.06,16
70.0,2014-09-20 00:00:00,put,BA140920P00070000,0.02,10
70.0,2014-11-22 00:00:00,put,BA141122P00070000,0.03,10
70.0,2015-01-17 00:00:00,call,BA150117C00070000,59.0,1
70.0,2015-01-17 00:00:00,put,BA150117P00070000,0.1,1
70.0,2015-02-20 00:00:00,put,BA150220P00070000,0.2,1
70.0,2016-01-15 00:00:00,call,BA160115C00070000,58.4,3
70.0,2016-01-15 00:00:00,put,BA160115P00070000,0.79,100
72.5,2015-01-17 00:00:00,call,BA150117C00072500,48.6,55
72.5,2015-01-17 00:00:00,put,BA150117P00072500,0.17,2
75.0,2014-09-20 00:00:00,put,BA140920P00075000,0.03,10
75.0,2014-11-22 00:00:00,put,BA141122P00075000,0.05,1
75.0,2015-01-17 00:00:00,call,BA150117C00075000,52.35,56
75.0,2015-01-17 00:00:00,put,BA150117P00075000,0.12,10
75.0,2015-02-20 00:00:00,put,BA150220P00075000,0.17,1
75.0,2016-01-15 00:00:00,call,BA160115C00075000,51.5,4
75.0,2016-01-15 00:00:00,put,BA160115P00075000,1.11,15
77.5,2015-01-17 00:00:00,call,BA150117C00077500,43.49,10
77.5,2015-01-17 00:00:00,put,BA150117P00077500,0.05,12
80.0,2014-09-20 00:00:00,put,BA140920P00080000,0.03,136
80.0,2014-10-18 00:00:00,put,BA141018P00080000,0.02,10
80.0,2014-11-22 00:00:00,call,BA141122C00080000,41.2,2
80.0,2014-11-22 00:00:00,put,BA141122P00080000,0.07,179
80.0,2015-01-17 00:00:00,call,BA150117C00080000,47.4,8
80.0,2015-01-17 00:00:00,put,BA150117P00080000,0.18,1
80.0,2015-02-20 00:00:00,call,BA150220C00080000,40.3,16
80.0,2015-02-20 00:00:00,put,BA150220P00080000,0.42,1
80.0,2016-01-15 00:00:00,call,BA160115C00080000,47.1,2
80.0,2016-01-15 00:00:00,put,BA160115P00080000,1.48,15
82.5,2015-01-17 00:00:00,call,BA150117C00082500,39.1,1
82.5,2015-01-17 00:00:00,put,BA150117P00082500,0.51,96
85.0,2014-09-20 00:00:00,put,BA140920P00085000,0.03,14
85.0,2014-10-18 00:00:00,put,BA141018P00085000,0.03,2
85.0,2014-11-22 00:00:00,call,BA141122C00085000,36.15,2
85.0,2014-11-22 00:00:00,put,BA141122P00085000,0.11,15
85.0,2015-01-17 00:00:00,call,BA150117C00085000,42.75,1
85.0,2015-01-17 00:00:00,put,BA150117P00085000,0.25,15
85.0,2015-02-20 00:00:00,call,BA150220C00085000,42.64,1
85.0,2015-02-20 00:00:00,put,BA150220P00085000,0.29,85
85.0,2016-01-15 00:00:00,call,BA160115C00085000,42.85,2
85.0,2016-01-15 00:00:00,put,BA160115P00085000,1.94,40
87.5,2015-01-17 00:00:00,call,BA150117C00087500,34.35,2
87.5,2015-01-17 00:00:00,put,BA150117P00087500,0.25,5
90.0,2014-09-20 00:00:00,call,BA140920C00090000,28.55,1
90.0,2014-09-20 00:00:00,put,BA140920P00090000,0.03,6
90.0,2014-10-18 00:00:00,call,BA141018C00090000,36.42,1
90.0,2014-10-18 00:00:00,put,BA141018P00090000,0.05,10
90.0,2014-11-22 00:00:00,put,BA141122P00090000,0.14,123
90.0,2015-01-17 00:00:00,call,BA150117C00090000,37.5,6
90.0,2015-01-17 00:00:00,put,BA150117P00090000,0.25,162
90.0,2015-02-20 00:00:00,put,BA150220P00090000,0.35,34
90.0,2016-01-15 00:00:00,call,BA160115C00090000,39.15,3
90.0,2016-01-15 00:00:00,put,BA160115P00090000,2.55,24
92.5,2015-01-17 00:00:00,call,BA150117C00092500,28.85,24
92.5,2015-01-17 00:00:00,put,BA150117P00092500,0.3,1
95.0,2014-09-20 00:00:00,call,BA140920C00095000,26.8,1
95.0,2014-09-20 00:00:00,put,BA140920P00095000,0.03,13
95.0,2014-10-18 00:00:00,put,BA141018P00095000,0.06,67
95.0,2014-11-22 00:00:00,call,BA141122C00095000,32.7,3
95.0,2014-11-22 00:00:00,put,BA141122P00095000,0.19,6
95.0,2015-01-17 00:00:00,call,BA150117C00095000,32.03,1
95.0,2015-01-17 00:00:00,put,BA150117P00095000,0.39,1
95.0,2015-02-20 00:00:00,call,BA150220C00095000,33.55,2
95.0,2015-02-20 00:00:00,put,BA150220P00095000,0.54,45
95.0,2016-01-15 00:00:00,call,BA160115C00095000,33.25,1
95.0,2016-01-15 00:00:00,put,BA160115P00095000,3.2,68
97.5,2015-01-17 00:00:00,call,BA150117C00097500,22.0,3
97.5,2015-01-17 00:00:00,put,BA150117P00097500,0.47,5
100.0,2014-09-05 00:00:00,put,BA140905P00100000,0.02,26
100.0,2014-09-20 00:00:00,call,BA140920C00100000,27.4,5
100.0,2014-09-20 00:00:00,put,BA140920P00100000,0.05,10
100.0,2014-10-18 00:00:00,call,BA141018C00100000,27.51,4
100.0,2014-10-18 00:00:00,put,BA141018P00100000,0.09,25
100.0,2014-11-22 00:00:00,call,BA141122C00100000,26.7,15
100.0,2014-11-22 00:00:00,put,BA141122P00100000,0.23,1
100.0,2015-01-17 00:00:00,call,BA150117C00100000,26.94,29
100.0,2015-01-17 00:00:00,put,BA150117P00100000,0.55,15
100.0,2015-02-20 00:00:00,call,BA150220C00100000,28.75,1
100.0,2015-02-20 00:00:00,put,BA150220P00100000,0.83,3
100.0,2016-01-15 00:00:00,call,BA160115C00100000,29.0,9
100.0,2016-01-15 00:00:00,put,BA160115P00100000,4.07,53
104.0,2014-09-26 00:00:00,put,BA140926P00104000,0.09,15
105.0,2014-09-05 00:00:00,put,BA140905P00105000,0.02,29
105.0,2014-09-20 00:00:00,call,BA140920C00105000,21.8,10
105.0,2014-09-20 00:00:00,put,BA140920P00105000,0.04,12
105.0,2014-09-26 00:00:00,put,BA140926P00105000,0.06,18
105.0,2014-10-18 00:00:00,call,BA141018C00105000,21.75,20
105.0,2014-10-18 00:00:00,put,BA141018P00105000,0.15,15
105.0,2014-11-22 00:00:00,call,BA141122C00105000,22.25,4
105.0,2014-11-22 00:00:00,put,BA141122P00105000,0.4,50
105.0,2015-01-17 00:00:00,call,BA150117C00105000,24.38,1
105.0,2015-01-17 00:00:00,put,BA150117P00105000,0.82,1
105.0,2015-02-20 00:00:00,call,BA150220C00105000,23.04,3
105.0,2015-02-20 00:00:00,put,BA150220P00105000,1.31,5
105.0,2016-01-15 00:00:00,call,BA160115C00105000,26.8,6
105.0,2016-01-15 00:00:00,put,BA160115P00105000,5.4,3
107.0,2014-09-26 00:00:00,put,BA140926P00107000,0.07,60
108.0,2014-09-12 00:00:00,put,BA140912P00108000,0.04,1
108.0,2014-09-26 00:00:00,put,BA140926P00108000,0.22,10
109.0,2014-09-20 00:00:00,put,BA140920P00109000,0.05,1
109.0,2014-09-26 00:00:00,put,BA140926P00109000,0.25,6
110.0,2014-09-05 00:00:00,put,BA140905P00110000,0.54,10
110.0,2014-09-12 00:00:00,put,BA140912P00110000,0.07,1
110.0,2014-09-20 00:00:00,call,BA140920C00110000,16.76,10
110.0,2014-09-20 00:00:00,put,BA140920P00110000,0.06,53
110.0,2014-09-26 00:00:00,call,BA140926C00110000,12.6,2
110.0,2014-09-26 00:00:00,put,BA140926P00110000,0.08,2
110.0,2014-10-18 00:00:00,call,BA141018C00110000,18.3,1
110.0,2014-10-18 00:00:00,put,BA141018P00110000,0.25,15
110.0,2014-11-22 00:00:00,call,BA141122C00110000,17.35,6
110.0,2014-11-22 00:00:00,put,BA141122P00110000,0.64,53
110.0,2015-01-17 00:00:00,call,BA150117C00110000,17.5,15
110.0,2015-01-17 00:00:00,put,BA150117P00110000,1.26,4
110.0,2015-02-20 00:00:00,call,BA150220C00110000,20.1,32
110.0,2015-02-20 00:00:00,put,BA150220P00110000,1.85,9
110.0,2016-01-15 00:00:00,call,BA160115C00110000,21.6,1
110.0,2016-01-15 00:00:00,put,BA160115P00110000,6.8,3
111.0,2014-09-26 00:00:00,put,BA140926P00111000,0.12,6
112.0,2014-09-05 00:00:00,call,BA140905C00112000,8.6,72
112.0,2014-09-05 00:00:00,put,BA140905P00112000,0.01,35
112.0,2014-09-12 00:00:00,put,BA140912P00112000,0.25,24
112.0,2014-09-20 00:00:00,put,BA140920P00112000,0.15,10
112.0,2014-09-26 00:00:00,put,BA140926P00112000,0.09,10
113.0,2014-09-05 00:00:00,call,BA140905C00113000,7.7,11
113.0,2014-09-05 00:00:00,put,BA140905P00113000,0.21,5
113.0,2014-09-12 00:00:00,put,BA140912P00113000,0.12,2
113.0,2014-09-20 00:00:00,put,BA140920P00113000,0.1,1
113.0,2014-09-26 00:00:00,call,BA140926C00113000,15.4,11
113.0,2014-09-26 00:00:00,put,BA140926P00113000,0.1,10
114.0,2014-09-05 00:00:00,call,BA140905C00114000,10.65,1
114.0,2014-09-05 00:00:00,put,BA140905P00114000,0.93,16
114.0,2014-09-12 00:00:00,put,BA140912P00114000,1.08,13
114.0,2014-09-20 00:00:00,put,BA140920P00114000,0.18,7
114.0,2014-09-26 00:00:00,call,BA140926C00114000,14.5,18
114.0,2014-09-26 00:00:00,put,BA140926P00114000,0.11,10
114.0,2014-10-03 00:00:00,call,BA141003C00114000,14.2,11
115.0,2014-09-05 00:00:00,call,BA140905C00115000,9.35,1
115.0,2014-09-05 00:00:00,put,BA140905P00115000,0.03,29
115.0,2014-09-12 00:00:00,put,BA140912P00115000,0.1,10
115.0,2014-09-20 00:00:00,call,BA140920C00115000,12.6,1
115.0,2014-09-20 00:00:00,put,BA140920P00115000,0.11,45
