Strike,Expiry,Type,Symbol,Last,Vol
42.5,2015-01-17 00:00:00,call,BIDU150117C00042500,171.3,2
42.5,2015-01-17 00:00:00,put,BIDU150117P00042500,0.02,5
45.0,2015-01-17 00:00:00,call,BIDU150117C00045000,170.91,1
45.0,2015-01-17 00:00:00,put,BIDU150117P00045000,0.05,1
47.5,2015-01-17 00:00:00,call,BIDU150117C00047500,123.35,0
47.5,2015-01-17 00:00:00,put,BIDU150117P00047500,0.03,1
50.0,2015-01-17 00:00:00,call,BIDU150117C00050000,127.47,15
50.0,2015-01-17 00:00:00,put,BIDU150117P00050000,0.01,4
55.0,2015-01-17 00:00:00,call,BIDU150117C00055000,103.5,1
55.0,2015-01-17 00:00:00,put,BIDU150117P00055000,0.05,1
60.0,2015-01-17 00:00:00,call,BIDU150117C00060000,125.0,5
60.0,2015-01-17 00:00:00,put,BIDU150117P00060000,0.05,1
65.0,2015-01-17 00:00:00,call,BIDU150117C00065000,121.68,30
65.0,2015-01-17 00:00:00,put,BIDU150117P00065000,0.05,2
70.0,2015-01-17 00:00:00,call,BIDU150117C00070000,109.0,1
70.0,2015-01-17 00:00:00,put,BIDU150117P00070000,0.05,2
75.0,2014-09-20 00:00:00,call,BIDU140920C00075000,88.0,1
75.0,2014-09-20 00:00:00,put,BIDU140920P00075000,0.04,2
75.0,2015-01-17 00:00:00,call,BIDU150117C00075000,138.42,1
75.0,2015-01-17 00:00:00,put,BIDU150117P00075000,0.1,51
75.0,2016-01-15 00:00:00,call,BIDU160115C00075000,138.8,2
75.0,2016-01-15 00:00:00,put,BIDU160115P00075000,0.74,3
77.5,2015-01-17 00:00:00,call,BIDU150117C00077500,96.3,0
77.5,2015-01-17 00:00:00,put,BIDU150117P00077500,0.24,5
80.0,2014-09-20 00:00:00,call,BIDU140920C00080000,72.0,1
80.0,2014-09-20 00:00:00,put,BIDU140920P00080000,0.04,5
80.0,2014-12-20 00:00:00,call,BIDU141220C00080000,84.65,2
80.0,2014-12-20 00:00:00,put,BIDU141220P00080000,0.01,1
80.0,2015-01-17 00:00:00,call,BIDU150117C00080000,139.5,2
80.0,2015-01-17 00:00:00,put,BIDU150117P00080000,0.1,2
80.0,2016-01-15 00:00:00,call,BIDU160115C00080000,91.0,1
80.0,2016-01-15 00:00:00,put,BIDU160115P00080000,1.02,10
82.5,2015-01-17 00:00:00,call,BIDU150117C00082500,76.36,1
82.5,2015-01-17 00:00:00,put,BIDU150117P00082500,0.19,8
85.0,2014-09-20 00:00:00,call,BIDU140920C00085000,72.05,1
85.0,2014-09-20 00:00:00,put,BIDU140920P00085000,0.05,2
85.0,2014-12-20 00:00:00,call,BIDU141220C00085000,79.9,2
85.0,2014-12-20 00:00:00,put,BIDU141220P00085000,0.09,4
85.0,2015-01-17 00:00:00,call,BIDU150117C00085000,131.31,1
85.0,2015-01-17 00:00:00,put,BIDU150117P00085000,0.16,1
85.0,2016-01-15 00:00:00,call,BIDU160115C00085000,134.0,2
85.0,2016-01-15 00:00:00,put,BIDU160115P00085000,1.1,10
87.5,2015-01-17 00:00:00,call,BIDU150117C00087500,131.55,2
87.5,2015-01-17 00:00:00,put,BIDU150117P00087500,0.1,36
90.0,2014-09-20 00:00:00,call,BIDU140920C00090000,74.0,1
90.0,2014-09-20 00:00:00,put,BIDU140920P00090000,0.13,1
90.0,2014-12-20 00:00:00,put,BIDU141220P00090000,0.09,56
90.0,2015-01-17 00:00:00,call,BIDU150117C00090000,126.89,1
90.0,2015-01-17 00:00:00,put,BIDU150117P00090000,0.1,2
90.0,2016-01-15 00:00:00,call,BIDU160115C00090000,80.21,1
90.0,2016-01-15 00:00:00,put,BIDU160115P00090000,1.66,2
92.5,2015-01-17 00:00:00,call,BIDU150117C00092500,112.0,3
92.5,2015-01-17 00:00:00,put,BIDU150117P00092500,0.1,6
95.0,2014-09-20 00:00:00,call,BIDU140920C00095000,94.3,2
95.0,2014-09-20 00:00:00,put,BIDU140920P00095000,0.06,1
95.0,2014-12-20 00:00:00,call,BIDU141220C00095000,68.15,3
95.0,2014-12-20 00:00:00,put,BIDU141220P00095000,0.6,10
95.0,2015-01-17 00:00:00,call,BIDU150117C00095000,128.17,1
95.0,2015-01-17 00:00:00,put,BIDU150117P00095000,0.07,7
95.0,2016-01-15 00:00:00,call,BIDU160115C00095000,126.0,6
95.0,2016-01-15 00:00:00,put,BIDU160115P00095000,2.03,5
97.5,2015-01-17 00:00:00,call,BIDU150117C00097500,87.07,1
97.5,2015-01-17 00:00:00,put,BIDU150117P00097500,0.16,1
100.0,2014-09-20 00:00:00,call,BIDU140920C00100000,119.85,1
100.0,2014-09-20 00:00:00,put,BIDU140920P00100000,0.06,60
