Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,CLF150117P00003000,0.03,100
3.0,2016-01-15 00:00:00,put,CLF160115P00003000,0.11,5
5.0,2015-01-17 00:00:00,call,CLF150117C00005000,20.35,0
5.0,2015-01-17 00:00:00,put,CLF150117P00005000,0.01,2
5.0,2015-04-17 00:00:00,put,CLF150417P00005000,0.08,4
5.0,2015-06-19 00:00:00,put,CLF150619P00005000,0.13,20
5.0,2016-01-15 00:00:00,call,CLF160115C00005000,11.3,1
5.0,2016-01-15 00:00:00,put,CLF160115P00005000,0.23,330
6.0,2014-10-18 00:00:00,put,CLF141018P00006000,0.03,49
6.0,2015-01-17 00:00:00,put,CLF150117P00006000,0.04,8
8.0,2014-09-20 00:00:00,put,CLF140920P00008000,0.02,10
8.0,2014-10-18 00:00:00,put,CLF141018P00008000,0.02,1
8.0,2015-01-17 00:00:00,call,CLF150117C00008000,6.5,3
8.0,2015-01-17 00:00:00,put,CLF150117P00008000,0.08,21
8.0,2015-04-17 00:00:00,put,CLF150417P00008000,0.24,10
8.0,2015-06-19 00:00:00,put,CLF150619P00008000,0.35,10
8.0,2016-01-15 00:00:00,call,CLF160115C00008000,7.15,18
8.0,2016-01-15 00:00:00,put,CLF160115P00008000,0.75,645
9.0,2014-09-20 00:00:00,put,CLF140920P00009000,0.03,1
9.0,2014-10-18 00:00:00,put,CLF141018P00009000,0.08,6
9.0,2015-01-17 00:00:00,call,CLF150117C00009000,6.35,19
9.0,2015-01-17 00:00:00,put,CLF150117P00009000,0.16,6
9.0,2015-04-17 00:00:00,put,CLF150417P00009000,0.36,23
10.0,2014-09-12 00:00:00,put,CLF140912P00010000,0.02,1
10.0,2014-09-20 00:00:00,put,CLF140920P00010000,0.02,10
10.0,2014-09-26 00:00:00,put,CLF140926P00010000,0.05,2
10.0,2014-10-18 00:00:00,call,CLF141018C00010000,8.35,5
10.0,2014-10-18 00:00:00,put,CLF141018P00010000,0.08,1
10.0,2014-11-22 00:00:00,put,CLF141122P00010000,0.1,50
10.0,2015-01-17 00:00:00,call,CLF150117C00010000,5.15,5
10.0,2015-01-17 00:00:00,put,CLF150117P00010000,0.27,40
10.0,2015-04-17 00:00:00,put,CLF150417P00010000,0.55,60
10.0,2015-06-19 00:00:00,call,CLF150619C00010000,5.3,6
10.0,2015-06-19 00:00:00,put,CLF150619P00010000,0.73,1
10.0,2016-01-15 00:00:00,call,CLF160115C00010000,5.37,20
10.0,2016-01-15 00:00:00,put,CLF160115P00010000,1.34,63
11.0,2014-09-20 00:00:00,put,CLF140920P00011000,0.03,20
11.0,2014-10-18 00:00:00,call,CLF141018C00011000,5.15,30
11.0,2014-10-18 00:00:00,put,CLF141018P00011000,0.14,2
11.0,2014-11-22 00:00:00,put,CLF141122P00011000,0.25,4
11.0,2015-01-17 00:00:00,call,CLF150117C00011000,4.0,10
11.0,2015-01-17 00:00:00,put,CLF150117P00011000,0.43,66
11.0,2015-04-17 00:00:00,call,CLF150417C00011000,4.25,5
11.0,2015-04-17 00:00:00,put,CLF150417P00011000,0.8,109
11.5,2014-09-05 00:00:00,put,CLF140905P00011500,0.01,20
11.5,2014-09-20 00:00:00,put,CLF140920P00011500,0.04,1
12.0,2014-09-05 00:00:00,put,CLF140905P00012000,0.5,25
12.0,2014-09-12 00:00:00,put,CLF140912P00012000,0.09,18
12.0,2014-09-20 00:00:00,put,CLF140920P00012000,0.06,10
12.0,2014-10-18 00:00:00,call,CLF141018C00012000,3.35,57
12.0,2014-10-18 00:00:00,put,CLF141018P00012000,0.2,189
12.0,2014-11-22 00:00:00,call,CLF141122C00012000,3.35,35
12.0,2014-11-22 00:00:00,put,CLF141122P00012000,0.42,40
12.0,2015-01-17 00:00:00,call,CLF150117C00012000,3.35,66
12.0,2015-01-17 00:00:00,put,CLF150117P00012000,0.64,150
12.0,2015-04-17 00:00:00,call,CLF150417C00012000,4.4,25
12.0,2015-04-17 00:00:00,put,CLF150417P00012000,1.02,30
12.5,2014-09-20 00:00:00,put,CLF140920P00012500,0.08,20
12.5,2014-10-03 00:00:00,put,CLF141003P00012500,0.12,2
13.0,2014-09-12 00:00:00,call,CLF140912C00013000,2.2,20
13.0,2014-09-12 00:00:00,put,CLF140912P00013000,0.07,172
13.0,2014-09-20 00:00:00,call,CLF140920C00013000,2.08,6
13.0,2014-09-20 00:00:00,put,CLF140920P00013000,0.12,23
13.0,2014-09-26 00:00:00,put,CLF140926P00013000,0.11,10
13.0,2014-10-03 00:00:00,put,CLF141003P00013000,0.2,12
13.0,2014-10-18 00:00:00,call,CLF141018C00013000,2.32,6
13.0,2014-10-18 00:00:00,put,CLF141018P00013000,0.32,156
13.0,2014-11-22 00:00:00,call,CLF141122C00013000,2.4,10
13.0,2014-11-22 00:00:00,put,CLF141122P00013000,0.67,135
13.0,2015-01-17 00:00:00,call,CLF150117C00013000,2.65,21
13.0,2015-01-17 00:00:00,put,CLF150117P00013000,0.98,124
13.0,2015-04-17 00:00:00,call,CLF150417C00013000,2.91,30
13.0,2015-04-17 00:00:00,put,CLF150417P00013000,1.48,5
13.0,2015-06-19 00:00:00,call,CLF150619C00013000,3.13,46
13.0,2015-06-19 00:00:00,put,CLF150619P00013000,1.8,255
13.0,2016-01-15 00:00:00,call,CLF160115C00013000,3.52,175
13.0,2016-01-15 00:00:00,put,CLF160115P00013000,2.61,17
13.5,2014-09-12 00:00:00,call,CLF140912C00013500,1.75,5
13.5,2014-09-12 00:00:00,put,CLF140912P00013500,0.14,108
13.5,2014-09-20 00:00:00,call,CLF140920C00013500,1.79,12
13.5,2014-09-20 00:00:00,put,CLF140920P00013500,0.19,39
13.5,2014-09-26 00:00:00,put,CLF140926P00013500,0.25,200
13.5,2014-10-03 00:00:00,put,CLF141003P00013500,0.38,1
14.0,2014-09-05 00:00:00,call,CLF140905C00014000,1.12,685
14.0,2014-09-05 00:00:00,put,CLF140905P00014000,0.06,90
14.0,2014-09-12 00:00:00,call,CLF140912C00014000,1.17,262
14.0,2014-09-12 00:00:00,put,CLF140912P00014000,0.17,128
14.0,2014-09-20 00:00:00,call,CLF140920C00014000,1.2,40
14.0,2014-09-20 00:00:00,put,CLF140920P00014000,0.29,154
14.0,2014-09-26 00:00:00,put,CLF140926P00014000,0.35,10
14.0,2014-10-03 00:00:00,call,CLF141003C00014000,1.48,20
14.0,2014-10-03 00:00:00,put,CLF141003P00014000,0.45,10
14.0,2014-10-18 00:00:00,call,CLF141018C00014000,1.55,711
14.0,2014-10-18 00:00:00,put,CLF141018P00014000,0.63,393
14.0,2014-11-22 00:00:00,call,CLF141122C00014000,1.83,319
14.0,2014-11-22 00:00:00,put,CLF141122P00014000,1.04,102
14.0,2015-01-17 00:00:00,call,CLF150117C00014000,1.95,17
14.0,2015-01-17 00:00:00,put,CLF150117P00014000,1.38,41
14.0,2015-04-17 00:00:00,call,CLF150417C00014000,2.44,45
14.0,2015-04-17 00:00:00,put,CLF150417P00014000,1.91,42
14.5,2014-09-05 00:00:00,call,CLF140905C00014500,0.66,10
14.5,2014-09-05 00:00:00,put,CLF140905P00014500,0.16,413
14.5,2014-09-12 00:00:00,call,CLF140912C00014500,0.8,26
14.5,2014-09-12 00:00:00,put,CLF140912P00014500,0.35,28
14.5,2014-09-20 00:00:00,call,CLF140920C00014500,0.93,124
14.5,2014-09-20 00:00:00,put,CLF140920P00014500,0.45,183
14.5,2014-09-26 00:00:00,call,CLF140926C00014500,1.1,5
14.5,2014-09-26 00:00:00,put,CLF140926P00014500,0.53,36
14.5,2014-10-03 00:00:00,put,CLF141003P00014500,0.58,10
15.0,2014-09-05 00:00:00,call,CLF140905C00015000,0.36,525
15.0,2014-09-05 00:00:00,put,CLF140905P00015000,0.32,154
15.0,2014-09-12 00:00:00,call,CLF140912C00015000,0.51,103
15.0,2014-09-12 00:00:00,put,CLF140912P00015000,0.52,107
15.0,2014-09-20 00:00:00,call,CLF140920C00015000,0.64,841
15.0,2014-09-20 00:00:00,put,CLF140920P00015000,0.65,144
15.0,2014-09-26 00:00:00,call,CLF140926C00015000,0.87,10
15.0,2014-09-26 00:00:00,put,CLF140926P00015000,0.75,66
15.0,2014-10-03 00:00:00,put,CLF141003P00015000,0.86,31
15.0,2014-10-18 00:00:00,call,CLF141018C00015000,1.0,573
15.0,2014-10-18 00:00:00,put,CLF141018P00015000,1.04,443
15.0,2014-11-22 00:00:00,call,CLF141122C00015000,1.25,289
15.0,2014-11-22 00:00:00,put,CLF141122P00015000,1.55,31
15.0,2015-01-17 00:00:00,call,CLF150117C00015000,1.55,73
15.0,2015-01-17 00:00:00,put,CLF150117P00015000,1.89,538
15.0,2015-04-17 00:00:00,call,CLF150417C00015000,1.89,1
15.0,2015-04-17 00:00:00,put,CLF150417P00015000,2.55,60
15.0,2015-06-19 00:00:00,call,CLF150619C00015000,2.05,3
15.0,2015-06-19 00:00:00,put,CLF150619P00015000,2.8,5
15.0,2016-01-15 00:00:00,call,CLF160115C00015000,2.6,251
15.0,2016-01-15 00:00:00,put,CLF160115P00015000,3.75,19
15.5,2014-09-05 00:00:00,call,CLF140905C00015500,0.17,2262
15.5,2014-09-05 00:00:00,put,CLF140905P00015500,0.61,28
15.5,2014-09-12 00:00:00,call,CLF140912C00015500,0.31,55
15.5,2014-09-12 00:00:00,put,CLF140912P00015500,0.77,20
15.5,2014-09-20 00:00:00,call,CLF140920C00015500,0.42,71
15.5,2014-09-20 00:00:00,put,CLF140920P00015500,0.89,60
15.5,2014-09-26 00:00:00,call,CLF140926C00015500,0.5,50
15.5,2014-09-26 00:00:00,put,CLF140926P00015500,1.05,29
15.5,2014-10-03 00:00:00,call,CLF141003C00015500,0.65,1
15.5,2014-10-03 00:00:00,put,CLF141003P00015500,0.65,2
16.0,2014-09-05 00:00:00,call,CLF140905C00016000,0.09,588
16.0,2014-09-05 00:00:00,put,CLF140905P00016000,1.06,140
16.0,2014-09-12 00:00:00,call,CLF140912C00016000,0.15,103
16.0,2014-09-12 00:00:00,put,CLF140912P00016000,1.18,68
16.0,2014-09-20 00:00:00,call,CLF140920C00016000,0.26,322
16.0,2014-09-20 00:00:00,put,CLF140920P00016000,1.25,111
16.0,2014-09-26 00:00:00,call,CLF140926C00016000,0.35,14
16.0,2014-09-26 00:00:00,put,CLF140926P00016000,0.63,1
16.0,2014-10-03 00:00:00,call,CLF141003C00016000,0.4,5
16.0,2014-10-18 00:00:00,call,CLF141018C00016000,0.58,197
16.0,2014-10-18 00:00:00,put,CLF141018P00016000,1.62,109
16.0,2014-11-22 00:00:00,call,CLF141122C00016000,0.82,24
16.0,2014-11-22 00:00:00,put,CLF141122P00016000,2.12,10
16.0,2015-01-17 00:00:00,call,CLF150117C00016000,1.11,72
16.0,2015-01-17 00:00:00,put,CLF150117P00016000,2.54,16
16.0,2015-04-17 00:00:00,call,CLF150417C00016000,1.55,5
16.0,2015-04-17 00:00:00,put,CLF150417P00016000,3.1,80
16.5,2014-09-05 00:00:00,call,CLF140905C00016500,0.04,50
16.5,2014-09-05 00:00:00,put,CLF140905P00016500,1.67,5
16.5,2014-09-12 00:00:00,call,CLF140912C00016500,0.09,72
16.5,2014-09-12 00:00:00,put,CLF140912P00016500,1.59,172
16.5,2014-09-20 00:00:00,call,CLF140920C00016500,0.16,156
16.5,2014-09-20 00:00:00,put,CLF140920P00016500,1.81,11
16.5,2014-09-26 00:00:00,call,CLF140926C00016500,0.23,1
16.5,2014-09-26 00:00:00,put,CLF140926P00016500,1.69,12
16.5,2014-10-03 00:00:00,call,CLF141003C00016500,0.29,20
17.0,2014-09-05 00:00:00,call,CLF140905C00017000,0.02,1
17.0,2014-09-05 00:00:00,put,CLF140905P00017000,2.0,10
17.0,2014-09-12 00:00:00,call,CLF140912C00017000,0.2,7
17.0,2014-09-12 00:00:00,put,CLF140912P00017000,2.02,172
17.0,2014-09-20 00:00:00,call,CLF140920C00017000,0.12,294
17.0,2014-09-20 00:00:00,put,CLF140920P00017000,2.15,11
17.0,2014-09-26 00:00:00,call,CLF140926C00017000,0.14,53
17.0,2014-09-26 00:00:00,put,CLF140926P00017000,2.18,2
17.0,2014-10-03 00:00:00,call,CLF141003C00017000,0.2,10
17.0,2014-10-03 00:00:00,put,CLF141003P00017000,1.87,1
17.0,2014-10-18 00:00:00,call,CLF141018C00017000,0.29,119
17.0,2014-10-18 00:00:00,put,CLF141018P00017000,2.54,15
17.0,2014-11-22 00:00:00,call,CLF141122C00017000,0.56,60
17.0,2014-11-22 00:00:00,put,CLF141122P00017000,2.85,43
17.0,2015-01-17 00:00:00,call,CLF150117C00017000,0.78,55
17.0,2015-01-17 00:00:00,put,CLF150117P00017000,2.95,10
17.0,2015-04-17 00:00:00,call,CLF150417C00017000,1.16,211
17.0,2015-04-17 00:00:00,put,CLF150417P00017000,4.0,2
17.0,2015-06-19 00:00:00,call,CLF150619C00017000,1.32,216
17.0,2015-06-19 00:00:00,put,CLF150619P00017000,4.13,2
