Strike,Expiry,Type,Symbol,Last,Vol
135.0,2015-01-17 00:00:00,call,CMG150117C00135000,445.44,1
135.0,2015-01-17 00:00:00,put,CMG150117P00135000,0.05,33
140.0,2015-01-17 00:00:00,call,CMG150117C00140000,403.3,0
140.0,2015-01-17 00:00:00,put,CMG150117P00140000,0.05,20
145.0,2015-01-17 00:00:00,call,CMG150117C00145000,417.4,1
145.0,2015-01-17 00:00:00,put,CMG150117P00145000,0.24,10
150.0,2015-01-17 00:00:00,call,CMG150117C00150000,412.8,1
150.0,2015-01-17 00:00:00,put,CMG150117P00150000,0.4,3
155.0,2015-01-17 00:00:00,put,CMG150117P00155000,0.25,1
160.0,2015-01-17 00:00:00,call,CMG150117C00160000,395.3,2
160.0,2015-01-17 00:00:00,put,CMG150117P00160000,0.45,4
165.0,2015-01-17 00:00:00,call,CMG150117C00165000,388.6,1
165.0,2015-01-17 00:00:00,put,CMG150117P00165000,0.5,4
170.0,2015-01-17 00:00:00,call,CMG150117C00170000,390.1,1
170.0,2015-01-17 00:00:00,put,CMG150117P00170000,0.5,7
175.0,2015-01-17 00:00:00,call,CMG150117C00175000,386.9,1
175.0,2015-01-17 00:00:00,put,CMG150117P00175000,0.08,4
180.0,2015-01-17 00:00:00,call,CMG150117C00180000,307.8,1
180.0,2015-01-17 00:00:00,put,CMG150117P00180000,0.09,4
185.0,2015-01-17 00:00:00,call,CMG150117C00185000,381.6,3
185.0,2015-01-17 00:00:00,put,CMG150117P00185000,0.48,13
190.0,2015-01-17 00:00:00,call,CMG150117C00190000,380.5,1
190.0,2015-01-17 00:00:00,put,CMG150117P00190000,0.15,5
195.0,2015-01-17 00:00:00,call,CMG150117C00195000,367.3,1
195.0,2015-01-17 00:00:00,put,CMG150117P00195000,0.45,13
200.0,2015-01-17 00:00:00,call,CMG150117C00200000,399.9,1
200.0,2015-01-17 00:00:00,put,CMG150117P00200000,0.05,6
210.0,2015-01-17 00:00:00,call,CMG150117C00210000,332.6,1
210.0,2015-01-17 00:00:00,put,CMG150117P00210000,0.05,4
220.0,2015-01-17 00:00:00,call,CMG150117C00220000,77.6,0
220.0,2015-01-17 00:00:00,put,CMG150117P00220000,0.05,4
230.0,2015-01-17 00:00:00,call,CMG150117C00230000,274.1,1
230.0,2015-01-17 00:00:00,put,CMG150117P00230000,0.06,3
240.0,2015-01-17 00:00:00,call,CMG150117C00240000,360.98,2
240.0,2015-01-17 00:00:00,put,CMG150117P00240000,0.65,2
245.0,2014-09-20 00:00:00,put,CMG140920P00245000,0.2,1
245.0,2014-12-20 00:00:00,put,CMG141220P00245000,0.48,10
250.0,2014-12-20 00:00:00,put,CMG141220P00250000,0.1,2
250.0,2015-01-17 00:00:00,call,CMG150117C00250000,351.23,2
250.0,2015-01-17 00:00:00,put,CMG150117P00250000,0.2,2
250.0,2016-01-15 00:00:00,call,CMG160115C00250000,314.0,3
250.0,2016-01-15 00:00:00,put,CMG160115P00250000,2.35,2
255.0,2014-12-20 00:00:00,put,CMG141220P00255000,0.05,1
260.0,2014-12-20 00:00:00,put,CMG141220P00260000,0.1,123
260.0,2015-01-17 00:00:00,call,CMG150117C00260000,407.5,1
260.0,2015-01-17 00:00:00,put,CMG150117P00260000,0.23,4
260.0,2016-01-15 00:00:00,call,CMG160115C00260000,304.8,3
260.0,2016-01-15 00:00:00,put,CMG160115P00260000,2.75,10
265.0,2014-09-20 00:00:00,call,CMG140920C00265000,413.8,1
265.0,2014-09-20 00:00:00,put,CMG140920P00265000,0.2,10
265.0,2014-12-20 00:00:00,put,CMG141220P00265000,0.15,30
265.0,2015-01-17 00:00:00,put,CMG150117P00265000,0.15,5
270.0,2014-12-20 00:00:00,put,CMG141220P00270000,1.35,2
270.0,2015-01-17 00:00:00,call,CMG150117C00270000,336.75,1
270.0,2015-01-17 00:00:00,put,CMG150117P00270000,0.2,2
270.0,2016-01-15 00:00:00,call,CMG160115C00270000,413.9,1
270.0,2016-01-15 00:00:00,put,CMG160115P00270000,3.1,3
275.0,2014-09-20 00:00:00,call,CMG140920C00275000,403.8,1
275.0,2014-09-20 00:00:00,put,CMG140920P00275000,0.11,1
275.0,2014-12-20 00:00:00,put,CMG141220P00275000,0.65,7
275.0,2015-01-17 00:00:00,call,CMG150117C00275000,283.5,1
275.0,2015-01-17 00:00:00,put,CMG150117P00275000,0.15,10
280.0,2014-09-20 00:00:00,call,CMG140920C00280000,398.8,1
280.0,2014-09-20 00:00:00,put,CMG140920P00280000,0.05,5
280.0,2014-12-20 00:00:00,put,CMG141220P00280000,0.25,11
280.0,2015-01-17 00:00:00,call,CMG150117C00280000,251.64,0
280.0,2015-01-17 00:00:00,put,CMG150117P00280000,0.45,1
280.0,2016-01-15 00:00:00,call,CMG160115C00280000,286.6,4
280.0,2016-01-15 00:00:00,put,CMG160115P00280000,3.5,2
285.0,2014-09-20 00:00:00,put,CMG140920P00285000,0.05,5
285.0,2014-12-20 00:00:00,put,CMG141220P00285000,1.05,1
285.0,2015-01-17 00:00:00,put,CMG150117P00285000,2.1,1
290.0,2014-09-20 00:00:00,put,CMG140920P00290000,0.05,10
290.0,2014-12-20 00:00:00,put,CMG141220P00290000,0.65,10
290.0,2015-01-17 00:00:00,call,CMG150117C00290000,249.73,2
290.0,2015-01-17 00:00:00,put,CMG150117P00290000,0.3,1
290.0,2016-01-15 00:00:00,call,CMG160115C00290000,276.5,1
290.0,2016-01-15 00:00:00,put,CMG160115P00290000,4.6,1
295.0,2014-09-20 00:00:00,put,CMG140920P00295000,0.05,40
295.0,2014-12-20 00:00:00,put,CMG141220P00295000,2.85,3
295.0,2015-01-17 00:00:00,put,CMG150117P00295000,0.15,5
295.0,2015-03-20 00:00:00,put,CMG150320P00295000,0.35,110
300.0,2014-09-20 00:00:00,put,CMG140920P00300000,0.63,1
300.0,2014-12-20 00:00:00,put,CMG141220P00300000,3.1,1
300.0,2015-01-17 00:00:00,call,CMG150117C00300000,291.28,3
300.0,2015-01-17 00:00:00,put,CMG150117P00300000,0.15,9
300.0,2015-03-20 00:00:00,put,CMG150320P00300000,0.4,30
300.0,2016-01-15 00:00:00,call,CMG160115C00300000,308.0,2
300.0,2016-01-15 00:00:00,put,CMG160115P00300000,5.0,1
305.0,2014-09-20 00:00:00,call,CMG140920C00305000,379.83,1
305.0,2014-09-20 00:00:00,put,CMG140920P00305000,0.95,17
305.0,2014-12-20 00:00:00,call,CMG141220C00305000,379.83,1
305.0,2014-12-20 00:00:00,put,CMG141220P00305000,0.91,3
305.0,2015-01-17 00:00:00,call,CMG150117C00305000,225.08,0
305.0,2015-01-17 00:00:00,put,CMG150117P00305000,1.24,6
310.0,2014-09-20 00:00:00,put,CMG140920P00310000,0.1,2
310.0,2014-12-20 00:00:00,put,CMG141220P00310000,4.5,1
310.0,2015-01-17 00:00:00,call,CMG150117C00310000,363.07,3
310.0,2015-01-17 00:00:00,put,CMG150117P00310000,0.2,252
310.0,2016-01-15 00:00:00,call,CMG160115C00310000,188.9,1
310.0,2016-01-15 00:00:00,put,CMG160115P00310000,5.2,4
315.0,2014-09-20 00:00:00,put,CMG140920P00315000,0.1,2
315.0,2015-01-17 00:00:00,call,CMG150117C00315000,224.0,0
315.0,2015-01-17 00:00:00,put,CMG150117P00315000,4.7,6
320.0,2014-09-20 00:00:00,put,CMG140920P00320000,0.24,2
320.0,2014-12-20 00:00:00,put,CMG141220P00320000,0.25,2
320.0,2015-01-17 00:00:00,call,CMG150117C00320000,212.27,0
320.0,2015-01-17 00:00:00,put,CMG150117P00320000,0.18,5
320.0,2016-01-15 00:00:00,call,CMG160115C00320000,292.09,1
320.0,2016-01-15 00:00:00,put,CMG160115P00320000,4.59,3
325.0,2014-09-20 00:00:00,put,CMG140920P00325000,0.35,32
325.0,2014-12-20 00:00:00,put,CMG141220P00325000,0.55,10
325.0,2015-01-17 00:00:00,put,CMG150117P00325000,0.25,10
330.0,2014-09-20 00:00:00,call,CMG140920C00330000,151.9,1
330.0,2014-09-20 00:00:00,put,CMG140920P00330000,0.35,14
330.0,2015-01-17 00:00:00,call,CMG150117C00330000,331.4,1
330.0,2015-01-17 00:00:00,put,CMG150117P00330000,0.22,3
330.0,2016-01-15 00:00:00,call,CMG160115C00330000,359.5,1
330.0,2016-01-15 00:00:00,put,CMG160115P00330000,6.8,1
335.0,2014-09-20 00:00:00,put,CMG140920P00335000,0.25,20
335.0,2014-12-20 00:00:00,put,CMG141220P00335000,0.6,2
335.0,2015-01-17 00:00:00,put,CMG150117P00335000,0.25,10
340.0,2014-09-20 00:00:00,call,CMG140920C00340000,184.39,1
340.0,2014-09-20 00:00:00,put,CMG140920P00340000,1.3,1
340.0,2014-12-20 00:00:00,put,CMG141220P00340000,0.3,2
340.0,2015-01-17 00:00:00,call,CMG150117C00340000,197.11,0
340.0,2015-01-17 00:00:00,put,CMG150117P00340000,0.25,2
340.0,2015-03-20 00:00:00,put,CMG150320P00340000,0.8,5
340.0,2016-01-15 00:00:00,call,CMG160115C00340000,185.9,8
340.0,2016-01-15 00:00:00,put,CMG160115P00340000,6.3,2
345.0,2014-09-20 00:00:00,put,CMG140920P00345000,0.25,3
345.0,2015-01-17 00:00:00,put,CMG150117P00345000,0.6,10
345.0,2015-03-20 00:00:00,put,CMG150320P00345000,1.3,1
350.0,2014-09-20 00:00:00,call,CMG140920C00350000,233.0,1
350.0,2014-09-20 00:00:00,put,CMG140920P00350000,0.05,1
350.0,2014-12-20 00:00:00,put,CMG141220P00350000,0.35,6
350.0,2015-01-17 00:00:00,call,CMG150117C00350000,143.4,1
350.0,2015-01-17 00:00:00,put,CMG150117P00350000,0.4,58
350.0,2016-01-15 00:00:00,call,CMG160115C00350000,181.1,2
350.0,2016-01-15 00:00:00,put,CMG160115P00350000,10.04,10
355.0,2014-09-20 00:00:00,call,CMG140920C00355000,195.3,0
355.0,2014-09-20 00:00:00,put,CMG140920P00355000,0.05,5
355.0,2014-12-20 00:00:00,put,CMG141220P00355000,0.7,2
355.0,2015-01-17 00:00:00,call,CMG150117C00355000,211.5,2
355.0,2015-01-17 00:00:00,put,CMG150117P00355000,0.3,5
355.0,2015-03-20 00:00:00,put,CMG150320P00355000,1.7,1
360.0,2014-09-20 00:00:00,put,CMG140920P00360000,0.05,5
360.0,2014-12-20 00:00:00,call,CMG141220C00360000,193.3,1
360.0,2014-12-20 00:00:00,put,CMG141220P00360000,0.35,6
360.0,2015-01-17 00:00:00,call,CMG150117C00360000,296.52,5
360.0,2015-01-17 00:00:00,put,CMG150117P00360000,0.34,2
360.0,2016-01-15 00:00:00,call,CMG160115C00360000,185.8,1
360.0,2016-01-15 00:00:00,put,CMG160115P00360000,8.4,1
365.0,2014-09-20 00:00:00,call,CMG140920C00365000,178.6,0
365.0,2014-09-20 00:00:00,put,CMG140920P00365000,0.3,10
365.0,2014-12-20 00:00:00,put,CMG141220P00365000,8.4,4
365.0,2015-01-17 00:00:00,put,CMG150117P00365000,1.85,1
370.0,2014-09-20 00:00:00,put,CMG140920P00370000,0.15,10
370.0,2014-12-20 00:00:00,put,CMG141220P00370000,0.85,3
370.0,2015-01-17 00:00:00,call,CMG150117C00370000,141.6,1
370.0,2015-01-17 00:00:00,put,CMG150117P00370000,0.45,1
370.0,2015-03-20 00:00:00,put,CMG150320P00370000,1.5,2
370.0,2016-01-15 00:00:00,call,CMG160115C00370000,228.0,1
370.0,2016-01-15 00:00:00,put,CMG160115P00370000,8.5,5
375.0,2014-09-20 00:00:00,call,CMG140920C00375000,123.5,1
375.0,2014-09-20 00:00:00,put,CMG140920P00375000,0.05,2
375.0,2014-12-20 00:00:00,put,CMG141220P00375000,0.55,5
375.0,2015-01-17 00:00:00,call,CMG150117C00375000,187.5,2
375.0,2015-01-17 00:00:00,put,CMG150117P00375000,0.95,2
380.0,2014-09-20 00:00:00,put,CMG140920P00380000,0.4,22
380.0,2014-12-20 00:00:00,put,CMG141220P00380000,5.5,5
380.0,2015-01-17 00:00:00,call,CMG150117C00380000,300.0,1
380.0,2015-01-17 00:00:00,put,CMG150117P00380000,0.6,2
380.0,2016-01-15 00:00:00,call,CMG160115C00380000,158.2,5
380.0,2016-01-15 00:00:00,put,CMG160115P00380000,10.1,2
385.0,2014-09-20 00:00:00,put,CMG140920P00385000,0.05,4
385.0,2014-12-20 00:00:00,put,CMG141220P00385000,10.7,1
385.0,2015-01-17 00:00:00,call,CMG150117C00385000,128.3,1
385.0,2015-01-17 00:00:00,put,CMG150117P00385000,1.15,10
