Strike,Expiry,Type,Symbol,Last,Vol
23.0,2015-01-17 00:00:00,call,DD150117C00023000,42.19,9
23.0,2015-01-17 00:00:00,put,DD150117P00023000,0.03,9
25.0,2015-01-17 00:00:00,put,DD150117P00025000,0.01,1
30.0,2015-01-17 00:00:00,call,DD150117C00030000,35.0,3
30.0,2015-01-17 00:00:00,put,DD150117P00030000,0.04,1
32.5,2016-01-15 00:00:00,put,DD160115P00032500,0.26,10
35.0,2015-01-17 00:00:00,call,DD150117C00035000,30.1,3
35.0,2015-01-17 00:00:00,put,DD150117P00035000,0.05,10
35.0,2016-01-15 00:00:00,put,DD160115P00035000,0.35,20
37.5,2016-01-15 00:00:00,put,DD160115P00037500,0.49,182
40.0,2015-01-17 00:00:00,call,DD150117C00040000,26.35,9
40.0,2015-01-17 00:00:00,put,DD150117P00040000,0.08,10
40.0,2016-01-15 00:00:00,call,DD160115C00040000,25.1,6
40.0,2016-01-15 00:00:00,put,DD160115P00040000,0.45,10
42.5,2015-01-17 00:00:00,put,DD150117P00042500,0.07,40
42.5,2016-01-15 00:00:00,put,DD160115P00042500,0.56,40
45.0,2014-09-20 00:00:00,put,DD140920P00045000,0.03,4
45.0,2014-10-18 00:00:00,put,DD141018P00045000,0.03,10
45.0,2015-01-17 00:00:00,call,DD150117C00045000,20.19,1
45.0,2015-01-17 00:00:00,put,DD150117P00045000,0.11,10
45.0,2015-04-17 00:00:00,put,DD150417P00045000,0.18,1
45.0,2016-01-15 00:00:00,call,DD160115C00045000,20.3,28
45.0,2016-01-15 00:00:00,put,DD160115P00045000,0.82,10
47.5,2014-09-20 00:00:00,put,DD140920P00047500,0.03,10
47.5,2014-10-18 00:00:00,put,DD141018P00047500,0.02,10
47.5,2015-01-17 00:00:00,put,DD150117P00047500,0.19,10
47.5,2016-01-15 00:00:00,call,DD160115C00047500,17.91,1
47.5,2016-01-15 00:00:00,put,DD160115P00047500,0.96,5
50.0,2014-09-20 00:00:00,put,DD140920P00050000,0.06,50
50.0,2014-10-18 00:00:00,put,DD141018P00050000,0.09,15
50.0,2015-01-17 00:00:00,call,DD150117C00050000,16.35,145
50.0,2015-01-17 00:00:00,put,DD150117P00050000,0.19,8
50.0,2015-04-17 00:00:00,put,DD150417P00050000,0.35,3
50.0,2016-01-15 00:00:00,call,DD160115C00050000,14.17,3
50.0,2016-01-15 00:00:00,put,DD160115P00050000,1.25,119
52.5,2015-01-17 00:00:00,call,DD150117C00052500,12.9,90
52.5,2015-01-17 00:00:00,put,DD150117P00052500,0.22,121
52.5,2016-01-15 00:00:00,call,DD160115C00052500,14.45,1
52.5,2016-01-15 00:00:00,put,DD160115P00052500,1.68,1
55.0,2014-09-20 00:00:00,put,DD140920P00055000,0.06,70
55.0,2014-10-18 00:00:00,call,DD141018C00055000,11.4,7
55.0,2014-10-18 00:00:00,put,DD141018P00055000,0.06,10
55.0,2015-01-17 00:00:00,call,DD150117C00055000,11.37,4
55.0,2015-01-17 00:00:00,put,DD150117P00055000,0.27,11
55.0,2015-04-17 00:00:00,put,DD150417P00055000,0.69,11
55.0,2016-01-15 00:00:00,call,DD160115C00055000,11.97,38
55.0,2016-01-15 00:00:00,put,DD160115P00055000,2.19,21
57.0,2014-09-05 00:00:00,call,DD140905C00057000,9.1,19
57.5,2014-09-20 00:00:00,call,DD140920C00057500,7.81,1
57.5,2014-09-20 00:00:00,put,DD140920P00057500,0.04,25
57.5,2014-10-18 00:00:00,call,DD141018C00057500,8.05,10
57.5,2014-10-18 00:00:00,put,DD141018P00057500,0.08,80
57.5,2015-01-17 00:00:00,call,DD150117C00057500,8.2,1
57.5,2015-01-17 00:00:00,put,DD150117P00057500,0.48,22
57.5,2015-04-17 00:00:00,put,DD150417P00057500,1.04,12
57.5,2016-01-15 00:00:00,call,DD160115C00057500,10.25,2
57.5,2016-01-15 00:00:00,put,DD160115P00057500,2.9,853
58.5,2014-09-05 00:00:00,put,DD140905P00058500,0.01,32
59.0,2014-09-05 00:00:00,put,DD140905P00059000,0.02,63
59.0,2014-09-20 00:00:00,put,DD140920P00059000,0.07,2
59.5,2014-09-05 00:00:00,call,DD140905C00059500,6.65,20
59.5,2014-09-05 00:00:00,put,DD140905P00059500,0.02,1
59.5,2014-09-12 00:00:00,put,DD140912P00059500,0.28,1
59.5,2014-09-26 00:00:00,put,DD140926P00059500,0.05,20
60.0,2014-09-05 00:00:00,call,DD140905C00060000,6.15,9
60.0,2014-09-05 00:00:00,put,DD140905P00060000,0.27,319
60.0,2014-09-12 00:00:00,put,DD140912P00060000,0.3,10
60.0,2014-09-20 00:00:00,call,DD140920C00060000,6.3,3
60.0,2014-09-20 00:00:00,put,DD140920P00060000,0.05,25
60.0,2014-10-18 00:00:00,call,DD141018C00060000,6.32,45
60.0,2014-10-18 00:00:00,put,DD141018P00060000,0.15,5
60.0,2015-01-17 00:00:00,call,DD150117C00060000,6.65,1
60.0,2015-01-17 00:00:00,put,DD150117P00060000,0.77,64
60.0,2015-04-17 00:00:00,call,DD150417C00060000,7.19,5
60.0,2015-04-17 00:00:00,put,DD150417P00060000,1.54,221
60.0,2016-01-15 00:00:00,call,DD160115C00060000,8.25,20
