Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,DHI150117P00003000,0.01,8
5.0,2015-01-17 00:00:00,put,DHI150117P00005000,0.01,200
5.0,2016-01-15 00:00:00,put,DHI160115P00005000,0.04,12
8.0,2015-01-17 00:00:00,call,DHI150117C00008000,15.8,40
8.0,2015-01-17 00:00:00,put,DHI150117P00008000,0.04,0
10.0,2015-01-17 00:00:00,call,DHI150117C00010000,10.9,15
10.0,2015-01-17 00:00:00,put,DHI150117P00010000,0.04,12
10.0,2016-01-15 00:00:00,call,DHI160115C00010000,11.15,3
10.0,2016-01-15 00:00:00,put,DHI160115P00010000,0.2,3
13.0,2014-11-22 00:00:00,call,DHI141122C00013000,11.35,24
13.0,2015-01-17 00:00:00,call,DHI150117C00013000,8.78,5
13.0,2015-01-17 00:00:00,put,DHI150117P00013000,0.06,2
13.0,2015-02-20 00:00:00,call,DHI150220C00013000,9.05,18
13.0,2015-02-20 00:00:00,put,DHI150220P00013000,0.15,10
13.0,2016-01-15 00:00:00,call,DHI160115C00013000,10.5,3
13.0,2016-01-15 00:00:00,put,DHI160115P00013000,0.64,1
14.0,2014-11-22 00:00:00,call,DHI141122C00014000,8.01,1
14.0,2014-11-22 00:00:00,put,DHI141122P00014000,0.05,10
14.0,2015-01-17 00:00:00,call,DHI150117C00014000,11.1,1
14.0,2015-02-20 00:00:00,call,DHI150220C00014000,7.95,27
15.0,2014-09-20 00:00:00,put,DHI140920P00015000,0.05,10
15.0,2014-11-22 00:00:00,call,DHI141122C00015000,6.7,10
15.0,2014-11-22 00:00:00,put,DHI141122P00015000,0.05,50
15.0,2015-01-17 00:00:00,call,DHI150117C00015000,6.75,20
15.0,2015-01-17 00:00:00,put,DHI150117P00015000,0.1,10
15.0,2015-02-20 00:00:00,call,DHI150220C00015000,7.11,10
15.0,2016-01-15 00:00:00,call,DHI160115C00015000,7.2,2
15.0,2016-01-15 00:00:00,put,DHI160115P00015000,0.7,20
16.0,2014-09-20 00:00:00,put,DHI140920P00016000,0.04,10
16.0,2014-10-18 00:00:00,put,DHI141018P00016000,0.04,10
16.0,2014-11-22 00:00:00,call,DHI141122C00016000,5.01,5
16.0,2014-11-22 00:00:00,put,DHI141122P00016000,0.08,1
16.0,2015-01-17 00:00:00,call,DHI150117C00016000,5.65,120
16.0,2015-01-17 00:00:00,put,DHI150117P00016000,0.31,22
16.0,2015-02-20 00:00:00,call,DHI150220C00016000,6.25,5
16.0,2015-02-20 00:00:00,put,DHI150220P00016000,0.43,40
17.0,2014-09-20 00:00:00,put,DHI140920P00017000,0.1,10
17.0,2014-10-18 00:00:00,put,DHI141018P00017000,0.07,3
17.0,2014-11-22 00:00:00,call,DHI141122C00017000,4.8,3
17.0,2014-11-22 00:00:00,put,DHI141122P00017000,0.15,1
17.0,2015-01-17 00:00:00,call,DHI150117C00017000,5.0,5
17.0,2015-01-17 00:00:00,put,DHI150117P00017000,0.22,49
17.0,2015-02-20 00:00:00,call,DHI150220C00017000,5.01,2
17.0,2015-02-20 00:00:00,put,DHI150220P00017000,0.35,25
17.0,2016-01-15 00:00:00,call,DHI160115C00017000,5.2,4
17.0,2016-01-15 00:00:00,put,DHI160115P00017000,1.14,160
18.0,2014-09-05 00:00:00,put,DHI140905P00018000,0.05,125
18.0,2014-09-20 00:00:00,call,DHI140920C00018000,3.9,10
18.0,2014-09-20 00:00:00,put,DHI140920P00018000,0.09,10
18.0,2014-11-22 00:00:00,call,DHI141122C00018000,3.25,10
18.0,2014-11-22 00:00:00,put,DHI141122P00018000,0.22,10
18.0,2015-02-20 00:00:00,call,DHI150220C00018000,4.15,1
18.0,2015-02-20 00:00:00,put,DHI150220P00018000,0.53,5
18.5,2014-09-05 00:00:00,call,DHI140905C00018500,2.74,19
18.5,2014-09-05 00:00:00,put,DHI140905P00018500,0.14,30
18.5,2014-09-12 00:00:00,call,DHI140912C00018500,2.5,2
18.5,2014-09-12 00:00:00,put,DHI140912P00018500,0.14,10
18.5,2014-09-26 00:00:00,put,DHI140926P00018500,0.08,1
19.0,2014-09-05 00:00:00,call,DHI140905C00019000,1.94,50
19.0,2014-09-05 00:00:00,put,DHI140905P00019000,0.04,5
19.0,2014-09-12 00:00:00,call,DHI140912C00019000,1.6,50
19.0,2014-09-12 00:00:00,put,DHI140912P00019000,0.29,24
19.0,2014-09-20 00:00:00,call,DHI140920C00019000,2.9,22
19.0,2014-09-20 00:00:00,put,DHI140920P00019000,0.04,2
19.0,2014-09-26 00:00:00,put,DHI140926P00019000,0.1,1
19.0,2014-10-18 00:00:00,put,DHI141018P00019000,0.14,6
19.0,2014-11-22 00:00:00,call,DHI141122C00019000,3.2,1
19.0,2014-11-22 00:00:00,put,DHI141122P00019000,0.35,10
19.0,2015-01-17 00:00:00,call,DHI150117C00019000,3.2,50
19.0,2015-01-17 00:00:00,put,DHI150117P00019000,0.55,10
19.0,2015-02-20 00:00:00,call,DHI150220C00019000,3.75,175
19.0,2015-02-20 00:00:00,put,DHI150220P00019000,0.7,8
19.5,2014-09-05 00:00:00,call,DHI140905C00019500,1.84,34
19.5,2014-09-05 00:00:00,put,DHI140905P00019500,0.05,2
19.5,2014-09-12 00:00:00,call,DHI140912C00019500,1.38,1
19.5,2014-09-12 00:00:00,put,DHI140912P00019500,0.34,1
19.5,2014-09-26 00:00:00,put,DHI140926P00019500,0.12,2
20.0,2014-09-05 00:00:00,put,DHI140905P00020000,0.05,4
20.0,2014-09-12 00:00:00,call,DHI140912C00020000,0.96,1
