Strike,Expiry,Type,Symbol,Last,Vol
25.0,2015-01-17 00:00:00,call,EBAY150117C00025000,28.75,12
25.0,2015-01-17 00:00:00,put,EBAY150117P00025000,0.03,10
25.0,2016-01-15 00:00:00,call,EBAY160115C00025000,28.79,10
25.0,2016-01-15 00:00:00,put,EBAY160115P00025000,0.2,2
26.0,2015-01-17 00:00:00,call,EBAY150117C00026000,22.95,27
26.0,2015-01-17 00:00:00,put,EBAY150117P00026000,0.02,5
27.0,2015-01-17 00:00:00,put,EBAY150117P00027000,0.04,20
28.0,2015-01-17 00:00:00,call,EBAY150117C00028000,23.25,22
28.0,2015-01-17 00:00:00,put,EBAY150117P00028000,0.05,10
28.0,2016-01-15 00:00:00,put,EBAY160115P00028000,0.4,100
29.0,2015-01-17 00:00:00,call,EBAY150117C00029000,22.0,100
29.0,2015-01-17 00:00:00,put,EBAY150117P00029000,0.02,11
30.0,2014-10-18 00:00:00,call,EBAY141018C00030000,29.15,20
30.0,2014-10-18 00:00:00,put,EBAY141018P00030000,0.02,9
30.0,2015-01-17 00:00:00,call,EBAY150117C00030000,23.0,20
30.0,2015-01-17 00:00:00,put,EBAY150117P00030000,0.07,5
30.0,2015-04-17 00:00:00,call,EBAY150417C00030000,25.7,120
30.0,2016-01-15 00:00:00,call,EBAY160115C00030000,25.6,10
30.0,2016-01-15 00:00:00,put,EBAY160115P00030000,0.33,4
31.0,2014-10-18 00:00:00,call,EBAY141018C00031000,17.65,9
31.0,2014-10-18 00:00:00,put,EBAY141018P00031000,0.02,2
32.0,2014-10-18 00:00:00,call,EBAY141018C00032000,20.75,21
32.0,2014-10-18 00:00:00,put,EBAY141018P00032000,0.02,42
33.0,2014-10-18 00:00:00,call,EBAY141018C00033000,15.7,9
33.0,2014-10-18 00:00:00,put,EBAY141018P00033000,0.02,1
33.0,2015-01-17 00:00:00,call,EBAY150117C00033000,16.7,5
33.0,2015-01-17 00:00:00,put,EBAY150117P00033000,0.07,1
33.0,2016-01-15 00:00:00,call,EBAY160115C00033000,25.5,50
33.0,2016-01-15 00:00:00,put,EBAY160115P00033000,0.49,1
34.0,2014-10-18 00:00:00,call,EBAY141018C00034000,14.7,9
34.0,2014-10-18 00:00:00,put,EBAY141018P00034000,0.03,16
35.0,2014-10-18 00:00:00,call,EBAY141018C00035000,21.0,2
35.0,2014-10-18 00:00:00,put,EBAY141018P00035000,0.03,1
35.0,2015-01-17 00:00:00,call,EBAY150117C00035000,21.12,1
35.0,2015-01-17 00:00:00,put,EBAY150117P00035000,0.05,1
35.0,2016-01-15 00:00:00,call,EBAY160115C00035000,21.73,2
35.0,2016-01-15 00:00:00,put,EBAY160115P00035000,0.7,1
36.0,2014-09-20 00:00:00,call,EBAY140920C00036000,16.9,18
36.0,2014-09-20 00:00:00,put,EBAY140920P00036000,0.02,149
36.0,2014-10-18 00:00:00,call,EBAY141018C00036000,17.1,10
36.0,2014-10-18 00:00:00,put,EBAY141018P00036000,0.06,10
36.0,2015-01-17 00:00:00,put,EBAY150117P00036000,0.15,0
37.0,2014-09-20 00:00:00,call,EBAY140920C00037000,15.9,16
37.0,2014-09-20 00:00:00,put,EBAY140920P00037000,0.02,55
37.0,2014-10-18 00:00:00,call,EBAY141018C00037000,12.2,5
37.0,2014-10-18 00:00:00,put,EBAY141018P00037000,0.02,1
37.0,2015-01-17 00:00:00,call,EBAY150117C00037000,12.4,2
37.0,2015-01-17 00:00:00,put,EBAY150117P00037000,0.09,1
38.0,2014-09-20 00:00:00,call,EBAY140920C00038000,11.15,10
38.0,2014-09-20 00:00:00,put,EBAY140920P00038000,0.02,41
38.0,2014-10-18 00:00:00,put,EBAY141018P00038000,0.03,1
38.0,2015-01-17 00:00:00,call,EBAY150117C00038000,15.2,1
38.0,2015-01-17 00:00:00,put,EBAY150117P00038000,0.1,41
38.0,2016-01-15 00:00:00,call,EBAY160115C00038000,18.4,3
38.0,2016-01-15 00:00:00,put,EBAY160115P00038000,0.98,14
39.0,2014-09-20 00:00:00,call,EBAY140920C00039000,13.6,20
39.0,2014-09-20 00:00:00,put,EBAY140920P00039000,0.02,12
