Strike,Expiry,Type,Symbol,Last,Vol
13.0,2015-01-17 00:00:00,call,EMC150117C00013000,16.36,67
13.0,2015-01-17 00:00:00,put,EMC150117P00013000,0.01,20
15.0,2015-01-17 00:00:00,call,EMC150117C00015000,14.6,8
15.0,2015-01-17 00:00:00,put,EMC150117P00015000,0.01,16
15.0,2016-01-15 00:00:00,call,EMC160115C00015000,15.0,5
15.0,2016-01-15 00:00:00,put,EMC160115P00015000,0.2,15
16.0,2015-01-17 00:00:00,put,EMC150117P00016000,0.09,64
17.0,2014-10-18 00:00:00,put,EMC141018P00017000,0.02,51
18.0,2014-10-18 00:00:00,put,EMC141018P00018000,0.04,45
18.0,2015-01-17 00:00:00,call,EMC150117C00018000,11.65,1
18.0,2015-01-17 00:00:00,put,EMC150117P00018000,0.04,17
18.0,2016-01-15 00:00:00,call,EMC160115C00018000,11.6,2
18.0,2016-01-15 00:00:00,put,EMC160115P00018000,0.3,12
19.0,2014-10-18 00:00:00,call,EMC141018C00019000,9.77,10
19.0,2014-10-18 00:00:00,put,EMC141018P00019000,0.03,60
19.0,2015-01-17 00:00:00,call,EMC150117C00019000,7.6,10
19.0,2015-01-17 00:00:00,put,EMC150117P00019000,0.1,11
20.0,2014-09-20 00:00:00,call,EMC140920C00020000,9.19,1
20.0,2014-09-20 00:00:00,put,EMC140920P00020000,0.01,1
20.0,2014-10-18 00:00:00,call,EMC141018C00020000,9.42,5
20.0,2014-10-18 00:00:00,put,EMC141018P00020000,0.02,30
20.0,2015-01-17 00:00:00,call,EMC150117C00020000,9.4,10
20.0,2015-01-17 00:00:00,put,EMC150117P00020000,0.06,1
20.0,2015-04-17 00:00:00,put,EMC150417P00020000,0.12,5
20.0,2016-01-15 00:00:00,call,EMC160115C00020000,9.65,25
20.0,2016-01-15 00:00:00,put,EMC160115P00020000,0.5,4
20.5,2014-09-05 00:00:00,call,EMC140905C00020500,8.65,84
21.0,2014-09-20 00:00:00,call,EMC140920C00021000,5.45,9
21.0,2014-10-18 00:00:00,call,EMC141018C00021000,8.06,11
21.0,2014-10-18 00:00:00,put,EMC141018P00021000,0.01,30
21.0,2015-01-17 00:00:00,call,EMC150117C00021000,8.6,10
21.0,2015-01-17 00:00:00,put,EMC150117P00021000,0.1,16
22.0,2014-09-20 00:00:00,put,EMC140920P00022000,0.02,29
22.0,2014-10-18 00:00:00,call,EMC141018C00022000,7.7,1
22.0,2014-10-18 00:00:00,put,EMC141018P00022000,0.06,5
22.0,2015-01-17 00:00:00,call,EMC150117C00022000,6.46,6
22.0,2015-01-17 00:00:00,put,EMC150117P00022000,0.14,15
22.5,2014-09-20 00:00:00,put,EMC140920P00022500,0.02,32
23.0,2014-09-20 00:00:00,call,EMC140920C00023000,6.84,75
23.0,2014-09-20 00:00:00,put,EMC140920P00023000,0.02,33
23.0,2014-10-18 00:00:00,call,EMC141018C00023000,6.1,479
23.0,2014-10-18 00:00:00,put,EMC141018P00023000,0.06,30
23.0,2015-01-17 00:00:00,call,EMC150117C00023000,6.4,11
23.0,2015-01-17 00:00:00,put,EMC150117P00023000,0.15,6
23.0,2015-04-17 00:00:00,call,EMC150417C00023000,6.7,16
23.0,2015-04-17 00:00:00,put,EMC150417P00023000,0.31,10
23.0,2016-01-15 00:00:00,call,EMC160115C00023000,7.3,4
23.0,2016-01-15 00:00:00,put,EMC160115P00023000,1.01,1
24.0,2014-09-05 00:00:00,call,EMC140905C00024000,4.95,24
24.0,2014-09-20 00:00:00,call,EMC140920C00024000,6.2,1
24.0,2014-09-20 00:00:00,put,EMC140920P00024000,0.04,20
24.0,2014-10-18 00:00:00,call,EMC141018C00024000,5.2,11
24.0,2014-10-18 00:00:00,put,EMC141018P00024000,0.05,5
24.0,2015-01-17 00:00:00,call,EMC150117C00024000,5.5,4
24.0,2015-01-17 00:00:00,put,EMC150117P00024000,0.21,25
24.5,2014-09-12 00:00:00,call,EMC140912C00024500,4.65,24
25.0,2014-09-20 00:00:00,call,EMC140920C00025000,3.3,10
25.0,2014-09-20 00:00:00,put,EMC140920P00025000,0.03,10
25.0,2014-10-18 00:00:00,call,EMC141018C00025000,4.9,9
25.0,2014-10-18 00:00:00,put,EMC141018P00025000,0.06,71
25.0,2015-01-17 00:00:00,call,EMC150117C00025000,4.7,25
25.0,2015-01-17 00:00:00,put,EMC150117P00025000,0.31,26
25.0,2015-04-17 00:00:00,put,EMC150417P00025000,0.6,600
25.0,2016-01-15 00:00:00,call,EMC160115C00025000,5.7,7
25.0,2016-01-15 00:00:00,put,EMC160115P00025000,1.51,5
25.5,2014-09-20 00:00:00,put,EMC140920P00025500,0.01,30
26.0,2014-09-05 00:00:00,call,EMC140905C00026000,3.42,1
26.0,2014-09-12 00:00:00,put,EMC140912P00026000,0.05,40
26.0,2014-09-20 00:00:00,call,EMC140920C00026000,3.54,100
26.0,2014-09-20 00:00:00,put,EMC140920P00026000,0.02,2
26.0,2014-10-18 00:00:00,call,EMC141018C00026000,3.66,1
26.0,2014-10-18 00:00:00,put,EMC141018P00026000,0.09,30
26.0,2014-11-22 00:00:00,call,EMC141122C00026000,3.8,9
26.0,2014-11-22 00:00:00,put,EMC141122P00026000,0.23,2
26.0,2015-01-17 00:00:00,call,EMC150117C00026000,3.75,102
26.0,2015-01-17 00:00:00,put,EMC150117P00026000,0.46,31
26.0,2015-04-17 00:00:00,put,EMC150417P00026000,0.78,4
26.5,2014-09-20 00:00:00,put,EMC140920P00026500,0.04,300
27.0,2014-09-12 00:00:00,call,EMC140912C00027000,2.41,61
27.0,2014-09-12 00:00:00,put,EMC140912P00027000,0.17,20
27.0,2014-09-20 00:00:00,call,EMC140920C00027000,2.58,33
27.0,2014-09-20 00:00:00,put,EMC140920P00027000,0.05,2
27.0,2014-10-03 00:00:00,put,EMC141003P00027000,0.07,1
27.0,2014-10-18 00:00:00,call,EMC141018C00027000,2.66,6
27.0,2014-10-18 00:00:00,put,EMC141018P00027000,0.15,210
27.0,2014-11-22 00:00:00,put,EMC141122P00027000,0.39,13
27.0,2015-01-17 00:00:00,call,EMC150117C00027000,3.0,10
27.0,2015-01-17 00:00:00,put,EMC150117P00027000,0.69,25
27.0,2015-04-17 00:00:00,put,EMC150417P00027000,1.09,1
27.0,2016-01-15 00:00:00,call,EMC160115C00027000,4.3,20
27.0,2016-01-15 00:00:00,put,EMC160115P00027000,2.19,5
27.5,2014-09-05 00:00:00,put,EMC140905P00027500,0.08,30
27.5,2014-09-12 00:00:00,call,EMC140912C00027500,2.01,56
27.5,2014-09-12 00:00:00,put,EMC140912P00027500,0.28,60
27.5,2014-09-20 00:00:00,put,EMC140920P00027500,0.1,7
27.5,2014-10-03 00:00:00,put,EMC141003P00027500,0.15,50
28.0,2014-09-05 00:00:00,put,EMC140905P00028000,0.29,118
28.0,2014-09-12 00:00:00,call,EMC140912C00028000,1.55,58
28.0,2014-09-12 00:00:00,put,EMC140912P00028000,0.28,1
28.0,2014-09-20 00:00:00,call,EMC140920C00028000,1.6,7
28.0,2014-09-20 00:00:00,put,EMC140920P00028000,0.12,40
28.0,2014-09-26 00:00:00,put,EMC140926P00028000,0.25,40
28.0,2014-10-03 00:00:00,put,EMC141003P00028000,0.21,50
28.0,2014-10-18 00:00:00,call,EMC141018C00028000,1.78,5
28.0,2014-10-18 00:00:00,put,EMC141018P00028000,0.3,1
28.0,2014-11-22 00:00:00,call,EMC141122C00028000,2.05,13
28.0,2014-11-22 00:00:00,put,EMC141122P00028000,0.63,10
28.0,2015-01-17 00:00:00,call,EMC150117C00028000,2.29,7
28.0,2015-01-17 00:00:00,put,EMC150117P00028000,1.04,1
28.0,2015-04-17 00:00:00,call,EMC150417C00028000,3.1,1
28.0,2015-04-17 00:00:00,put,EMC150417P00028000,1.53,43
28.5,2014-09-05 00:00:00,call,EMC140905C00028500,1.1,187
28.5,2014-09-05 00:00:00,put,EMC140905P00028500,0.07,9
28.5,2014-09-12 00:00:00,call,EMC140912C00028500,1.42,2
28.5,2014-09-12 00:00:00,put,EMC140912P00028500,0.09,8
28.5,2014-09-20 00:00:00,call,EMC140920C00028500,1.06,5
28.5,2014-09-20 00:00:00,put,EMC140920P00028500,0.15,1
28.5,2014-09-26 00:00:00,put,EMC140926P00028500,0.23,1
28.5,2014-10-03 00:00:00,put,EMC141003P00028500,0.31,50
29.0,2014-09-05 00:00:00,call,EMC140905C00029000,0.52,6
29.0,2014-09-05 00:00:00,put,EMC140905P00029000,0.14,23
29.0,2014-09-12 00:00:00,call,EMC140912C00029000,0.72,45
29.0,2014-09-12 00:00:00,put,EMC140912P00029000,0.26,4
29.0,2014-09-20 00:00:00,call,EMC140920C00029000,0.79,31
29.0,2014-09-20 00:00:00,put,EMC140920P00029000,0.3,13
29.0,2014-09-26 00:00:00,call,EMC140926C00029000,0.85,2
29.0,2014-09-26 00:00:00,put,EMC140926P00029000,0.33,6
29.0,2014-10-03 00:00:00,put,EMC141003P00029000,0.45,42
29.0,2014-10-18 00:00:00,call,EMC141018C00029000,1.03,73
29.0,2014-10-18 00:00:00,put,EMC141018P00029000,0.61,46
29.0,2014-11-22 00:00:00,call,EMC141122C00029000,1.35,11
29.0,2014-11-22 00:00:00,put,EMC141122P00029000,1.02,13
29.0,2015-01-17 00:00:00,call,EMC150117C00029000,1.66,5
29.0,2015-01-17 00:00:00,put,EMC150117P00029000,1.36,67
29.0,2015-04-17 00:00:00,call,EMC150417C00029000,2.07,10
29.0,2015-04-17 00:00:00,put,EMC150417P00029000,1.9,6
29.5,2014-09-05 00:00:00,call,EMC140905C00029500,0.23,198
29.5,2014-09-05 00:00:00,put,EMC140905P00029500,0.21,264
29.5,2014-09-12 00:00:00,call,EMC140912C00029500,0.38,2
29.5,2014-09-12 00:00:00,put,EMC140912P00029500,0.35,1
29.5,2014-09-20 00:00:00,call,EMC140920C00029500,0.42,15
29.5,2014-09-20 00:00:00,put,EMC140920P00029500,0.53,39
29.5,2014-09-26 00:00:00,call,EMC140926C00029500,0.52,21
29.5,2014-09-26 00:00:00,put,EMC140926P00029500,0.57,14
29.5,2014-10-03 00:00:00,call,EMC141003C00029500,0.52,46
30.0,2014-09-05 00:00:00,call,EMC140905C00030000,0.07,131
30.0,2014-09-05 00:00:00,put,EMC140905P00030000,0.5,46
30.0,2014-09-12 00:00:00,call,EMC140912C00030000,0.21,25
30.0,2014-09-12 00:00:00,put,EMC140912P00030000,0.86,62
30.0,2014-09-20 00:00:00,call,EMC140920C00030000,0.27,117
30.0,2014-09-20 00:00:00,put,EMC140920P00030000,0.82,8
30.0,2014-09-26 00:00:00,call,EMC140926C00030000,0.35,13
30.0,2014-09-26 00:00:00,put,EMC140926P00030000,0.87,1
30.0,2014-10-03 00:00:00,call,EMC141003C00030000,0.4,2
30.0,2014-10-18 00:00:00,call,EMC141018C00030000,0.52,309
30.0,2014-10-18 00:00:00,put,EMC141018P00030000,1.24,15
30.0,2014-11-22 00:00:00,call,EMC141122C00030000,0.9,3
30.0,2014-11-22 00:00:00,put,EMC141122P00030000,1.48,2
30.0,2015-01-17 00:00:00,call,EMC150117C00030000,1.26,264
30.0,2015-01-17 00:00:00,put,EMC150117P00030000,1.96,40
30.0,2015-04-17 00:00:00,call,EMC150417C00030000,1.66,8
30.0,2015-04-17 00:00:00,put,EMC150417P00030000,2.4,1
30.0,2016-01-15 00:00:00,call,EMC160115C00030000,2.78,1
30.0,2016-01-15 00:00:00,put,EMC160115P00030000,3.68,20
30.5,2014-09-05 00:00:00,call,EMC140905C00030500,0.08,73
30.5,2014-09-05 00:00:00,put,EMC140905P00030500,1.04,3
30.5,2014-09-12 00:00:00,call,EMC140912C00030500,0.06,10
30.5,2014-09-12 00:00:00,put,EMC140912P00030500,1.21,31
30.5,2014-09-20 00:00:00,call,EMC140920C00030500,0.13,206
30.5,2014-09-20 00:00:00,put,EMC140920P00030500,1.14,6
30.5,2014-09-26 00:00:00,call,EMC140926C00030500,0.21,56
30.5,2014-09-26 00:00:00,put,EMC140926P00030500,1.29,69
30.5,2014-10-03 00:00:00,call,EMC141003C00030500,0.32,71
31.0,2014-09-05 00:00:00,call,EMC140905C00031000,0.08,3
31.0,2014-09-05 00:00:00,put,EMC140905P00031000,1.43,30
31.0,2014-09-12 00:00:00,call,EMC140912C00031000,0.16,6
31.0,2014-09-12 00:00:00,put,EMC140912P00031000,1.65,25
31.0,2014-09-20 00:00:00,call,EMC140920C00031000,0.08,80
31.0,2014-09-20 00:00:00,put,EMC140920P00031000,1.68,10
31.0,2014-09-26 00:00:00,call,EMC140926C00031000,0.15,3
31.0,2014-09-26 00:00:00,put,EMC140926P00031000,1.61,89
31.0,2014-10-03 00:00:00,call,EMC141003C00031000,0.16,8
31.0,2014-10-03 00:00:00,put,EMC141003P00031000,1.8,20
31.0,2014-10-18 00:00:00,call,EMC141018C00031000,0.21,4
31.0,2014-10-18 00:00:00,put,EMC141018P00031000,1.61,1
31.0,2014-11-22 00:00:00,call,EMC141122C00031000,0.55,56
31.0,2014-11-22 00:00:00,put,EMC141122P00031000,2.13,9
31.0,2015-01-17 00:00:00,call,EMC150117C00031000,0.87,538
31.0,2015-01-17 00:00:00,put,EMC150117P00031000,2.66,10
31.0,2015-04-17 00:00:00,call,EMC150417C00031000,1.3,8
31.0,2015-04-17 00:00:00,put,EMC150417P00031000,2.86,20
31.5,2014-09-05 00:00:00,put,EMC140905P00031500,2.02,3
31.5,2014-09-12 00:00:00,call,EMC140912C00031500,0.19,61
31.5,2014-09-12 00:00:00,put,EMC140912P00031500,2.04,25
31.5,2014-09-20 00:00:00,call,EMC140920C00031500,0.12,54
31.5,2014-09-20 00:00:00,put,EMC140920P00031500,2.02,188
31.5,2014-09-26 00:00:00,put,EMC140926P00031500,2.01,92
32.0,2014-09-05 00:00:00,put,EMC140905P00032000,2.85,11
32.0,2014-09-12 00:00:00,call,EMC140912C00032000,0.09,61
32.0,2014-09-12 00:00:00,put,EMC140912P00032000,2.43,11
32.0,2014-09-20 00:00:00,call,EMC140920C00032000,0.04,1
32.0,2014-09-20 00:00:00,put,EMC140920P00032000,2.42,3
32.0,2014-09-26 00:00:00,call,EMC140926C00032000,0.06,36
32.0,2014-09-26 00:00:00,put,EMC140926P00032000,2.47,1
32.0,2014-10-03 00:00:00,put,EMC141003P00032000,2.68,21
32.0,2014-10-18 00:00:00,call,EMC141018C00032000,0.11,2
32.0,2014-10-18 00:00:00,put,EMC141018P00032000,2.65,3
32.0,2014-11-22 00:00:00,call,EMC141122C00032000,0.31,72
32.0,2014-11-22 00:00:00,put,EMC141122P00032000,2.86,2
32.0,2015-01-17 00:00:00,call,EMC150117C00032000,0.54,2
32.0,2015-01-17 00:00:00,put,EMC150117P00032000,3.0,16
32.0,2015-04-17 00:00:00,call,EMC150417C00032000,0.93,130
32.0,2015-04-17 00:00:00,put,EMC150417P00032000,3.75,3
32.0,2016-01-15 00:00:00,call,EMC160115C00032000,2.0,30
32.0,2016-01-15 00:00:00,put,EMC160115P00032000,4.75,5
32.5,2014-09-05 00:00:00,put,EMC140905P00032500,3.35,29
32.5,2014-09-20 00:00:00,call,EMC140920C00032500,0.04,71
32.5,2014-09-26 00:00:00,put,EMC140926P00032500,2.92,1
33.0,2014-09-05 00:00:00,put,EMC140905P00033000,3.8,18
33.0,2014-09-12 00:00:00,call,EMC140912C00033000,0.04,1
33.0,2014-09-12 00:00:00,put,EMC140912P00033000,3.9,36
33.0,2014-09-20 00:00:00,call,EMC140920C00033000,0.04,3000
33.0,2014-09-20 00:00:00,put,EMC140920P00033000,3.25,76
33.0,2014-09-26 00:00:00,call,EMC140926C00033000,0.09,2
33.0,2014-10-18 00:00:00,call,EMC141018C00033000,0.06,2
33.0,2014-10-18 00:00:00,put,EMC141018P00033000,3.5,4
33.0,2014-11-22 00:00:00,call,EMC141122C00033000,0.15,13
33.0,2015-01-17 00:00:00,call,EMC150117C00033000,0.35,10
33.0,2015-01-17 00:00:00,put,EMC150117P00033000,4.11,1
33.0,2015-04-17 00:00:00,call,EMC150417C00033000,0.68,15
33.0,2015-04-17 00:00:00,put,EMC150417P00033000,4.5,1
33.5,2014-09-05 00:00:00,put,EMC140905P00033500,4.35,26
34.0,2014-09-05 00:00:00,call,EMC140905C00034000,0.04,1
34.0,2014-09-12 00:00:00,call,EMC140912C00034000,0.06,44
34.0,2014-09-20 00:00:00,call,EMC140920C00034000,0.01,20
34.0,2014-09-20 00:00:00,put,EMC140920P00034000,4.25,10
34.0,2014-10-18 00:00:00,call,EMC141018C00034000,0.08,6
34.0,2014-11-22 00:00:00,call,EMC141122C00034000,0.11,8
34.0,2015-01-17 00:00:00,call,EMC150117C00034000,0.3,4
34.0,2015-01-17 00:00:00,put,EMC150117P00034000,5.04,2
34.0,2015-04-17 00:00:00,call,EMC150417C00034000,0.52,5
34.0,2015-04-17 00:00:00,put,EMC150417P00034000,5.25,6
34.5,2014-09-26 00:00:00,put,EMC140926P00034500,5.25,22
35.0,2014-09-20 00:00:00,put,EMC140920P00035000,5.85,1
35.0,2014-10-18 00:00:00,call,EMC141018C00035000,0.06,1
35.0,2015-01-17 00:00:00,call,EMC150117C00035000,0.18,10
35.0,2015-01-17 00:00:00,put,EMC150117P00035000,5.86,2
35.0,2015-04-17 00:00:00,call,EMC150417C00035000,0.4,15
35.0,2016-01-15 00:00:00,call,EMC160115C00035000,1.2,1
35.0,2016-01-15 00:00:00,put,EMC160115P00035000,7.1,33
35.5,2014-09-05 00:00:00,call,EMC140905C00035500,0.03,19
35.5,2014-09-12 00:00:00,call,EMC140912C00035500,0.03,1
