Strike,Expiry,Type,Symbol,Last,Vol
15.0,2014-09-20 00:00:00,call,EPB140920C00015000,25.91,520
15.0,2014-09-20 00:00:00,put,EPB140920P00015000,0.01,3
17.5,2014-09-20 00:00:00,put,EPB140920P00017500,0.05,1
17.5,2014-12-20 00:00:00,put,EPB141220P00017500,0.08,5
20.0,2014-09-20 00:00:00,put,EPB140920P00020000,0.15,5
20.0,2014-12-20 00:00:00,call,EPB141220C00020000,20.5,9820
20.0,2014-12-20 00:00:00,put,EPB141220P00020000,0.15,5
22.5,2014-09-20 00:00:00,put,EPB140920P00022500,0.05,4
22.5,2014-12-20 00:00:00,put,EPB141220P00022500,0.15,1
22.5,2015-03-20 00:00:00,put,EPB150320P00022500,0.1,1
25.0,2014-09-20 00:00:00,put,EPB140920P00025000,0.04,100
25.0,2014-12-20 00:00:00,call,EPB141220C00025000,9.12,16
25.0,2014-12-20 00:00:00,put,EPB141220P00025000,0.05,5
27.5,2014-09-20 00:00:00,call,EPB140920C00027500,12.2,4
27.5,2014-09-20 00:00:00,put,EPB140920P00027500,0.07,102
27.5,2014-12-20 00:00:00,put,EPB141220P00027500,0.1,1
27.5,2015-03-20 00:00:00,put,EPB150320P00027500,0.5,7
30.0,2014-09-20 00:00:00,call,EPB140920C00030000,11.63,5
30.0,2014-09-20 00:00:00,put,EPB140920P00030000,0.05,2
30.0,2014-12-20 00:00:00,call,EPB141220C00030000,12.1,1
30.0,2014-12-20 00:00:00,put,EPB141220P00030000,0.04,20
30.0,2015-03-20 00:00:00,call,EPB150320C00030000,10.98,12
30.0,2015-03-20 00:00:00,put,EPB150320P00030000,0.06,10
32.5,2014-09-20 00:00:00,call,EPB140920C00032500,10.0,10
32.5,2014-09-20 00:00:00,put,EPB140920P00032500,0.05,4
32.5,2014-12-20 00:00:00,call,EPB141220C00032500,9.37,1
32.5,2014-12-20 00:00:00,put,EPB141220P00032500,0.15,2
32.5,2015-03-20 00:00:00,call,EPB150320C00032500,2.35,38
32.5,2015-03-20 00:00:00,put,EPB150320P00032500,0.55,15
35.0,2014-09-20 00:00:00,call,EPB140920C00035000,6.0,11
35.0,2014-09-20 00:00:00,put,EPB140920P00035000,0.05,2
35.0,2014-12-20 00:00:00,call,EPB141220C00035000,6.5,10
35.0,2014-12-20 00:00:00,put,EPB141220P00035000,0.25,30
35.0,2015-03-20 00:00:00,call,EPB150320C00035000,6.79,10
35.0,2015-03-20 00:00:00,put,EPB150320P00035000,0.9,30
37.5,2014-09-20 00:00:00,call,EPB140920C00037500,4.2,10
37.5,2014-09-20 00:00:00,put,EPB140920P00037500,0.2,2
37.5,2014-10-18 00:00:00,put,EPB141018P00037500,0.35,3
37.5,2014-12-20 00:00:00,call,EPB141220C00037500,4.5,30
37.5,2014-12-20 00:00:00,put,EPB141220P00037500,0.6,8
37.5,2015-03-20 00:00:00,call,EPB150320C00037500,4.0,2
37.5,2015-03-20 00:00:00,put,EPB150320P00037500,1.05,41
40.0,2014-09-20 00:00:00,call,EPB140920C00040000,2.57,2
40.0,2014-09-20 00:00:00,put,EPB140920P00040000,0.3,5
40.0,2014-10-18 00:00:00,call,EPB141018C00040000,2.72,2
40.0,2014-10-18 00:00:00,put,EPB141018P00040000,0.5,1
40.0,2014-12-20 00:00:00,call,EPB141220C00040000,2.25,1
40.0,2014-12-20 00:00:00,put,EPB141220P00040000,1.75,4
40.0,2015-01-17 00:00:00,call,EPB150117C00040000,3.2,8
40.0,2015-01-17 00:00:00,put,EPB150117P00040000,1.3,10
40.0,2015-03-20 00:00:00,call,EPB150320C00040000,2.9,10
40.0,2015-03-20 00:00:00,put,EPB150320P00040000,2.0,1
42.5,2014-09-20 00:00:00,call,EPB140920C00042500,0.25,5
42.5,2014-09-20 00:00:00,put,EPB140920P00042500,0.7,10
42.5,2014-10-18 00:00:00,call,EPB141018C00042500,1.05,10
42.5,2014-10-18 00:00:00,put,EPB141018P00042500,2.05,5
42.5,2014-12-20 00:00:00,call,EPB141220C00042500,0.85,3
42.5,2014-12-20 00:00:00,put,EPB141220P00042500,3.4,2
42.5,2015-01-17 00:00:00,call,EPB150117C00042500,0.95,7
42.5,2015-01-17 00:00:00,put,EPB150117P00042500,2.4,2
42.5,2015-03-20 00:00:00,call,EPB150320C00042500,1.3,12
42.5,2015-03-20 00:00:00,put,EPB150320P00042500,3.2,12
45.0,2014-09-20 00:00:00,call,EPB140920C00045000,0.1,4
45.0,2014-10-18 00:00:00,call,EPB141018C00045000,0.4,12
45.0,2014-12-20 00:00:00,call,EPB141220C00045000,0.25,10
45.0,2015-01-17 00:00:00,call,EPB150117C00045000,0.75,50
45.0,2015-03-20 00:00:00,call,EPB150320C00045000,0.9,12
45.0,2015-03-20 00:00:00,put,EPB150320P00045000,4.9,5
50.0,2015-01-17 00:00:00,put,EPB150117P00050000,8.5,12
50.0,2015-03-20 00:00:00,call,EPB150320C00050000,0.25,2
