Strike,Expiry,Type,Symbol,Last,Vol
20.0,2014-09-20 00:00:00,put,EWZ140920P00020000,0.08,0
20.0,2015-01-17 00:00:00,call,EWZ150117C00020000,28.26,10
20.0,2015-01-17 00:00:00,put,EWZ150117P00020000,0.04,11
20.0,2016-01-15 00:00:00,put,EWZ160115P00020000,0.7,10
21.0,2014-09-20 00:00:00,put,EWZ140920P00021000,0.02,129
21.0,2015-01-17 00:00:00,put,EWZ150117P00021000,0.22,24
21.0,2016-01-15 00:00:00,put,EWZ160115P00021000,0.29,160
22.0,2014-09-20 00:00:00,put,EWZ140920P00022000,0.03,123
22.0,2016-01-15 00:00:00,put,EWZ160115P00022000,0.57,1
23.0,2014-09-20 00:00:00,put,EWZ140920P00023000,0.03,162
23.0,2015-01-17 00:00:00,put,EWZ150117P00023000,0.08,4
23.0,2016-01-15 00:00:00,put,EWZ160115P00023000,0.42,13
24.0,2014-09-20 00:00:00,put,EWZ140920P00024000,0.26,0
24.0,2014-11-22 00:00:00,put,EWZ141122P00024000,0.02,32
24.0,2015-01-17 00:00:00,put,EWZ150117P00024000,0.02,10
24.0,2016-01-15 00:00:00,put,EWZ160115P00024000,0.38,2
25.0,2014-09-20 00:00:00,put,EWZ140920P00025000,0.02,1
25.0,2014-12-20 00:00:00,put,EWZ141220P00025000,0.09,26
25.0,2015-01-17 00:00:00,put,EWZ150117P00025000,0.04,8
25.0,2016-01-15 00:00:00,call,EWZ160115C00025000,25.45,1
25.0,2016-01-15 00:00:00,put,EWZ160115P00025000,0.64,4
26.0,2014-09-20 00:00:00,put,EWZ140920P00026000,0.01,4
26.0,2015-01-17 00:00:00,put,EWZ150117P00026000,0.06,4
26.0,2016-01-15 00:00:00,put,EWZ160115P00026000,0.55,11
27.0,2014-09-20 00:00:00,put,EWZ140920P00027000,0.02,28
27.0,2014-11-22 00:00:00,put,EWZ141122P00027000,0.06,7
27.0,2015-01-17 00:00:00,put,EWZ150117P00027000,0.16,30
27.0,2016-01-15 00:00:00,put,EWZ160115P00027000,0.95,25
28.0,2014-09-20 00:00:00,put,EWZ140920P00028000,0.02,23
28.0,2014-11-22 00:00:00,put,EWZ141122P00028000,0.05,84
28.0,2015-01-17 00:00:00,put,EWZ150117P00028000,0.14,21
28.0,2016-01-15 00:00:00,put,EWZ160115P00028000,0.85,1
29.0,2014-09-20 00:00:00,put,EWZ140920P00029000,0.02,22
29.0,2014-11-22 00:00:00,put,EWZ141122P00029000,0.04,2
29.0,2015-01-17 00:00:00,call,EWZ150117C00029000,18.8,9
29.0,2015-01-17 00:00:00,put,EWZ150117P00029000,0.2,400
29.0,2016-01-15 00:00:00,put,EWZ160115P00029000,0.66,1
30.0,2014-09-20 00:00:00,put,EWZ140920P00030000,0.01,28
30.0,2014-10-18 00:00:00,put,EWZ141018P00030000,0.06,77
30.0,2014-11-22 00:00:00,put,EWZ141122P00030000,0.06,290
30.0,2014-12-20 00:00:00,put,EWZ141220P00030000,0.04,4
30.0,2015-01-17 00:00:00,call,EWZ150117C00030000,22.9,4
30.0,2015-01-17 00:00:00,put,EWZ150117P00030000,0.07,62
30.0,2015-03-20 00:00:00,put,EWZ150320P00030000,0.26,10
30.0,2016-01-15 00:00:00,call,EWZ160115C00030000,19.44,47
30.0,2016-01-15 00:00:00,put,EWZ160115P00030000,0.72,2
31.0,2014-09-20 00:00:00,call,EWZ140920C00031000,17.45,1
31.0,2014-09-20 00:00:00,put,EWZ140920P00031000,0.03,30
31.0,2014-11-22 00:00:00,put,EWZ141122P00031000,0.16,250
31.0,2015-01-17 00:00:00,put,EWZ150117P00031000,0.07,10
31.0,2016-01-15 00:00:00,call,EWZ160115C00031000,17.6,15
