Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,F150117C00003000,14.6,125
3.0,2015-01-17 00:00:00,put,F150117P00003000,0.01,120
4.0,2015-01-17 00:00:00,put,F150117P00004000,0.01,0
4.0,2016-01-15 00:00:00,call,F160115C00004000,13.5,3
4.0,2016-01-15 00:00:00,put,F160115P00004000,0.01,1
5.0,2015-01-17 00:00:00,call,F150117C00005000,12.42,30
5.0,2015-01-17 00:00:00,put,F150117P00005000,0.01,40
5.0,2016-01-15 00:00:00,call,F160115C00005000,12.5,20
5.0,2016-01-15 00:00:00,put,F160115P00005000,0.04,3
8.0,2014-12-20 00:00:00,put,F141220P00008000,0.02,55
8.0,2015-01-17 00:00:00,call,F150117C00008000,9.25,25
8.0,2015-01-17 00:00:00,put,F150117P00008000,0.02,216
8.0,2015-03-20 00:00:00,put,F150320P00008000,0.03,40
8.0,2016-01-15 00:00:00,call,F160115C00008000,9.0,13
8.0,2016-01-15 00:00:00,put,F160115P00008000,0.09,10
9.0,2014-09-20 00:00:00,put,F140920P00009000,0.01,6
9.0,2014-10-18 00:00:00,put,F141018P00009000,0.02,30
9.0,2014-12-20 00:00:00,call,F141220C00009000,8.45,10
9.0,2014-12-20 00:00:00,put,F141220P00009000,0.02,1
9.0,2015-01-17 00:00:00,put,F150117P00009000,0.03,30
10.0,2014-09-20 00:00:00,call,F140920C00010000,7.2,10
10.0,2014-09-20 00:00:00,put,F140920P00010000,0.01,5
10.0,2014-11-22 00:00:00,put,F141122P00010000,0.03,300
10.0,2014-12-20 00:00:00,put,F141220P00010000,0.04,30
10.0,2015-01-17 00:00:00,call,F150117C00010000,7.3,15
10.0,2015-01-17 00:00:00,put,F150117P00010000,0.05,7
10.0,2015-03-20 00:00:00,call,F150320C00010000,7.37,3
10.0,2015-03-20 00:00:00,put,F150320P00010000,0.06,5
10.0,2016-01-15 00:00:00,call,F160115C00010000,7.45,32
10.0,2016-01-15 00:00:00,put,F160115P00010000,0.14,67
11.0,2014-09-20 00:00:00,call,F140920C00011000,6.7,75
11.0,2014-09-20 00:00:00,put,F140920P00011000,0.01,5
11.0,2014-10-18 00:00:00,call,F141018C00011000,6.1,5
11.0,2014-11-22 00:00:00,put,F141122P00011000,0.03,5
11.0,2014-12-20 00:00:00,put,F141220P00011000,0.05,480
11.0,2015-01-17 00:00:00,call,F150117C00011000,6.6,90
11.0,2015-01-17 00:00:00,put,F150117P00011000,0.03,3
11.0,2015-03-20 00:00:00,call,F150320C00011000,6.52,2
11.0,2015-03-20 00:00:00,put,F150320P00011000,0.09,731
12.0,2014-09-20 00:00:00,call,F140920C00012000,5.44,50
12.0,2014-09-20 00:00:00,put,F140920P00012000,0.01,10
12.0,2014-10-18 00:00:00,call,F141018C00012000,5.49,50
12.0,2014-11-22 00:00:00,call,F141122C00012000,5.6,50
12.0,2014-11-22 00:00:00,put,F141122P00012000,0.03,40
12.0,2014-12-20 00:00:00,call,F141220C00012000,5.0,6
12.0,2014-12-20 00:00:00,put,F141220P00012000,0.04,100
12.0,2015-01-17 00:00:00,call,F150117C00012000,5.45,178
12.0,2015-01-17 00:00:00,put,F150117P00012000,0.05,256
12.0,2015-03-20 00:00:00,put,F150320P00012000,0.08,276
12.5,2014-09-12 00:00:00,call,F140912C00012500,4.8,20
12.5,2014-09-26 00:00:00,put,F140926P00012500,0.02,57
13.0,2014-09-20 00:00:00,call,F140920C00013000,4.4,47
13.0,2014-09-20 00:00:00,put,F140920P00013000,0.01,23
13.0,2014-10-18 00:00:00,call,F141018C00013000,4.25,5
13.0,2014-10-18 00:00:00,put,F141018P00013000,0.06,20
13.0,2014-11-22 00:00:00,call,F141122C00013000,4.35,1
13.0,2014-11-22 00:00:00,put,F141122P00013000,0.02,35
13.0,2014-12-20 00:00:00,call,F141220C00013000,4.3,1
13.0,2014-12-20 00:00:00,put,F141220P00013000,0.05,4
13.0,2015-01-17 00:00:00,call,F150117C00013000,4.3,10
13.0,2015-01-17 00:00:00,put,F150117P00013000,0.1,2
13.0,2015-03-20 00:00:00,call,F150320C00013000,4.53,40
13.0,2015-03-20 00:00:00,put,F150320P00013000,0.12,51
13.0,2015-06-19 00:00:00,call,F150619C00013000,4.55,15
13.0,2015-06-19 00:00:00,put,F150619P00013000,0.19,30
13.0,2016-01-15 00:00:00,call,F160115C00013000,4.65,70
13.0,2016-01-15 00:00:00,put,F160115P00013000,0.47,70
13.5,2014-09-12 00:00:00,call,F140912C00013500,3.9,28
13.5,2014-09-26 00:00:00,call,F140926C00013500,3.95,879
13.5,2014-10-03 00:00:00,put,F141003P00013500,0.03,5
14.0,2014-09-20 00:00:00,call,F140920C00014000,3.3,1
14.0,2014-09-20 00:00:00,put,F140920P00014000,0.01,18
14.0,2014-09-26 00:00:00,call,F140926C00014000,3.45,37
14.0,2014-09-26 00:00:00,put,F140926P00014000,0.04,112
14.0,2014-10-18 00:00:00,call,F141018C00014000,3.34,28
14.0,2014-10-18 00:00:00,put,F141018P00014000,0.04,20
14.0,2014-11-22 00:00:00,call,F141122C00014000,3.6,3
14.0,2014-11-22 00:00:00,put,F141122P00014000,0.05,4
14.0,2014-12-20 00:00:00,call,F141220C00014000,3.53,2
14.0,2014-12-20 00:00:00,put,F141220P00014000,0.06,284
14.0,2015-01-17 00:00:00,call,F150117C00014000,3.5,22
14.0,2015-01-17 00:00:00,put,F150117P00014000,0.08,265
14.0,2015-03-20 00:00:00,call,F150320C00014000,3.3,29
14.0,2015-03-20 00:00:00,put,F150320P00014000,0.16,4150
14.5,2014-09-12 00:00:00,call,F140912C00014500,2.95,409
14.5,2014-09-20 00:00:00,call,F140920C00014500,2.88,2
14.5,2014-09-26 00:00:00,call,F140926C00014500,2.85,34
15.0,2014-09-12 00:00:00,call,F140912C00015000,2.44,33
15.0,2014-09-20 00:00:00,call,F140920C00015000,2.46,5
15.0,2014-09-20 00:00:00,put,F140920P00015000,0.01,10
15.0,2014-09-26 00:00:00,call,F140926C00015000,2.36,3
15.0,2014-10-18 00:00:00,call,F141018C00015000,2.42,3
15.0,2014-10-18 00:00:00,put,F141018P00015000,0.02,1
15.0,2014-11-22 00:00:00,call,F141122C00015000,2.35,1
15.0,2014-11-22 00:00:00,put,F141122P00015000,0.09,32
15.0,2014-12-20 00:00:00,call,F141220C00015000,2.52,35
15.0,2014-12-20 00:00:00,put,F141220P00015000,0.12,30
15.0,2015-01-17 00:00:00,call,F150117C00015000,2.57,272
15.0,2015-01-17 00:00:00,put,F150117P00015000,0.16,170
15.0,2015-03-20 00:00:00,call,F150320C00015000,2.6,5
15.0,2015-03-20 00:00:00,put,F150320P00015000,0.29,26
15.0,2015-06-19 00:00:00,call,F150619C00015000,2.81,5
15.0,2015-06-19 00:00:00,put,F150619P00015000,0.53,20
15.0,2016-01-15 00:00:00,call,F160115C00015000,3.1,94
15.0,2016-01-15 00:00:00,put,F160115P00015000,0.99,240
15.5,2014-09-05 00:00:00,call,F140905C00015500,1.93,107
15.5,2014-09-05 00:00:00,put,F140905P00015500,0.03,50
15.5,2014-09-12 00:00:00,call,F140912C00015500,1.63,60
15.5,2014-09-12 00:00:00,put,F140912P00015500,0.01,46
15.5,2014-09-26 00:00:00,call,F140926C00015500,1.92,68
16.0,2014-09-05 00:00:00,call,F140905C00016000,1.25,5
16.0,2014-09-05 00:00:00,put,F140905P00016000,0.01,721
16.0,2014-09-12 00:00:00,call,F140912C00016000,1.45,2
16.0,2014-09-12 00:00:00,put,F140912P00016000,0.02,8
16.0,2014-09-20 00:00:00,call,F140920C00016000,1.42,233
16.0,2014-09-20 00:00:00,put,F140920P00016000,0.04,1544
16.0,2014-09-26 00:00:00,call,F140926C00016000,1.31,3
16.0,2014-09-26 00:00:00,put,F140926P00016000,0.04,10
16.0,2014-10-03 00:00:00,put,F141003P00016000,0.09,30
16.0,2014-10-18 00:00:00,call,F141018C00016000,1.53,1
16.0,2014-10-18 00:00:00,put,F141018P00016000,0.07,4
16.0,2014-11-22 00:00:00,call,F141122C00016000,1.62,10
16.0,2014-11-22 00:00:00,put,F141122P00016000,0.18,33
16.0,2014-12-20 00:00:00,call,F141220C00016000,1.53,385
16.0,2014-12-20 00:00:00,put,F141220P00016000,0.24,568
16.0,2015-01-17 00:00:00,call,F150117C00016000,1.74,6
