Strike,Expiry,Type,Symbol,Last,Vol
10.0,2015-01-17 00:00:00,call,FB150117C00010000,64.25,4
10.0,2015-01-17 00:00:00,put,FB150117P00010000,0.01,33
13.0,2015-01-17 00:00:00,call,FB150117C00013000,61.3,15
13.0,2015-01-17 00:00:00,put,FB150117P00013000,0.01,1
13.0,2016-01-15 00:00:00,call,FB160115C00013000,61.75,5
13.0,2016-01-15 00:00:00,put,FB160115P00013000,0.08,1
15.0,2015-01-17 00:00:00,call,FB150117C00015000,59.95,14
15.0,2015-01-17 00:00:00,put,FB150117P00015000,0.01,50
15.0,2016-01-15 00:00:00,call,FB160115C00015000,59.0,4
15.0,2016-01-15 00:00:00,put,FB160115P00015000,0.07,100
17.0,2015-01-17 00:00:00,call,FB150117C00017000,57.4,5
17.0,2015-01-17 00:00:00,put,FB150117P00017000,0.01,1
18.0,2015-01-17 00:00:00,call,FB150117C00018000,50.29,1
18.0,2015-01-17 00:00:00,put,FB150117P00018000,0.01,4
18.0,2016-01-15 00:00:00,call,FB160115C00018000,45.95,3
18.0,2016-01-15 00:00:00,put,FB160115P00018000,0.1,25
20.0,2015-01-17 00:00:00,call,FB150117C00020000,55.85,3
20.0,2015-01-17 00:00:00,put,FB150117P00020000,0.01,100
20.0,2015-04-17 00:00:00,call,FB150417C00020000,45.25,59
20.0,2015-04-17 00:00:00,put,FB150417P00020000,0.01,184
20.0,2016-01-15 00:00:00,call,FB160115C00020000,47.3,1
20.0,2016-01-15 00:00:00,put,FB160115P00020000,0.09,1
22.0,2015-01-17 00:00:00,call,FB150117C00022000,52.2,8
22.0,2015-01-17 00:00:00,put,FB150117P00022000,0.03,5
23.0,2016-01-15 00:00:00,call,FB160115C00023000,43.2,1
23.0,2016-01-15 00:00:00,put,FB160115P00023000,0.23,92
25.0,2014-09-20 00:00:00,call,FB140920C00025000,49.7,50
25.0,2014-09-20 00:00:00,put,FB140920P00025000,0.01,1
25.0,2014-12-20 00:00:00,call,FB141220C00025000,49.1,1
25.0,2014-12-20 00:00:00,put,FB141220P00025000,0.03,4
25.0,2015-01-17 00:00:00,call,FB150117C00025000,50.1,89
25.0,2015-01-17 00:00:00,put,FB150117P00025000,0.01,1
25.0,2015-04-17 00:00:00,call,FB150417C00025000,42.3,1
25.0,2015-04-17 00:00:00,put,FB150417P00025000,0.02,10
25.0,2015-10-16 00:00:00,put,FB151016P00025000,0.12,131
25.0,2015-11-20 00:00:00,put,FB151120P00025000,0.24,100
25.0,2016-01-15 00:00:00,call,FB160115C00025000,50.0,5
25.0,2016-01-15 00:00:00,put,FB160115P00025000,0.18,4
27.0,2015-01-17 00:00:00,call,FB150117C00027000,47.48,10
27.0,2015-01-17 00:00:00,put,FB150117P00027000,0.04,5
30.0,2014-09-20 00:00:00,call,FB140920C00030000,45.0,1
30.0,2014-09-20 00:00:00,put,FB140920P00030000,0.01,5
30.0,2014-12-20 00:00:00,call,FB141220C00030000,44.0,40
30.0,2014-12-20 00:00:00,put,FB141220P00030000,0.02,4
30.0,2015-01-17 00:00:00,call,FB150117C00030000,44.7,15
30.0,2015-01-17 00:00:00,put,FB150117P00030000,0.02,65
30.0,2015-03-20 00:00:00,put,FB150320P00030000,0.04,7
30.0,2015-04-17 00:00:00,call,FB150417C00030000,45.41,1
30.0,2015-04-17 00:00:00,put,FB150417P00030000,0.12,30
30.0,2015-10-16 00:00:00,put,FB151016P00030000,0.19,21
30.0,2016-01-15 00:00:00,call,FB160115C00030000,44.4,15
30.0,2016-01-15 00:00:00,put,FB160115P00030000,0.31,24
32.0,2015-01-17 00:00:00,call,FB150117C00032000,42.8,10
32.0,2015-01-17 00:00:00,put,FB150117P00032000,0.06,10
33.0,2016-01-15 00:00:00,call,FB160115C00033000,41.65,1
33.0,2016-01-15 00:00:00,put,FB160115P00033000,0.47,25
35.0,2014-09-20 00:00:00,call,FB140920C00035000,39.7,2
35.0,2014-09-20 00:00:00,put,FB140920P00035000,0.03,140
35.0,2014-12-20 00:00:00,call,FB141220C00035000,30.9,5
