Strike,Expiry,Type,Symbol,Last,Vol
20.0,2014-11-22 00:00:00,put,FXI141122P00020000,0.02,67
20.0,2015-01-17 00:00:00,call,FXI150117C00020000,21.5,3
20.0,2015-01-17 00:00:00,put,FXI150117P00020000,0.02,8
20.0,2015-02-20 00:00:00,put,FXI150220P00020000,0.03,100
20.0,2016-01-15 00:00:00,call,FXI160115C00020000,19.9,1
20.0,2016-01-15 00:00:00,put,FXI160115P00020000,0.25,50
21.0,2015-01-17 00:00:00,put,FXI150117P00021000,0.05,5
22.0,2015-01-17 00:00:00,put,FXI150117P00022000,0.05,10
23.0,2015-01-17 00:00:00,put,FXI150117P00023000,0.06,24
24.0,2014-11-22 00:00:00,put,FXI141122P00024000,0.04,28
24.0,2015-01-17 00:00:00,call,FXI150117C00024000,13.4,19
24.0,2015-01-17 00:00:00,put,FXI150117P00024000,0.07,4
25.0,2014-11-22 00:00:00,call,FXI141122C00025000,16.2,50
25.0,2014-11-22 00:00:00,put,FXI141122P00025000,0.02,2
25.0,2015-01-17 00:00:00,call,FXI150117C00025000,15.99,5
25.0,2015-01-17 00:00:00,put,FXI150117P00025000,0.06,5
25.0,2015-02-20 00:00:00,call,FXI150220C00025000,11.83,2
25.0,2015-02-20 00:00:00,put,FXI150220P00025000,0.14,20
25.0,2015-05-15 00:00:00,put,FXI150515P00025000,0.15,5
25.0,2016-01-15 00:00:00,call,FXI160115C00025000,15.25,1
25.0,2016-01-15 00:00:00,put,FXI160115P00025000,0.51,3766
25.5,2014-09-20 00:00:00,put,FXI140920P00025500,0.02,24
26.0,2014-11-22 00:00:00,put,FXI141122P00026000,0.05,32
26.0,2015-01-17 00:00:00,call,FXI150117C00026000,14.65,1
26.0,2015-01-17 00:00:00,put,FXI150117P00026000,0.11,10
26.5,2014-11-22 00:00:00,put,FXI141122P00026500,0.04,5
26.5,2015-02-20 00:00:00,put,FXI150220P00026500,0.53,10
27.0,2014-11-22 00:00:00,put,FXI141122P00027000,0.05,2
27.0,2015-01-17 00:00:00,call,FXI150117C00027000,14.0,9
27.0,2015-01-17 00:00:00,put,FXI150117P00027000,0.13,10
