Strike,Expiry,Type,Symbol,Last,Vol
13.0,2015-01-17 00:00:00,call,GE150117C00013000,13.75,210
13.0,2015-01-17 00:00:00,put,GE150117P00013000,0.03,14
13.0,2016-01-15 00:00:00,call,GE160115C00013000,12.5,1
13.0,2016-01-15 00:00:00,put,GE160115P00013000,0.13,20
14.0,2015-01-17 00:00:00,put,GE150117P00014000,0.03,20
15.0,2014-09-20 00:00:00,call,GE140920C00015000,10.0,2
15.0,2014-09-20 00:00:00,put,GE140920P00015000,0.02,1
15.0,2015-01-17 00:00:00,call,GE150117C00015000,11.1,2
15.0,2015-01-17 00:00:00,put,GE150117P00015000,0.03,6
15.0,2015-03-20 00:00:00,call,GE150320C00015000,10.0,1
15.0,2015-03-20 00:00:00,put,GE150320P00015000,0.05,20
15.0,2016-01-15 00:00:00,call,GE160115C00015000,10.9,12
15.0,2016-01-15 00:00:00,put,GE160115P00015000,0.17,10
16.0,2014-09-20 00:00:00,call,GE140920C00016000,10.02,2
16.0,2014-09-20 00:00:00,put,GE140920P00016000,0.02,10
16.0,2014-12-20 00:00:00,call,GE141220C00016000,10.38,10
16.0,2014-12-20 00:00:00,put,GE141220P00016000,0.03,4
16.0,2015-01-17 00:00:00,call,GE150117C00016000,10.65,1
16.0,2015-01-17 00:00:00,put,GE150117P00016000,0.03,20
18.0,2014-09-20 00:00:00,call,GE140920C00018000,8.19,8
18.0,2014-09-20 00:00:00,put,GE140920P00018000,0.01,5
18.0,2014-12-20 00:00:00,call,GE141220C00018000,8.65,9
18.0,2014-12-20 00:00:00,put,GE141220P00018000,0.06,4
18.0,2015-01-17 00:00:00,call,GE150117C00018000,8.01,1
18.0,2015-01-17 00:00:00,put,GE150117P00018000,0.05,30
18.0,2015-03-20 00:00:00,call,GE150320C00018000,7.98,4
18.0,2015-03-20 00:00:00,put,GE150320P00018000,0.09,49
18.0,2015-06-19 00:00:00,put,GE150619P00018000,0.16,4
18.0,2016-01-15 00:00:00,call,GE160115C00018000,8.25,32
18.0,2016-01-15 00:00:00,put,GE160115P00018000,0.39,96
19.0,2014-09-20 00:00:00,call,GE140920C00019000,7.0,1
19.0,2014-09-20 00:00:00,put,GE140920P00019000,0.02,12
19.0,2014-10-18 00:00:00,call,GE141018C00019000,7.35,60
19.0,2014-10-18 00:00:00,put,GE141018P00019000,0.03,24
19.0,2014-12-20 00:00:00,call,GE141220C00019000,5.95,2
19.0,2014-12-20 00:00:00,put,GE141220P00019000,0.09,2
19.0,2015-01-17 00:00:00,call,GE150117C00019000,7.25,1
19.0,2015-01-17 00:00:00,put,GE150117P00019000,0.08,12
19.0,2015-03-20 00:00:00,put,GE150320P00019000,0.1,1
20.0,2014-09-20 00:00:00,call,GE140920C00020000,6.0,9
20.0,2014-09-20 00:00:00,put,GE140920P00020000,0.02,30
20.0,2014-10-18 00:00:00,call,GE141018C00020000,6.1,11
20.0,2014-10-18 00:00:00,put,GE141018P00020000,0.04,250
20.0,2014-11-22 00:00:00,call,GE141122C00020000,5.86,10
20.0,2014-11-22 00:00:00,put,GE141122P00020000,0.03,70
20.0,2014-12-20 00:00:00,call,GE141220C00020000,6.3,25
20.0,2014-12-20 00:00:00,put,GE141220P00020000,0.08,10
20.0,2015-01-17 00:00:00,call,GE150117C00020000,5.95,83
20.0,2015-01-17 00:00:00,put,GE150117P00020000,0.08,33
20.0,2015-03-20 00:00:00,call,GE150320C00020000,5.37,37
20.0,2015-03-20 00:00:00,put,GE150320P00020000,0.14,1
20.0,2015-06-19 00:00:00,call,GE150619C00020000,6.05,20
20.0,2015-06-19 00:00:00,put,GE150619P00020000,0.27,9
20.0,2016-01-15 00:00:00,call,GE160115C00020000,6.0,216
20.0,2016-01-15 00:00:00,put,GE160115P00020000,0.65,464
21.0,2014-09-12 00:00:00,put,GE140912P00021000,0.03,10
21.0,2014-09-20 00:00:00,call,GE140920C00021000,5.2,24
21.0,2014-09-20 00:00:00,put,GE140920P00021000,0.03,4
21.0,2014-10-18 00:00:00,call,GE141018C00021000,5.1,40
21.0,2014-10-18 00:00:00,put,GE141018P00021000,0.03,40
21.0,2014-11-22 00:00:00,put,GE141122P00021000,0.05,4
21.0,2014-12-20 00:00:00,call,GE141220C00021000,5.2,1
21.0,2014-12-20 00:00:00,put,GE141220P00021000,0.1,1
21.0,2015-01-17 00:00:00,call,GE150117C00021000,5.38,8
21.0,2015-01-17 00:00:00,put,GE150117P00021000,0.13,10
21.0,2015-03-20 00:00:00,call,GE150320C00021000,4.73,2
21.0,2015-03-20 00:00:00,put,GE150320P00021000,0.2,73
22.0,2014-09-20 00:00:00,call,GE140920C00022000,3.92,25
22.0,2014-09-20 00:00:00,put,GE140920P00022000,0.02,79
22.0,2014-10-03 00:00:00,put,GE141003P00022000,0.03,16
22.0,2014-10-18 00:00:00,call,GE141018C00022000,4.3,52
22.0,2014-10-18 00:00:00,put,GE141018P00022000,0.05,10
22.0,2014-11-22 00:00:00,call,GE141122C00022000,4.3,10
22.0,2014-11-22 00:00:00,put,GE141122P00022000,0.08,4
22.0,2014-12-20 00:00:00,call,GE141220C00022000,4.1,1
22.0,2014-12-20 00:00:00,put,GE141220P00022000,0.13,60
22.0,2015-01-17 00:00:00,call,GE150117C00022000,3.95,80
22.0,2015-01-17 00:00:00,put,GE150117P00022000,0.18,87
22.0,2015-03-20 00:00:00,call,GE150320C00022000,4.35,18
22.0,2015-03-20 00:00:00,put,GE150320P00022000,0.31,501
22.5,2014-09-26 00:00:00,put,GE140926P00022500,0.03,1
23.0,2014-09-05 00:00:00,call,GE140905C00023000,2.78,10
23.0,2014-09-05 00:00:00,put,GE140905P00023000,0.04,20
23.0,2014-09-12 00:00:00,put,GE140912P00023000,0.07,10
23.0,2014-09-20 00:00:00,call,GE140920C00023000,3.0,40
23.0,2014-09-20 00:00:00,put,GE140920P00023000,0.03,35
23.0,2014-09-26 00:00:00,put,GE140926P00023000,0.04,40
23.0,2014-10-03 00:00:00,put,GE141003P00023000,0.04,4
23.0,2014-10-18 00:00:00,call,GE141018C00023000,3.15,1
23.0,2014-10-18 00:00:00,put,GE141018P00023000,0.06,3
23.0,2014-11-22 00:00:00,call,GE141122C00023000,3.1,44
23.0,2014-11-22 00:00:00,put,GE141122P00023000,0.13,10
23.0,2014-12-20 00:00:00,call,GE141220C00023000,2.8,53
23.0,2014-12-20 00:00:00,put,GE141220P00023000,0.19,8
23.0,2015-01-17 00:00:00,call,GE150117C00023000,3.0,2
23.0,2015-01-17 00:00:00,put,GE150117P00023000,0.3,70
23.0,2015-03-20 00:00:00,call,GE150320C00023000,3.15,10
23.0,2015-03-20 00:00:00,put,GE150320P00023000,0.46,62
23.0,2015-06-19 00:00:00,call,GE150619C00023000,3.17,6
23.0,2015-06-19 00:00:00,put,GE150619P00023000,0.75,19
23.0,2016-01-15 00:00:00,call,GE160115C00023000,3.4,636
23.0,2016-01-15 00:00:00,put,GE160115P00023000,1.36,120
23.5,2014-09-05 00:00:00,put,GE140905P00023500,0.09,3
23.5,2014-09-12 00:00:00,call,GE140912C00023500,2.72,3
