Strike,Expiry,Type,Symbol,Last,Vol
20.0,2015-01-17 00:00:00,call,GILD150117C00020000,88.0,4
20.0,2015-01-17 00:00:00,put,GILD150117P00020000,0.02,1
22.5,2015-01-17 00:00:00,call,GILD150117C00022500,59.12,10
22.5,2015-01-17 00:00:00,put,GILD150117P00022500,0.04,1
25.0,2015-01-17 00:00:00,call,GILD150117C00025000,68.0,3
25.0,2015-01-17 00:00:00,put,GILD150117P00025000,0.02,10
27.5,2015-01-17 00:00:00,call,GILD150117C00027500,53.96,10
27.5,2015-01-17 00:00:00,put,GILD150117P00027500,0.04,40
30.0,2015-01-17 00:00:00,call,GILD150117C00030000,76.9,1
30.0,2015-01-17 00:00:00,put,GILD150117P00030000,0.06,165
31.25,2015-01-17 00:00:00,call,GILD150117C00031250,43.85,0
31.25,2015-01-17 00:00:00,put,GILD150117P00031250,0.04,15
32.5,2015-01-17 00:00:00,call,GILD150117C00032500,74.2,2
32.5,2015-01-17 00:00:00,put,GILD150117P00032500,0.06,25
33.75,2015-01-17 00:00:00,call,GILD150117C00033750,48.35,20
33.75,2015-01-17 00:00:00,put,GILD150117P00033750,0.03,5
35.0,2014-11-22 00:00:00,put,GILD141122P00035000,0.11,1
35.0,2015-01-17 00:00:00,call,GILD150117C00035000,72.5,1
35.0,2015-01-17 00:00:00,put,GILD150117P00035000,0.03,10
35.0,2016-01-15 00:00:00,call,GILD160115C00035000,72.75,1
35.0,2016-01-15 00:00:00,put,GILD160115P00035000,0.2,7
36.25,2015-01-17 00:00:00,call,GILD150117C00036250,34.9,1
36.25,2015-01-17 00:00:00,put,GILD150117P00036250,0.09,30
37.5,2015-01-17 00:00:00,call,GILD150117C00037500,71.0,1
37.5,2015-01-17 00:00:00,put,GILD150117P00037500,0.05,1
38.75,2015-01-17 00:00:00,call,GILD150117C00038750,32.9,0
38.75,2015-01-17 00:00:00,put,GILD150117P00038750,0.14,15
40.0,2014-11-22 00:00:00,call,GILD141122C00040000,59.45,2
40.0,2014-11-22 00:00:00,put,GILD141122P00040000,0.04,55
40.0,2015-01-17 00:00:00,call,GILD150117C00040000,67.0,3
40.0,2015-01-17 00:00:00,put,GILD150117P00040000,0.14,4
40.0,2016-01-15 00:00:00,call,GILD160115C00040000,68.5,1
40.0,2016-01-15 00:00:00,put,GILD160115P00040000,0.34,12
41.25,2015-01-17 00:00:00,call,GILD150117C00041250,63.0,1
41.25,2015-01-17 00:00:00,put,GILD150117P00041250,0.1,10
42.5,2015-01-17 00:00:00,call,GILD150117C00042500,49.8,4
42.5,2015-01-17 00:00:00,put,GILD150117P00042500,0.08,15
43.75,2015-01-17 00:00:00,call,GILD150117C00043750,54.54,1
43.75,2015-01-17 00:00:00,put,GILD150117P00043750,0.1,5
45.0,2014-11-22 00:00:00,put,GILD141122P00045000,0.05,117
45.0,2015-01-17 00:00:00,call,GILD150117C00045000,62.5,1
45.0,2015-01-17 00:00:00,put,GILD150117P00045000,0.1,10
45.0,2015-02-20 00:00:00,call,GILD150220C00045000,53.0,3
45.0,2015-02-20 00:00:00,put,GILD150220P00045000,0.2,1
45.0,2016-01-15 00:00:00,call,GILD160115C00045000,62.43,2
45.0,2016-01-15 00:00:00,put,GILD160115P00045000,0.5,12
47.5,2015-01-17 00:00:00,call,GILD150117C00047500,60.5,15
47.5,2015-01-17 00:00:00,put,GILD150117P00047500,0.12,1
50.0,2014-09-20 00:00:00,call,GILD140920C00050000,56.7,1
