Strike,Expiry,Type,Symbol,Last,Vol
60.0,2014-09-20 00:00:00,put,GLD140920P00060000,0.09,0
60.0,2014-12-20 00:00:00,put,GLD141220P00060000,0.01,3
60.0,2014-12-31 00:00:00,call,GLD141231C00060000,64.58,10
60.0,2015-01-17 00:00:00,call,GLD150117C00060000,65.55,1
60.0,2015-01-17 00:00:00,put,GLD150117P00060000,0.01,25
60.0,2016-01-15 00:00:00,call,GLD160115C00060000,66.0,5
60.0,2016-01-15 00:00:00,put,GLD160115P00060000,0.05,130
65.0,2014-09-20 00:00:00,put,GLD140920P00065000,0.03,1
65.0,2014-12-20 00:00:00,put,GLD141220P00065000,0.3,0
65.0,2015-01-17 00:00:00,call,GLD150117C00065000,53.7,0
65.0,2015-01-17 00:00:00,put,GLD150117P00065000,0.01,1
65.0,2016-01-15 00:00:00,call,GLD160115C00065000,65.08,3
65.0,2016-01-15 00:00:00,put,GLD160115P00065000,0.08,2
70.0,2014-09-20 00:00:00,call,GLD140920C00070000,57.32,2
70.0,2014-09-20 00:00:00,put,GLD140920P00070000,0.02,3
70.0,2014-09-20 00:00:00,put,GLD7140920P00070000,0.53,0
70.0,2014-09-30 00:00:00,put,GLD140930P00070000,0.1,0
70.0,2014-12-20 00:00:00,put,GLD141220P00070000,0.02,2
70.0,2015-01-17 00:00:00,call,GLD150117C00070000,53.25,5
70.0,2015-01-17 00:00:00,put,GLD150117P00070000,0.03,1
70.0,2015-03-20 00:00:00,put,GLD150320P00070000,0.03,3
70.0,2016-01-15 00:00:00,call,GLD160115C00070000,53.53,5
70.0,2016-01-15 00:00:00,put,GLD160115P00070000,0.13,1
72.0,2014-12-31 00:00:00,put,GLD141231P00072000,0.29,0
75.0,2014-09-20 00:00:00,put,GLD140920P00075000,0.01,5
75.0,2014-09-20 00:00:00,put,GLD7140920P00075000,0.39,0
75.0,2014-09-30 00:00:00,put,GLD140930P00075000,0.57,0
75.0,2014-12-20 00:00:00,put,GLD141220P00075000,0.06,1
75.0,2014-12-31 00:00:00,call,GLD141231C00075000,45.05,0
75.0,2014-12-31 00:00:00,put,GLD141231P00075000,0.24,0
75.0,2015-01-17 00:00:00,call,GLD150117C00075000,51.07,10
75.0,2015-01-17 00:00:00,call,GLD7150117C00075000,42.7,0
75.0,2015-01-17 00:00:00,put,GLD150117P00075000,0.05,3
75.0,2015-03-20 00:00:00,put,GLD150320P00075000,0.05,500
75.0,2015-06-19 00:00:00,put,GLD150619P00075000,0.11,100
75.0,2016-01-15 00:00:00,call,GLD160115C00075000,49.1,1
75.0,2016-01-15 00:00:00,put,GLD160115P00075000,0.25,50
80.0,2014-09-20 00:00:00,call,GLD140920C00080000,45.28,2
80.0,2014-09-20 00:00:00,put,GLD140920P00080000,0.01,1
80.0,2014-09-30 00:00:00,put,GLD140930P00080000,0.08,2
80.0,2014-12-20 00:00:00,put,GLD141220P00080000,0.04,1
80.0,2014-12-31 00:00:00,call,GLD141231C00080000,41.4,0
80.0,2015-01-17 00:00:00,call,GLD150117C00080000,42.73,1
80.0,2015-01-17 00:00:00,put,GLD150117P00080000,0.03,10
80.0,2015-01-17 00:00:00,put,GLD7150117P00080000,0.49,0
80.0,2015-03-20 00:00:00,call,GLD150320C00080000,52.24,0
80.0,2015-03-20 00:00:00,put,GLD150320P00080000,0.24,1
80.0,2015-06-19 00:00:00,put,GLD150619P00080000,0.17,22
80.0,2016-01-15 00:00:00,call,GLD160115C00080000,44.0,5
80.0,2016-01-15 00:00:00,put,GLD160115P00080000,0.39,5
85.0,2014-09-20 00:00:00,call,GLD140920C00085000,43.2,2
85.0,2014-09-20 00:00:00,call,GLD7140920C00085000,40.2,0
85.0,2014-09-20 00:00:00,put,GLD140920P00085000,0.01,10
85.0,2014-09-30 00:00:00,put,GLD140930P00085000,0.14,4
85.0,2014-12-20 00:00:00,call,GLD141220C00085000,36.0,4
85.0,2014-12-20 00:00:00,put,GLD141220P00085000,0.29,9
85.0,2015-01-17 00:00:00,call,GLD150117C00085000,38.77,1
85.0,2015-01-17 00:00:00,put,GLD150117P00085000,0.03,1
85.0,2015-01-17 00:00:00,put,GLD7150117P00085000,1.75,0
85.0,2015-03-20 00:00:00,put,GLD150320P00085000,0.11,5
85.0,2015-06-19 00:00:00,put,GLD150619P00085000,0.16,6
85.0,2016-01-15 00:00:00,call,GLD160115C00085000,39.1,0
85.0,2016-01-15 00:00:00,put,GLD160115P00085000,0.52,10
86.0,2014-12-31 00:00:00,put,GLD141231P00086000,0.21,1
88.0,2014-12-31 00:00:00,put,GLD141231P00088000,0.26,2
90.0,2014-09-20 00:00:00,call,GLD140920C00090000,31.95,1
90.0,2014-09-20 00:00:00,call,GLD7140920C00090000,38.6,0
90.0,2014-09-20 00:00:00,put,GLD140920P00090000,0.01,1
90.0,2014-09-20 00:00:00,put,GLD7140920P00090000,1.45,0
