Strike,Expiry,Type,Symbol,Last,Vol
13.0,2015-01-17 00:00:00,call,GM150117C00013000,24.95,1
13.0,2015-01-17 00:00:00,put,GM150117P00013000,0.03,20
15.0,2015-01-17 00:00:00,call,GM150117C00015000,22.5,15
15.0,2015-01-17 00:00:00,put,GM150117P00015000,0.03,1
18.0,2015-01-17 00:00:00,call,GM150117C00018000,15.06,2
18.0,2015-01-17 00:00:00,put,GM150117P00018000,0.07,750
18.0,2016-01-15 00:00:00,call,GM160115C00018000,16.25,1
18.0,2016-01-15 00:00:00,put,GM160115P00018000,0.26,3
19.0,2014-09-20 00:00:00,call,GM140920C00019000,16.55,291
19.0,2014-09-20 00:00:00,put,GM140920P00019000,0.03,40
19.0,2015-01-17 00:00:00,put,GM150117P00019000,0.03,27
19.0,2015-03-20 00:00:00,put,GM150320P00019000,0.12,50
20.0,2014-09-20 00:00:00,call,GM140920C00020000,17.6,45
20.0,2014-09-20 00:00:00,put,GM140920P00020000,0.03,40
20.0,2014-12-20 00:00:00,call,GM141220C00020000,17.32,2
20.0,2014-12-20 00:00:00,put,GM141220P00020000,0.04,602
20.0,2015-01-17 00:00:00,call,GM150117C00020000,14.71,4
20.0,2015-01-17 00:00:00,put,GM150117P00020000,0.05,40
20.0,2015-03-20 00:00:00,put,GM150320P00020000,0.11,1
20.0,2016-01-15 00:00:00,call,GM160115C00020000,14.6,3
20.0,2016-01-15 00:00:00,put,GM160115P00020000,0.5,1
21.0,2014-09-20 00:00:00,put,GM140920P00021000,0.03,11
21.0,2014-12-20 00:00:00,put,GM141220P00021000,0.05,514
21.0,2015-01-17 00:00:00,put,GM150117P00021000,0.04,10
23.0,2014-09-20 00:00:00,call,GM140920C00023000,13.8,3
23.0,2014-09-20 00:00:00,put,GM140920P00023000,0.01,4
23.0,2014-12-20 00:00:00,put,GM141220P00023000,0.08,327
23.0,2015-01-17 00:00:00,call,GM150117C00023000,11.8,5
23.0,2015-01-17 00:00:00,put,GM150117P00023000,0.1,5
23.0,2015-03-20 00:00:00,put,GM150320P00023000,0.27,21
23.0,2016-01-15 00:00:00,call,GM160115C00023000,11.5,14
23.0,2016-01-15 00:00:00,put,GM160115P00023000,0.75,100
24.0,2014-09-20 00:00:00,call,GM140920C00024000,10.35,10
24.0,2014-09-20 00:00:00,put,GM140920P00024000,0.01,81
24.0,2014-12-20 00:00:00,call,GM141220C00024000,13.68,3
24.0,2014-12-20 00:00:00,put,GM141220P00024000,0.1,40
24.0,2015-01-17 00:00:00,call,GM150117C00024000,10.9,5
24.0,2015-01-17 00:00:00,put,GM150117P00024000,0.11,40
24.0,2015-03-20 00:00:00,put,GM150320P00024000,0.19,74
25.0,2014-09-20 00:00:00,call,GM140920C00025000,9.44,10
25.0,2014-09-20 00:00:00,put,GM140920P00025000,0.01,1
25.0,2014-12-20 00:00:00,call,GM141220C00025000,8.3,1
25.0,2014-12-20 00:00:00,put,GM141220P00025000,0.09,22
