Strike,Expiry,Type,Symbol,Last,Vol
5.0,2015-01-17 00:00:00,put,GT150117P00005000,0.05,1500
8.0,2015-01-17 00:00:00,call,GT150117C00008000,16.8,1
8.0,2015-01-17 00:00:00,put,GT150117P00008000,0.05,187
10.0,2015-01-17 00:00:00,call,GT150117C00010000,17.8,135
10.0,2015-01-17 00:00:00,put,GT150117P00010000,0.03,10
12.0,2015-01-17 00:00:00,call,GT150117C00012000,13.3,1
12.0,2015-01-17 00:00:00,put,GT150117P00012000,0.05,24
13.0,2016-01-15 00:00:00,call,GT160115C00013000,12.4,6
13.0,2016-01-15 00:00:00,put,GT160115P00013000,0.25,6
14.0,2015-01-17 00:00:00,put,GT150117P00014000,0.05,30
15.0,2014-10-18 00:00:00,call,GT141018C00015000,11.4,10
15.0,2014-10-18 00:00:00,put,GT141018P00015000,0.05,3
15.0,2015-01-17 00:00:00,call,GT150117C00015000,12.1,10
15.0,2015-01-17 00:00:00,put,GT150117P00015000,0.1,65
15.0,2016-01-15 00:00:00,call,GT160115C00015000,10.9,20
15.0,2016-01-15 00:00:00,put,GT160115P00015000,0.33,33
16.0,2015-01-17 00:00:00,put,GT150117P00016000,0.08,3
17.0,2015-01-17 00:00:00,call,GT150117C00017000,8.1,10
17.0,2015-01-17 00:00:00,put,GT150117P00017000,0.11,4
18.0,2014-10-18 00:00:00,call,GT141018C00018000,8.5,5
18.0,2014-10-18 00:00:00,put,GT141018P00018000,0.07,10
18.0,2015-01-17 00:00:00,put,GT150117P00018000,0.2,5
18.0,2015-04-17 00:00:00,put,GT150417P00018000,0.25,120
18.0,2016-01-15 00:00:00,call,GT160115C00018000,8.2,10
18.0,2016-01-15 00:00:00,put,GT160115P00018000,0.91,505
19.0,2014-10-18 00:00:00,call,GT141018C00019000,6.8,3
19.0,2014-10-18 00:00:00,put,GT141018P00019000,0.04,20
19.0,2015-01-17 00:00:00,call,GT150117C00019000,6.2,6
19.0,2015-01-17 00:00:00,put,GT150117P00019000,0.42,6
19.0,2015-04-17 00:00:00,put,GT150417P00019000,0.45,30
20.0,2014-10-18 00:00:00,call,GT141018C00020000,6.1,2
20.0,2014-10-18 00:00:00,put,GT141018P00020000,0.15,5
20.0,2015-01-17 00:00:00,call,GT150117C00020000,6.2,10
20.0,2015-01-17 00:00:00,put,GT150117P00020000,0.25,24
20.0,2015-04-17 00:00:00,put,GT150417P00020000,0.55,3
20.0,2016-01-15 00:00:00,call,GT160115C00020000,7.0,20
20.0,2016-01-15 00:00:00,put,GT160115P00020000,1.08,1376
21.0,2014-09-20 00:00:00,put,GT140920P00021000,0.08,24
21.0,2014-10-18 00:00:00,call,GT141018C00021000,5.1,2
21.0,2014-10-18 00:00:00,put,GT141018P00021000,0.05,20
21.0,2015-01-17 00:00:00,call,GT150117C00021000,4.95,23
21.0,2015-01-17 00:00:00,put,GT150117P00021000,0.35,97
21.0,2015-04-17 00:00:00,put,GT150417P00021000,0.8,175
21.5,2014-09-05 00:00:00,put,GT140905P00021500,0.15,25
21.5,2014-09-12 00:00:00,put,GT140912P00021500,0.15,25
21.5,2014-09-26 00:00:00,put,GT140926P00021500,0.16,1
22.0,2014-09-05 00:00:00,put,GT140905P00022000,0.1,25
22.0,2014-09-20 00:00:00,call,GT140920C00022000,3.4,1
22.0,2014-09-20 00:00:00,put,GT140920P00022000,0.02,2
22.0,2014-09-26 00:00:00,put,GT140926P00022000,0.21,2
22.0,2014-10-18 00:00:00,call,GT141018C00022000,4.1,3
22.0,2014-10-18 00:00:00,put,GT141018P00022000,0.11,20
22.0,2015-01-17 00:00:00,call,GT150117C00022000,4.0,50
22.0,2015-01-17 00:00:00,put,GT150117P00022000,0.55,90
22.0,2015-04-17 00:00:00,put,GT150417P00022000,1.15,2
22.0,2016-01-15 00:00:00,call,GT160115C00022000,5.4,4
22.0,2016-01-15 00:00:00,put,GT160115P00022000,1.74,1022
23.0,2014-09-05 00:00:00,put,GT140905P00023000,0.25,70
23.0,2014-09-12 00:00:00,put,GT140912P00023000,0.25,50
23.0,2014-09-20 00:00:00,call,GT140920C00023000,1.8,20
23.0,2014-09-20 00:00:00,put,GT140920P00023000,0.05,48
23.0,2014-09-26 00:00:00,put,GT140926P00023000,0.3,5
23.0,2014-10-18 00:00:00,call,GT141018C00023000,3.1,2
23.0,2014-10-18 00:00:00,put,GT141018P00023000,0.2,10
23.0,2015-01-17 00:00:00,call,GT150117C00023000,3.7,6
23.0,2015-01-17 00:00:00,put,GT150117P00023000,0.75,20
23.0,2015-04-17 00:00:00,put,GT150417P00023000,1.15,100
23.5,2014-09-05 00:00:00,put,GT140905P00023500,0.22,4
23.5,2014-09-26 00:00:00,put,GT140926P00023500,0.41,2
24.0,2014-09-05 00:00:00,call,GT140905C00024000,1.12,2
24.0,2014-09-05 00:00:00,put,GT140905P00024000,0.11,30
24.0,2014-09-12 00:00:00,put,GT140912P00024000,0.8,4
24.0,2014-09-20 00:00:00,call,GT140920C00024000,1.75,6
24.0,2014-09-20 00:00:00,put,GT140920P00024000,0.1,6
24.0,2014-09-26 00:00:00,call,GT140926C00024000,1.6,1
24.0,2014-09-26 00:00:00,put,GT140926P00024000,0.25,14
24.0,2014-10-18 00:00:00,call,GT141018C00024000,2.0,11
24.0,2014-10-18 00:00:00,put,GT141018P00024000,0.3,9
24.0,2015-01-17 00:00:00,call,GT150117C00024000,3.03,80
24.0,2015-01-17 00:00:00,put,GT150117P00024000,1.15,865
24.0,2015-04-17 00:00:00,call,GT150417C00024000,3.2,3
24.0,2015-04-17 00:00:00,put,GT150417P00024000,1.9,10
24.5,2014-09-05 00:00:00,call,GT140905C00024500,0.66,2
24.5,2014-09-05 00:00:00,put,GT140905P00024500,0.15,3
24.5,2014-09-12 00:00:00,call,GT140912C00024500,1.18,1
24.5,2014-09-12 00:00:00,put,GT140912P00024500,0.15,31
24.5,2014-09-20 00:00:00,call,GT140920C00024500,1.02,9
24.5,2014-09-20 00:00:00,put,GT140920P00024500,0.11,1
24.5,2014-09-26 00:00:00,call,GT140926C00024500,1.3,2
24.5,2014-09-26 00:00:00,put,GT140926P00024500,0.35,8
24.5,2014-10-03 00:00:00,put,GT141003P00024500,0.3,1
25.0,2014-09-05 00:00:00,call,GT140905C00025000,0.95,5
25.0,2014-09-05 00:00:00,put,GT140905P00025000,0.3,16
25.0,2014-09-12 00:00:00,call,GT140912C00025000,0.65,390
25.0,2014-09-12 00:00:00,put,GT140912P00025000,0.11,3
25.0,2014-09-20 00:00:00,call,GT140920C00025000,1.2,10
25.0,2014-09-20 00:00:00,put,GT140920P00025000,0.26,30
25.0,2014-09-26 00:00:00,call,GT140926C00025000,0.9,1
25.0,2014-09-26 00:00:00,put,GT140926P00025000,0.3,4
25.0,2014-10-03 00:00:00,call,GT141003C00025000,0.96,5
25.0,2014-10-03 00:00:00,put,GT141003P00025000,0.78,10
25.0,2014-10-18 00:00:00,call,GT141018C00025000,1.6,65
25.0,2014-10-18 00:00:00,put,GT141018P00025000,0.7,877
25.0,2015-01-17 00:00:00,call,GT150117C00025000,2.35,20
25.0,2015-01-17 00:00:00,put,GT150117P00025000,1.4,65
25.0,2015-04-17 00:00:00,call,GT150417C00025000,2.88,2
25.0,2016-01-15 00:00:00,call,GT160115C00025000,3.8,57
25.0,2016-01-15 00:00:00,put,GT160115P00025000,3.38,5
25.5,2014-09-05 00:00:00,call,GT140905C00025500,0.7,4
25.5,2014-09-05 00:00:00,put,GT140905P00025500,0.15,80
25.5,2014-09-12 00:00:00,call,GT140912C00025500,0.46,1
25.5,2014-09-12 00:00:00,put,GT140912P00025500,0.25,2
25.5,2014-09-20 00:00:00,call,GT140920C00025500,0.79,350
25.5,2014-09-20 00:00:00,put,GT140920P00025500,0.62,3
25.5,2014-09-26 00:00:00,call,GT140926C00025500,0.6,4
25.5,2014-09-26 00:00:00,put,GT140926P00025500,0.65,31
25.5,2014-10-03 00:00:00,put,GT141003P00025500,0.99,1
26.0,2014-09-05 00:00:00,call,GT140905C00026000,0.3,40
26.0,2014-09-05 00:00:00,put,GT140905P00026000,0.3,20
26.0,2014-09-12 00:00:00,call,GT140912C00026000,0.42,11
26.0,2014-09-12 00:00:00,put,GT140912P00026000,0.75,1200
26.0,2014-09-20 00:00:00,call,GT140920C00026000,0.51,4
26.0,2014-09-20 00:00:00,put,GT140920P00026000,0.5,10
26.0,2014-09-26 00:00:00,call,GT140926C00026000,0.54,1
26.0,2014-09-26 00:00:00,put,GT140926P00026000,1.0,1
26.0,2014-10-03 00:00:00,call,GT141003C00026000,0.55,1
26.0,2014-10-18 00:00:00,call,GT141018C00026000,0.95,50
26.0,2014-10-18 00:00:00,put,GT141018P00026000,0.95,7
26.0,2015-01-17 00:00:00,call,GT150117C00026000,1.85,8
26.0,2015-01-17 00:00:00,put,GT150117P00026000,2.05,158
26.0,2015-04-17 00:00:00,call,GT150417C00026000,2.2,20
26.0,2015-04-17 00:00:00,put,GT150417P00026000,2.45,20
26.5,2014-09-05 00:00:00,call,GT140905C00026500,0.06,8
26.5,2014-09-05 00:00:00,put,GT140905P00026500,1.7,24
26.5,2014-09-12 00:00:00,call,GT140912C00026500,0.2,4
26.5,2014-09-12 00:00:00,put,GT140912P00026500,1.61,8
26.5,2014-09-20 00:00:00,call,GT140920C00026500,0.25,6
26.5,2014-09-20 00:00:00,put,GT140920P00026500,0.8,20
27.0,2014-09-05 00:00:00,call,GT140905C00027000,0.15,2
27.0,2014-09-05 00:00:00,put,GT140905P00027000,1.45,28
27.0,2014-09-12 00:00:00,call,GT140912C00027000,0.1,2
